t,l,x,y,z
0,1,-0.97,0.1,-0.09
1,1,-0.97,0.1,-0.09
3,1,-0.97,0.1,-0.09
5,1,-0.97,0.1,-0.1
6,1,-0.97,0.1,-0.1
8,1,-0.97,0.1,-0.1
10,1,-0.97,0.1,-0.1
11,1,-0.97,0.1,-0.1
13,1,-0.97,0.1,-0.1
15,1,-0.98,0.1,-0.1
16,1,-0.98,0.1,-0.1
18,1,-0.98,0.1,-0.1
20,1,-0.98,0.1,-0.1
21,1,-0.98,0.1,-0.1
23,1,-0.98,0.1,-0.1
25,1,-0.97,0.1,-0.1
27,1,-0.97,0.1,-0.1
28,1,-0.97,0.1,-0.1
30,1,-0.97,0.1,-0.1
32,1,-0.97,0.1,-0.1
33,1,-0.97,0.1,-0.1
35,1,-0.97,0.1,-0.09
37,1,-0.97,0.1,-0.09
38,1,-0.97,0.1,-0.09
40,1,-0.97,0.1,-0.09
42,1,-0.97,0.1,-0.09
44,1,-0.97,0.1,-0.09
45,1,-0.98,0.1,-0.09
47,1,-0.98,0.1,-0.09
49,1,-0.98,0.1,-0.09
50,1,-0.98,0.1,-0.09
52,1,-0.98,0.1,-0.09
54,1,-0.98,0.1,-0.09
55,1,-0.98,0.1,-0.09
57,1,-0.98,0.1,-0.09
58,1,-0.98,0.1,-0.09
60,1,-0.98,0.1,-0.09
62,1,-0.98,0.1,-0.09
63,1,-0.98,0.1,-0.09
65,1,-0.98,0.1,-0.09
67,1,-0.98,0.1,-0.09
68,1,-0.98,0.1,-0.09
70,1,-0.98,0.1,-0.09
72,1,-0.98,0.1,-0.09
73,1,-0.98,0.09,-0.09
75,1,-0.98,0.09,-0.09
77,1,-0.98,0.09,-0.09
78,1,-0.98,0.09,-0.09
80,1,-0.98,0.09,-0.09
82,1,-0.98,0.09,-0.09
83,1,-0.97,0.09,-0.09
85,1,-0.97,0.09,-0.09
87,1,-0.97,0.09,-0.09
88,1,-0.97,0.09,-0.09
90,1,-0.97,0.09,-0.09
92,1,-0.97,0.09,-0.09
93,1,-0.96,0.09,-0.1
95,1,-0.96,0.09,-0.1
97,1,-0.96,0.09,-0.1
98,1,-0.96,0.09,-0.1
100,1,-0.96,0.09,-0.1
102,1,-0.96,0.09,-0.1
103,1,-0.98,0.1,-0.09
105,1,-0.98,0.1,-0.09
107,1,-0.98,0.1,-0.09
108,1,-0.98,0.1,-0.09
110,1,-0.98,0.1,-0.09
112,1,-0.98,0.1,-0.09
113,1,-0.98,0.1,-0.09
115,1,-0.98,0.1,-0.09
117,1,-0.98,0.1,-0.09
118,1,-0.98,0.1,-0.09
120,1,-0.98,0.1,-0.09
122,1,-0.98,0.1,-0.09
123,1,-0.98,0.09,-0.09
125,1,-0.98,0.09,-0.09
127,1,-0.98,0.09,-0.09
128,1,-0.98,0.09,-0.09
130,1,-0.98,0.09,-0.09
132,1,-0.98,0.09,-0.09
133,1,-0.97,0.09,-0.09
135,1,-0.97,0.09,-0.09
137,1,-0.97,0.09,-0.09
138,1,-0.97,0.09,-0.09
140,1,-0.97,0.09,-0.09
142,1,-0.98,0.1,-0.09
143,1,-0.98,0.1,-0.09
145,1,-0.98,0.1,-0.09
147,1,-0.98,0.1,-0.09
148,1,-0.98,0.1,-0.09
150,1,-0.98,0.1,-0.09
152,1,-0.98,0.11,-0.09
153,1,-0.98,0.11,-0.09
155,1,-0.98,0.11,-0.09
157,1,-0.98,0.11,-0.09
158,1,-0.98,0.11,-0.09
160,1,-0.98,0.11,-0.09
162,1,-0.98,0.11,-0.09
163,1,-0.98,0.11,-0.09
165,1,-0.98,0.11,-0.09
167,1,-0.98,0.11,-0.09
168,1,-0.98,0.11,-0.09
170,1,-0.98,0.11,-0.09
172,1,-0.97,0.1,-0.09
174,1,-0.97,0.1,-0.09
175,1,-0.97,0.1,-0.09
177,1,-0.97,0.1,-0.09
179,1,-0.97,0.1,-0.09
180,1,-0.97,0.1,-0.09
182,1,-0.98,0.1,-0.09
184,1,-0.98,0.1,-0.09
185,1,-0.98,0.1,-0.09
187,1,-0.98,0.1,-0.09
189,1,-0.98,0.1,-0.09
190,1,-0.98,0.1,-0.1
192,1,-0.98,0.09,-0.1
194,1,-0.98,0.09,-0.1
195,1,-0.98,0.09,-0.1
197,1,-0.98,0.09,-0.1
199,1,-0.98,0.09,-0.1
200,1,-0.97,0.08,-0.1
202,1,-0.97,0.08,-0.1
204,1,-0.97,0.08,-0.1
205,1,-0.97,0.08,-0.1
207,1,-0.97,0.08,-0.1
209,1,-0.97,0.08,-0.1
210,1,-0.97,0.08,-0.12
212,1,-0.97,0.08,-0.12
214,1,-0.97,0.08,-0.12
215,1,-0.97,0.08,-0.12
217,1,-0.97,0.08,-0.12
219,1,-0.97,0.08,-0.12
220,1,-0.98,0.09,-0.12
222,1,-0.98,0.09,-0.12
224,1,-0.98,0.09,-0.12
225,1,-0.98,0.09,-0.12
227,1,-0.98,0.09,-0.12
229,1,-0.98,0.09,-0.12
230,1,-1.0,0.1,-0.14
232,1,-1.0,0.1,-0.14
234,1,-1.0,0.1,-0.14
236,1,-1.0,0.1,-0.14
237,1,-1.0,0.1,-0.14
239,1,-1.0,0.1,-0.16
241,1,-1.0,0.1,-0.16
242,1,-1.0,0.1,-0.16
244,1,-1.0,0.1,-0.16
246,1,-1.0,0.1,-0.16
247,1,-1.0,0.1,-0.16
249,1,-1.0,0.11,-0.11
251,1,-0.99,0.11,-0.11
252,1,-0.99,0.11,-0.11
254,1,-0.99,0.11,-0.11
256,1,-0.99,0.11,-0.11
257,1,-0.99,0.11,-0.11
259,1,-1.03,0.13,0.01
261,1,-1.03,0.13,0.01
262,1,-1.03,0.13,0.01
264,1,-1.03,0.13,0.01
266,1,-1.03,0.13,0.01
267,1,-1.03,0.13,0.01
269,1,-1.1,0.21,0.25
271,1,-1.1,0.21,0.25
272,1,-1.1,0.21,0.25
274,1,-1.1,0.21,0.25
276,1,-1.1,0.21,0.25
277,1,-1.1,0.21,0.25
279,1,-1.19,0.36,0.53
281,1,-1.19,0.36,0.53
282,1,-1.19,0.36,0.53
284,1,-1.19,0.36,0.53
286,1,-1.19,0.36,0.53
287,1,-1.19,0.36,0.53
289,1,-1.28,0.52,0.69
291,1,-1.28,0.52,0.69
292,1,-1.28,0.52,0.69
294,1,-1.28,0.52,0.69
296,1,-1.28,0.52,0.69
297,1,-1.28,0.52,0.69
299,1,-1.49,0.65,0.74
301,1,-1.49,0.65,0.74
302,1,-1.49,0.65,0.74
304,1,-1.49,0.65,0.74
306,1,-1.49,0.65,0.74
307,1,-1.49,0.65,0.74
309,1,-1.87,0.79,0.7
311,1,-1.87,0.79,0.7
312,1,-1.87,0.79,0.7
314,1,-1.87,0.79,0.7
316,1,-1.87,0.79,0.7
317,1,-2.17,0.91,0.66
319,1,-2.17,0.91,0.66
321,1,-2.17,0.91,0.66
323,1,-2.17,0.91,0.66
324,1,-2.17,0.91,0.66
326,1,-2.17,0.91,0.66
328,1,-2.21,1.15,0.71
329,1,-2.21,1.15,0.71
331,1,-2.21,1.15,0.71
333,1,-2.21,1.15,0.71
334,1,-2.21,1.15,0.71
336,1,-2.21,1.15,0.71
338,1,-2.11,1.01,0.61
339,1,-2.11,1.01,0.61
341,1,-2.11,1.01,0.61
343,1,-2.11,1.01,0.61
344,1,-2.11,1.01,0.61
346,1,-2.11,1.01,0.61
348,1,-1.67,0.83,0.56
350,1,-1.67,0.83,0.56
