t,l,x,y,z
0,1,-0.95,-0.06,0.29
2,1,-0.95,-0.06,0.29
4,1,-0.95,-0.06,0.29
5,1,-0.95,-0.06,0.29
7,1,-0.95,-0.06,0.29
9,1,-0.96,-0.08,0.21
10,1,-0.96,-0.08,0.21
12,1,-0.96,-0.08,0.21
14,1,-0.96,-0.08,0.21
15,1,-0.96,-0.08,0.21
17,1,-0.96,-0.08,0.21
19,1,-0.97,-0.1,0.14
20,1,-0.97,-0.1,0.14
22,1,-0.97,-0.1,0.14
24,1,-0.97,-0.1,0.14
25,1,-0.97,-0.1,0.14
27,1,-0.97,-0.1,0.02
29,1,-0.98,-0.11,0.07
31,1,-0.98,-0.11,0.07
32,1,-0.98,-0.11,0.07
34,1,-0.98,-0.11,0.07
36,1,-0.98,-0.11,0.07
37,1,-0.98,-0.12,0.0
39,1,-0.98,-0.12,0.0
41,1,-0.98,-0.12,0.0
42,1,-0.98,-0.12,0.0
44,1,-0.98,-0.12,0.0
46,1,-0.98,-0.12,0.0
47,1,-0.99,-0.11,-0.05
49,1,-0.99,-0.11,-0.05
51,1,-0.99,-0.11,-0.05
52,1,-0.99,-0.11,-0.05
54,1,-0.99,-0.11,-0.05
56,1,-0.99,-0.11,-0.05
57,1,-0.97,-0.09,-0.08
59,1,-0.97,-0.09,-0.08
61,1,-0.97,-0.09,-0.08
62,1,-0.97,-0.09,-0.08
64,1,-0.97,-0.09,-0.08
66,1,-0.97,-0.09,-0.08
67,1,-0.96,-0.08,-0.08
69,1,-0.96,-0.08,-0.08
71,1,-0.96,-0.08,-0.08
72,1,-0.96,-0.08,-0.08
74,1,-0.96,-0.08,-0.08
76,1,-0.96,-0.08,-0.08
77,1,-0.98,-0.07,-0.08
79,1,-0.98,-0.07,-0.08
81,1,-0.98,-0.07,-0.08
82,1,-0.98,-0.07,-0.08
84,1,-0.98,-0.07,-0.08
86,1,-0.98,-0.07,-0.08
87,1,-0.97,-0.05,-0.11
89,1,-0.97,-0.05,-0.11
91,1,-0.97,-0.05,-0.11
92,1,-0.97,-0.05,-0.11
94,1,-0.97,-0.05,-0.11
96,1,-0.97,-0.05,-0.11
97,1,-0.96,-0.06,-0.11
99,1,-0.96,-0.06,-0.11
101,1,-0.96,-0.06,-0.11
102,1,-0.96,-0.06,-0.11
