t,l,x,y,z
0,1,-0.94,-0.18,0.03
1,1,-0.94,-0.18,0.03
3,1,-0.94,-0.18,0.03
5,1,-0.94,-0.18,0.03
6,1,-0.94,-0.18,0.03
8,1,-0.94,-0.18,0.03
10,1,-0.95,-0.18,0.03
11,1,-0.95,-0.18,0.03
13,1,-0.95,-0.18,0.03
15,1,-0.95,-0.18,0.03
16,1,-0.95,-0.18,0.03
18,1,-0.95,-0.18,0.02
20,1,-0.95,-0.18,0.02
21,1,-0.95,-0.18,0.02
23,1,-0.95,-0.18,0.02
25,1,-0.95,-0.18,0.02
26,1,-0.95,-0.18,0.02
28,1,-0.95,-0.19,0.01
30,1,-0.96,-0.19,0.01
31,1,-0.96,-0.19,0.01
33,1,-0.96,-0.19,0.01
35,1,-0.96,-0.19,0.01
36,1,-0.96,-0.19,0.01
38,1,-0.96,-0.2,0.02
40,1,-0.96,-0.2,0.02
41,1,-0.96,-0.2,0.02
43,1,-0.96,-0.2,0.02
45,1,-0.96,-0.2,0.02
46,1,-0.96,-0.2,0.02
48,1,-0.97,-0.21,0.02
50,1,-0.97,-0.21,0.02
51,1,-0.97,-0.21,0.02
53,1,-0.97,-0.21,0.02
55,1,-0.97,-0.21,0.02
56,1,-0.97,-0.21,0.02
58,1,-0.97,-0.2,0.01
60,1,-0.97,-0.2,0.01
61,1,-0.97,-0.2,0.01
63,1,-0.97,-0.2,0.01
65,1,-0.97,-0.2,0.01
66,1,-0.97,-0.2,0.01
68,1,-0.95,-0.19,-0.01
70,1,-0.95,-0.19,-0.01
71,1,-0.95,-0.19,-0.01
73,1,-0.95,-0.19,-0.01
75,1,-0.95,-0.19,-0.01
76,1,-0.95,-0.19,-0.01
78,1,-0.94,-0.18,-0.01
80,1,-0.94,-0.18,-0.01
81,1,-0.94,-0.18,-0.01
83,1,-0.94,-0.18,-0.01
85,1,-0.94,-0.18,-0.01
86,1,-0.94,-0.19,-0.02
88,1,-0.94,-0.19,-0.02
90,1,-0.94,-0.19,-0.02
92,1,-0.94,-0.19,-0.02
93,1,-0.94,-0.19,-0.02
95,1,-0.94,-0.19,-0.02
97,1,-0.95,-0.2,-0.01
98,1,-0.95,-0.2,-0.01
100,1,-0.95,-0.2,-0.01
102,1,-0.95,-0.2,-0.01
103,1,-0.95,-0.2,-0.01
105,1,-0.95,-0.2,-0.01
107,1,-0.97,-0.2,-0.02
108,1,-0.97,-0.2,-0.02
110,1,-0.97,-0.2,-0.02
112,1,-0.97,-0.2,-0.02
113,1,-0.97,-0.2,-0.02
115,1,-0.97,-0.2,-0.02
117,1,-0.96,-0.2,-0.02
118,1,-0.96,-0.2,-0.02
120,1,-0.96,-0.2,-0.02
122,1,-0.96,-0.2,-0.02
123,1,-0.96,-0.2,-0.02
125,1,-0.96,-0.2,-0.02
127,1,-0.95,-0.2,-0.02
128,1,-0.95,-0.2,-0.02
130,1,-0.95,-0.2,-0.02
132,1,-0.95,-0.2,-0.02
133,1,-0.95,-0.2,-0.02
135,1,-0.95,-0.2,-0.02
137,1,-0.94,-0.2,-0.02
138,1,-0.94,-0.2,-0.02
140,1,-0.94,-0.2,-0.02
142,1,-0.94,-0.2,-0.02
143,1,-0.94,-0.2,-0.02
145,1,-0.94,-0.2,-0.01
147,1,-0.94,-0.2,-0.01
148,1,-0.94,-0.2,-0.01
150,1,-0.94,-0.2,-0.01
152,1,-0.94,-0.2,-0.01
153,1,-0.94,-0.2,-0.01
155,1,-0.95,-0.19,-0.02
157,1,-0.95,-0.19,-0.02
