t,l,x,y,z
0,1,-0.92,0.48,0.61
2,1,-0.92,0.48,0.61
3,1,-0.92,0.48,0.61
5,1,-0.92,0.48,0.61
7,1,-0.92,0.48,0.61
8,1,-0.93,0.5,0.62
10,1,-0.93,0.5,0.62
12,1,-0.93,0.5,0.62
13,1,-0.93,0.5,0.62
15,1,-0.93,0.5,0.62
17,1,-0.93,0.5,0.62
18,1,-0.87,0.52,0.52
20,1,-0.87,0.52,0.52
22,1,-0.87,0.52,0.52
23,1,-0.87,0.52,0.52
25,1,-0.87,0.52,0.52
27,1,-0.87,0.52,0.52
28,1,-0.88,0.5,0.47
30,1,-0.88,0.5,0.47
32,1,-0.88,0.5,0.47
33,1,-0.88,0.5,0.47
35,1,-0.88,0.5,0.47
37,1,-0.88,0.5,0.47
38,1,-0.85,0.44,0.44
40,1,-0.85,0.44,0.44
42,1,-0.85,0.44,0.44
43,1,-0.85,0.44,0.44
45,1,-0.85,0.44,0.44
47,1,-0.85,0.44,0.44
48,1,-0.82,0.38,0.38
50,1,-0.82,0.38,0.38
52,1,-0.82,0.38,0.38
53,1,-0.82,0.38,0.38
55,1,-0.82,0.38,0.38
57,1,-0.82,0.34,0.37
58,1,-0.78,0.34,0.37
60,1,-0.78,0.34,0.37
62,1,-0.78,0.34,0.37
63,1,-0.78,0.34,0.37
65,1,-0.78,0.34,0.37
66,1,-0.79,0.33,0.38
68,1,-0.79,0.33,0.38
70,1,-0.79,0.33,0.38
71,1,-0.79,0.33,0.38
73,1,-0.79,0.33,0.38
75,1,-0.79,0.33,0.38
76,1,-0.81,0.34,0.4
78,1,-0.81,0.34,0.4
80,1,-0.81,0.34,0.4
81,1,-0.81,0.34,0.4
83,1,-0.81,0.34,0.4
85,1,-0.81,0.34,0.4
86,1,-0.81,0.39,0.37
88,1,-0.81,0.39,0.37
90,1,-0.81,0.39,0.37
91,1,-0.81,0.39,0.37
93,1,-0.81,0.39,0.37
95,1,-0.81,0.39,0.37
96,1,-0.82,0.39,0.37
98,1,-0.82,0.39,0.37
100,1,-0.82,0.39,0.37
102,1,-0.82,0.39,0.37
103,1,-0.82,0.39,0.37
105,1,-0.82,0.39,0.37
107,1,-0.87,0.44,0.37
108,1,-0.87,0.44,0.37
110,1,-0.87,0.44,0.37
112,1,-0.87,0.44,0.37
113,1,-0.87,0.44,0.37
115,1,-0.87,0.44,0.37
117,1,-0.85,0.38,0.36
118,1,-0.85,0.38,0.36
120,1,-0.85,0.38,0.36
122,1,-0.85,0.38,0.36
123,1,-0.85,0.38,0.36
125,1,-0.85,0.26,0.35
127,1,-0.82,0.35,0.35
128,1,-0.82,0.35,0.35
130,1,-0.82,0.35,0.35
132,1,-0.82,0.35,0.35
133,1,-0.82,0.35,0.35
135,1,-0.79,0.34,0.32
137,1,-0.79,0.34,0.32
138,1,-0.79,0.34,0.32
140,1,-0.79,0.34,0.32
142,1,-0.79,0.34,0.32
143,1,-0.79,0.34,0.32
145,1,-0.88,0.26,0.32
147,1,-0.88,0.26,0.32
148,1,-0.88,0.26,0.32
150,1,-0.88,0.26,0.32
152,1,-0.88,0.26,0.32
153,1,-0.88,0.26,0.32
155,1,-0.84,0.37,0.26
157,1,-0.84,0.37,0.26
158,1,-0.84,0.37,0.26
160,1,-0.84,0.37,0.26
162,1,-0.84,0.37,0.26
163,1,-0.84,0.37,0.26
165,1,-0.68,0.4,0.58
167,1,-0.68,0.4,0.58
168,1,-0.68,0.4,0.58
170,1,-0.68,0.4,0.58
172,1,-0.68,0.4,0.58
173,1,-0.68,0.4,0.58
175,1,-0.69,0.48,0.57
177,1,-0.69,0.48,0.57
178,1,-0.69,0.48,0.57
180,1,-0.69,0.48,0.57
182,1,-0.69,0.48,0.57
183,1,-0.69,0.48,0.43
185,1,-0.75,0.45,0.43
187,1,-0.75,0.45,0.43
188,1,-0.75,0.45,0.43
190,1,-0.75,0.45,0.43
192,1,-0.75,0.45,0.43
193,1,-0.78,0.39,0.52
195,1,-0.78,0.39,0.52
197,1,-0.78,0.39,0.52
198,1,-0.78,0.39,0.52
200,1,-0.78,0.39,0.52
202,1,-0.78,0.39,0.52
203,1,-0.78,0.3,0.47
205,1,-0.78,0.3,0.47
207,1,-0.78,0.3,0.47
208,1,-0.78,0.3,0.47
210,1,-0.78,0.3,0.47
212,1,-0.78,0.3,0.47
214,1,-0.75,0.23,0.46
215,1,-0.75,0.23,0.46
217,1,-0.75,0.23,0.46
219,1,-0.75,0.23,0.46
220,1,-0.75,0.23,0.46
222,1,-0.75,0.23,0.46
224,1,-0.82,0.19,0.4
225,1,-0.82,0.19,0.4
227,1,-0.82,0.19,0.4
229,1,-0.82,0.19,0.4
230,1,-0.82,0.19,0.4
232,1,-0.82,0.19,0.4
234,1,-0.82,0.36,0.42
235,1,-0.82,0.36,0.42
237,1,-0.82,0.36,0.42
239,1,-0.82,0.36,0.42
240,1,-0.82,0.36,0.42
242,1,-0.82,0.36,0.42
244,1,-0.79,0.29,0.39
245,1,-0.79,0.29,0.39
247,1,-0.79,0.29,0.39
249,1,-0.79,0.29,0.39
250,1,-0.79,0.29,0.39
252,1,-0.79,0.33,0.35
254,1,-0.76,0.33,0.35
255,1,-0.76,0.33,0.35
257,1,-0.76,0.33,0.35
259,1,-0.76,0.33,0.35
260,1,-0.76,0.33,0.35
262,1,-0.71,0.35,0.42
264,1,-0.71,0.35,0.42
265,1,-0.71,0.35,0.42
267,1,-0.71,0.35,0.42
269,1,-0.71,0.35,0.42
270,1,-0.71,0.35,0.42
272,1,-0.81,0.3,0.38
274,1,-0.81,0.3,0.38
275,1,-0.81,0.3,0.38
277,1,-0.81,0.3,0.38
279,1,-0.81,0.3,0.38
280,1,-0.81,0.3,0.38
282,1,-0.79,0.31,0.33
284,1,-0.79,0.31,0.33
285,1,-0.79,0.31,0.33
287,1,-0.79,0.31,0.33
289,1,-0.79,0.31,0.33
290,1,-0.79,0.31,0.33
292,1,-0.78,0.11,0.33
294,1,-0.78,0.11,0.33
295,1,-0.78,0.11,0.33
297,1,-0.78,0.11,0.33
299,1,-0.78,0.11,0.33
300,1,-0.78,0.11,0.33
302,1,-0.85,0.33,0.47
304,1,-0.85,0.33,0.47
305,1,-0.85,0.33,0.47
307,1,-0.85,0.33,0.47
309,1,-0.85,0.33,0.47
310,1,-0.85,0.33,0.47
312,1,-0.86,0.39,0.65
313,1,-0.86,0.39,0.65
315,1,-0.86,0.39,0.65
317,1,-0.86,0.39,0.65
318,1,-0.86,0.39,0.65
320,1,-0.86,0.39,0.65
322,1,-0.87,0.26,0.27
323,1,-0.87,0.26,0.27
325,1,-0.87,0.26,0.27
327,1,-0.87,0.26,0.27
328,1,-0.87,0.26,0.27
330,1,-0.87,0.26,0.38
332,1,-0.87,0.3,0.38
333,1,-0.87,0.3,0.38
335,1,-0.87,0.3,0.38
337,1,-0.87,0.3,0.38
338,1,-0.87,0.3,0.38
340,1,-0.87,0.27,0.29
342,1,-0.83,0.27,0.29
343,1,-0.83,0.27,0.29
345,1,-0.83,0.27,0.29
347,1,-0.83,0.27,0.29
348,1,-0.83,0.27,0.29
350,1,-0.83,0.29,0.34
352,1,-0.83,0.29,0.34
353,1,-0.83,0.29,0.34
355,1,-0.83,0.29,0.34
357,1,-0.83,0.29,0.34
358,1,-0.83,0.29,0.34
360,1,-0.88,0.34,0.33
362,1,-0.88,0.34,0.33
363,1,-0.88,0.34,0.33
365,1,-0.88,0.34,0.33
367,1,-0.88,0.34,0.33
368,1,-0.88,0.34,0.33
370,1,-0.86,0.36,0.37
372,1,-0.86,0.36,0.37
373,1,-0.86,0.36,0.37
375,1,-0.86,0.36,0.37
377,1,-0.86,0.36,0.37
378,1,-0.86,0.36,0.37
380,1,-0.93,0.35,0.48
382,1,-0.93,0.35,0.48
383,1,-0.93,0.35,0.48
385,1,-0.93,0.35,0.48
387,1,-0.93,0.35,0.48
388,1,-0.93,0.35,0.48
390,1,-0.92,0.28,0.45
392,1,-0.92,0.28,0.45
393,1,-0.92,0.28,0.45
395,1,-0.92,0.28,0.45
397,1,-0.92,0.28,0.45
398,1,-0.92,0.28,0.4
400,1,-0.88,0.27,0.4
402,1,-0.88,0.27,0.4
403,1,-0.88,0.27,0.4
405,1,-0.88,0.27,0.4
407,1,-0.88,0.27,0.4
408,1,-0.76,0.26,0.45
410,1,-0.83,0.26,0.45
412,1,-0.83,0.26,0.45
413,1,-0.83,0.26,0.45
415,1,-0.83,0.26,0.45
417,1,-0.83,0.26,0.45
418,1,-0.84,0.3,0.71
420,1,-0.84,0.3,0.71
422,1,-0.84,0.3,0.71
423,1,-0.84,0.3,0.71
425,1,-0.84,0.3,0.71
427,1,-0.84,0.3,0.71
428,1,-0.84,0.36,0.63
430,1,-0.84,0.36,0.63
432,1,-0.84,0.36,0.63
433,1,-0.84,0.36,0.63
435,1,-0.84,0.36,0.63
437,1,-0.84,0.36,0.63
438,1,-0.84,0.39,0.51
440,1,-0.84,0.39,0.51
442,1,-0.84,0.39,0.51
443,1,-0.84,0.39,0.51
445,1,-0.84,0.39,0.51
447,1,-0.84,0.39,0.51
448,1,-0.87,0.37,0.43
450,1,-0.87,0.37,0.43
452,1,-0.87,0.37,0.43
453,1,-0.87,0.37,0.43
455,1,-0.87,0.37,0.43
457,1,-0.87,0.37,0.43
458,1,-0.91,0.3,0.49
460,1,-0.91,0.3,0.49
462,1,-0.91,0.3,0.49
463,1,-0.91,0.3,0.49
465,1,-0.91,0.3,0.49
467,1,-0.91,0.3,0.61
468,1,-0.88,0.24,0.55
470,1,-0.88,0.24,0.55
472,1,-0.88,0.24,0.55
473,1,-0.88,0.24,0.55
475,1,-0.88,0.24,0.55
477,1,-0.88,0.21,0.59
478,1,-0.9,0.21,0.59
480,1,-0.9,0.21,0.59
482,1,-0.9,0.21,0.59
483,1,-0.9,0.21,0.59
485,1,-0.9,0.21,0.59
487,1,-0.94,0.17,0.55
488,1,-0.94,0.17,0.55
490,1,-0.94,0.17,0.55
492,1,-0.94,0.17,0.55
493,1,-0.94,0.17,0.55
495,1,-0.94,0.17,0.55
497,1,-0.93,0.16,0.56
498,1,-0.93,0.16,0.56
500,1,-0.93,0.16,0.56
502,1,-0.93,0.16,0.56
503,1,-0.93,0.16,0.56
505,1,-0.93,0.16,0.56
507,1,-0.89,0.13,0.46
508,1,-0.89,0.13,0.46
510,1,-0.89,0.13,0.46
512,1,-0.89,0.13,0.46
513,1,-0.89,0.13,0.46
515,1,-0.89,0.13,0.46
517,1,-0.86,0.14,0.43
518,1,-0.86,0.14,0.43
520,1,-0.86,0.14,0.43
522,1,-0.86,0.14,0.43
523,1,-0.86,0.14,0.43
525,1,-0.86,0.14,0.43
527,1,-0.85,0.13,0.42
528,1,-0.85,0.13,0.42
530,1,-0.85,0.13,0.42
532,1,-0.85,0.13,0.42
533,1,-0.85,0.13,0.42
535,1,-0.85,0.13,0.42
537,1,-0.83,0.12,0.45
538,1,-0.83,0.12,0.45
540,1,-0.83,0.12,0.45
542,1,-0.83,0.12,0.45
543,1,-0.83,0.12,0.45
545,1,-0.83,0.25,0.49
547,1,-0.82,0.15,0.49
548,1,-0.82,0.15,0.49
550,1,-0.82,0.15,0.49
551,1,-0.82,0.15,0.49
553,1,-0.82,0.15,0.49
555,1,-0.82,0.18,0.49
556,1,-0.86,0.18,0.49
558,1,-0.86,0.18,0.49
560,1,-0.86,0.18,0.49
561,1,-0.86,0.18,0.49
563,1,-0.86,0.18,0.49
565,1,-0.86,0.18,0.49
566,1,-0.86,0.18,0.49
568,1,-0.86,0.18,0.49
570,1,-0.86,0.18,0.49
571,1,-0.86,0.18,0.49
573,1,-0.86,0.18,0.49
575,1,-0.89,0.23,0.43
576,1,-0.89,0.23,0.43
578,1,-0.89,0.23,0.43
580,1,-0.89,0.23,0.43
581,1,-0.89,0.23,0.43
583,1,-0.89,0.23,0.43
585,1,-0.76,0.25,0.45
586,1,-0.76,0.25,0.45
588,1,-0.76,0.25,0.45
590,1,-0.76,0.25,0.45
591,1,-0.76,0.25,0.45
593,1,-0.76,0.25,0.45
595,1,-0.81,0.32,0.33
596,1,-0.81,0.32,0.33
598,1,-0.81,0.32,0.33
600,1,-0.81,0.32,0.33
601,1,-0.81,0.32,0.33
603,1,-0.81,0.32,0.33
605,1,-0.81,0.32,0.3
606,1,-0.81,0.32,0.3
608,1,-0.81,0.32,0.3
610,1,-0.81,0.32,0.3
611,1,-0.81,0.32,0.3
613,1,-0.81,0.32,0.3
615,1,-0.89,0.32,0.29
616,1,-0.89,0.32,0.29
618,1,-0.89,0.32,0.29
620,1,-0.89,0.32,0.29
621,1,-0.89,0.32,0.29
623,1,-0.89,0.32,0.29
625,1,-0.82,0.35,0.31
626,1,-0.82,0.35,0.31
628,1,-0.82,0.35,0.31
630,1,-0.82,0.35,0.31
631,1,-0.82,0.35,0.31
633,1,-0.82,0.34,0.36
635,1,-0.86,0.34,0.36
636,1,-0.86,0.34,0.36
638,1,-0.86,0.34,0.36
640,1,-0.86,0.34,0.36
641,1,-0.86,0.34,0.36
643,1,-0.9,0.35,0.39
645,1,-0.9,0.35,0.39
646,1,-0.9,0.35,0.39
648,1,-0.9,0.35,0.39
650,1,-0.9,0.35,0.39
651,1,-0.9,0.35,0.39
653,1,-0.91,0.37,0.37
655,1,-0.91,0.37,0.37
656,1,-0.91,0.37,0.37
658,1,-0.91,0.37,0.37
660,1,-0.91,0.37,0.37
661,1,-0.91,0.37,0.37
663,1,-0.92,0.37,0.35
665,1,-0.92,0.37,0.35
666,1,-0.92,0.37,0.35
668,1,-0.92,0.37,0.35
670,1,-0.92,0.37,0.35
671,1,-0.92,0.37,0.35
673,1,-0.95,0.36,0.29
675,1,-0.95,0.36,0.29
676,1,-0.95,0.36,0.29
678,1,-0.95,0.36,0.29
680,1,-0.95,0.36,0.29
681,1,-0.95,0.36,0.29
683,1,-0.87,0.42,0.29
685,1,-0.87,0.42,0.29
686,1,-0.87,0.42,0.29
688,1,-0.87,0.42,0.29
690,1,-0.87,0.42,0.29
691,1,-0.87,0.3,0.29
693,1,-0.83,0.3,0.29
695,1,-0.83,0.3,0.29
696,1,-0.83,0.3,0.29
