t,l,x,y,z
0,1,-0.97,-0.17,0.09
2,1,-0.97,-0.17,0.09
4,1,-0.97,-0.18,0.08
5,1,-0.97,-0.18,0.08
7,1,-0.97,-0.18,0.08
9,1,-0.97,-0.18,0.08
10,1,-0.97,-0.18,0.08
12,1,-0.97,-0.18,0.09
14,1,-0.97,-0.18,0.09
15,1,-0.97,-0.18,0.09
17,1,-0.97,-0.18,0.09
19,1,-0.97,-0.18,0.09
20,1,-0.97,-0.18,0.09
22,1,-0.97,-0.17,0.09
24,1,-0.96,-0.17,0.09
25,1,-0.96,-0.17,0.09
27,1,-0.96,-0.17,0.09
29,1,-0.96,-0.17,0.09
30,1,-0.96,-0.17,0.09
32,1,-0.95,-0.15,0.09
34,1,-0.95,-0.15,0.09
35,1,-0.95,-0.15,0.09
37,1,-0.95,-0.15,0.09
39,1,-0.95,-0.15,0.09
40,1,-0.95,-0.15,0.09
42,1,-0.94,-0.14,0.09
44,1,-0.94,-0.14,0.09
45,1,-0.94,-0.14,0.09
47,1,-0.94,-0.14,0.09
49,1,-0.94,-0.14,0.09
50,1,-0.94,-0.14,0.09
52,1,-0.94,-0.13,0.08
54,1,-0.94,-0.13,0.08
55,1,-0.94,-0.13,0.08
57,1,-0.94,-0.13,0.08
59,1,-0.94,-0.13,0.08
60,1,-0.94,-0.13,0.08
62,1,-0.95,-0.14,0.08
64,1,-0.95,-0.14,0.08
65,1,-0.95,-0.14,0.08
67,1,-0.95,-0.14,0.08
69,1,-0.95,-0.14,0.08
70,1,-0.95,-0.14,0.08
72,1,-0.95,-0.15,0.08
74,1,-0.95,-0.15,0.08
75,1,-0.95,-0.15,0.08
77,1,-0.95,-0.15,0.08
79,1,-0.95,-0.15,0.08
80,1,-0.95,-0.15,0.08
82,1,-0.96,-0.17,0.08
84,1,-0.96,-0.17,0.08
85,1,-0.96,-0.17,0.08
87,1,-0.96,-0.17,0.08
89,1,-0.96,-0.17,0.08
90,1,-0.96,-0.18,0.08
92,1,-0.97,-0.18,0.08
94,1,-0.97,-0.18,0.08
95,1,-0.97,-0.18,0.08
97,1,-0.97,-0.18,0.08
99,1,-0.97,-0.18,0.08
100,1,-0.97,-0.19,0.08
102,1,-0.97,-0.19,0.08
104,1,-0.97,-0.19,0.08
105,1,-0.97,-0.19,0.08
107,1,-0.97,-0.19,0.08
109,1,-0.97,-0.19,0.08
110,1,-0.97,-0.18,0.09
112,1,-0.97,-0.18,0.09
113,1,-0.97,-0.18,0.09
115,1,-0.97,-0.18,0.09
117,1,-0.97,-0.18,0.09
118,1,-0.97,-0.18,0.09
120,1,-0.96,-0.18,0.1
122,1,-0.96,-0.18,0.1
123,1,-0.96,-0.18,0.1
125,1,-0.96,-0.18,0.1
127,1,-0.96,-0.18,0.1
128,1,-0.96,-0.18,0.1
130,1,-0.96,-0.17,0.1
132,1,-0.96,-0.17,0.1
133,1,-0.96,-0.17,0.1
135,1,-0.96,-0.17,0.1
137,1,-0.96,-0.17,0.1
138,1,-0.96,-0.17,0.1
140,1,-0.96,-0.17,0.11
142,1,-0.96,-0.17,0.11
143,1,-0.96,-0.17,0.11
145,1,-0.96,-0.17,0.11
147,1,-0.96,-0.17,0.11
148,1,-0.96,-0.17,0.11
