t,l,x,y,z
0,1,-0.95,0.04,0.31
2,1,-0.95,0.04,0.31
3,1,-0.95,0.06,0.27
5,1,-0.95,0.06,0.27
7,1,-0.95,0.06,0.27
8,1,-0.95,0.06,0.27
10,1,-0.95,0.06,0.27
12,1,-0.95,0.06,0.27
13,1,-0.96,0.06,0.17
15,1,-0.96,0.06,0.17
17,1,-0.96,0.06,0.17
18,1,-0.96,0.06,0.17
20,1,-0.96,0.06,0.17
22,1,-0.96,0.06,0.05
24,1,-0.97,0.08,0.08
25,1,-0.97,0.08,0.08
27,1,-0.97,0.08,0.08
28,1,-0.97,0.08,0.08
30,1,-0.97,0.08,0.08
32,1,-0.97,0.08,0.02
33,1,-0.97,0.09,0.02
35,1,-0.97,0.09,0.02
37,1,-0.97,0.09,0.02
38,1,-0.97,0.09,0.02
40,1,-0.97,0.09,0.02
42,1,-0.97,0.09,-0.05
43,1,-0.98,0.09,-0.05
45,1,-0.98,0.09,-0.05
47,1,-0.98,0.09,-0.05
48,1,-0.98,0.09,-0.05
50,1,-0.98,0.09,-0.05
52,1,-0.99,0.1,-0.11
53,1,-0.99,0.1,-0.11
55,1,-0.99,0.1,-0.11
57,1,-0.99,0.1,-0.11
58,1,-0.99,0.1,-0.11
60,1,-0.99,0.1,-0.11
62,1,-1.0,0.12,-0.19
63,1,-1.0,0.12,-0.19
65,1,-1.0,0.12,-0.19
67,1,-1.0,0.12,-0.19
68,1,-1.0,0.12,-0.19
70,1,-1.0,0.12,-0.19
72,1,-1.0,0.12,-0.26
73,1,-1.0,0.12,-0.26
75,1,-1.0,0.12,-0.26
77,1,-1.0,0.12,-0.26
78,1,-1.0,0.12,-0.26
80,1,-1.0,0.12,-0.26
82,1,-1.0,0.13,-0.26
83,1,-1.0,0.13,-0.26
85,1,-1.0,0.13,-0.26
87,1,-1.0,0.13,-0.26
88,1,-1.0,0.13,-0.26
90,1,-1.0,0.13,-0.26
92,1,-1.0,0.11,-0.22
93,1,-1.0,0.11,-0.22
95,1,-1.0,0.11,-0.22
97,1,-1.0,0.11,-0.22
98,1,-1.0,0.11,-0.22
100,1,-1.0,0.11,-0.22
102,1,-0.99,0.09,-0.14
103,1,-0.99,0.09,-0.14
105,1,-0.99,0.09,-0.14
107,1,-0.99,0.09,-0.14
108,1,-0.99,0.09,-0.14
110,1,-0.99,0.09,-0.01
112,1,-0.98,0.07,-0.01
113,1,-0.98,0.07,-0.01
115,1,-0.98,0.07,-0.01
117,1,-0.98,0.07,-0.01
118,1,-0.98,0.07,-0.01
120,1,-0.97,0.05,0.09
122,1,-0.97,0.05,0.09
123,1,-0.97,0.05,0.09
125,1,-0.97,0.05,0.09
126,1,-0.97,0.05,0.09
128,1,-0.97,0.05,0.09
130,1,-0.96,0.04,0.18
132,1,-0.96,0.04,0.18
133,1,-0.96,0.04,0.18
135,1,-0.96,0.04,0.18
137,1,-0.96,0.04,0.18
138,1,-0.96,0.04,0.18
140,1,-0.96,0.04,0.22
142,1,-0.96,0.04,0.22
143,1,-0.96,0.04,0.22
145,1,-0.96,0.04,0.22
147,1,-0.96,0.04,0.22
148,1,-0.96,0.04,0.22
150,1,-0.95,0.05,0.24
152,1,-0.95,0.05,0.24
153,1,-0.95,0.05,0.24
155,1,-0.95,0.05,0.24
157,1,-0.95,0.05,0.24
158,1,-0.95,0.05,0.24
160,1,-0.96,0.04,0.2
162,1,-0.96,0.04,0.2
163,1,-0.96,0.04,0.2
165,1,-0.96,0.04,0.2
167,1,-0.96,0.04,0.2
168,1,-0.96,0.04,0.2
170,1,-0.96,0.06,0.13
172,1,-0.96,0.06,0.13
173,1,-0.96,0.06,0.13
175,1,-0.96,0.06,0.13
177,1,-0.96,0.06,0.13
178,1,-0.96,0.06,0.06
180,1,-0.97,0.07,0.06
182,1,-0.97,0.07,0.06
183,1,-0.97,0.07,0.06
185,1,-0.97,0.07,0.06
187,1,-0.97,0.07,0.06
188,1,-0.97,0.09,-0.03
190,1,-0.98,0.09,-0.03
191,1,-0.98,0.09,-0.03
193,1,-0.98,0.09,-0.03
195,1,-0.98,0.09,-0.03
196,1,-0.98,0.09,-0.03
198,1,-0.98,0.1,-0.12
200,1,-0.99,0.1,-0.12
201,1,-0.99,0.1,-0.12
203,1,-0.99,0.1,-0.12
205,1,-0.99,0.1,-0.12
206,1,-0.99,0.1,-0.12
208,1,-1.0,0.11,-0.19
210,1,-1.0,0.11,-0.19
211,1,-1.0,0.11,-0.19
213,1,-1.0,0.11,-0.19
215,1,-1.0,0.11,-0.19
216,1,-1.0,0.11,-0.19
218,1,-1.0,0.1,-0.23
220,1,-1.0,0.1,-0.23
221,1,-1.0,0.1,-0.23
223,1,-1.0,0.1,-0.23
225,1,-1.0,0.1,-0.23
226,1,-1.0,0.1,-0.23
228,1,-1.0,0.1,-0.21
230,1,-1.0,0.1,-0.21
231,1,-1.0,0.1,-0.21
233,1,-1.0,0.1,-0.21
235,1,-1.0,0.1,-0.21
236,1,-1.0,0.1,-0.21
238,1,-1.0,0.08,-0.14
240,1,-1.0,0.08,-0.14
241,1,-1.0,0.08,-0.14
243,1,-1.0,0.08,-0.14
245,1,-1.0,0.08,-0.14
246,1,-1.0,0.08,-0.14
248,1,-0.99,0.07,-0.05
250,1,-0.99,0.07,-0.05
251,1,-0.99,0.07,-0.05
253,1,-0.99,0.07,-0.05
255,1,-0.99,0.07,-0.05
256,1,-0.99,0.07,0.08
258,1,-0.98,0.06,0.03
260,1,-0.98,0.06,0.03
261,1,-0.98,0.06,0.03
263,1,-0.98,0.06,0.03
265,1,-0.98,0.06,0.03
266,1,-0.98,0.06,0.1
268,1,-0.98,0.04,0.1
270,1,-0.98,0.04,0.1
271,1,-0.98,0.04,0.1
273,1,-0.98,0.04,0.1
274,1,-0.98,0.04,0.1
276,1,-0.98,0.04,0.15
278,1,-0.98,0.04,0.15
280,1,-0.98,0.04,0.15
281,1,-0.98,0.04,0.15
283,1,-0.98,0.04,0.15
285,1,-0.98,0.04,0.15
286,1,-0.97,0.05,0.18
288,1,-0.97,0.05,0.18
290,1,-0.97,0.05,0.18
291,1,-0.97,0.05,0.18
293,1,-0.97,0.05,0.18
295,1,-0.97,0.05,0.18
296,1,-0.95,0.04,0.16
298,1,-0.95,0.04,0.16
300,1,-0.95,0.04,0.16
301,1,-0.95,0.04,0.16
303,1,-0.95,0.04,0.16
305,1,-0.95,0.04,0.16
306,1,-0.96,0.07,0.12
308,1,-0.96,0.07,0.12
310,1,-0.96,0.07,0.12
311,1,-0.96,0.07,0.12
313,1,-0.96,0.07,0.12
315,1,-0.96,0.07,0.12
316,1,-0.97,0.08,0.04
318,1,-0.97,0.08,0.04
320,1,-0.97,0.08,0.04
321,1,-0.97,0.08,0.04
323,1,-0.97,0.08,0.04
325,1,-0.97,0.08,0.04
326,1,-0.98,0.11,-0.03
328,1,-0.98,0.11,-0.03
330,1,-0.98,0.11,-0.03
331,1,-0.98,0.11,-0.03
333,1,-0.98,0.11,-0.03
334,1,-0.98,0.11,-0.11
336,1,-0.99,0.12,-0.11
338,1,-0.99,0.12,-0.11
340,1,-0.99,0.12,-0.11
341,1,-0.99,0.12,-0.11
343,1,-0.99,0.12,-0.11
345,1,-1.0,0.12,-0.16
346,1,-1.0,0.12,-0.16
348,1,-1.0,0.12,-0.16
350,1,-1.0,0.12,-0.16
351,1,-1.0,0.12,-0.16
353,1,-1.0,0.12,-0.16
355,1,-0.99,0.13,-0.15
356,1,-0.99,0.13,-0.15
358,1,-0.99,0.13,-0.15
360,1,-0.99,0.13,-0.15
361,1,-0.99,0.13,-0.15
363,1,-0.99,0.13,-0.15
365,1,-0.99,0.12,-0.11
367,1,-0.99,0.12,-0.11
368,1,-0.99,0.12,-0.11
370,1,-0.99,0.12,-0.11
372,1,-0.99,0.12,-0.11
373,1,-0.99,0.12,-0.11
375,1,-0.99,0.11,-0.05
377,1,-0.99,0.11,-0.05
378,1,-0.99,0.11,-0.05
380,1,-0.99,0.11,-0.05
382,1,-0.99,0.11,-0.05
383,1,-0.99,0.11,-0.05
385,1,-1.0,0.12,-0.01
387,1,-1.0,0.12,-0.01
388,1,-1.0,0.12,-0.01
