t,l,x,y,z
0,1,-0.97,-0.15,0.06
2,1,-0.97,-0.15,0.06
4,1,-0.97,-0.15,0.06
5,1,-0.97,-0.15,0.06
7,1,-0.97,-0.14,0.06
8,1,-0.97,-0.14,0.06
10,1,-0.97,-0.14,0.06
12,1,-0.97,-0.14,0.06
14,1,-0.97,-0.14,0.06
15,1,-0.97,-0.14,0.05
17,1,-0.97,-0.13,0.05
19,1,-0.97,-0.13,0.05
20,1,-0.97,-0.13,0.05
22,1,-0.97,-0.13,0.05
24,1,-0.97,-0.13,0.05
25,1,-0.96,-0.13,0.04
27,1,-0.96,-0.13,0.04
29,1,-0.96,-0.13,0.04
30,1,-0.96,-0.13,0.04
32,1,-0.96,-0.13,0.04
34,1,-0.96,-0.13,0.04
35,1,-0.96,-0.13,0.02
37,1,-0.96,-0.13,0.02
39,1,-0.96,-0.13,0.02
40,1,-0.96,-0.13,0.02
42,1,-0.96,-0.13,0.02
44,1,-0.96,-0.13,0.02
45,1,-0.97,-0.14,0.0
47,1,-0.97,-0.14,0.0
49,1,-0.97,-0.14,0.0
50,1,-0.97,-0.14,0.0
52,1,-0.97,-0.14,0.0
54,1,-0.97,-0.14,0.0
55,1,-0.97,-0.14,-0.01
57,1,-0.97,-0.14,-0.01
59,1,-0.97,-0.14,-0.01
60,1,-0.97,-0.14,-0.01
62,1,-0.97,-0.14,-0.01
64,1,-0.97,-0.14,-0.01
65,1,-0.97,-0.14,-0.02
67,1,-0.97,-0.14,-0.02
69,1,-0.97,-0.14,-0.02
70,1,-0.97,-0.14,-0.02
72,1,-0.97,-0.14,-0.02
74,1,-0.97,-0.14,-0.02
75,1,-0.96,-0.14,-0.02
77,1,-0.96,-0.14,-0.02
79,1,-0.96,-0.14,-0.02
80,1,-0.96,-0.14,-0.02
82,1,-0.96,-0.14,-0.02
84,1,-0.96,-0.14,-0.02
85,1,-0.97,-0.14,-0.02
87,1,-0.97,-0.14,-0.02
89,1,-0.97,-0.14,-0.02
90,1,-0.97,-0.14,-0.02
92,1,-0.97,-0.14,-0.02
93,1,-0.97,-0.14,-0.01
95,1,-0.97,-0.14,-0.01
97,1,-0.97,-0.14,-0.01
99,1,-0.97,-0.14,-0.01
100,1,-0.97,-0.14,-0.01
102,1,-0.97,-0.14,-0.01
104,1,-0.97,-0.14,0.01
105,1,-0.97,-0.14,0.01
107,1,-0.97,-0.14,0.01
109,1,-0.97,-0.14,0.01
110,1,-0.97,-0.14,0.01
112,1,-0.97,-0.14,0.01
114,1,-0.97,-0.14,0.03
115,1,-0.97,-0.14,0.03
117,1,-0.97,-0.14,0.03
119,1,-0.97,-0.14,0.03
120,1,-0.97,-0.14,0.03
122,1,-0.97,-0.14,0.03
124,1,-0.97,-0.14,0.05
125,1,-0.97,-0.14,0.05
127,1,-0.97,-0.14,0.05
129,1,-0.97,-0.14,0.05
130,1,-0.97,-0.14,0.05
132,1,-0.97,-0.14,0.05
133,1,-0.97,-0.14,0.04
135,1,-0.97,-0.14,0.04
137,1,-0.97,-0.14,0.04
138,1,-0.97,-0.14,0.04
140,1,-0.97,-0.14,0.04
142,1,-0.97,-0.14,0.04
144,1,-0.96,-0.14,0.04
145,1,-0.96,-0.14,0.04
147,1,-0.96,-0.14,0.04
149,1,-0.96,-0.14,0.04
150,1,-0.96,-0.14,0.04
152,1,-0.96,-0.14,0.03
154,1,-0.97,-0.14,0.03
155,1,-0.97,-0.14,0.03
157,1,-0.97,-0.14,0.03
159,1,-0.97,-0.14,0.03
160,1,-0.97,-0.14,0.03
162,1,-0.97,-0.14,0.02
164,1,-0.96,-0.14,0.02
165,1,-0.96,-0.14,0.02
167,1,-0.96,-0.14,0.02
169,1,-0.96,-0.14,0.02
170,1,-0.96,-0.14,0.02
172,1,-0.96,-0.14,0.01
174,1,-0.96,-0.14,0.01
175,1,-0.96,-0.14,0.01
177,1,-0.96,-0.14,0.01
179,1,-0.96,-0.14,0.01
180,1,-0.96,-0.14,0.01
182,1,-0.97,-0.14,0.01
184,1,-0.97,-0.14,0.01
185,1,-0.97,-0.14,0.01
187,1,-0.97,-0.14,0.01
189,1,-0.97,-0.14,0.01
190,1,-0.97,-0.14,0.01
192,1,-0.97,-0.13,0.01
194,1,-0.97,-0.13,0.01
195,1,-0.97,-0.13,0.01
197,1,-0.97,-0.13,0.01
199,1,-0.97,-0.13,0.01
200,1,-0.97,-0.13,0.01
202,1,-0.96,-0.14,0.02
204,1,-0.96,-0.14,0.02
205,1,-0.96,-0.14,0.02
207,1,-0.96,-0.14,0.02
209,1,-0.96,-0.14,0.02
210,1,-0.96,-0.14,0.02
212,1,-0.97,-0.13,0.02
214,1,-0.97,-0.13,0.02
215,1,-0.97,-0.13,0.02
217,1,-0.97,-0.13,0.02
219,1,-0.97,-0.13,0.02
220,1,-0.97,-0.13,0.02
222,1,-0.97,-0.13,0.02
224,1,-0.97,-0.13,0.02
225,1,-0.97,-0.13,0.02
227,1,-0.97,-0.13,0.02
229,1,-0.97,-0.13,0.02
230,1,-0.97,-0.13,0.01
232,1,-0.96,-0.13,0.01
234,1,-0.96,-0.13,0.01
235,1,-0.96,-0.13,0.01
237,1,-0.96,-0.13,0.01
238,1,-0.96,-0.13,0.01
240,1,-0.96,-0.12,0.01
242,1,-0.96,-0.12,0.01
243,1,-0.96,-0.12,0.01
245,1,-0.96,-0.12,0.01
247,1,-0.96,-0.12,0.01
248,1,-0.96,-0.12,0.01
250,1,-0.96,-0.13,0.0
252,1,-0.96,-0.13,0.0
253,1,-0.96,-0.13,0.0
255,1,-0.96,-0.13,0.0
257,1,-0.96,-0.13,0.0
258,1,-0.96,-0.13,0.0
260,1,-0.96,-0.13,0.01
262,1,-0.96,-0.13,0.01
263,1,-0.96,-0.13,0.01
265,1,-0.96,-0.13,0.01
267,1,-0.96,-0.13,0.01
268,1,-0.96,-0.13,0.01
270,1,-0.97,-0.15,0.01
272,1,-0.97,-0.15,0.01
273,1,-0.97,-0.15,0.01
275,1,-0.97,-0.15,0.01
277,1,-0.97,-0.15,0.01
278,1,-0.97,-0.15,0.01
280,1,-0.97,-0.16,-0.0
