t,l,x,y,z
0,1,-0.98,0.04,-0.09
2,1,-0.98,0.04,-0.09
3,1,-0.98,0.04,-0.09
5,1,-0.98,0.04,-0.09
7,1,-0.98,0.04,-0.09
8,1,-0.99,0.03,-0.07
10,1,-0.99,0.03,-0.07
12,1,-0.99,0.03,-0.07
13,1,-0.99,0.03,-0.07
15,1,-0.99,0.03,-0.07
17,1,-0.99,0.03,-0.07
18,1,-0.99,0.02,-0.05
20,1,-0.99,0.02,-0.05
22,1,-0.99,0.02,-0.05
23,1,-0.99,0.02,-0.05
25,1,-0.99,0.02,-0.05
27,1,-0.99,0.02,-0.05
28,1,-0.99,0.01,-0.04
30,1,-0.99,0.01,-0.04
32,1,-0.99,0.01,-0.04
33,1,-0.99,0.01,-0.04
35,1,-0.99,0.01,-0.04
37,1,-0.99,0.01,-0.04
38,1,-1.0,0.01,-0.02
40,1,-1.0,0.01,-0.02
41,1,-1.0,0.01,-0.02
43,1,-1.0,0.01,-0.02
45,1,-1.0,0.01,-0.02
46,1,-1.0,0.01,-0.02
48,1,-0.99,0.01,-0.04
50,1,-0.99,0.01,-0.04
51,1,-0.99,0.01,-0.04
53,1,-0.99,0.01,-0.04
55,1,-0.99,0.01,-0.04
56,1,-0.99,0.01,-0.04
58,1,-0.99,0.02,-0.04
60,1,-0.99,0.02,-0.04
61,1,-0.99,0.02,-0.04
63,1,-0.99,0.02,-0.04
65,1,-0.99,0.02,-0.04
66,1,-0.99,0.02,-0.04
68,1,-0.98,0.04,-0.05
69,1,-0.98,0.04,-0.05
71,1,-0.98,0.04,-0.05
73,1,-0.98,0.04,-0.05
74,1,-0.98,0.04,-0.05
76,1,-0.98,0.04,-0.05
78,1,-0.97,0.05,-0.07
79,1,-0.97,0.05,-0.07
81,1,-0.97,0.05,-0.07
83,1,-0.97,0.05,-0.07
84,1,-0.97,0.05,-0.07
86,1,-0.97,0.05,-0.07
88,1,-0.97,0.05,-0.09
89,1,-0.97,0.05,-0.09
91,1,-0.97,0.05,-0.09
93,1,-0.97,0.05,-0.09
94,1,-0.97,0.05,-0.09
96,1,-0.97,0.05,-0.09
98,1,-0.97,0.06,-0.09
99,1,-0.97,0.06,-0.09
101,1,-0.97,0.06,-0.09
103,1,-0.97,0.06,-0.09
104,1,-0.97,0.06,-0.09
106,1,-0.97,0.05,-0.11
108,1,-0.97,0.05,-0.11
109,1,-0.97,0.05,-0.11
111,1,-0.97,0.05,-0.11
113,1,-0.97,0.05,-0.11
114,1,-0.97,0.05,-0.11
116,1,-0.97,0.06,-0.1
118,1,-0.97,0.06,-0.1
119,1,-0.97,0.06,-0.1
121,1,-0.97,0.06,-0.1
123,1,-0.97,0.06,-0.1
124,1,-0.97,0.06,-0.1
126,1,-0.98,0.06,-0.09
128,1,-0.98,0.06,-0.09
129,1,-0.98,0.06,-0.09
131,1,-0.98,0.06,-0.09
133,1,-0.98,0.06,-0.09
134,1,-0.98,0.06,-0.09
136,1,-0.99,0.06,-0.07
138,1,-0.99,0.06,-0.07
139,1,-0.99,0.06,-0.07
141,1,-0.99,0.06,-0.07
143,1,-0.99,0.06,-0.07
144,1,-0.99,0.06,-0.07
146,1,-0.99,0.04,-0.05
148,1,-0.99,0.04,-0.05
149,1,-0.99,0.04,-0.05
151,1,-0.99,0.04,-0.05
153,1,-0.99,0.04,-0.05
154,1,-0.99,0.04,-0.05
156,1,-0.99,0.03,-0.04
158,1,-0.99,0.03,-0.04
