t,l,x,y,z
0,1,-0.99,-0.03,0.04
2,1,-0.99,-0.03,0.04
3,1,-0.99,-0.03,0.04
5,1,-0.99,-0.03,0.04
7,1,-0.99,-0.03,0.02
8,1,-1.0,-0.04,0.02
10,1,-1.0,-0.04,0.02
12,1,-1.0,-0.04,0.02
13,1,-1.0,-0.04,0.02
15,1,-1.0,-0.04,0.02
17,1,-0.99,-0.05,0.03
18,1,-0.99,-0.05,0.03
20,1,-0.99,-0.05,0.03
22,1,-0.99,-0.05,0.03
23,1,-0.99,-0.05,0.03
25,1,-0.99,-0.05,0.03
27,1,-0.96,-0.06,0.05
28,1,-0.96,-0.06,0.05
30,1,-0.96,-0.06,0.05
32,1,-0.96,-0.06,0.05
33,1,-0.96,-0.06,0.05
35,1,-0.96,-0.06,0.05
37,1,-0.98,-0.06,0.06
38,1,-0.98,-0.06,0.06
40,1,-0.98,-0.06,0.06
42,1,-0.98,-0.06,0.06
43,1,-0.98,-0.06,0.06
45,1,-0.98,-0.06,0.06
47,1,-1.01,-0.07,0.07
48,1,-1.01,-0.07,0.07
50,1,-1.01,-0.07,0.07
52,1,-1.01,-0.07,0.07
53,1,-1.01,-0.07,0.07
55,1,-1.01,-0.07,0.07
57,1,-1.02,-0.06,0.08
58,1,-1.02,-0.06,0.08
60,1,-1.02,-0.06,0.08
62,1,-1.02,-0.06,0.08
63,1,-1.02,-0.06,0.08
65,1,-1.02,-0.06,0.08
67,1,-0.99,-0.06,0.08
68,1,-0.99,-0.06,0.08
70,1,-0.99,-0.06,0.08
72,1,-0.99,-0.06,0.08
73,1,-0.99,-0.06,0.08
75,1,-0.99,-0.06,0.08
77,1,-0.94,-0.04,0.06
78,1,-0.94,-0.04,0.06
80,1,-0.94,-0.04,0.06
82,1,-0.94,-0.04,0.06
83,1,-0.94,-0.04,0.06
85,1,-0.94,-0.04,0.04
87,1,-0.91,-0.04,0.04
88,1,-0.91,-0.04,0.04
90,1,-0.91,-0.04,0.04
92,1,-0.91,-0.04,0.04
93,1,-0.91,-0.04,0.04
95,1,-0.93,-0.03,0.02
97,1,-0.93,-0.03,0.02
98,1,-0.93,-0.03,0.02
100,1,-0.93,-0.03,0.02
102,1,-0.93,-0.03,0.02
103,1,-0.93,-0.03,0.02
105,1,-0.98,-0.04,0.03
107,1,-0.98,-0.04,0.03
108,1,-0.98,-0.04,0.03
110,1,-0.98,-0.04,0.03
112,1,-0.98,-0.04,0.03
113,1,-0.98,-0.04,0.03
115,1,-1.01,-0.03,0.02
117,1,-1.01,-0.03,0.02
118,1,-1.01,-0.03,0.02
120,1,-1.01,-0.03,0.02
122,1,-1.01,-0.03,0.02
123,1,-1.01,-0.03,0.02
125,1,-1.01,-0.01,0.01
126,1,-1.01,-0.01,0.01
128,1,-1.01,-0.01,0.01
130,1,-1.01,-0.01,0.01
131,1,-1.01,-0.01,0.01
133,1,-1.01,-0.01,0.01
135,1,-0.97,-0.02,0.02
136,1,-0.97,-0.02,0.02
138,1,-0.97,-0.02,0.02
140,1,-0.97,-0.02,0.02
141,1,-0.97,-0.02,0.02
143,1,-0.97,-0.02,0.02
145,1,-0.97,-0.03,0.03
146,1,-0.97,-0.03,0.03
148,1,-0.97,-0.03,0.03
150,1,-0.97,-0.03,0.03
151,1,-0.97,-0.03,0.03
153,1,-0.97,-0.03,0.03
155,1,-0.99,-0.03,0.04
156,1,-0.99,-0.03,0.04
158,1,-0.99,-0.03,0.04
160,1,-0.99,-0.03,0.04
161,1,-0.99,-0.03,0.04
163,1,-0.99,-0.03,0.06
165,1,-1.01,-0.04,0.06
166,1,-1.01,-0.04,0.06
168,1,-1.01,-0.04,0.06
170,1,-1.01,-0.04,0.06
171,1,-1.01,-0.04,0.06
173,1,-0.89,-0.04,0.06
175,1,-1.0,-0.04,0.06
176,1,-1.0,-0.04,0.06
178,1,-1.0,-0.04,0.06
180,1,-1.0,-0.04,0.06
181,1,-1.0,-0.04,0.06
183,1,-0.98,-0.03,0.06
185,1,-0.98,-0.03,0.06
186,1,-0.98,-0.03,0.06
188,1,-0.98,-0.03,0.06
190,1,-0.98,-0.03,0.06
191,1,-0.98,-0.03,0.06
193,1,-0.95,-0.04,0.07
195,1,-0.95,-0.04,0.07
196,1,-0.95,-0.04,0.07
198,1,-0.95,-0.04,0.07
200,1,-0.95,-0.04,0.07
201,1,-0.95,-0.04,0.07
203,1,-0.94,-0.04,0.08
205,1,-0.94,-0.04,0.08
206,1,-0.94,-0.04,0.08
208,1,-0.94,-0.04,0.08
210,1,-0.94,-0.04,0.08
211,1,-0.94,-0.04,0.08
213,1,-0.98,-0.06,0.06
215,1,-0.98,-0.06,0.06
216,1,-0.98,-0.06,0.06
218,1,-0.98,-0.06,0.06
219,1,-0.98,-0.06,0.06
221,1,-0.98,-0.06,0.06
223,1,-1.02,-0.06,0.04
224,1,-1.02,-0.06,0.04
226,1,-1.02,-0.06,0.04
228,1,-1.02,-0.06,0.04
229,1,-1.02,-0.06,0.04
231,1,-1.02,-0.06,0.04
233,1,-1.02,-0.05,0.04
234,1,-1.02,-0.05,0.04
236,1,-1.02,-0.05,0.04
238,1,-1.02,-0.05,0.04
239,1,-1.02,-0.05,0.04
241,1,-1.02,-0.05,0.04
242,1,-0.98,-0.04,0.05
244,1,-0.98,-0.04,0.05
246,1,-0.98,-0.04,0.05
247,1,-0.98,-0.04,0.05
249,1,-0.98,-0.04,0.05
251,1,-0.98,-0.04,0.05
252,1,-0.96,-0.03,0.04
254,1,-0.96,-0.03,0.04
256,1,-0.96,-0.03,0.04
257,1,-0.96,-0.03,0.04
259,1,-0.96,-0.03,0.04
261,1,-0.96,-0.03,0.03
262,1,-0.94,-0.03,0.03
264,1,-0.94,-0.03,0.03
266,1,-0.94,-0.03,0.03
267,1,-0.94,-0.03,0.03
269,1,-0.94,-0.03,0.03
271,1,-0.93,-0.02,0.02
272,1,-0.93,-0.02,0.02
274,1,-0.93,-0.02,0.02
276,1,-0.93,-0.02,0.02
277,1,-0.93,-0.02,0.02
279,1,-0.93,-0.02,0.02
281,1,-0.94,-0.03,0.03
282,1,-0.94,-0.03,0.03
284,1,-0.94,-0.03,0.03
286,1,-0.94,-0.03,0.03
