t,l,x,y,z
0,1,-0.94,0.15,0.2
1,1,-0.95,0.15,0.2
3,1,-0.95,0.15,0.2
5,1,-0.95,0.15,0.2
6,1,-0.95,0.15,0.2
8,1,-0.95,0.15,0.2
10,1,-0.95,0.15,0.2
11,1,-0.96,0.16,0.19
13,1,-0.96,0.16,0.19
15,1,-0.96,0.16,0.19
16,1,-0.96,0.16,0.19
18,1,-0.96,0.16,0.19
20,1,-0.96,0.16,0.19
21,1,-0.96,0.15,0.18
23,1,-0.96,0.15,0.18
25,1,-0.96,0.15,0.18
26,1,-0.96,0.15,0.18
28,1,-0.96,0.15,0.18
30,1,-0.96,0.15,0.18
31,1,-0.96,0.14,0.19
33,1,-0.96,0.14,0.19
35,1,-0.96,0.14,0.19
36,1,-0.96,0.14,0.19
38,1,-0.96,0.14,0.19
40,1,-0.96,0.14,0.19
41,1,-0.96,0.14,0.2
43,1,-0.96,0.14,0.2
45,1,-0.96,0.14,0.2
46,1,-0.96,0.14,0.2
48,1,-0.96,0.14,0.2
50,1,-0.96,0.14,0.2
51,1,-0.95,0.14,0.2
53,1,-0.95,0.14,0.2
55,1,-0.95,0.14,0.2
56,1,-0.95,0.14,0.2
58,1,-0.95,0.14,0.2
60,1,-0.95,0.14,0.19
61,1,-0.95,0.14,0.19
63,1,-0.95,0.14,0.19
65,1,-0.95,0.14,0.19
66,1,-0.95,0.14,0.19
68,1,-0.95,0.14,0.19
70,1,-0.95,0.14,0.2
71,1,-0.95,0.14,0.2
73,1,-0.95,0.14,0.2
75,1,-0.95,0.14,0.2
76,1,-0.95,0.14,0.2
78,1,-0.95,0.14,0.2
80,1,-0.96,0.12,0.2
81,1,-0.96,0.12,0.2
83,1,-0.96,0.12,0.2
85,1,-0.96,0.12,0.2
86,1,-0.96,0.12,0.2
88,1,-0.96,0.12,0.2
90,1,-0.96,0.11,0.22
91,1,-0.96,0.11,0.22
93,1,-0.96,0.11,0.22
95,1,-0.96,0.11,0.22
96,1,-0.96,0.11,0.22
98,1,-0.96,0.11,0.22
100,1,-0.96,0.1,0.22
101,1,-0.96,0.1,0.22
103,1,-0.96,0.1,0.22
105,1,-0.96,0.1,0.22
106,1,-0.96,0.1,0.22
108,1,-0.96,0.1,0.22
110,1,-0.96,0.11,0.22
111,1,-0.96,0.11,0.22
113,1,-0.96,0.11,0.22
115,1,-0.96,0.11,0.22
116,1,-0.96,0.11,0.22
118,1,-0.96,0.11,0.22
120,1,-0.97,0.11,0.22
121,1,-0.97,0.11,0.22
123,1,-0.97,0.11,0.22
125,1,-0.97,0.11,0.22
126,1,-0.97,0.11,0.22
128,1,-0.97,0.11,0.21
130,1,-0.95,0.1,0.21
131,1,-0.95,0.1,0.21
133,1,-0.95,0.1,0.21
135,1,-0.95,0.1,0.21
136,1,-0.95,0.1,0.21
138,1,-0.95,0.11,0.2
140,1,-0.94,0.11,0.2
141,1,-0.94,0.11,0.2
143,1,-0.94,0.11,0.2
145,1,-0.94,0.11,0.2
146,1,-0.94,0.11,0.2
148,1,-0.93,0.12,0.2
150,1,-0.93,0.12,0.2
151,1,-0.93,0.12,0.2
153,1,-0.93,0.12,0.2
155,1,-0.93,0.12,0.2
156,1,-0.93,0.12,0.2
158,1,-0.93,0.13,0.19
160,1,-0.93,0.13,0.19
161,1,-0.93,0.13,0.19
163,1,-0.93,0.13,0.19
165,1,-0.93,0.13,0.19
166,1,-0.93,0.13,0.19
168,1,-0.93,0.15,0.18
170,1,-0.93,0.15,0.18
171,1,-0.93,0.15,0.18
173,1,-0.93,0.15,0.18
175,1,-0.93,0.15,0.18
176,1,-0.93,0.15,0.18
178,1,-0.94,0.17,0.17
180,1,-0.94,0.17,0.17
181,1,-0.94,0.17,0.17
183,1,-0.94,0.17,0.17
185,1,-0.94,0.17,0.17
186,1,-0.94,0.17,0.17
188,1,-0.96,0.19,0.16
190,1,-0.96,0.19,0.16
191,1,-0.96,0.19,0.16
193,1,-0.96,0.19,0.16
195,1,-0.96,0.19,0.16
196,1,-0.96,0.19,0.15
198,1,-0.96,0.19,0.15
200,1,-0.96,0.19,0.15
201,1,-0.96,0.19,0.15
203,1,-0.96,0.19,0.15
205,1,-0.96,0.19,0.15
206,1,-0.97,0.19,0.16
208,1,-0.97,0.19,0.16
210,1,-0.97,0.19,0.16
211,1,-0.97,0.19,0.16
213,1,-0.97,0.19,0.16
215,1,-0.97,0.19,0.16
216,1,-0.96,0.19,0.17
218,1,-0.96,0.19,0.17
220,1,-0.96,0.19,0.17
221,1,-0.96,0.19,0.17
223,1,-0.96,0.19,0.17
224,1,-0.96,0.19,0.17
226,1,-0.97,0.19,0.18
228,1,-0.97,0.19,0.18
229,1,-0.97,0.19,0.18
231,1,-0.97,0.19,0.18
233,1,-0.97,0.19,0.18
235,1,-0.97,0.19,0.18
236,1,-0.97,0.17,0.17
238,1,-0.97,0.17,0.17
240,1,-0.97,0.17,0.17
241,1,-0.97,0.17,0.17
243,1,-0.97,0.17,0.17
245,1,-0.97,0.17,0.17
246,1,-0.95,0.16,0.18
248,1,-0.95,0.16,0.18
250,1,-0.95,0.16,0.18
251,1,-0.95,0.16,0.18
253,1,-0.95,0.16,0.18
255,1,-0.95,0.16,0.18
256,1,-0.94,0.15,0.19
258,1,-0.94,0.15,0.19
260,1,-0.94,0.15,0.19
261,1,-0.94,0.15,0.19
263,1,-0.94,0.15,0.19
265,1,-0.94,0.15,0.19
266,1,-0.93,0.15,0.19
268,1,-0.93,0.15,0.19
270,1,-0.93,0.15,0.19
271,1,-0.93,0.15,0.19
273,1,-0.93,0.15,0.19
275,1,-0.93,0.14,0.18
276,1,-0.93,0.14,0.18
278,1,-0.93,0.14,0.18
280,1,-0.93,0.14,0.18
281,1,-0.93,0.14,0.18
283,1,-0.93,0.14,0.18
285,1,-0.95,0.13,0.2
286,1,-0.95,0.13,0.2
288,1,-0.95,0.13,0.2
290,1,-0.95,0.13,0.2
291,1,-0.95,0.13,0.2
293,1,-0.95,0.13,0.2
295,1,-0.96,0.13,0.2
296,1,-0.96,0.13,0.2
298,1,-0.96,0.13,0.2
300,1,-0.96,0.13,0.2
301,1,-0.96,0.13,0.2
303,1,-0.96,0.13,0.2
305,1,-0.98,0.12,0.2
306,1,-0.98,0.12,0.2
308,1,-0.98,0.12,0.2
310,1,-0.98,0.12,0.2
311,1,-0.98,0.12,0.2
313,1,-0.98,0.12,0.2
315,1,-1.0,0.12,0.2
316,1,-1.0,0.12,0.2
318,1,-1.0,0.12,0.2
320,1,-1.0,0.12,0.2
321,1,-1.0,0.12,0.2
323,1,-1.0,0.12,0.2
325,1,-1.01,0.12,0.24
326,1,-1.01,0.12,0.24
328,1,-1.01,0.12,0.24
330,1,-1.01,0.12,0.24
331,1,-1.01,0.12,0.24
333,1,-1.01,0.12,0.29
335,1,-1.01,0.12,0.29
336,1,-1.01,0.12,0.29
338,1,-1.01,0.12,0.29
340,1,-1.01,0.12,0.29
341,1,-1.01,0.12,0.29
343,1,-1.01,0.13,0.31
345,1,-1.01,0.13,0.31
346,1,-1.01,0.13,0.31
348,1,-1.01,0.13,0.31
350,1,-1.01,0.13,0.31
351,1,-1.01,0.13,0.31
353,1,-1.01,0.15,0.4
355,1,-1.01,0.15,0.4
356,1,-1.01,0.15,0.4
358,1,-1.01,0.15,0.4
360,1,-1.01,0.15,0.4
361,1,-1.01,0.15,0.4
363,1,-1.01,0.14,0.44
