t,l,x,y,z
0,1,-0.98,-0.09,0.03
2,1,-0.98,-0.09,0.03
3,1,-0.98,-0.09,0.03
5,1,-0.98,-0.09,0.03
7,1,-0.98,-0.09,0.03
8,1,-0.98,-0.09,0.03
10,1,-0.98,-0.09,0.03
12,1,-0.98,-0.09,0.03
13,1,-0.98,-0.09,0.03
15,1,-0.97,-0.08,0.03
17,1,-0.97,-0.08,0.03
18,1,-0.97,-0.08,0.03
20,1,-0.97,-0.08,0.03
22,1,-0.97,-0.08,0.03
23,1,-0.97,-0.08,0.03
25,1,-0.97,-0.08,0.03
27,1,-0.97,-0.08,0.03
28,1,-0.97,-0.08,0.03
30,1,-0.97,-0.08,0.03
32,1,-0.97,-0.08,0.03
33,1,-0.97,-0.08,0.03
35,1,-0.97,-0.08,0.03
37,1,-0.97,-0.08,0.03
38,1,-0.97,-0.08,0.03
40,1,-0.97,-0.08,0.03
42,1,-0.97,-0.08,0.03
43,1,-0.97,-0.08,0.03
45,1,-0.97,-0.08,0.03
47,1,-0.97,-0.08,0.03
48,1,-0.97,-0.08,0.03
50,1,-0.97,-0.08,0.03
52,1,-0.97,-0.08,0.03
53,1,-0.97,-0.08,0.03
55,1,-0.97,-0.09,0.04
57,1,-0.97,-0.09,0.04
58,1,-0.97,-0.09,0.04
60,1,-0.97,-0.09,0.04
62,1,-0.97,-0.09,0.04
63,1,-0.97,-0.09,0.04
65,1,-0.98,-0.09,0.04
67,1,-0.98,-0.09,0.04
68,1,-0.98,-0.09,0.04
70,1,-0.98,-0.09,0.04
72,1,-0.98,-0.09,0.04
73,1,-0.97,-0.1,0.04
75,1,-0.97,-0.1,0.04
77,1,-0.97,-0.1,0.04
78,1,-0.97,-0.1,0.04
80,1,-0.97,-0.1,0.04
82,1,-0.97,-0.1,0.04
83,1,-0.97,-0.1,0.04
85,1,-0.97,-0.1,0.04
87,1,-0.97,-0.1,0.04
88,1,-0.97,-0.1,0.04
90,1,-0.97,-0.1,0.04
92,1,-0.97,-0.1,0.04
93,1,-0.97,-0.1,0.05
95,1,-0.97,-0.1,0.05
97,1,-0.97,-0.1,0.05
98,1,-0.97,-0.1,0.05
100,1,-0.97,-0.1,0.05
102,1,-0.97,-0.1,0.05
103,1,-0.98,-0.1,0.05
105,1,-0.98,-0.1,0.05
107,1,-0.98,-0.1,0.05
108,1,-0.98,-0.1,0.05
110,1,-0.98,-0.1,0.05
112,1,-0.98,-0.1,0.05
113,1,-0.97,-0.1,0.04
115,1,-0.97,-0.1,0.04
117,1,-0.97,-0.1,0.04
118,1,-0.97,-0.1,0.04
120,1,-0.97,-0.1,0.04
122,1,-0.97,-0.1,0.04
123,1,-0.97,-0.1,0.04
125,1,-0.97,-0.1,0.04
127,1,-0.97,-0.1,0.04
128,1,-0.97,-0.1,0.04
130,1,-0.97,-0.1,0.04
132,1,-0.97,-0.1,0.04
133,1,-0.97,-0.1,0.04
135,1,-0.97,-0.1,0.04
137,1,-0.97,-0.1,0.04
138,1,-0.97,-0.1,0.04
140,1,-0.97,-0.1,0.04
141,1,-0.97,-0.09,0.04
143,1,-0.97,-0.09,0.04
145,1,-0.97,-0.09,0.04
147,1,-0.97,-0.09,0.04
148,1,-0.97,-0.09,0.04
150,1,-0.97,-0.09,0.04
152,1,-0.97,-0.1,0.04
153,1,-0.97,-0.1,0.04
155,1,-0.97,-0.1,0.04
157,1,-0.97,-0.1,0.04
158,1,-0.97,-0.1,0.04
160,1,-0.97,-0.1,0.04
162,1,-0.97,-0.09,0.04
163,1,-0.97,-0.09,0.04
165,1,-0.97,-0.09,0.04
167,1,-0.97,-0.09,0.04
168,1,-0.97,-0.09,0.04
170,1,-0.97,-0.09,0.04
172,1,-0.98,-0.1,0.04
173,1,-0.98,-0.1,0.04
175,1,-0.98,-0.1,0.04
177,1,-0.98,-0.1,0.04
178,1,-0.98,-0.1,0.04
180,1,-0.98,-0.1,0.04
181,1,-0.98,-0.09,0.04
183,1,-0.98,-0.09,0.04
185,1,-0.98,-0.09,0.04
186,1,-0.98,-0.09,0.04
188,1,-0.98,-0.09,0.04
190,1,-0.98,-0.09,0.04
191,1,-0.98,-0.09,0.04
193,1,-0.98,-0.09,0.04
195,1,-0.98,-0.09,0.04
196,1,-0.98,-0.09,0.04
198,1,-0.98,-0.09,0.04
200,1,-0.98,-0.09,0.04
201,1,-0.97,-0.09,0.03
203,1,-0.97,-0.09,0.03
205,1,-0.97,-0.09,0.03
206,1,-0.97,-0.09,0.03
208,1,-0.97,-0.09,0.03
210,1,-0.97,-0.09,0.03
211,1,-0.97,-0.09,0.03
213,1,-0.97,-0.09,0.03
215,1,-0.97,-0.09,0.03
216,1,-0.97,-0.09,0.03
218,1,-0.97,-0.09,0.03
220,1,-0.97,-0.09,0.02
221,1,-0.96,-0.08,0.02
223,1,-0.96,-0.08,0.02
225,1,-0.96,-0.08,0.02
226,1,-0.96,-0.08,0.02
228,1,-0.96,-0.08,0.02
230,1,-0.96,-0.08,0.02
231,1,-0.96,-0.08,0.02
233,1,-0.96,-0.08,0.02
235,1,-0.96,-0.08,0.02
236,1,-0.96,-0.08,0.02
238,1,-0.96,-0.08,0.02
240,1,-0.97,-0.08,0.02
241,1,-0.97,-0.08,0.02
243,1,-0.97,-0.08,0.02
245,1,-0.97,-0.08,0.02
246,1,-0.97,-0.08,0.02
248,1,-0.97,-0.08,0.02
250,1,-0.97,-0.09,0.02
251,1,-0.97,-0.09,0.02
253,1,-0.97,-0.09,0.02
255,1,-0.97,-0.09,0.02
256,1,-0.97,-0.09,0.02
258,1,-0.97,-0.09,0.02
260,1,-0.98,-0.09,0.03
261,1,-0.98,-0.09,0.03
263,1,-0.98,-0.09,0.03
264,1,-0.98,-0.09,0.03
266,1,-0.98,-0.09,0.03
268,1,-0.98,-0.09,0.03
270,1,-0.98,-0.1,0.03
271,1,-0.98,-0.1,0.03
273,1,-0.98,-0.1,0.03
275,1,-0.98,-0.1,0.03
276,1,-0.98,-0.1,0.03
278,1,-0.98,-0.1,0.03
280,1,-0.98,-0.1,0.04
281,1,-0.98,-0.1,0.04
283,1,-0.98,-0.1,0.04
285,1,-0.98,-0.1,0.04
286,1,-0.98,-0.1,0.04
288,1,-0.98,-0.1,0.04
290,1,-0.98,-0.1,0.04
291,1,-0.98,-0.1,0.04
293,1,-0.98,-0.1,0.04
295,1,-0.98,-0.1,0.04
296,1,-0.98,-0.1,0.04
298,1,-0.98,-0.1,0.04
300,1,-0.98,-0.1,0.04
301,1,-0.98,-0.1,0.04
303,1,-0.98,-0.1,0.04
305,1,-0.98,-0.1,0.04
306,1,-0.98,-0.1,0.04
308,1,-0.98,-0.1,0.04
310,1,-0.98,-0.1,0.04
311,1,-0.98,-0.1,0.04
313,1,-0.98,-0.1,0.04
315,1,-0.98,-0.1,0.04
316,1,-0.98,-0.1,0.04
318,1,-0.99,-0.1,0.04
320,1,-0.99,-0.1,0.04
321,1,-0.99,-0.1,0.04
323,1,-0.99,-0.1,0.04
325,1,-0.99,-0.1,0.04
326,1,-0.99,-0.1,0.04
328,1,-1.02,-0.08,0.05
330,1,-1.02,-0.08,0.05
331,1,-1.02,-0.08,0.05
333,1,-1.02,-0.08,0.05
335,1,-1.02,-0.08,0.05
336,1,-1.02,-0.08,0.05
338,1,-1.1,-0.05,0.07
340,1,-1.1,-0.05,0.07
341,1,-1.1,-0.05,0.07
343,1,-1.1,-0.05,0.07
344,1,-1.1,-0.05,0.07
346,1,-1.1,-0.05,0.07
348,1,-1.2,-0.01,0.14
349,1,-1.2,-0.01,0.14
351,1,-1.2,-0.01,0.14
353,1,-1.2,-0.01,0.14
354,1,-1.2,-0.01,0.14
356,1,-1.2,-0.01,0.14
358,1,-1.25,0.09,0.33
359,1,-1.25,0.09,0.33
361,1,-1.25,0.09,0.33
363,1,-1.25,0.09,0.33
365,1,-1.25,0.09,0.33
366,1,-1.25,0.09,0.57
368,1,-1.25,0.09,0.57
369,1,-1.25,0.09,0.57
371,1,-1.25,0.09,0.57
373,1,-1.25,0.09,0.57
374,1,-1.25,0.09,0.57
376,1,-1.32,0.16,0.92
378,1,-1.32,0.16,0.92
379,1,-1.32,0.16,0.92
381,1,-1.32,0.16,0.92
383,1,-1.32,0.16,0.92
384,1,-1.32,0.16,0.92
386,1,-1.36,0.16,1.25
388,1,-1.36,0.16,1.25
389,1,-1.36,0.16,1.25
391,1,-1.36,0.16,1.25
393,1,-1.36,0.16,1.25
394,1,-1.36,0.16,1.25
396,1,-1.5,0.12,1.51
398,1,-1.5,0.12,1.51
400,1,-1.5,0.12,1.51
401,1,-1.5,0.12,1.51
403,1,-1.5,0.12,1.51
405,1,-1.5,0.12,1.51
406,1,-1.71,0.17,1.66
408,1,-1.71,0.17,1.66
410,1,-1.71,0.17,1.66
411,1,-1.71,0.17,1.66
413,1,-1.71,0.17,1.66
415,1,-1.71,0.17,1.66
416,1,-1.77,0.07,1.65
418,1,-1.77,0.07,1.65
420,1,-1.77,0.07,1.65
421,1,-1.77,0.07,1.65
423,1,-1.77,0.07,1.65
425,1,-1.77,0.07,1.63
426,1,-1.79,-0.02,1.63
428,1,-1.79,-0.02,1.63
430,1,-1.79,-0.02,1.63
431,1,-1.79,-0.02,1.63
433,1,-1.79,-0.02,1.63
435,1,-1.79,-0.01,1.63
436,1,-1.76,-0.01,1.63
438,1,-1.76,-0.01,1.63
440,1,-1.76,-0.01,1.63
441,1,-1.76,-0.01,1.63
443,1,-1.76,-0.01,1.63
445,1,-1.57,-0.03,1.69
446,1,-1.57,-0.03,1.69
448,1,-1.57,-0.03,1.69
450,1,-1.57,-0.03,1.69
451,1,-1.57,-0.03,1.69
453,1,-1.57,-0.03,1.69
455,1,-1.39,0.04,1.82
456,1,-1.39,0.04,1.82
458,1,-1.39,0.04,1.82
460,1,-1.39,0.04,1.82
462,1,-1.39,0.04,1.82
463,1,-1.39,0.04,1.82
465,1,-1.12,0.01,1.84
467,1,-1.12,0.01,1.84
468,1,-1.12,0.01,1.84
470,1,-1.12,0.01,1.84
472,1,-1.12,0.01,1.84
473,1,-1.12,0.01,1.84
475,1,-0.88,-0.1,1.8
477,1,-0.88,-0.1,1.8
478,1,-0.88,-0.1,1.8
480,1,-0.88,-0.1,1.8
482,1,-0.88,-0.1,1.8
483,1,-0.88,-0.1,1.62
485,1,-0.73,-0.12,1.62
487,1,-0.73,-0.12,1.62
488,1,-0.73,-0.12,1.62
490,1,-0.73,-0.12,1.62
492,1,-0.73,-0.12,1.62
493,1,-0.6,-0.26,1.34
495,1,-0.54,-0.26,1.34
497,1,-0.54,-0.26,1.34
498,1,-0.54,-0.26,1.34
500,1,-0.54,-0.26,1.34
502,1,-0.54,-0.26,1.34
503,1,-0.4,-0.42,1.09
505,1,-0.4,-0.42,1.09
507,1,-0.4,-0.42,1.09
508,1,-0.4,-0.42,1.09
510,1,-0.4,-0.42,1.09
512,1,-0.4,-0.42,1.09
513,1,-0.28,-0.41,0.82
515,1,-0.28,-0.41,0.82
517,1,-0.28,-0.41,0.82
518,1,-0.28,-0.41,0.82
520,1,-0.28,-0.41,0.82
522,1,-0.28,-0.41,0.82
523,1,-0.1,-0.57,0.47
525,1,-0.1,-0.57,0.47
527,1,-0.1,-0.57,0.47
528,1,-0.1,-0.57,0.47
530,1,-0.1,-0.57,0.47
532,1,-0.1,-0.57,0.47
533,1,0.09,-0.8,0.14
535,1,0.09,-0.8,0.14
537,1,0.09,-0.8,0.14
538,1,0.09,-0.8,0.14
540,1,0.09,-0.8,0.14
542,1,0.09,-0.8,0.14
543,1,0.27,-0.9,-0.09
545,1,0.27,-0.9,-0.09
547,1,0.27,-0.9,-0.09
548,1,0.27,-0.9,-0.09
550,1,0.27,-0.9,-0.09
552,1,0.27,-0.9,-0.16
