t,l,x,y,z
0,1,-0.98,0.05,-0.03
2,1,-0.98,0.05,-0.03
3,1,-0.98,0.05,-0.03
5,1,-0.98,0.05,-0.03
7,1,-0.98,0.05,-0.03
8,1,-0.98,0.03,-0.04
10,1,-0.98,0.03,-0.04
12,1,-0.98,0.03,-0.04
13,1,-0.98,0.03,-0.04
15,1,-0.98,0.03,-0.04
17,1,-0.98,0.03,-0.04
18,1,-0.98,0.03,-0.05
20,1,-0.98,0.03,-0.05
22,1,-0.98,0.03,-0.05
23,1,-0.98,0.03,-0.05
25,1,-0.98,0.03,-0.05
27,1,-0.98,0.03,-0.05
28,1,-0.98,0.03,-0.05
30,1,-0.98,0.03,-0.05
32,1,-0.98,0.03,-0.05
33,1,-0.98,0.03,-0.05
35,1,-0.98,0.03,-0.05
37,1,-0.98,0.03,-0.05
38,1,-0.98,0.04,-0.05
40,1,-0.98,0.04,-0.05
42,1,-0.98,0.04,-0.05
43,1,-0.98,0.04,-0.05
45,1,-0.98,0.04,-0.05
47,1,-0.98,0.04,-0.05
48,1,-0.97,0.04,-0.06
50,1,-0.97,0.04,-0.06
52,1,-0.97,0.04,-0.06
53,1,-0.97,0.04,-0.06
55,1,-0.97,0.04,-0.06
57,1,-0.97,0.04,-0.06
58,1,-0.97,0.04,-0.06
60,1,-0.97,0.04,-0.06
62,1,-0.97,0.04,-0.06
63,1,-0.97,0.04,-0.06
65,1,-0.97,0.04,-0.06
67,1,-0.97,0.04,-0.04
68,1,-0.97,0.04,-0.04
70,1,-0.97,0.04,-0.04
72,1,-0.97,0.04,-0.04
73,1,-0.97,0.04,-0.04
75,1,-0.97,0.04,-0.04
77,1,-0.98,0.04,-0.03
78,1,-0.98,0.04,-0.03
80,1,-0.98,0.04,-0.03
82,1,-0.98,0.04,-0.03
83,1,-0.98,0.04,-0.03
85,1,-0.98,0.04,-0.03
87,1,-1.0,0.04,-0.03
88,1,-1.0,0.04,-0.03
90,1,-1.0,0.04,-0.03
91,1,-1.0,0.04,-0.03
93,1,-1.0,0.04,-0.03
95,1,-1.0,0.04,-0.03
96,1,-0.99,0.05,-0.02
98,1,-0.99,0.05,-0.02
