t,l,x,y,z
0,1,-0.98,0.04,0.04
2,1,-0.98,0.04,0.04
3,1,-0.98,0.04,0.04
5,1,-0.98,0.04,0.04
7,1,-0.98,0.04,0.04
8,1,-0.98,0.04,0.04
10,1,-0.98,0.04,0.04
12,1,-0.98,0.04,0.04
13,1,-0.98,0.04,0.04
15,1,-0.98,0.04,0.04
17,1,-0.98,0.04,0.04
18,1,-0.98,0.04,0.04
20,1,-0.98,0.04,0.04
22,1,-0.98,0.04,0.04
23,1,-0.98,0.04,0.04
25,1,-0.98,0.04,0.04
26,1,-0.98,0.04,0.03
28,1,-0.98,0.04,0.03
30,1,-0.98,0.04,0.03
31,1,-0.98,0.04,0.03
33,1,-0.98,0.04,0.03
35,1,-0.98,0.04,0.03
36,1,-0.98,0.04,0.03
38,1,-0.98,0.04,0.03
40,1,-0.98,0.04,0.03
41,1,-0.98,0.04,0.03
43,1,-0.98,0.04,0.03
45,1,-0.98,0.04,0.03
46,1,-0.98,0.04,0.03
48,1,-0.98,0.04,0.03
50,1,-0.98,0.04,0.03
51,1,-0.98,0.04,0.03
53,1,-0.98,0.04,0.03
55,1,-0.98,0.04,0.03
56,1,-0.98,0.04,0.03
58,1,-0.98,0.04,0.03
60,1,-0.98,0.04,0.03
61,1,-0.98,0.04,0.03
63,1,-0.98,0.04,0.03
65,1,-0.97,0.05,0.03
66,1,-0.97,0.05,0.03
68,1,-0.97,0.05,0.03
70,1,-0.97,0.05,0.03
71,1,-0.97,0.05,0.03
73,1,-0.97,0.05,0.03
75,1,-0.98,0.04,0.03
76,1,-0.98,0.04,0.03
78,1,-0.98,0.04,0.03
80,1,-0.98,0.04,0.03
81,1,-0.98,0.04,0.03
83,1,-0.98,0.04,0.03
85,1,-0.98,0.04,0.04
86,1,-0.98,0.04,0.04
88,1,-0.98,0.04,0.04
89,1,-0.98,0.04,0.04
91,1,-0.98,0.04,0.04
93,1,-0.98,0.04,0.04
94,1,-0.98,0.04,0.04
96,1,-0.98,0.04,0.04
98,1,-0.98,0.04,0.04
99,1,-0.98,0.04,0.04
101,1,-0.98,0.04,0.04
103,1,-0.98,0.04,0.04
104,1,-0.98,0.04,0.04
106,1,-0.98,0.04,0.04
108,1,-0.98,0.04,0.04
109,1,-0.98,0.04,0.04
111,1,-0.98,0.04,0.04
113,1,-0.98,0.04,0.04
114,1,-0.98,0.04,0.04
116,1,-0.98,0.04,0.04
118,1,-0.98,0.04,0.04
119,1,-0.98,0.04,0.04
121,1,-0.98,0.04,0.04
123,1,-0.98,0.04,0.04
124,1,-0.99,0.04,0.03
126,1,-0.99,0.04,0.03
127,1,-0.99,0.04,0.03
129,1,-0.99,0.04,0.03
131,1,-0.99,0.04,0.03
132,1,-0.99,0.04,0.03
134,1,-0.98,0.04,0.03
136,1,-0.98,0.04,0.03
137,1,-0.98,0.04,0.03
139,1,-0.98,0.04,0.03
141,1,-0.98,0.04,0.03
142,1,-0.98,0.04,0.03
144,1,-0.97,0.04,0.03
146,1,-0.97,0.04,0.03
147,1,-0.97,0.04,0.03
149,1,-0.97,0.04,0.03
151,1,-0.97,0.04,0.03
152,1,-0.97,0.04,0.03
154,1,-0.97,0.04,0.03
155,1,-0.97,0.04,0.03
157,1,-0.97,0.04,0.03
159,1,-0.97,0.04,0.03
160,1,-0.97,0.04,0.03
162,1,-0.97,0.04,0.03
164,1,-0.98,0.04,0.03
165,1,-0.98,0.04,0.03
167,1,-0.98,0.04,0.03
169,1,-0.98,0.04,0.03
170,1,-0.98,0.04,0.03
172,1,-0.98,0.04,0.03
174,1,-0.98,0.04,0.03
175,1,-0.98,0.04,0.03
177,1,-0.98,0.04,0.03
179,1,-0.98,0.04,0.03
180,1,-0.98,0.04,0.03
182,1,-0.98,0.04,0.03
184,1,-0.98,0.04,0.03
185,1,-0.98,0.04,0.03
187,1,-0.98,0.04,0.03
189,1,-0.98,0.04,0.03
190,1,-0.98,0.04,0.03
192,1,-0.98,0.04,0.03
194,1,-0.98,0.04,0.03
195,1,-0.98,0.04,0.03
197,1,-0.98,0.04,0.03
198,1,-0.98,0.04,0.03
200,1,-0.98,0.04,0.03
202,1,-0.98,0.04,0.03
203,1,-0.98,0.04,0.03
205,1,-0.98,0.04,0.03
207,1,-0.98,0.04,0.03
208,1,-0.98,0.04,0.03
210,1,-0.98,0.04,0.03
212,1,-0.98,0.04,0.04
213,1,-0.98,0.04,0.04
215,1,-0.98,0.04,0.04
217,1,-0.98,0.04,0.04
218,1,-0.98,0.04,0.04
220,1,-0.98,0.04,0.04
222,1,-0.98,0.04,0.04
223,1,-0.98,0.04,0.04
225,1,-0.98,0.04,0.04
226,1,-0.98,0.04,0.04
228,1,-0.98,0.04,0.04
230,1,-0.98,0.04,0.04
231,1,-0.98,0.04,0.03
233,1,-0.98,0.04,0.03
235,1,-0.98,0.04,0.03
236,1,-0.98,0.04,0.03
238,1,-0.98,0.04,0.03
240,1,-0.98,0.04,0.03
