t,l,x,y,z
0,1,-0.96,-0.14,0.12
2,1,-0.97,-0.14,0.12
4,1,-0.97,-0.14,0.12
5,1,-0.97,-0.14,0.12
7,1,-0.97,-0.14,0.12
9,1,-0.97,-0.14,0.12
10,1,-0.96,-0.13,0.11
12,1,-0.96,-0.13,0.11
14,1,-0.96,-0.13,0.11
15,1,-0.96,-0.13,0.11
17,1,-0.96,-0.13,0.11
19,1,-0.96,-0.13,0.11
20,1,-0.96,-0.13,0.1
22,1,-0.96,-0.13,0.1
24,1,-0.96,-0.13,0.1
25,1,-0.96,-0.13,0.1
27,1,-0.96,-0.13,0.1
29,1,-0.96,-0.13,0.1
30,1,-0.96,-0.13,0.1
32,1,-0.96,-0.13,0.1
34,1,-0.96,-0.13,0.1
35,1,-0.96,-0.13,0.1
37,1,-0.96,-0.13,0.1
39,1,-0.96,-0.13,0.1
40,1,-0.97,-0.14,0.11
42,1,-0.97,-0.14,0.11
44,1,-0.97,-0.14,0.11
45,1,-0.97,-0.14,0.11
47,1,-0.97,-0.14,0.11
49,1,-0.97,-0.14,0.11
50,1,-0.96,-0.14,0.11
52,1,-0.96,-0.14,0.11
54,1,-0.96,-0.14,0.11
55,1,-0.96,-0.14,0.11
57,1,-0.96,-0.14,0.11
59,1,-0.96,-0.14,0.11
60,1,-0.96,-0.13,0.11
62,1,-0.96,-0.13,0.11
64,1,-0.96,-0.13,0.11
65,1,-0.96,-0.13,0.11
67,1,-0.96,-0.13,0.11
69,1,-0.96,-0.13,0.1
71,1,-0.96,-0.13,0.1
72,1,-0.96,-0.13,0.1
74,1,-0.96,-0.13,0.1
76,1,-0.96,-0.13,0.1
77,1,-0.96,-0.13,0.1
79,1,-0.96,-0.13,0.1
81,1,-0.96,-0.13,0.1
82,1,-0.96,-0.13,0.1
84,1,-0.96,-0.13,0.1
86,1,-0.96,-0.13,0.1
87,1,-0.96,-0.13,0.1
89,1,-0.96,-0.14,0.11
91,1,-0.96,-0.14,0.11
92,1,-0.96,-0.14,0.11
94,1,-0.96,-0.14,0.11
96,1,-0.96,-0.14,0.11
