t,l,x,y,z
0,1,-0.95,-0.05,0.25
1,1,-0.95,-0.05,0.25
3,1,-0.95,-0.05,0.25
5,1,-0.95,-0.05,0.25
6,1,-0.95,-0.05,0.25
8,1,-0.95,-0.05,0.25
10,1,-0.95,-0.05,0.25
11,1,-0.95,-0.05,0.25
13,1,-0.95,-0.05,0.25
15,1,-0.95,-0.05,0.25
16,1,-0.95,-0.05,0.25
18,1,-0.95,-0.05,0.25
20,1,-0.95,-0.05,0.25
21,1,-0.95,-0.05,0.25
23,1,-0.95,-0.05,0.25
25,1,-0.95,-0.05,0.25
27,1,-0.95,-0.05,0.25
28,1,-0.95,-0.05,0.25
30,1,-0.95,-0.05,0.25
31,1,-0.95,-0.06,0.25
33,1,-0.95,-0.06,0.25
35,1,-0.95,-0.06,0.25
36,1,-0.95,-0.06,0.25
38,1,-0.95,-0.06,0.25
40,1,-0.95,-0.06,0.25
42,1,-0.95,-0.06,0.25
43,1,-0.95,-0.06,0.25
45,1,-0.95,-0.06,0.25
47,1,-0.95,-0.06,0.25
48,1,-0.95,-0.06,0.25
50,1,-0.95,-0.06,0.25
51,1,-0.95,-0.06,0.25
53,1,-0.95,-0.06,0.25
55,1,-0.95,-0.06,0.25
57,1,-0.95,-0.06,0.25
58,1,-0.95,-0.06,0.25
60,1,-0.95,-0.06,0.25
62,1,-0.95,-0.06,0.25
63,1,-0.95,-0.06,0.25
65,1,-0.95,-0.06,0.25
67,1,-0.95,-0.06,0.25
68,1,-0.95,-0.06,0.25
70,1,-0.95,-0.06,0.37
71,1,-0.94,-0.06,0.25
73,1,-0.94,-0.06,0.25
75,1,-0.94,-0.06,0.25
77,1,-0.94,-0.06,0.25
78,1,-0.94,-0.06,0.25
80,1,-0.94,-0.06,0.25
81,1,-0.95,-0.05,0.25
83,1,-0.95,-0.05,0.25
85,1,-0.95,-0.05,0.25
86,1,-0.95,-0.05,0.25
88,1,-0.95,-0.05,0.25
90,1,-0.94,-0.05,0.25
91,1,-0.94,-0.05,0.25
93,1,-0.94,-0.05,0.25
95,1,-0.94,-0.05,0.25
96,1,-0.94,-0.05,0.25
98,1,-0.94,-0.05,0.25
100,1,-0.95,-0.05,0.26
101,1,-0.95,-0.05,0.26
103,1,-0.95,-0.05,0.26
105,1,-0.95,-0.05,0.26
106,1,-0.95,-0.05,0.26
108,1,-0.95,-0.05,0.26
110,1,-0.95,-0.06,0.26
111,1,-0.95,-0.06,0.26
113,1,-0.95,-0.06,0.26
115,1,-0.95,-0.06,0.26
116,1,-0.95,-0.06,0.26
118,1,-0.95,-0.06,0.26
120,1,-0.95,-0.06,0.26
122,1,-0.95,-0.06,0.26
123,1,-0.95,-0.06,0.26
125,1,-0.95,-0.06,0.26
127,1,-0.95,-0.06,0.26
128,1,-0.95,-0.06,0.26
130,1,-0.94,-0.05,0.25
131,1,-0.94,-0.05,0.25
133,1,-0.94,-0.05,0.25
135,1,-0.94,-0.05,0.25
137,1,-0.94,-0.05,0.25
138,1,-0.94,-0.05,0.25
140,1,-0.95,-0.05,0.25
142,1,-0.95,-0.05,0.25
143,1,-0.95,-0.05,0.25
145,1,-0.95,-0.05,0.25
147,1,-0.95,-0.05,0.25
148,1,-0.95,-0.05,0.25
150,1,-0.95,-0.06,0.25
152,1,-0.95,-0.06,0.25
153,1,-0.95,-0.06,0.25
155,1,-0.95,-0.06,0.25
157,1,-0.95,-0.06,0.25
158,1,-0.95,-0.06,0.25
160,1,-0.95,-0.06,0.25
162,1,-0.95,-0.06,0.25
163,1,-0.95,-0.06,0.25
165,1,-0.95,-0.06,0.25
167,1,-0.95,-0.06,0.25
168,1,-0.94,-0.05,0.25
170,1,-0.94,-0.05,0.25
171,1,-0.94,-0.05,0.25
173,1,-0.94,-0.05,0.25
175,1,-0.94,-0.05,0.25
177,1,-0.94,-0.05,0.25
178,1,-0.95,-0.05,0.25
180,1,-0.95,-0.05,0.25
182,1,-0.95,-0.05,0.25
183,1,-0.95,-0.05,0.25
185,1,-0.95,-0.05,0.25
186,1,-0.95,-0.05,0.25
188,1,-0.95,-0.05,0.25
190,1,-0.95,-0.05,0.25
191,1,-0.95,-0.05,0.25
193,1,-0.95,-0.05,0.25
195,1,-0.95,-0.05,0.25
197,1,-0.95,-0.05,0.25
198,1,-0.95,-0.05,0.25
200,1,-0.95,-0.05,0.25
201,1,-0.95,-0.05,0.25
203,1,-0.95,-0.05,0.25
205,1,-0.95,-0.05,0.25
206,1,-0.95,-0.05,0.25
208,1,-0.95,-0.05,0.26
210,1,-0.95,-0.05,0.26
211,1,-0.95,-0.05,0.26
213,1,-0.95,-0.05,0.26
215,1,-0.95,-0.05,0.26
216,1,-0.95,-0.05,0.26
218,1,-0.95,-0.06,0.26
220,1,-0.95,-0.06,0.26
221,1,-0.95,-0.06,0.26
223,1,-0.95,-0.06,0.26
225,1,-0.95,-0.06,0.26
226,1,-0.95,-0.06,0.26
228,1,-0.95,-0.06,0.26
230,1,-0.95,-0.06,0.26
232,1,-0.95,-0.06,0.26
233,1,-0.95,-0.06,0.26
235,1,-0.95,-0.06,0.26
237,1,-0.95,-0.06,0.26
238,1,-0.95,-0.06,0.26
240,1,-0.95,-0.06,0.26
242,1,-0.95,-0.06,0.26
243,1,-0.95,-0.06,0.26
245,1,-0.95,-0.06,0.26
247,1,-0.94,-0.06,0.25
248,1,-0.94,-0.06,0.25
250,1,-0.94,-0.06,0.25
251,1,-0.94,-0.06,0.25
253,1,-0.94,-0.06,0.25
255,1,-0.94,-0.06,0.25
257,1,-0.95,-0.06,0.25
258,1,-0.95,-0.06,0.25
260,1,-0.95,-0.06,0.25
261,1,-0.95,-0.06,0.25
263,1,-0.95,-0.06,0.25
265,1,-0.95,-0.06,0.25
266,1,-0.94,-0.05,0.25
268,1,-0.94,-0.05,0.25
270,1,-0.94,-0.05,0.25
271,1,-0.94,-0.05,0.25
273,1,-0.94,-0.05,0.25
275,1,-0.94,-0.05,0.25
276,1,-0.95,-0.06,0.26
278,1,-0.95,-0.06,0.26
280,1,-0.95,-0.06,0.26
282,1,-0.95,-0.06,0.26
283,1,-0.95,-0.06,0.26
285,1,-0.95,-0.06,0.26
286,1,-0.95,-0.06,0.26
288,1,-0.95,-0.06,0.26
290,1,-0.95,-0.06,0.26
292,1,-0.95,-0.06,0.26
293,1,-0.95,-0.06,0.26
295,1,-0.95,-0.05,0.26
297,1,-0.95,-0.05,0.26
298,1,-0.95,-0.05,0.26
300,1,-0.95,-0.05,0.26
302,1,-0.95,-0.05,0.26
303,1,-0.95,-0.05,0.26
305,1,-0.94,-0.06,0.25
307,1,-0.94,-0.06,0.25
308,1,-0.94,-0.06,0.25
310,1,-0.94,-0.06,0.25
312,1,-0.94,-0.06,0.25
313,1,-0.94,-0.06,0.25
315,1,-0.94,-0.06,0.25
316,1,-0.94,-0.06,0.25
318,1,-0.94,-0.06,0.25
320,1,-0.94,-0.06,0.25
322,1,-0.94,-0.06,0.25
323,1,-0.94,-0.06,0.25
325,1,-0.94,-0.06,0.25
326,1,-0.94,-0.06,0.25
328,1,-0.94,-0.06,0.25
330,1,-0.94,-0.06,0.25
331,1,-0.94,-0.06,0.25
333,1,-0.94,-0.06,0.25
335,1,-0.95,-0.06,0.25
336,1,-0.95,-0.06,0.25
338,1,-0.95,-0.06,0.25
340,1,-0.95,-0.06,0.25
341,1,-0.95,-0.06,0.25
343,1,-0.95,-0.06,0.25
345,1,-0.94,-0.06,0.26
347,1,-0.94,-0.06,0.26
348,1,-0.94,-0.06,0.26
350,1,-0.94,-0.06,0.26
351,1,-0.94,-0.06,0.26
353,1,-0.94,-0.06,0.26
355,1,-0.95,-0.06,0.26
357,1,-0.95,-0.06,0.26
358,1,-0.95,-0.06,0.26
360,1,-0.95,-0.06,0.26
362,1,-0.95,-0.06,0.26
363,1,-0.95,-0.06,0.26
365,1,-0.95,-0.06,0.26
366,1,-0.95,-0.06,0.26
368,1,-0.95,-0.06,0.26
370,1,-0.95,-0.06,0.26
372,1,-0.95,-0.06,0.26
373,1,-0.95,-0.06,0.26
375,1,-0.95,-0.06,0.26
377,1,-0.95,-0.06,0.26
378,1,-0.95,-0.06,0.26
380,1,-0.95,-0.06,0.26
381,1,-0.95,-0.06,0.26
383,1,-0.95,-0.06,0.26
385,1,-0.95,-0.06,0.26
386,1,-0.95,-0.06,0.26
388,1,-0.95,-0.06,0.26
390,1,-0.95,-0.06,0.26
391,1,-0.95,-0.06,0.26
393,1,-0.95,-0.05,0.26
395,1,-0.95,-0.05,0.26
396,1,-0.95,-0.05,0.26
398,1,-0.95,-0.05,0.26
400,1,-0.95,-0.05,0.26
401,1,-0.95,-0.05,0.26
403,1,-0.95,-0.06,0.26
405,1,-0.95,-0.06,0.26
406,1,-0.95,-0.06,0.26
408,1,-0.95,-0.06,0.26
410,1,-0.95,-0.06,0.26
411,1,-0.95,-0.06,0.26
413,1,-0.94,-0.05,0.25
415,1,-0.94,-0.05,0.25
417,1,-0.94,-0.05,0.25
418,1,-0.94,-0.05,0.25
420,1,-0.94,-0.05,0.25
421,1,-0.94,-0.05,0.25
423,1,-0.95,-0.06,0.26
425,1,-0.95,-0.06,0.26
427,1,-0.95,-0.06,0.26
428,1,-0.95,-0.06,0.26
430,1,-0.95,-0.06,0.26
432,1,-0.95,-0.05,0.25
433,1,-0.94,-0.05,0.25
435,1,-0.94,-0.05,0.25
437,1,-0.94,-0.05,0.25
438,1,-0.94,-0.05,0.25
440,1,-0.94,-0.05,0.25
441,1,-0.94,-0.06,0.25
443,1,-0.94,-0.06,0.25
445,1,-0.94,-0.06,0.25
446,1,-0.94,-0.06,0.25
448,1,-0.94,-0.06,0.25
450,1,-0.94,-0.06,0.25
452,1,-0.94,-0.06,0.25
453,1,-0.94,-0.06,0.25
455,1,-0.94,-0.06,0.25
456,1,-0.94,-0.06,0.25
458,1,-0.94,-0.06,0.25
460,1,-0.94,-0.06,0.25
462,1,-0.94,-0.06,0.26
463,1,-0.94,-0.06,0.26
465,1,-0.94,-0.06,0.26
466,1,-0.94,-0.06,0.26
468,1,-0.94,-0.06,0.26
470,1,-0.94,-0.06,0.26
472,1,-0.95,-0.06,0.26
473,1,-0.95,-0.06,0.26
475,1,-0.95,-0.06,0.26
477,1,-0.95,-0.06,0.26
478,1,-0.95,-0.06,0.26
