t,l,x,y,z
0,1,-0.98,0.04,0.02
2,1,-0.98,0.04,0.02
3,1,-0.98,0.04,0.02
5,1,-0.98,0.04,0.02
7,1,-0.98,0.04,0.02
8,1,-0.98,0.04,0.02
10,1,-0.98,0.04,0.02
12,1,-0.98,0.04,0.02
13,1,-0.98,0.04,0.02
15,1,-0.98,0.04,0.02
16,1,-0.98,0.04,0.02
18,1,-0.98,0.04,0.02
20,1,-0.98,0.04,0.02
21,1,-0.98,0.04,0.02
23,1,-0.98,0.04,0.02
25,1,-0.98,0.04,0.02
26,1,-0.98,0.04,0.02
28,1,-0.98,0.04,0.02
30,1,-0.98,0.04,0.02
31,1,-0.98,0.04,0.02
33,1,-0.98,0.04,0.02
35,1,-0.98,0.04,0.02
36,1,-0.98,0.04,0.02
38,1,-0.98,0.04,0.02
40,1,-0.98,0.04,0.02
41,1,-0.98,0.04,0.02
43,1,-0.98,0.04,0.02
45,1,-0.98,0.04,0.02
46,1,-0.98,0.04,0.02
48,1,-0.98,0.04,0.02
50,1,-0.98,0.04,0.02
51,1,-0.98,0.04,0.02
53,1,-0.98,0.04,0.02
55,1,-0.98,0.04,0.02
56,1,-0.98,0.04,0.02
58,1,-0.98,0.04,0.01
60,1,-0.98,0.04,0.01
61,1,-0.98,0.04,0.01
63,1,-0.98,0.04,0.01
65,1,-0.98,0.04,0.01
66,1,-0.98,0.04,0.01
68,1,-0.98,0.04,0.01
70,1,-0.98,0.04,0.01
71,1,-0.98,0.04,0.01
73,1,-0.98,0.04,0.01
74,1,-0.98,0.04,0.01
76,1,-0.98,0.04,0.01
78,1,-0.98,0.04,0.02
79,1,-0.98,0.04,0.02
81,1,-0.98,0.04,0.02
83,1,-0.98,0.04,0.02
84,1,-0.98,0.04,0.02
86,1,-0.98,0.04,0.01
88,1,-0.98,0.03,0.01
89,1,-0.98,0.03,0.01
91,1,-0.98,0.03,0.01
93,1,-0.98,0.03,0.01
94,1,-0.98,0.03,0.01
96,1,-0.98,0.04,0.02
98,1,-0.98,0.04,0.02
99,1,-0.98,0.04,0.02
101,1,-0.98,0.04,0.02
103,1,-0.98,0.04,0.02
104,1,-0.98,0.04,0.02
106,1,-0.98,0.04,0.02
107,1,-0.98,0.04,0.02
109,1,-0.98,0.04,0.02
111,1,-0.98,0.04,0.02
112,1,-0.98,0.04,0.02
114,1,-0.98,0.04,0.02
116,1,-0.98,0.03,0.01
