t,l,x,y,z
0,1,-0.96,-0.05,0.24
2,1,-0.96,-0.05,0.24
3,1,-0.96,-0.05,0.24
5,1,-0.95,-0.07,0.2
7,1,-0.95,-0.07,0.2
8,1,-0.95,-0.07,0.2
10,1,-0.95,-0.07,0.2
12,1,-0.95,-0.07,0.2
13,1,-0.95,-0.07,0.2
15,1,-0.96,-0.08,0.15
17,1,-0.96,-0.08,0.15
18,1,-0.96,-0.08,0.15
20,1,-0.96,-0.08,0.15
22,1,-0.96,-0.08,0.15
23,1,-0.96,-0.08,0.15
25,1,-0.96,-0.09,0.1
27,1,-0.96,-0.09,0.1
28,1,-0.96,-0.09,0.1
30,1,-0.96,-0.09,0.1
32,1,-0.96,-0.09,0.1
33,1,-0.96,-0.09,0.1
35,1,-0.97,-0.09,0.05
37,1,-0.97,-0.09,0.05
38,1,-0.97,-0.09,0.05
40,1,-0.97,-0.09,0.05
42,1,-0.97,-0.09,0.05
43,1,-0.97,-0.09,0.05
45,1,-0.97,-0.1,0.01
47,1,-0.97,-0.1,0.01
48,1,-0.97,-0.1,0.01
50,1,-0.97,-0.1,0.01
51,1,-0.97,-0.1,0.01
53,1,-0.97,-0.1,0.01
55,1,-1.0,-0.11,0.02
56,1,-1.0,-0.11,0.02
58,1,-1.0,-0.11,0.02
60,1,-1.0,-0.11,0.02
61,1,-1.0,-0.11,0.02
63,1,-1.0,-0.11,0.02
65,1,-0.99,-0.1,0.02
66,1,-0.99,-0.1,0.02
68,1,-0.99,-0.1,0.02
70,1,-0.99,-0.1,0.02
71,1,-0.99,-0.1,0.02
73,1,-0.99,-0.1,0.02
75,1,-0.95,-0.1,0.02
76,1,-0.95,-0.1,0.02
78,1,-0.95,-0.1,0.02
80,1,-0.95,-0.1,0.02
81,1,-0.95,-0.1,0.02
83,1,-0.95,-0.11,0.02
85,1,-0.95,-0.11,0.02
86,1,-0.95,-0.11,0.02
88,1,-0.95,-0.11,0.02
90,1,-0.95,-0.11,0.02
91,1,-0.95,-0.11,0.02
93,1,-0.96,-0.13,0.02
95,1,-0.96,-0.13,0.02
96,1,-0.96,-0.13,0.02
98,1,-0.96,-0.13,0.02
100,1,-0.96,-0.13,0.02
101,1,-0.96,-0.13,0.02
103,1,-0.97,-0.14,0.03
105,1,-0.97,-0.14,0.03
106,1,-0.97,-0.14,0.03
108,1,-0.97,-0.14,0.03
110,1,-0.97,-0.14,0.03
111,1,-0.97,-0.14,0.03
113,1,-0.98,-0.17,0.03
114,1,-0.98,-0.17,0.03
116,1,-0.98,-0.17,0.03
118,1,-0.98,-0.17,0.03
