t,l,x,y,z
0,1,-0.98,0.05,0.04
2,1,-0.98,0.05,0.04
3,1,-0.98,0.06,0.04
5,1,-0.98,0.06,0.04
7,1,-0.98,0.06,0.04
8,1,-0.98,0.06,0.04
10,1,-0.98,0.06,0.04
12,1,-0.98,0.06,0.04
13,1,-0.98,0.06,0.04
15,1,-0.98,0.06,0.04
17,1,-0.98,0.06,0.04
18,1,-0.98,0.06,0.04
20,1,-0.98,0.06,0.04
22,1,-0.98,0.05,0.04
23,1,-0.98,0.05,0.04
25,1,-0.98,0.05,0.04
27,1,-0.98,0.05,0.04
28,1,-0.98,0.05,0.04
30,1,-0.98,0.05,0.04
32,1,-0.98,0.05,0.04
33,1,-0.98,0.05,0.04
35,1,-0.98,0.05,0.04
36,1,-0.98,0.05,0.04
38,1,-0.98,0.05,0.04
40,1,-0.98,0.05,0.04
41,1,-0.98,0.05,0.05
43,1,-0.98,0.05,0.05
45,1,-0.98,0.05,0.05
46,1,-0.98,0.05,0.05
48,1,-0.98,0.05,0.05
50,1,-0.98,0.05,0.05
51,1,-0.98,0.06,0.04
53,1,-0.98,0.06,0.04
55,1,-0.98,0.06,0.04
56,1,-0.98,0.06,0.04
58,1,-0.98,0.06,0.04
60,1,-0.98,0.06,0.04
61,1,-0.98,0.06,0.04
63,1,-0.98,0.06,0.04
65,1,-0.98,0.06,0.04
66,1,-0.98,0.06,0.04
68,1,-0.98,0.06,0.04
70,1,-0.98,0.06,0.04
71,1,-0.98,0.06,0.04
73,1,-0.98,0.06,0.04
74,1,-0.98,0.06,0.04
76,1,-0.98,0.06,0.04
78,1,-0.98,0.06,0.04
79,1,-0.98,0.06,0.04
81,1,-0.98,0.06,0.04
83,1,-0.98,0.06,0.04
84,1,-0.98,0.06,0.04
86,1,-0.98,0.06,0.04
88,1,-0.98,0.06,0.04
89,1,-0.98,0.06,0.04
91,1,-0.98,0.05,0.04
93,1,-0.98,0.05,0.04
94,1,-0.98,0.05,0.04
96,1,-0.98,0.05,0.04
98,1,-0.98,0.05,0.04
99,1,-0.98,0.05,0.04
101,1,-0.98,0.05,0.05
103,1,-0.98,0.05,0.05
104,1,-0.98,0.05,0.05
106,1,-0.98,0.05,0.05
108,1,-0.98,0.05,0.05
109,1,-0.98,0.05,0.04
111,1,-0.98,0.04,0.04
113,1,-0.98,0.04,0.04
114,1,-0.98,0.04,0.04
116,1,-0.98,0.04,0.04
118,1,-0.98,0.04,0.04
119,1,-0.98,0.05,0.04
121,1,-0.98,0.05,0.04
122,1,-0.98,0.05,0.04
124,1,-0.98,0.05,0.04
126,1,-0.98,0.05,0.04
127,1,-0.98,0.05,0.04
129,1,-0.98,0.06,0.04
131,1,-0.98,0.06,0.04
132,1,-0.98,0.06,0.04
134,1,-0.98,0.06,0.04
135,1,-0.98,0.06,0.04
137,1,-0.98,0.06,0.04
139,1,-0.98,0.06,0.04
140,1,-0.98,0.06,0.04
142,1,-0.98,0.06,0.04
144,1,-0.98,0.06,0.04
145,1,-0.98,0.06,0.04
147,1,-0.98,0.06,0.04
149,1,-0.98,0.06,0.03
150,1,-0.98,0.06,0.03
152,1,-0.98,0.06,0.03
153,1,-0.98,0.06,0.03
155,1,-0.98,0.06,0.03
157,1,-0.98,0.06,0.03
158,1,-0.98,0.06,0.03
160,1,-0.98,0.06,0.03
162,1,-0.98,0.06,0.03
163,1,-0.98,0.06,0.03
165,1,-0.98,0.06,0.03
167,1,-0.98,0.06,0.03
168,1,-0.98,0.05,0.04
170,1,-0.98,0.05,0.04
172,1,-0.98,0.05,0.04
173,1,-0.98,0.05,0.04
175,1,-0.98,0.05,0.04
177,1,-0.98,0.05,0.04
178,1,-0.98,0.05,0.04
180,1,-0.98,0.05,0.04
182,1,-0.98,0.05,0.04
183,1,-0.98,0.05,0.04
185,1,-0.98,0.05,0.04
187,1,-0.98,0.05,0.04
188,1,-0.98,0.05,0.05
190,1,-0.98,0.05,0.05
192,1,-0.98,0.05,0.05
193,1,-0.98,0.05,0.05
195,1,-0.98,0.05,0.05
197,1,-0.98,0.05,0.05
198,1,-0.98,0.04,0.04
200,1,-0.98,0.04,0.04
202,1,-0.98,0.04,0.04
203,1,-0.98,0.04,0.04
205,1,-0.98,0.04,0.04
207,1,-0.98,0.04,0.04
208,1,-0.98,0.06,0.04
210,1,-0.98,0.06,0.04
212,1,-0.98,0.06,0.04
213,1,-0.98,0.06,0.04
215,1,-0.98,0.06,0.04
217,1,-0.98,0.06,0.04
218,1,-0.98,0.05,0.05
220,1,-0.98,0.05,0.05
222,1,-0.98,0.05,0.05
223,1,-0.98,0.05,0.05
225,1,-0.98,0.05,0.05
227,1,-0.98,0.05,0.05
228,1,-0.98,0.05,0.05
230,1,-0.98,0.05,0.05
232,1,-0.98,0.05,0.05
233,1,-0.98,0.05,0.05
235,1,-0.98,0.05,0.05
236,1,-0.98,0.06,0.06
238,1,-0.98,0.06,0.06
240,1,-0.98,0.06,0.06
241,1,-0.98,0.06,0.06
243,1,-0.98,0.06,0.06
245,1,-0.98,0.06,0.06
246,1,-0.99,0.07,0.06
248,1,-0.99,0.07,0.06
250,1,-0.99,0.07,0.06
251,1,-0.99,0.07,0.06
253,1,-0.99,0.07,0.06
255,1,-0.99,0.07,0.06
256,1,-1.0,0.1,0.08
258,1,-1.0,0.1,0.08
259,1,-1.0,0.1,0.08
261,1,-1.0,0.1,0.08
263,1,-1.0,0.1,0.08
264,1,-1.0,0.1,0.08
266,1,-1.02,0.14,0.13
268,1,-1.02,0.14,0.13
269,1,-1.02,0.14,0.13
271,1,-1.02,0.14,0.13
273,1,-1.02,0.14,0.13
274,1,-1.02,0.14,0.13
276,1,-1.02,0.17,0.2
278,1,-1.02,0.17,0.2
279,1,-1.02,0.17,0.2
281,1,-1.02,0.17,0.2
283,1,-1.02,0.17,0.2
284,1,-1.02,0.17,0.2
286,1,-1.0,0.2,0.32
288,1,-1.0,0.2,0.32
289,1,-1.0,0.2,0.32
291,1,-1.0,0.2,0.32
293,1,-1.0,0.2,0.32
294,1,-1.0,0.2,0.32
296,1,-1.03,0.18,0.58
298,1,-1.03,0.18,0.58
299,1,-1.03,0.18,0.58
301,1,-1.03,0.18,0.58
303,1,-1.03,0.18,0.58
304,1,-1.03,0.18,0.58
306,1,-1.08,0.16,0.85
308,1,-1.08,0.16,0.85
309,1,-1.08,0.16,0.85
311,1,-1.08,0.16,0.85
313,1,-1.08,0.16,0.85
314,1,-1.08,0.16,1.02
316,1,-1.03,0.08,1.02
318,1,-1.03,0.08,1.02
319,1,-1.03,0.08,1.02
321,1,-1.03,0.08,1.02
323,1,-1.03,0.08,1.02
324,1,-1.03,0.08,1.2
326,1,-1.01,0.03,1.2
327,1,-1.01,0.03,1.2
329,1,-1.01,0.03,1.2
331,1,-1.01,0.03,1.2
332,1,-1.01,0.03,1.2
334,1,-0.89,0.01,1.2
336,1,-0.92,0.01,1.2
337,1,-0.92,0.01,1.2
339,1,-0.92,0.01,1.2
341,1,-0.92,0.01,1.2
342,1,-0.92,0.01,1.2
344,1,-0.92,0.03,1.28
346,1,-0.92,0.03,1.28
347,1,-0.92,0.03,1.28
349,1,-0.92,0.03,1.28
351,1,-0.92,0.03,1.28
352,1,-0.92,0.03,1.28
354,1,-0.83,0.02,1.27
356,1,-0.83,0.02,1.27
357,1,-0.83,0.02,1.27
359,1,-0.83,0.02,1.27
361,1,-0.83,0.02,1.27
362,1,-0.83,0.02,1.27
364,1,-0.71,-0.03,1.24
366,1,-0.71,-0.03,1.24
367,1,-0.71,-0.03,1.24
369,1,-0.71,-0.03,1.24
371,1,-0.71,-0.03,1.24
372,1,-0.71,-0.03,1.24
374,1,-0.66,-0.1,1.28
376,1,-0.66,-0.1,1.28
378,1,-0.66,-0.1,1.28
379,1,-0.66,-0.1,1.28
381,1,-0.66,-0.1,1.28
383,1,-0.66,-0.1,1.28
384,1,-0.6,-0.21,1.35
386,1,-0.6,-0.21,1.35
388,1,-0.6,-0.21,1.35
389,1,-0.6,-0.21,1.35
391,1,-0.6,-0.21,1.35
