t,l,x,y,z
0,1,-0.97,-0.08,-0.09
2,1,-0.97,-0.08,-0.09
3,1,-0.97,-0.08,-0.09
5,1,-0.97,-0.08,-0.09
7,1,-0.97,-0.08,-0.09
9,1,-0.97,-0.07,-0.1
10,1,-0.97,-0.07,-0.1
12,1,-0.97,-0.07,-0.1
14,1,-0.97,-0.07,-0.1
15,1,-0.97,-0.07,-0.1
17,1,-0.97,-0.07,-0.1
19,1,-0.98,-0.08,-0.1
20,1,-0.98,-0.08,-0.1
22,1,-0.98,-0.08,-0.1
24,1,-0.98,-0.08,-0.1
25,1,-0.98,-0.08,-0.1
27,1,-0.98,-0.08,-0.1
29,1,-0.97,-0.08,-0.1
30,1,-0.97,-0.08,-0.1
32,1,-0.97,-0.08,-0.1
34,1,-0.97,-0.08,-0.1
35,1,-0.97,-0.08,-0.1
37,1,-0.97,-0.08,-0.1
39,1,-0.97,-0.07,-0.1
40,1,-0.97,-0.07,-0.1
42,1,-0.97,-0.07,-0.1
44,1,-0.97,-0.07,-0.1
45,1,-0.97,-0.07,-0.1
47,1,-0.97,-0.07,-0.11
49,1,-0.97,-0.07,-0.11
50,1,-0.97,-0.07,-0.11
52,1,-0.97,-0.07,-0.11
54,1,-0.97,-0.07,-0.11
55,1,-0.97,-0.07,-0.11
57,1,-0.97,-0.08,-0.1
59,1,-0.97,-0.08,-0.1
60,1,-0.97,-0.08,-0.1
62,1,-0.97,-0.08,-0.1
64,1,-0.97,-0.08,-0.1
65,1,-0.97,-0.08,-0.1
67,1,-0.98,-0.1,-0.08
69,1,-0.98,-0.1,-0.08
70,1,-0.98,-0.1,-0.08
72,1,-0.98,-0.1,-0.08
74,1,-0.98,-0.1,-0.08
75,1,-0.98,-0.1,-0.08
77,1,-0.98,-0.1,-0.07
79,1,-0.98,-0.1,-0.07
80,1,-0.98,-0.1,-0.07
82,1,-0.98,-0.1,-0.07
84,1,-0.98,-0.1,-0.07
85,1,-0.98,-0.1,-0.07
87,1,-0.97,-0.1,-0.06
89,1,-0.97,-0.1,-0.06
90,1,-0.97,-0.1,-0.06
92,1,-0.97,-0.1,-0.06
94,1,-0.97,-0.1,-0.06
95,1,-0.97,-0.1,-0.06
97,1,-0.97,-0.09,-0.07
99,1,-0.97,-0.09,-0.07
100,1,-0.97,-0.09,-0.07
102,1,-0.97,-0.09,-0.07
104,1,-0.97,-0.09,-0.07
105,1,-0.97,-0.09,-0.08
107,1,-0.98,-0.1,-0.08
109,1,-0.98,-0.1,-0.08
110,1,-0.98,-0.1,-0.08
112,1,-0.98,-0.1,-0.08
114,1,-0.98,-0.1,-0.08
115,1,-0.99,-0.09,-0.08
117,1,-0.99,-0.09,-0.08
119,1,-0.99,-0.09,-0.08
120,1,-0.99,-0.09,-0.08
122,1,-0.99,-0.09,-0.08
124,1,-0.99,-0.09,-0.08
125,1,-0.97,-0.09,-0.08
127,1,-0.97,-0.09,-0.08
129,1,-0.97,-0.09,-0.08
130,1,-0.97,-0.09,-0.08
132,1,-0.97,-0.09,-0.08
134,1,-0.97,-0.09,-0.08
135,1,-0.98,-0.07,-0.09
137,1,-0.98,-0.07,-0.09
139,1,-0.98,-0.07,-0.09
140,1,-0.98,-0.07,-0.09
142,1,-0.98,-0.07,-0.09
144,1,-0.98,-0.07,-0.09
145,1,-0.96,-0.07,-0.09
147,1,-0.96,-0.07,-0.09
149,1,-0.96,-0.07,-0.09
150,1,-0.96,-0.07,-0.09
152,1,-0.96,-0.07,-0.09
154,1,-0.96,-0.07,-0.09
155,1,-0.96,-0.09,-0.1
157,1,-0.96,-0.09,-0.1
159,1,-0.96,-0.09,-0.1
160,1,-0.96,-0.09,-0.1
162,1,-0.96,-0.09,-0.1
164,1,-0.96,-0.09,-0.1
165,1,-0.97,-0.07,-0.12
167,1,-0.97,-0.07,-0.12
169,1,-0.97,-0.07,-0.12
170,1,-0.97,-0.07,-0.12
172,1,-0.97,-0.07,-0.12
174,1,-0.97,-0.07,-0.13
175,1,-0.97,-0.06,-0.13
177,1,-0.97,-0.06,-0.13
179,1,-0.97,-0.06,-0.13
180,1,-0.97,-0.06,-0.13
182,1,-0.97,-0.06,-0.13
184,1,-0.96,-0.07,-0.12
185,1,-0.96,-0.07,-0.12
187,1,-0.96,-0.07,-0.12
189,1,-0.96,-0.07,-0.12
190,1,-0.96,-0.07,-0.12
192,1,-0.96,-0.07,-0.12
194,1,-0.97,-0.08,-0.1
195,1,-0.97,-0.08,-0.1
197,1,-0.97,-0.08,-0.1
199,1,-0.97,-0.08,-0.1
201,1,-0.97,-0.08,-0.1
202,1,-0.97,-0.08,-0.1
204,1,-0.98,-0.09,-0.09
206,1,-0.98,-0.09,-0.09
207,1,-0.98,-0.09,-0.09
209,1,-0.98,-0.09,-0.09
211,1,-0.98,-0.09,-0.09
212,1,-0.98,-0.09,-0.09
214,1,-0.98,-0.09,-0.08
216,1,-0.98,-0.09,-0.08
217,1,-0.98,-0.09,-0.08
219,1,-0.98,-0.09,-0.08
221,1,-0.98,-0.09,-0.08
222,1,-0.98,-0.09,-0.08
224,1,-0.97,-0.09,-0.06
226,1,-0.97,-0.09,-0.06
227,1,-0.97,-0.09,-0.06
229,1,-0.97,-0.09,-0.06
231,1,-0.97,-0.09,-0.06
232,1,-0.97,-0.09,-0.06
234,1,-0.97,-0.09,-0.06
236,1,-0.97,-0.09,-0.06
237,1,-0.97,-0.09,-0.06
239,1,-0.97,-0.09,-0.06
241,1,-0.97,-0.09,-0.06
242,1,-0.97,-0.09,-0.07
244,1,-0.98,-0.09,-0.07
246,1,-0.98,-0.09,-0.07
247,1,-0.98,-0.09,-0.07
249,1,-0.98,-0.09,-0.07
251,1,-0.98,-0.09,-0.07
252,1,-0.98,-0.09,-0.07
254,1,-0.98,-0.09,-0.07
256,1,-0.98,-0.09,-0.07
257,1,-0.98,-0.09,-0.07
259,1,-0.98,-0.09,-0.07
