t,l,x,y,z
0,1,-0.98,0.08,-0.02
1,1,-0.98,0.08,-0.02
3,1,-0.98,0.08,-0.02
5,1,-0.98,0.08,-0.02
6,1,-0.98,0.08,-0.02
8,1,-0.98,0.07,-0.02
10,1,-0.98,0.07,-0.02
11,1,-0.98,0.07,-0.02
13,1,-0.98,0.07,-0.02
14,1,-0.98,0.07,-0.02
16,1,-0.98,0.07,-0.02
18,1,-0.98,0.07,-0.01
19,1,-0.98,0.07,-0.01
21,1,-0.98,0.07,-0.01
23,1,-0.98,0.07,-0.01
24,1,-0.98,0.07,-0.01
26,1,-0.98,0.07,-0.01
28,1,-0.98,0.06,-0.0
29,1,-0.98,0.06,-0.0
31,1,-0.98,0.06,-0.0
33,1,-0.98,0.06,-0.0
34,1,-0.98,0.06,-0.0
36,1,-0.98,0.06,-0.0
38,1,-0.98,0.05,0.0
39,1,-0.98,0.05,0.0
41,1,-0.98,0.05,0.0
43,1,-0.98,0.05,0.0
44,1,-0.98,0.05,0.0
46,1,-0.98,0.05,0.0
48,1,-0.98,0.05,0.0
49,1,-0.98,0.05,0.0
51,1,-0.98,0.05,0.0
52,1,-0.98,0.05,0.0
54,1,-0.98,0.05,0.0
56,1,-0.98,0.05,0.0
57,1,-0.98,0.05,-0.0
59,1,-0.98,0.05,-0.0
61,1,-0.98,0.05,-0.0
62,1,-0.98,0.05,-0.0
64,1,-0.98,0.05,-0.0
66,1,-0.98,0.05,-0.01
67,1,-0.98,0.06,-0.01
69,1,-0.98,0.06,-0.01
71,1,-0.98,0.06,-0.01
72,1,-0.98,0.06,-0.01
74,1,-0.98,0.06,-0.01
76,1,-0.98,0.06,-0.01
77,1,-0.98,0.07,-0.01
79,1,-0.98,0.07,-0.01
81,1,-0.98,0.07,-0.01
82,1,-0.98,0.07,-0.01
84,1,-0.98,0.07,-0.01
86,1,-0.98,0.07,-0.01
87,1,-0.98,0.07,-0.01
89,1,-0.98,0.07,-0.01
91,1,-0.98,0.07,-0.01
92,1,-0.98,0.07,-0.01
94,1,-0.98,0.07,-0.01
96,1,-0.98,0.08,-0.01
97,1,-0.98,0.08,-0.01
99,1,-0.98,0.08,-0.01
100,1,-0.98,0.08,-0.01
102,1,-0.98,0.08,-0.01
104,1,-0.98,0.08,-0.01
105,1,-0.98,0.07,-0.01
107,1,-0.98,0.07,-0.01
109,1,-0.98,0.07,-0.01
110,1,-0.98,0.07,-0.01
112,1,-0.98,0.07,-0.01
114,1,-0.98,0.07,-0.01
115,1,-0.98,0.07,-0.02
117,1,-0.98,0.07,-0.02
119,1,-0.98,0.07,-0.02
120,1,-0.98,0.07,-0.02
122,1,-0.98,0.07,-0.02
124,1,-0.98,0.07,-0.02
125,1,-0.98,0.07,-0.02
127,1,-0.98,0.07,-0.02
129,1,-0.98,0.07,-0.02
130,1,-0.98,0.07,-0.02
132,1,-0.98,0.07,-0.02
134,1,-0.98,0.07,-0.02
135,1,-0.98,0.06,-0.01
137,1,-0.98,0.06,-0.01
139,1,-0.98,0.06,-0.01
140,1,-0.98,0.06,-0.01
142,1,-0.98,0.06,-0.01
144,1,-0.98,0.06,-0.01
145,1,-0.98,0.06,-0.01
147,1,-0.98,0.06,-0.01
149,1,-0.98,0.06,-0.01
150,1,-0.98,0.06,-0.01
152,1,-0.98,0.06,-0.01
154,1,-0.98,0.06,-0.01
155,1,-0.98,0.06,-0.01
