t,l,x,y,z,Unnamed: 5
0,1,-0.99,-0.05,0.01,
1,1,-0.99,-0.05,0.01,
3,1,-0.99,-0.05,0.01,
5,1,-0.99,-0.05,0.01,
6,1,-0.99,-0.05,0.01,
8,1,-0.99,-0.05,0.01,
10,1,-0.99,-0.05,0.0,
11,1,-0.99,-0.05,0.0,
13,1,-0.99,-0.05,0.0,
15,1,-0.99,-0.05,0.0,
16,1,-0.99,-0.05,0.0,
18,1,-0.99,-0.05,0.0,
20,1,-0.98,-0.04,0.0,
21,1,-0.98,-0.04,0.0,
23,1,-0.98,-0.04,0.0,
25,1,-0.98,-0.04,0.0,
26,1,-0.98,-0.04,0.0,
28,1,-0.98,-0.04,0.0,
30,1,-0.98,-0.04,0.0,
31,1,-0.98,-0.04,0.0,
33,1,-0.98,-0.04,0.0,
35,1,-0.98,-0.04,0.0,
36,1,-0.98,-0.04,0.0,
38,1,-0.98,-0.04,0.0,
40,1,-0.98,-0.03,0.01,
41,1,-0.98,-0.03,0.01,
43,1,-0.98,-0.03,0.01,
45,1,-0.98,-0.03,0.01,
46,1,-0.98,-0.03,0.01,
48,1,-0.98,-0.03,0.01,
50,1,-0.98,-0.03,0.01,
51,1,-0.98,-0.03,0.01,
53,1,-0.98,-0.03,0.01,
55,1,-0.98,-0.03,0.01,
56,1,-0.98,-0.03,0.01,
58,1,-0.98,-0.03,0.0,
60,1,-0.97,-0.03,0.0,
61,1,-0.97,-0.03,0.0,
63,1,-0.97,-0.03,0.0,
65,1,-0.97,-0.03,0.0,
66,1,-0.97,-0.03,0.0,
68,1,-0.98,-0.05,0.01,
70,1,-0.98,-0.05,0.01,
71,1,-0.98,-0.05,0.01,
73,1,-0.98,-0.05,0.01,
75,1,-0.98,-0.05,0.01,
76,1,-0.98,-0.05,0.01,
78,1,-0.98,-0.05,0.01,
80,1,-0.98,-0.05,0.01,
81,1,-0.98,-0.05,0.01,
83,1,-0.98,-0.05,0.01,
85,1,-0.98,-0.05,0.01,
86,1,-0.98,-0.05,0.01,
88,1,-0.98,-0.05,0.0,
90,1,-0.98,-0.05,0.0,
91,1,-0.98,-0.05,0.0,
93,1,-0.98,-0.05,0.0,
95,1,-0.98,-0.05,0.0,
96,1,-0.98,-0.05,0.0,
98,1,-0.98,-0.04,0.0,
100,1,-0.98,-0.04,0.0,
101,1,-0.98,-0.04,0.0,
103,1,-0.98,-0.04,0.0,
105,1,-0.98,-0.04,0.0,
106,1,-0.98,-0.04,0.0,
108,1,-0.98,-0.04,0.0,
110,1,-0.98,-0.04,0.0,
111,1,-0.98,-0.04,0.0,
113,1,-0.98,-0.04,0.0,
115,1,-0.98,-0.04,0.0,
116,1,-0.98,-0.04,0.0,
118,1,-0.97,-0.03,0.0,
