t,l,x,y,z
0,1,-0.97,0.14,-0.02
2,1,-0.97,0.14,-0.02
3,1,-0.97,0.14,-0.02
5,1,-0.97,0.14,-0.02
7,1,-0.97,0.14,-0.02
8,1,-0.97,0.14,-0.02
10,1,-0.97,0.14,-0.02
12,1,-0.97,0.14,-0.02
13,1,-0.97,0.14,-0.02
15,1,-0.97,0.14,-0.02
17,1,-0.98,0.14,-0.01
18,1,-0.98,0.14,-0.01
20,1,-0.98,0.14,-0.01
22,1,-0.98,0.14,-0.01
23,1,-0.98,0.14,-0.01
25,1,-0.98,0.14,-0.01
27,1,-0.98,0.14,-0.01
28,1,-0.98,0.14,-0.01
30,1,-0.98,0.14,-0.01
32,1,-0.98,0.14,-0.01
33,1,-0.98,0.14,-0.01
35,1,-0.98,0.14,-0.01
37,1,-0.98,0.13,-0.01
38,1,-0.98,0.13,-0.01
40,1,-0.98,0.13,-0.01
42,1,-0.98,0.13,-0.01
43,1,-0.98,0.13,-0.01
45,1,-0.98,0.13,-0.0
47,1,-0.98,0.13,-0.0
48,1,-0.98,0.13,-0.0
50,1,-0.98,0.13,-0.0
52,1,-0.98,0.13,-0.0
53,1,-0.98,0.13,-0.0
55,1,-0.98,0.14,-0.01
57,1,-0.98,0.14,-0.01
58,1,-0.98,0.14,-0.01
60,1,-0.98,0.14,-0.01
62,1,-0.98,0.14,-0.01
63,1,-0.98,0.14,-0.01
65,1,-0.98,0.14,-0.01
67,1,-0.98,0.14,-0.01
68,1,-0.98,0.14,-0.01
70,1,-0.98,0.14,-0.01
72,1,-0.98,0.14,-0.01
73,1,-0.98,0.14,-0.01
75,1,-0.98,0.14,-0.02
77,1,-0.98,0.14,-0.02
78,1,-0.98,0.14,-0.02
80,1,-0.98,0.14,-0.02
82,1,-0.98,0.14,-0.02
83,1,-0.98,0.14,-0.02
85,1,-0.98,0.14,-0.01
87,1,-0.98,0.14,-0.01
88,1,-0.98,0.14,-0.01
90,1,-0.98,0.14,-0.01
92,1,-0.98,0.14,-0.01
93,1,-0.98,0.14,-0.01
95,1,-0.98,0.14,-0.01
97,1,-0.98,0.14,-0.01
98,1,-0.98,0.14,-0.01
100,1,-0.98,0.14,-0.01
102,1,-0.98,0.14,-0.01
103,1,-0.98,0.14,-0.01
105,1,-0.98,0.14,-0.01
107,1,-0.98,0.14,-0.01
108,1,-0.98,0.14,-0.01
110,1,-0.98,0.14,-0.01
112,1,-0.98,0.14,-0.01
113,1,-0.98,0.14,-0.01
115,1,-0.98,0.14,-0.01
117,1,-0.98,0.14,-0.01
118,1,-0.98,0.14,-0.01
120,1,-0.98,0.14,-0.01
122,1,-0.98,0.14,-0.01
123,1,-0.98,0.14,-0.01
125,1,-0.98,0.14,-0.01
127,1,-0.98,0.14,-0.01
128,1,-0.98,0.14,-0.01
130,1,-0.98,0.14,-0.01
132,1,-0.98,0.14,-0.01
133,1,-0.97,0.14,-0.01
135,1,-0.97,0.14,-0.01
137,1,-0.97,0.14,-0.01
138,1,-0.97,0.14,-0.01
140,1,-0.97,0.14,-0.01
142,1,-0.97,0.14,-0.01
143,1,-0.97,0.14,-0.02
145,1,-0.97,0.14,-0.02
147,1,-0.97,0.14,-0.02
148,1,-0.97,0.14,-0.02
150,1,-0.97,0.14,-0.02
152,1,-0.97,0.14,-0.02
153,1,-0.98,0.14,-0.02
155,1,-0.98,0.14,-0.02
157,1,-0.98,0.14,-0.02
158,1,-0.98,0.14,-0.02
160,1,-0.98,0.14,-0.02
162,1,-0.98,0.14,-0.02
163,1,-0.97,0.14,-0.01
165,1,-0.97,0.14,-0.01
167,1,-0.97,0.14,-0.01
168,1,-0.97,0.14,-0.01
170,1,-0.97,0.14,-0.01
172,1,-0.97,0.14,-0.01
173,1,-0.98,0.13,-0.01
175,1,-0.98,0.13,-0.01
177,1,-0.98,0.13,-0.01
178,1,-0.98,0.13,-0.01
180,1,-0.98,0.13,-0.01
182,1,-0.98,0.14,-0.01
183,1,-0.97,0.14,-0.01
185,1,-0.97,0.14,-0.01
187,1,-0.97,0.14,-0.01
188,1,-0.97,0.14,-0.01
190,1,-0.97,0.14,-0.01
192,1,-0.98,0.14,-0.0
193,1,-0.98,0.14,-0.0
195,1,-0.98,0.14,-0.0
197,1,-0.98,0.14,-0.0
198,1,-0.98,0.14,-0.0
200,1,-0.98,0.14,-0.0
202,1,-0.97,0.14,-0.01
203,1,-0.97,0.14,-0.01
205,1,-0.97,0.14,-0.01
207,1,-0.97,0.14,-0.01
209,1,-0.97,0.14,-0.01
210,1,-0.97,0.14,-0.01
212,1,-0.97,0.14,-0.01
214,1,-0.97,0.14,-0.01
215,1,-0.97,0.14,-0.01
217,1,-0.97,0.14,-0.01
219,1,-0.97,0.14,-0.01
220,1,-0.97,0.14,-0.01
222,1,-0.98,0.14,-0.01
224,1,-0.98,0.14,-0.01
225,1,-0.98,0.14,-0.01
227,1,-0.98,0.14,-0.01
229,1,-0.98,0.14,-0.01
230,1,-0.98,0.14,-0.01
232,1,-0.97,0.14,-0.02
234,1,-0.97,0.14,-0.02
235,1,-0.97,0.14,-0.02
237,1,-0.97,0.14,-0.02
239,1,-0.97,0.14,-0.02
240,1,-0.97,0.14,-0.02
242,1,-0.98,0.14,-0.02
244,1,-0.98,0.14,-0.02
245,1,-0.98,0.14,-0.02
247,1,-0.98,0.14,-0.02
249,1,-0.98,0.14,-0.02
250,1,-0.98,0.14,-0.02
252,1,-0.98,0.14,-0.02
254,1,-0.98,0.14,-0.02
255,1,-0.98,0.14,-0.02
257,1,-0.98,0.14,-0.02
259,1,-0.98,0.14,-0.02
260,1,-0.97,0.14,-0.02
262,1,-0.97,0.14,-0.02
264,1,-0.97,0.14,-0.02
265,1,-0.97,0.14,-0.02
267,1,-0.97,0.14,-0.02
269,1,-0.97,0.14,-0.02
270,1,-0.97,0.14,-0.02
272,1,-0.97,0.14,-0.02
274,1,-0.97,0.14,-0.02
275,1,-0.97,0.14,-0.02
277,1,-0.97,0.14,-0.02
279,1,-0.97,0.14,-0.02
280,1,-0.98,0.14,-0.02
282,1,-0.98,0.14,-0.02
284,1,-0.98,0.14,-0.02
285,1,-0.98,0.14,-0.02
287,1,-0.98,0.14,-0.02
289,1,-0.98,0.14,-0.02
290,1,-0.98,0.13,-0.01
292,1,-0.98,0.13,-0.01
294,1,-0.98,0.13,-0.01
295,1,-0.98,0.13,-0.01
297,1,-0.98,0.13,-0.01
299,1,-0.98,0.13,-0.01
300,1,-0.97,0.13,-0.02
302,1,-0.97,0.13,-0.02
304,1,-0.97,0.13,-0.02
305,1,-0.97,0.13,-0.02
307,1,-0.97,0.13,-0.02
309,1,-0.97,0.13,-0.03
310,1,-0.97,0.13,-0.03
312,1,-0.97,0.13,-0.03
314,1,-0.97,0.13,-0.03
315,1,-0.97,0.13,-0.03
317,1,-0.97,0.13,-0.03
319,1,-0.97,0.13,-0.04
320,1,-0.97,0.13,-0.04
322,1,-0.97,0.13,-0.04
324,1,-0.97,0.13,-0.04
325,1,-0.97,0.13,-0.04
327,1,-0.97,0.13,-0.04
329,1,-0.96,0.15,-0.06
330,1,-0.96,0.15,-0.06
332,1,-0.96,0.15,-0.06
334,1,-0.96,0.15,-0.06
335,1,-0.96,0.15,-0.06
337,1,-0.96,0.15,-0.06
339,1,-0.96,0.15,-0.09
340,1,-0.96,0.15,-0.09
342,1,-0.96,0.15,-0.09
344,1,-0.96,0.15,-0.09
345,1,-0.96,0.15,-0.09
347,1,-0.96,0.15,-0.09
349,1,-0.91,0.16,-0.14
350,1,-0.91,0.16,-0.14
352,1,-0.91,0.16,-0.14
354,1,-0.91,0.16,-0.14
355,1,-0.91,0.16,-0.14
357,1,-0.91,0.16,-0.14
359,1,-0.9,0.16,-0.2
360,1,-0.9,0.16,-0.2
362,1,-0.9,0.16,-0.2
364,1,-0.9,0.16,-0.2
365,1,-0.9,0.16,-0.2
367,1,-0.9,0.16,-0.07
369,1,-0.93,0.23,-0.12
370,1,-0.93,0.23,-0.12
372,1,-0.93,0.23,-0.12
374,1,-0.93,0.23,-0.12
375,1,-0.93,0.23,-0.12
377,1,-1.05,0.36,0.12
379,1,-1.02,0.36,0.12
381,1,-1.02,0.36,0.12
382,1,-1.02,0.36,0.12
384,1,-1.02,0.36,0.12
386,1,-1.02,0.36,0.12
387,1,-1.23,0.59,0.58
389,1,-1.23,0.59,0.58
390,1,-1.23,0.59,0.58
392,1,-1.23,0.59,0.58
394,1,-1.23,0.59,0.58
396,1,-1.23,0.59,0.58
397,1,-1.24,0.68,1.16
399,1,-1.24,0.68,1.16
401,1,-1.24,0.68,1.16
402,1,-1.24,0.68,1.16
404,1,-1.24,0.68,1.16
406,1,-1.24,0.68,1.16
407,1,-1.26,0.61,1.72
409,1,-1.26,0.61,1.72
411,1,-1.26,0.61,1.72
412,1,-1.26,0.61,1.72
414,1,-1.26,0.61,1.72
415,1,-1.26,0.61,1.72
