t,l,x,y,z
0,1,-0.98,-0.01,-0.05
1,1,-0.98,-0.01,-0.05
3,1,-0.98,-0.01,-0.05
5,1,-0.98,0.0,-0.05
6,1,-0.98,0.0,-0.05
8,1,-0.98,0.0,-0.05
10,1,-0.98,0.0,-0.05
11,1,-0.98,0.0,-0.05
13,1,-0.98,0.0,-0.05
15,1,-0.97,0.0,-0.05
16,1,-0.97,0.0,-0.05
18,1,-0.97,0.0,-0.05
20,1,-0.97,0.0,-0.05
21,1,-0.97,0.0,-0.05
23,1,-0.97,0.0,-0.05
25,1,-0.98,-0.0,-0.05
26,1,-0.98,-0.0,-0.05
28,1,-0.98,-0.0,-0.05
30,1,-0.98,-0.0,-0.05
31,1,-0.98,-0.0,-0.05
33,1,-0.98,-0.0,-0.05
35,1,-0.98,0.0,-0.06
36,1,-0.98,0.0,-0.06
38,1,-0.98,0.0,-0.06
40,1,-0.98,0.0,-0.06
41,1,-0.98,0.0,-0.06
43,1,-0.98,0.0,-0.05
44,1,-0.98,-0.0,-0.05
46,1,-0.98,-0.0,-0.05
48,1,-0.98,-0.0,-0.05
49,1,-0.98,-0.0,-0.05
51,1,-0.98,-0.0,-0.05
53,1,-0.98,0.0,-0.06
54,1,-0.98,0.0,-0.06
56,1,-0.98,0.0,-0.06
58,1,-0.98,0.0,-0.06
59,1,-0.98,0.0,-0.06
61,1,-0.98,0.0,-0.06
63,1,-0.98,-0.0,-0.05
64,1,-0.98,-0.0,-0.05
66,1,-0.98,-0.0,-0.05
68,1,-0.98,-0.0,-0.05
69,1,-0.98,-0.0,-0.05
71,1,-0.98,-0.0,-0.05
73,1,-0.98,0.0,-0.05
74,1,-0.98,0.0,-0.05
76,1,-0.98,0.0,-0.05
77,1,-0.98,0.0,-0.05
79,1,-0.98,0.0,-0.05
81,1,-0.98,0.0,-0.05
82,1,-0.97,0.0,-0.05
84,1,-0.97,0.0,-0.05
86,1,-0.97,0.0,-0.05
87,1,-0.97,0.0,-0.05
89,1,-0.97,0.0,-0.05
91,1,-0.97,0.0,-0.05
92,1,-0.98,-0.01,-0.06
94,1,-0.98,-0.01,-0.06
96,1,-0.98,-0.01,-0.06
97,1,-0.98,-0.01,-0.06
99,1,-0.98,-0.01,-0.06
101,1,-0.98,-0.01,-0.06
102,1,-0.98,-0.0,-0.05
104,1,-0.98,-0.0,-0.05
106,1,-0.98,-0.0,-0.05
107,1,-0.98,-0.0,-0.05
109,1,-0.98,-0.0,-0.05
111,1,-0.98,-0.0,-0.05
112,1,-0.97,-0.0,-0.05
114,1,-0.97,-0.0,-0.05
116,1,-0.97,-0.0,-0.05
117,1,-0.97,-0.0,-0.05
119,1,-0.97,-0.0,-0.05
120,1,-0.97,-0.0,-0.05
122,1,-0.98,-0.0,-0.05
124,1,-0.98,-0.0,-0.05
125,1,-0.98,-0.0,-0.05
127,1,-0.98,-0.0,-0.05
129,1,-0.98,-0.0,-0.05
130,1,-0.98,-0.0,-0.05
132,1,-0.98,-0.0,-0.05
134,1,-0.98,-0.0,-0.05
135,1,-0.98,-0.0,-0.05
137,1,-0.98,-0.0,-0.05
139,1,-0.98,-0.0,-0.05
140,1,-0.98,-0.0,-0.05
142,1,-0.98,-0.01,-0.05
144,1,-0.98,-0.01,-0.05
145,1,-0.98,-0.01,-0.05
147,1,-0.98,-0.01,-0.05
149,1,-0.98,-0.01,-0.05
150,1,-0.98,-0.0,-0.05
152,1,-0.98,-0.0,-0.05
154,1,-0.98,-0.0,-0.05
155,1,-0.98,-0.0,-0.05
157,1,-0.98,-0.0,-0.05
159,1,-0.98,-0.0,-0.05
161,1,-0.98,-0.0,-0.05
162,1,-0.98,-0.0,-0.05
164,1,-0.98,-0.0,-0.05
166,1,-0.98,-0.0,-0.05
167,1,-0.98,-0.0,-0.05
169,1,-0.98,-0.0,-0.05
171,1,-0.98,0.0,-0.04
172,1,-0.98,0.0,-0.04
174,1,-0.98,0.0,-0.04
175,1,-0.98,0.0,-0.04
177,1,-0.98,0.0,-0.04
