t,l,x,y,z
0,1,-0.99,0.01,0.02
2,1,-0.99,0.01,0.02
4,1,-0.99,0.01,0.02
5,1,-0.99,0.01,0.02
7,1,-0.98,0.02,0.01
9,1,-0.98,0.02,0.01
10,1,-0.98,0.02,0.01
12,1,-0.98,0.02,0.01
14,1,-0.98,0.02,0.01
15,1,-0.98,0.02,0.01
17,1,-0.98,0.03,-0.0
18,1,-0.98,0.03,-0.0
20,1,-0.98,0.03,-0.0
22,1,-0.98,0.03,-0.0
23,1,-0.98,0.03,-0.0
25,1,-0.98,0.03,-0.0
27,1,-0.99,0.03,-0.02
28,1,-0.99,0.03,-0.02
30,1,-0.99,0.03,-0.02
32,1,-0.99,0.03,-0.02
33,1,-0.99,0.03,-0.02
35,1,-0.99,0.03,-0.02
37,1,-0.97,0.04,-0.02
38,1,-0.97,0.04,-0.02
40,1,-0.97,0.04,-0.02
42,1,-0.97,0.04,-0.02
43,1,-0.97,0.04,-0.02
45,1,-0.97,0.04,-0.02
47,1,-0.97,0.04,-0.03
48,1,-0.97,0.04,-0.03
50,1,-0.97,0.04,-0.03
52,1,-0.97,0.04,-0.03
53,1,-0.97,0.04,-0.03
55,1,-0.97,0.04,-0.03
57,1,-0.98,0.05,-0.04
58,1,-0.98,0.05,-0.04
60,1,-0.98,0.05,-0.04
62,1,-0.98,0.05,-0.04
63,1,-0.98,0.05,-0.04
65,1,-0.98,0.05,-0.02
67,1,-0.98,0.05,-0.02
68,1,-0.98,0.05,-0.02
70,1,-0.98,0.05,-0.02
72,1,-0.98,0.05,-0.02
73,1,-0.98,0.05,-0.02
75,1,-0.98,0.04,-0.02
77,1,-0.99,0.04,-0.02
78,1,-0.99,0.04,-0.02
80,1,-0.99,0.04,-0.02
82,1,-0.99,0.04,-0.02
84,1,-0.99,0.04,-0.02
85,1,-0.98,0.02,-0.01
87,1,-0.98,0.02,-0.01
89,1,-0.98,0.02,-0.01
90,1,-0.98,0.02,-0.01
92,1,-0.98,0.02,-0.01
94,1,-0.98,0.02,-0.01
95,1,-0.99,0.0,0.01
97,1,-0.99,0.0,0.01
98,1,-0.99,0.0,0.01
100,1,-0.99,0.0,0.01
102,1,-0.99,0.0,0.01
103,1,-0.99,0.0,0.01
105,1,-0.98,0.0,0.02
107,1,-0.98,0.0,0.02
108,1,-0.98,0.0,0.02
110,1,-0.98,0.0,0.02
112,1,-0.98,0.0,0.02
113,1,-0.98,0.0,0.02
115,1,-0.98,0.01,0.0
117,1,-0.98,0.01,0.0
118,1,-0.98,0.01,0.0
120,1,-0.98,0.01,0.0
122,1,-0.98,0.01,0.0
123,1,-0.98,0.01,0.0
125,1,-0.98,0.02,-0.01
127,1,-0.98,0.02,-0.01
128,1,-0.98,0.02,-0.01
130,1,-0.98,0.02,-0.01
132,1,-0.98,0.02,-0.01
133,1,-0.98,0.02,-0.01
135,1,-0.99,0.04,-0.02
137,1,-0.99,0.04,-0.02
138,1,-0.99,0.04,-0.02
140,1,-0.99,0.04,-0.02
142,1,-0.99,0.04,-0.02
143,1,-0.99,0.04,-0.02
145,1,-0.98,0.05,-0.02
147,1,-0.98,0.05,-0.02
148,1,-0.98,0.05,-0.02
150,1,-0.98,0.05,-0.02
152,1,-0.98,0.05,-0.02
153,1,-0.98,0.04,-0.02
155,1,-0.97,0.04,-0.02
157,1,-0.97,0.04,-0.02
158,1,-0.97,0.04,-0.02
160,1,-0.97,0.04,-0.02
162,1,-0.97,0.04,-0.02
163,1,-0.98,0.04,-0.01
165,1,-0.98,0.04,-0.01
167,1,-0.98,0.04,-0.01
168,1,-0.98,0.04,-0.01
170,1,-0.98,0.04,-0.01
172,1,-0.98,0.04,-0.01
173,1,-0.98,0.03,-0.01
175,1,-0.98,0.03,-0.01
177,1,-0.98,0.03,-0.01
178,1,-0.98,0.03,-0.01
180,1,-0.98,0.03,-0.01
182,1,-0.98,0.03,-0.01
183,1,-0.98,0.03,0.0
185,1,-0.98,0.03,0.0
187,1,-0.98,0.03,0.0
188,1,-0.98,0.03,0.0
190,1,-0.98,0.03,0.0
192,1,-0.98,0.03,0.0
193,1,-0.99,0.02,0.0
195,1,-0.99,0.02,0.0
197,1,-0.99,0.02,0.0
198,1,-0.99,0.02,0.0
200,1,-0.99,0.02,0.0
201,1,-0.99,0.02,0.0
203,1,-0.99,0.03,0.01
205,1,-0.99,0.03,0.01
207,1,-0.99,0.03,0.01
208,1,-0.99,0.03,0.01
210,1,-0.99,0.03,0.01
212,1,-0.99,0.03,0.01
213,1,-0.98,0.02,0.0
215,1,-0.98,0.02,0.0
217,1,-0.98,0.02,0.0
218,1,-0.98,0.02,0.0
220,1,-0.98,0.02,0.0
222,1,-0.98,0.02,-0.01
223,1,-0.99,0.02,-0.01
225,1,-0.99,0.02,-0.01
227,1,-0.99,0.02,-0.01
228,1,-0.99,0.02,-0.01
230,1,-0.99,0.02,-0.01
232,1,-0.98,0.03,-0.01
233,1,-0.98,0.03,-0.01
235,1,-0.98,0.03,-0.01
237,1,-0.98,0.03,-0.01
238,1,-0.98,0.03,-0.01
240,1,-0.98,0.03,-0.01
242,1,-0.98,0.04,-0.03
243,1,-0.98,0.04,-0.03
245,1,-0.98,0.04,-0.03
247,1,-0.98,0.04,-0.03
248,1,-0.98,0.04,-0.03
250,1,-0.98,0.04,-0.03
252,1,-0.97,0.06,-0.03
253,1,-0.97,0.06,-0.03
255,1,-0.97,0.06,-0.03
257,1,-0.97,0.06,-0.03
258,1,-0.97,0.06,-0.03
260,1,-0.97,0.06,-0.03
261,1,-0.98,0.06,-0.03
263,1,-0.98,0.06,-0.03
265,1,-0.98,0.06,-0.03
266,1,-0.98,0.06,-0.03
268,1,-0.98,0.06,-0.03
270,1,-0.98,0.06,-0.03
271,1,-0.98,0.04,-0.02
273,1,-0.98,0.04,-0.02
275,1,-0.98,0.04,-0.02
276,1,-0.98,0.04,-0.02
278,1,-0.98,0.04,-0.02
280,1,-0.98,0.04,-0.02
281,1,-0.98,0.03,-0.01
283,1,-0.98,0.03,-0.01
285,1,-0.98,0.03,-0.01
286,1,-0.98,0.03,-0.01
288,1,-0.98,0.03,-0.01
290,1,-0.98,0.03,0.11
291,1,-0.99,0.01,0.0
293,1,-0.99,0.01,0.0
295,1,-0.99,0.01,0.0
296,1,-0.99,0.01,0.0
298,1,-0.99,0.01,0.0
300,1,-0.99,0.01,0.02
301,1,-0.98,0.01,0.02
303,1,-0.98,0.01,0.02
305,1,-0.98,0.01,0.02
306,1,-0.98,0.01,0.02
308,1,-0.98,0.01,0.02
310,1,-0.98,0.02,0.01
311,1,-0.98,0.02,0.01
313,1,-0.98,0.02,0.01
315,1,-0.98,0.02,0.01
316,1,-0.98,0.02,0.01
318,1,-0.98,0.02,0.01
320,1,-0.98,0.03,-0.0
321,1,-0.98,0.03,-0.0
323,1,-0.98,0.03,-0.0
325,1,-0.98,0.03,-0.0
326,1,-0.98,0.03,-0.0
328,1,-0.98,0.03,-0.0
330,1,-0.98,0.04,-0.02
331,1,-0.98,0.04,-0.02
333,1,-0.98,0.04,-0.02
335,1,-0.98,0.04,-0.02
336,1,-0.98,0.04,-0.02
338,1,-0.98,0.04,-0.02
340,1,-0.98,0.04,-0.02
341,1,-0.98,0.04,-0.02
343,1,-0.98,0.04,-0.02
345,1,-0.98,0.04,-0.02
346,1,-0.98,0.04,-0.02
348,1,-0.98,0.04,-0.02
350,1,-0.99,0.05,-0.02
351,1,-0.99,0.05,-0.02
353,1,-0.99,0.05,-0.02
355,1,-0.99,0.05,-0.02
356,1,-0.99,0.05,-0.02
358,1,-0.99,0.05,-0.02
360,1,-0.98,0.04,-0.02
361,1,-0.98,0.04,-0.02
363,1,-0.98,0.04,-0.02
365,1,-0.98,0.04,-0.02
366,1,-0.98,0.04,-0.02
368,1,-0.98,0.04,-0.02
370,1,-0.98,0.03,-0.02
371,1,-0.98,0.03,-0.02
373,1,-0.98,0.03,-0.02
375,1,-0.98,0.03,-0.02
376,1,-0.98,0.03,-0.02
378,1,-0.98,0.04,-0.01
380,1,-0.98,0.04,-0.01
381,1,-0.98,0.04,-0.01
383,1,-0.98,0.04,-0.01
385,1,-0.98,0.04,-0.01
386,1,-0.98,0.04,-0.01
388,1,-0.99,0.04,-0.0
390,1,-0.99,0.04,-0.0
391,1,-0.99,0.04,-0.0
393,1,-0.99,0.04,-0.0
395,1,-0.99,0.04,-0.0
396,1,-0.99,0.04,-0.0
398,1,-0.98,0.04,-0.0
400,1,-0.98,0.04,-0.0
401,1,-0.98,0.04,-0.0
403,1,-0.98,0.04,-0.0
405,1,-0.98,0.04,-0.0
406,1,-0.98,0.04,-0.0
408,1,-0.99,0.03,0.0
410,1,-0.99,0.03,0.0
411,1,-0.99,0.03,0.0
413,1,-0.99,0.03,0.0
415,1,-0.99,0.03,0.0
416,1,-0.99,0.03,0.0
418,1,-0.98,0.03,0.01
420,1,-0.98,0.03,0.01
421,1,-0.98,0.03,0.01
423,1,-0.98,0.03,0.01
425,1,-0.98,0.03,0.01
426,1,-0.98,0.03,0.01
428,1,-0.98,0.02,0.01
429,1,-0.98,0.02,0.01
431,1,-0.98,0.02,0.01
433,1,-0.98,0.02,0.01
434,1,-0.98,0.02,0.01
436,1,-0.98,0.02,0.01
438,1,-0.99,0.03,0.0
439,1,-0.99,0.03,0.0
441,1,-0.99,0.03,0.0
443,1,-0.99,0.03,0.0
444,1,-0.99,0.03,0.0
446,1,-0.99,0.03,0.0
448,1,-0.98,0.03,-0.01
449,1,-0.98,0.03,-0.01
451,1,-0.98,0.03,-0.01
453,1,-0.98,0.03,-0.01
454,1,-0.98,0.03,-0.01
456,1,-0.98,0.03,-0.02
458,1,-0.97,0.04,-0.02
459,1,-0.97,0.04,-0.02
461,1,-0.97,0.04,-0.02
