t,l,x,y,z
0,1,-0.98,-0.03,-0.0
1,1,-0.98,-0.03,-0.0
3,1,-0.98,-0.03,-0.0
5,1,-0.98,-0.03,-0.0
6,1,-0.98,-0.04,0.0
8,1,-0.98,-0.04,0.0
10,1,-0.98,-0.04,0.0
11,1,-0.98,-0.04,0.0
13,1,-0.98,-0.04,0.0
15,1,-0.98,-0.04,0.0
16,1,-0.98,-0.04,-0.0
18,1,-0.98,-0.04,-0.0
20,1,-0.98,-0.04,-0.0
21,1,-0.98,-0.04,-0.0
23,1,-0.98,-0.04,-0.0
25,1,-0.98,-0.04,-0.0
26,1,-0.98,-0.04,0.01
28,1,-0.98,-0.04,0.01
30,1,-0.98,-0.04,0.01
31,1,-0.98,-0.04,0.01
33,1,-0.98,-0.04,0.01
35,1,-0.98,-0.04,0.01
36,1,-0.98,-0.04,0.02
38,1,-0.98,-0.04,0.02
40,1,-0.98,-0.04,0.02
41,1,-0.98,-0.04,0.02
43,1,-0.98,-0.04,0.02
45,1,-0.98,-0.04,0.01
46,1,-0.98,-0.03,0.01
48,1,-0.98,-0.03,0.01
50,1,-0.98,-0.03,0.01
52,1,-0.98,-0.03,0.01
53,1,-0.98,-0.03,0.01
55,1,-0.98,-0.03,0.01
56,1,-0.98,-0.03,0.01
58,1,-0.98,-0.03,0.01
60,1,-0.98,-0.03,0.01
61,1,-0.98,-0.03,0.01
63,1,-0.98,-0.03,0.01
65,1,-0.98,-0.03,0.02
66,1,-0.98,-0.03,0.02
68,1,-0.98,-0.03,0.02
70,1,-0.98,-0.03,0.02
71,1,-0.98,-0.03,0.02
73,1,-0.98,-0.03,0.02
75,1,-0.99,-0.03,0.01
76,1,-0.99,-0.03,0.01
78,1,-0.99,-0.03,0.01
80,1,-0.99,-0.03,0.01
81,1,-0.99,-0.03,0.01
83,1,-0.99,-0.03,0.01
85,1,-0.98,-0.03,0.01
86,1,-0.98,-0.03,0.01
88,1,-0.98,-0.03,0.01
90,1,-0.98,-0.03,0.01
91,1,-0.98,-0.03,0.01
93,1,-0.98,-0.03,0.01
95,1,-0.97,-0.02,-0.0
96,1,-0.97,-0.02,-0.0
98,1,-0.97,-0.02,-0.0
100,1,-0.97,-0.02,-0.0
102,1,-0.97,-0.02,-0.0
103,1,-0.97,-0.02,-0.0
105,1,-0.98,-0.03,-0.0
107,1,-0.98,-0.03,-0.0
108,1,-0.98,-0.03,-0.0
110,1,-0.98,-0.03,-0.0
112,1,-0.98,-0.03,-0.0
113,1,-0.98,-0.03,0.0
115,1,-0.98,-0.03,0.0
116,1,-0.98,-0.03,0.0
118,1,-0.98,-0.03,0.0
120,1,-0.98,-0.03,0.0
121,1,-0.98,-0.03,0.0
123,1,-0.98,-0.03,0.01
125,1,-0.98,-0.03,0.01
126,1,-0.98,-0.03,0.01
128,1,-0.98,-0.03,0.01
130,1,-0.98,-0.03,0.01
131,1,-0.98,-0.03,0.01
133,1,-0.98,-0.03,0.02
135,1,-0.98,-0.03,0.02
136,1,-0.98,-0.03,0.02
138,1,-0.98,-0.03,0.02
140,1,-0.98,-0.03,0.02
141,1,-0.98,-0.03,0.02
143,1,-0.98,-0.02,0.01
145,1,-0.98,-0.02,0.01
146,1,-0.98,-0.02,0.01
148,1,-0.98,-0.02,0.01
150,1,-0.98,-0.02,0.01
151,1,-0.98,-0.02,0.01
153,1,-0.98,-0.03,0.01
155,1,-0.98,-0.03,0.01
156,1,-0.98,-0.03,0.01
158,1,-0.98,-0.03,0.01
160,1,-0.98,-0.03,0.01
161,1,-0.98,-0.03,0.01
163,1,-0.98,-0.03,0.01
165,1,-0.98,-0.03,0.01
166,1,-0.98,-0.03,0.01
168,1,-0.98,-0.03,0.01
170,1,-0.98,-0.03,0.01
172,1,-0.98,-0.03,0.01
173,1,-0.98,-0.03,0.0
175,1,-0.98,-0.03,0.0
177,1,-0.98,-0.03,0.0
178,1,-0.98,-0.03,0.0
180,1,-0.98,-0.03,0.0
181,1,-0.98,-0.03,-0.12
183,1,-0.98,-0.03,-0.01
185,1,-0.98,-0.03,-0.01
186,1,-0.98,-0.03,-0.01
188,1,-0.98,-0.03,-0.01
190,1,-0.98,-0.03,-0.01
191,1,-0.98,-0.03,-0.04
193,1,-1.0,-0.03,-0.04
195,1,-1.0,-0.03,-0.04
196,1,-1.0,-0.03,-0.04
198,1,-1.0,-0.03,-0.04
200,1,-1.0,-0.03,-0.04
201,1,-1.03,-0.04,-0.08
203,1,-1.03,-0.04,-0.08
205,1,-1.03,-0.04,-0.08
207,1,-1.03,-0.04,-0.08
208,1,-1.03,-0.04,-0.08
210,1,-1.03,-0.04,-0.08
212,1,-1.14,-0.1,-0.23
213,1,-1.14,-0.1,-0.23
215,1,-1.14,-0.1,-0.23
217,1,-1.14,-0.1,-0.23
218,1,-1.14,-0.1,-0.23
220,1,-1.14,-0.1,-0.23
222,1,-1.29,-0.13,-0.52
223,1,-1.29,-0.13,-0.52
225,1,-1.29,-0.13,-0.52
227,1,-1.29,-0.13,-0.52
228,1,-1.29,-0.13,-0.52
230,1,-1.29,-0.13,-0.77
232,1,-1.47,-0.12,-0.84
234,1,-1.47,-0.12,-0.84
235,1,-1.47,-0.12,-0.84
237,1,-1.47,-0.12,-0.84
239,1,-1.47,-0.12,-0.84
240,1,-1.72,-0.02,-1.24
242,1,-1.67,-0.02,-1.24
244,1,-1.67,-0.02,-1.24
245,1,-1.67,-0.02,-1.24
247,1,-1.67,-0.02,-1.24
249,1,-1.67,-0.02,-1.24
251,1,-1.87,0.13,-1.5
252,1,-1.87,0.13,-1.5
254,1,-1.87,0.13,-1.5
255,1,-1.87,0.13,-1.5
257,1,-1.87,0.13,-1.5
259,1,-1.87,0.13,-1.5
261,1,-2.04,0.26,-1.6
262,1,-2.04,0.26,-1.6
264,1,-2.04,0.26,-1.6
265,1,-2.04,0.26,-1.6
267,1,-2.04,0.26,-1.6
269,1,-2.04,0.26,-1.6
270,1,-2.08,0.31,-1.76
272,1,-2.08,0.31,-1.76
274,1,-2.08,0.31,-1.76
275,1,-2.08,0.31,-1.76
277,1,-2.08,0.31,-1.76
279,1,-2.08,0.31,-1.76
280,1,-2.0,0.38,-1.97
282,1,-2.0,0.38,-1.97
284,1,-2.0,0.38,-1.97
286,1,-2.0,0.38,-1.97
287,1,-2.0,0.38,-1.97
289,1,-2.0,0.38,-1.99
291,1,-1.83,0.47,-1.99
292,1,-1.83,0.47,-1.99
294,1,-1.83,0.47,-1.99
296,1,-1.83,0.47,-1.99
297,1,-1.83,0.47,-1.99
299,1,-1.61,0.52,-1.87
301,1,-1.61,0.52,-1.87
302,1,-1.61,0.52,-1.87
304,1,-1.61,0.52,-1.87
306,1,-1.61,0.52,-1.87
307,1,-1.61,0.52,-1.87
309,1,-1.43,0.44,-1.78
311,1,-1.43,0.44,-1.78
313,1,-1.43,0.44,-1.78
314,1,-1.43,0.44,-1.78
316,1,-1.43,0.44,-1.78
318,1,-1.43,0.44,-1.78
319,1,-1.22,0.33,-1.75
321,1,-1.22,0.33,-1.75
323,1,-1.22,0.33,-1.75
324,1,-1.22,0.33,-1.75
326,1,-1.22,0.33,-1.75
328,1,-1.22,0.33,-1.75
329,1,-0.97,0.2,-1.67
331,1,-0.97,0.2,-1.67
333,1,-0.97,0.2,-1.67
334,1,-0.97,0.2,-1.67
336,1,-0.97,0.2,-1.67
338,1,-0.97,0.07,-1.56
340,1,-0.65,0.1,-1.56
341,1,-0.65,0.1,-1.56
343,1,-0.65,0.1,-1.56
345,1,-0.65,0.1,-1.56
346,1,-0.65,0.1,-1.56
348,1,-0.36,0.01,-1.37
350,1,-0.36,0.01,-1.37
351,1,-0.36,0.01,-1.37
353,1,-0.36,0.01,-1.37
355,1,-0.36,0.01,-1.37
356,1,-0.36,0.01,-1.37
358,1,-0.17,-0.12,-1.12
360,1,-0.17,-0.12,-1.12
361,1,-0.17,-0.12,-1.12
363,1,-0.17,-0.12,-1.12
365,1,-0.17,-0.12,-1.12
366,1,-0.17,-0.12,-1.12
368,1,0.0,-0.26,-0.86
370,1,0.0,-0.26,-0.86
371,1,0.0,-0.26,-0.86
373,1,0.0,-0.26,-0.86
375,1,0.0,-0.26,-0.86
377,1,0.0,-0.26,-0.86
378,1,0.12,-0.4,-0.6
380,1,0.12,-0.4,-0.6
382,1,0.12,-0.4,-0.6
383,1,0.12,-0.4,-0.6
385,1,0.12,-0.4,-0.6
387,1,0.12,-0.4,-0.46
388,1,0.24,-0.46,-0.46
390,1,0.24,-0.46,-0.46
392,1,0.24,-0.46,-0.46
393,1,0.24,-0.46,-0.46
395,1,0.24,-0.46,-0.46
397,1,0.36,-0.48,-0.34
398,1,0.36,-0.48,-0.34
400,1,0.36,-0.48,-0.34
402,1,0.36,-0.48,-0.34
404,1,0.36,-0.48,-0.34
405,1,0.36,-0.48,-0.34
407,1,0.39,-0.54,-0.15
409,1,0.39,-0.54,-0.15
410,1,0.39,-0.54,-0.15
412,1,0.39,-0.54,-0.15
414,1,0.39,-0.54,-0.15
415,1,0.39,-0.54,-0.15
417,1,0.39,-0.52,-0.03
419,1,0.39,-0.52,-0.03
420,1,0.39,-0.52,-0.03
422,1,0.39,-0.52,-0.03
424,1,0.39,-0.52,-0.03
426,1,0.39,-0.52,-0.03
427,1,0.25,-0.56,0.13
429,1,0.25,-0.56,0.13
431,1,0.25,-0.56,0.13
432,1,0.25,-0.56,0.13
434,1,0.25,-0.56,0.13
436,1,0.25,-0.56,0.37
437,1,0.08,-0.57,0.37
439,1,0.08,-0.57,0.37
440,1,0.08,-0.57,0.37
442,1,0.08,-0.57,0.37
444,1,0.08,-0.57,0.37
445,1,0.08,-0.49,0.86
447,1,0.11,-0.49,0.86
449,1,0.11,-0.49,0.86
450,1,0.11,-0.49,0.86
452,1,0.11,-0.49,0.86
454,1,0.11,-0.49,0.86
455,1,0.3,-0.44,1.56
457,1,0.3,-0.44,1.56
459,1,0.3,-0.44,1.56
461,1,0.3,-0.44,1.56
462,1,0.3,-0.44,1.56
464,1,0.3,-0.44,1.56
465,1,0.61,-0.46,2.15
467,1,0.61,-0.46,2.15
469,1,0.61,-0.46,2.15
470,1,0.61,-0.46,2.15
472,1,0.61,-0.46,2.15
474,1,0.61,-0.46,2.15
475,1,0.96,-0.49,2.6
477,1,0.96,-0.49,2.6
479,1,0.96,-0.49,2.6
480,1,0.96,-0.49,2.6
482,1,0.96,-0.49,2.6
484,1,0.96,-0.49,2.6
485,1,1.24,-0.66,3.05
487,1,1.24,-0.66,3.05
489,1,1.24,-0.66,3.05
490,1,1.24,-0.66,3.05
492,1,1.24,-0.66,3.05
494,1,1.24,-0.66,3.05
495,1,1.24,-0.89,3.07
497,1,1.24,-0.89,3.07
499,1,1.24,-0.89,3.07
500,1,1.24,-0.89,3.07
502,1,1.24,-0.89,3.07
504,1,1.24,-0.89,2.79
506,1,0.73,-1.51,2.79
507,1,0.73,-1.51,2.79
509,1,0.73,-1.51,2.79
510,1,0.73,-1.51,2.79
512,1,0.73,-1.51,2.79
514,1,-6.65,-4.17,1.63
515,1,-6.64,-4.17,1.63
517,1,-6.64,-4.17,1.63
519,1,-6.64,-4.17,1.63
520,1,-6.64,-4.17,1.63
