t,l,x,y,z
0,1,-0.97,0.14,-0.1
2,1,-0.97,0.14,-0.1
3,1,-0.97,0.14,-0.1
5,1,-0.99,0.13,-0.12
7,1,-0.99,0.13,-0.12
8,1,-0.99,0.13,-0.12
10,1,-0.99,0.13,-0.12
12,1,-0.99,0.13,-0.12
14,1,-0.99,0.13,-0.12
15,1,-0.98,0.14,-0.15
17,1,-0.98,0.14,-0.15
19,1,-0.98,0.14,-0.15
20,1,-0.98,0.14,-0.15
22,1,-0.98,0.14,-0.15
24,1,-0.98,0.14,-0.15
25,1,-0.97,0.15,-0.17
27,1,-0.97,0.15,-0.17
29,1,-0.97,0.15,-0.17
30,1,-0.97,0.15,-0.17
32,1,-0.97,0.15,-0.17
34,1,-0.97,0.18,-0.2
36,1,-0.97,0.18,-0.2
37,1,-0.97,0.18,-0.2
39,1,-0.97,0.18,-0.2
41,1,-0.97,0.18,-0.2
42,1,-0.97,0.18,-0.2
44,1,-0.97,0.2,-0.21
46,1,-0.97,0.2,-0.21
47,1,-0.97,0.2,-0.21
49,1,-0.97,0.2,-0.21
51,1,-0.97,0.2,-0.21
52,1,-0.97,0.2,-0.21
54,1,-0.96,0.21,-0.21
56,1,-0.96,0.21,-0.21
57,1,-0.96,0.21,-0.21
59,1,-0.96,0.21,-0.21
61,1,-0.96,0.21,-0.21
62,1,-0.96,0.21,-0.21
64,1,-0.96,0.21,-0.22
66,1,-0.96,0.21,-0.22
67,1,-0.96,0.21,-0.22
69,1,-0.96,0.21,-0.22
71,1,-0.96,0.21,-0.22
73,1,-0.96,0.21,-0.22
74,1,-0.95,0.21,-0.22
76,1,-0.95,0.21,-0.22
78,1,-0.95,0.21,-0.22
79,1,-0.95,0.21,-0.22
81,1,-0.95,0.21,-0.22
83,1,-0.95,0.21,-0.22
84,1,-0.96,0.21,-0.22
86,1,-0.96,0.21,-0.22
88,1,-0.96,0.21,-0.22
89,1,-0.96,0.21,-0.22
91,1,-0.96,0.21,-0.22
93,1,-0.98,0.19,-0.17
94,1,-0.98,0.19,-0.17
96,1,-0.98,0.19,-0.17
98,1,-0.98,0.19,-0.17
99,1,-0.98,0.19,-0.17
101,1,-0.98,0.19,-0.17
103,1,-0.97,0.13,-0.11
104,1,-0.97,0.13,-0.11
106,1,-0.97,0.13,-0.11
108,1,-0.97,0.13,-0.11
109,1,-0.97,0.13,-0.11
111,1,-0.97,0.13,-0.11
113,1,-0.98,0.07,-0.04
115,1,-0.98,0.07,-0.04
116,1,-0.98,0.07,-0.04
