t,l,x,y,z
0,1,-0.99,-0.05,0.01
2,1,-0.99,-0.05,0.01
4,1,-0.99,-0.05,0.01
5,1,-0.99,-0.05,0.01
7,1,-0.99,-0.05,0.01
9,1,-0.99,-0.05,0.01
10,1,-0.98,-0.05,0.01
12,1,-0.98,-0.05,0.01
14,1,-0.98,-0.05,0.01
15,1,-0.98,-0.05,0.01
17,1,-0.98,-0.05,0.01
19,1,-0.98,-0.04,0.01
20,1,-0.98,-0.04,0.01
22,1,-0.98,-0.04,0.01
24,1,-0.98,-0.04,0.01
25,1,-0.98,-0.04,0.01
27,1,-0.98,-0.04,0.01
29,1,-0.98,-0.04,0.0
30,1,-0.98,-0.04,0.0
32,1,-0.98,-0.04,0.0
34,1,-0.98,-0.04,0.0
35,1,-0.98,-0.04,0.0
37,1,-0.98,-0.04,0.0
39,1,-0.98,-0.04,-0.0
40,1,-0.98,-0.04,-0.0
42,1,-0.98,-0.04,-0.0
44,1,-0.98,-0.04,-0.0
45,1,-0.98,-0.04,-0.0
47,1,-0.98,-0.04,-0.0
49,1,-0.98,-0.04,-0.0
50,1,-0.98,-0.04,-0.0
52,1,-0.98,-0.04,-0.0
54,1,-0.98,-0.04,-0.0
55,1,-0.98,-0.04,-0.0
57,1,-0.98,-0.04,-0.0
59,1,-0.98,-0.05,-0.01
60,1,-0.98,-0.05,-0.01
62,1,-0.98,-0.05,-0.01
64,1,-0.98,-0.05,-0.01
65,1,-0.98,-0.05,-0.01
67,1,-0.98,-0.05,-0.01
69,1,-0.98,-0.05,-0.01
70,1,-0.98,-0.05,-0.01
72,1,-0.98,-0.05,-0.01
74,1,-0.98,-0.05,-0.01
75,1,-0.98,-0.05,-0.01
77,1,-0.98,-0.05,-0.02
79,1,-0.98,-0.05,-0.02
80,1,-0.98,-0.05,-0.02
82,1,-0.98,-0.05,-0.02
84,1,-0.98,-0.05,-0.02
85,1,-0.98,-0.05,-0.02
87,1,-0.98,-0.04,-0.03
89,1,-0.98,-0.04,-0.03
90,1,-0.98,-0.04,-0.03
92,1,-0.98,-0.04,-0.03
94,1,-0.98,-0.04,-0.03
95,1,-0.98,-0.04,-0.03
97,1,-0.98,-0.05,-0.03
99,1,-0.98,-0.05,-0.03
100,1,-0.98,-0.05,-0.03
102,1,-0.98,-0.05,-0.03
104,1,-0.98,-0.05,-0.03
105,1,-0.98,-0.05,-0.03
107,1,-0.99,-0.06,-0.02
109,1,-0.99,-0.06,-0.02
110,1,-0.99,-0.06,-0.02
112,1,-0.99,-0.06,-0.02
114,1,-0.99,-0.06,-0.02
115,1,-0.99,-0.06,-0.02
117,1,-0.98,-0.05,-0.01
119,1,-0.98,-0.05,-0.01
120,1,-0.98,-0.05,-0.01
122,1,-0.98,-0.05,-0.01
124,1,-0.98,-0.05,-0.01
125,1,-0.98,-0.05,-0.01
127,1,-0.98,-0.04,-0.0
129,1,-0.98,-0.04,-0.0
130,1,-0.98,-0.04,-0.0
132,1,-0.98,-0.04,-0.0
134,1,-0.98,-0.04,-0.0
135,1,-0.98,-0.04,-0.0
137,1,-0.98,-0.04,0.01
139,1,-0.98,-0.04,0.01
140,1,-0.98,-0.04,0.01
142,1,-0.98,-0.04,0.01
144,1,-0.98,-0.04,0.01
145,1,-0.98,-0.04,0.01
147,1,-0.97,-0.05,0.01
149,1,-0.97,-0.05,0.01
150,1,-0.97,-0.05,0.01
152,1,-0.97,-0.05,0.01
154,1,-0.97,-0.05,0.01
155,1,-0.97,-0.05,0.02
157,1,-0.98,-0.05,0.02
159,1,-0.98,-0.05,0.02
160,1,-0.98,-0.05,0.02
162,1,-0.98,-0.05,0.02
164,1,-0.98,-0.05,0.02
165,1,-0.98,-0.05,0.01
167,1,-0.98,-0.05,0.01
169,1,-0.98,-0.05,0.01
170,1,-0.98,-0.05,0.01
172,1,-0.98,-0.05,0.01
174,1,-0.98,-0.05,0.01
175,1,-0.98,-0.05,0.01
177,1,-0.98,-0.05,0.01
179,1,-0.98,-0.05,0.01
180,1,-0.98,-0.05,0.01
182,1,-0.98,-0.05,0.01
184,1,-0.98,-0.05,0.01
185,1,-0.98,-0.04,0.0
187,1,-0.98,-0.04,0.0
189,1,-0.98,-0.04,0.0
190,1,-0.98,-0.04,0.0
192,1,-0.98,-0.04,0.0
194,1,-0.98,-0.04,0.0
195,1,-0.98,-0.04,-0.01
197,1,-0.98,-0.04,-0.01
199,1,-0.98,-0.04,-0.01
200,1,-0.98,-0.04,-0.01
202,1,-0.98,-0.04,-0.01
204,1,-0.98,-0.04,-0.01
205,1,-0.99,-0.05,-0.01
207,1,-0.99,-0.05,-0.01
209,1,-0.99,-0.05,-0.01
210,1,-0.99,-0.05,-0.01
212,1,-0.99,-0.05,-0.01
214,1,-0.99,-0.05,-0.01
215,1,-0.98,-0.04,-0.02
217,1,-0.98,-0.04,-0.02
219,1,-0.98,-0.04,-0.02
220,1,-0.98,-0.04,-0.02
222,1,-0.98,-0.04,-0.02
224,1,-0.98,-0.04,-0.02
225,1,-0.98,-0.04,-0.02
227,1,-0.98,-0.04,-0.02
229,1,-0.98,-0.04,-0.02
230,1,-0.98,-0.04,-0.02
232,1,-0.98,-0.04,-0.02
234,1,-0.98,-0.05,-0.01
235,1,-0.98,-0.05,-0.01
237,1,-0.98,-0.05,-0.01
239,1,-0.98,-0.05,-0.01
240,1,-0.98,-0.05,-0.01
242,1,-0.98,-0.05,-0.01
244,1,-0.98,-0.05,-0.01
245,1,-0.98,-0.05,-0.01
247,1,-0.98,-0.05,-0.01
249,1,-0.98,-0.05,-0.01
250,1,-0.98,-0.05,-0.01
252,1,-0.98,-0.05,-0.01
254,1,-0.98,-0.05,-0.01
255,1,-0.98,-0.05,-0.01
257,1,-0.98,-0.05,-0.01
259,1,-0.98,-0.05,-0.01
260,1,-0.98,-0.05,-0.01
262,1,-0.98,-0.05,-0.01
264,1,-0.98,-0.05,-0.01
265,1,-0.98,-0.05,-0.01
