t,l,x,y,z
0,1,-0.98,0.06,0.01
2,1,-0.98,0.06,0.01
3,1,-0.98,0.07,-0.01
5,1,-0.98,0.07,-0.01
7,1,-0.98,0.07,-0.01
8,1,-0.98,0.07,-0.01
10,1,-0.98,0.07,-0.01
12,1,-0.98,0.07,-0.01
13,1,-0.99,0.07,-0.01
15,1,-0.99,0.07,-0.01
17,1,-0.99,0.07,-0.01
18,1,-0.99,0.07,-0.01
20,1,-0.99,0.07,-0.01
22,1,-0.99,0.07,-0.02
23,1,-0.98,0.07,-0.02
25,1,-0.98,0.07,-0.02
27,1,-0.98,0.07,-0.02
28,1,-0.98,0.07,-0.02
30,1,-0.98,0.07,-0.02
32,1,-0.98,0.07,-0.02
33,1,-0.98,0.07,-0.02
35,1,-0.98,0.07,-0.02
37,1,-0.98,0.07,-0.02
38,1,-0.98,0.07,-0.02
40,1,-0.98,0.07,-0.02
42,1,-0.98,0.06,-0.02
43,1,-0.98,0.06,-0.02
45,1,-0.98,0.06,-0.02
47,1,-0.98,0.06,-0.02
48,1,-0.98,0.06,-0.02
50,1,-0.98,0.06,-0.02
52,1,-0.98,0.06,-0.01
53,1,-0.98,0.06,-0.01
55,1,-0.98,0.06,-0.01
57,1,-0.98,0.06,-0.01
58,1,-0.98,0.06,-0.01
60,1,-0.98,0.06,-0.01
62,1,-0.98,0.07,-0.01
63,1,-0.98,0.07,-0.01
65,1,-0.98,0.07,-0.01
67,1,-0.98,0.07,-0.01
68,1,-0.98,0.07,-0.01
70,1,-0.98,0.07,-0.01
72,1,-0.99,0.07,-0.01
73,1,-0.99,0.07,-0.01
75,1,-0.99,0.07,-0.01
77,1,-0.99,0.07,-0.01
78,1,-0.99,0.07,-0.01
80,1,-0.99,0.07,-0.01
82,1,-0.99,0.06,-0.0
83,1,-0.99,0.06,-0.0
85,1,-0.99,0.06,-0.0
87,1,-0.99,0.06,-0.0
88,1,-0.99,0.06,-0.0
90,1,-0.99,0.06,0.0
92,1,-0.99,0.06,0.0
93,1,-0.99,0.06,0.0
95,1,-0.99,0.06,0.0
97,1,-0.99,0.06,0.0
98,1,-0.99,0.06,0.0
100,1,-0.99,0.06,0.0
102,1,-0.99,0.06,0.0
103,1,-0.99,0.06,0.0
105,1,-0.99,0.06,0.0
107,1,-0.99,0.06,0.0
108,1,-0.99,0.06,0.0
110,1,-0.98,0.06,-0.0
112,1,-0.98,0.06,-0.0
113,1,-0.98,0.06,-0.0
115,1,-0.98,0.06,-0.0
117,1,-0.98,0.06,-0.0
118,1,-0.98,0.06,-0.0
120,1,-0.99,0.07,-0.0
122,1,-0.99,0.07,-0.0
123,1,-0.99,0.07,-0.0
125,1,-0.99,0.07,-0.0
127,1,-0.99,0.07,-0.0
128,1,-0.99,0.07,-0.0
130,1,-0.98,0.07,-0.02
132,1,-0.98,0.07,-0.02
133,1,-0.98,0.07,-0.02
135,1,-0.98,0.07,-0.02
137,1,-0.98,0.07,-0.02
138,1,-0.98,0.07,-0.02
140,1,-0.99,0.07,-0.02
142,1,-0.99,0.07,-0.02
143,1,-0.99,0.07,-0.02
145,1,-0.99,0.07,-0.02
147,1,-0.99,0.07,-0.02
148,1,-0.99,0.07,-0.02
150,1,-0.99,0.07,-0.02
152,1,-0.99,0.07,-0.02
153,1,-0.99,0.07,-0.02
155,1,-0.99,0.07,-0.02
157,1,-0.99,0.07,-0.02
158,1,-0.99,0.07,-0.01
160,1,-0.98,0.06,-0.01
162,1,-0.98,0.06,-0.01
163,1,-0.98,0.06,-0.01
165,1,-0.98,0.06,-0.01
167,1,-0.98,0.06,-0.01
168,1,-0.98,0.06,-0.01
170,1,-0.98,0.06,-0.01
172,1,-0.98,0.06,-0.01
173,1,-0.98,0.06,-0.01
175,1,-0.98,0.06,-0.01
177,1,-0.98,0.06,-0.01
178,1,-0.99,0.06,-0.0
180,1,-0.99,0.06,-0.0
182,1,-0.99,0.06,-0.0
183,1,-0.99,0.06,-0.0
185,1,-0.99,0.06,-0.0
187,1,-0.99,0.06,-0.0
188,1,-0.98,0.06,-0.01
190,1,-0.98,0.06,-0.01
192,1,-0.98,0.06,-0.01
193,1,-0.98,0.06,-0.01
195,1,-0.98,0.06,-0.01
197,1,-0.98,0.06,-0.01
198,1,-0.98,0.06,-0.01
200,1,-0.98,0.06,-0.01
202,1,-0.98,0.06,-0.01
203,1,-0.98,0.06,-0.01
205,1,-0.98,0.06,-0.01
207,1,-0.98,0.06,-0.01
208,1,-0.98,0.06,-0.02
210,1,-0.98,0.06,-0.02
212,1,-0.98,0.06,-0.02
213,1,-0.98,0.06,-0.02
215,1,-0.98,0.06,-0.02
217,1,-0.98,0.06,-0.02
218,1,-0.99,0.07,-0.01
220,1,-0.99,0.07,-0.01
222,1,-0.99,0.07,-0.01
223,1,-0.99,0.07,-0.01
225,1,-0.99,0.07,-0.01
227,1,-0.99,0.07,-0.01
228,1,-0.99,0.08,-0.01
230,1,-0.99,0.08,-0.01
232,1,-0.99,0.08,-0.01
233,1,-0.99,0.08,-0.01
235,1,-0.99,0.08,-0.01
237,1,-0.99,0.07,-0.01
238,1,-0.98,0.07,-0.01
240,1,-0.98,0.07,-0.01
242,1,-0.98,0.07,-0.01
243,1,-0.98,0.07,-0.01
245,1,-0.98,0.07,-0.01
247,1,-0.99,0.07,-0.01
248,1,-0.99,0.07,-0.01
250,1,-0.99,0.07,-0.01
252,1,-0.99,0.07,-0.01
253,1,-0.99,0.07,-0.01
255,1,-0.99,0.07,-0.01
257,1,-0.98,0.07,-0.01
258,1,-0.98,0.07,-0.01
260,1,-0.98,0.07,-0.01
262,1,-0.98,0.07,-0.01
263,1,-0.98,0.07,-0.01
265,1,-0.98,0.07,-0.01
267,1,-0.98,0.06,-0.0
268,1,-0.98,0.06,-0.0
270,1,-0.98,0.06,-0.0
272,1,-0.98,0.06,-0.0
273,1,-0.98,0.06,-0.0
275,1,-0.98,0.06,-0.0
277,1,-0.99,0.05,0.01
278,1,-0.99,0.05,0.01
280,1,-0.99,0.05,0.01
282,1,-0.99,0.05,0.01
283,1,-0.99,0.05,0.01
285,1,-0.99,0.05,0.01
287,1,-0.99,0.05,0.01
288,1,-0.99,0.05,0.01
290,1,-0.99,0.05,0.01
292,1,-0.99,0.05,0.01
293,1,-0.99,0.05,0.01
295,1,-0.99,0.05,0.01
297,1,-0.99,0.06,0.0
298,1,-0.99,0.06,0.0
300,1,-0.99,0.06,0.0
302,1,-0.99,0.06,0.0
303,1,-0.99,0.06,0.0
305,1,-0.99,0.06,-0.12
307,1,-0.99,0.07,-0.01
308,1,-0.99,0.07,-0.01
310,1,-0.99,0.07,-0.01
312,1,-0.99,0.07,-0.01
313,1,-0.99,0.07,-0.01
315,1,-0.99,0.08,-0.02
317,1,-0.98,0.08,-0.02
318,1,-0.98,0.08,-0.02
320,1,-0.98,0.08,-0.02
322,1,-0.98,0.08,-0.02
323,1,-0.98,0.08,-0.02
325,1,-0.98,0.08,-0.03
327,1,-0.98,0.08,-0.03
328,1,-0.98,0.08,-0.03
330,1,-0.98,0.08,-0.03
332,1,-0.98,0.08,-0.03
333,1,-0.98,0.08,-0.03
335,1,-0.97,0.09,-0.04
337,1,-0.97,0.09,-0.04
338,1,-0.97,0.09,-0.04
340,1,-0.97,0.09,-0.04
342,1,-0.97,0.09,-0.04
343,1,-0.97,0.09,-0.04
345,1,-0.98,0.08,-0.02
347,1,-0.98,0.08,-0.02
348,1,-0.98,0.08,-0.02
350,1,-0.98,0.08,-0.02
352,1,-0.98,0.08,-0.02
353,1,-0.98,0.08,-0.02
355,1,-0.99,0.06,-0.02
357,1,-0.99,0.06,-0.02
358,1,-0.99,0.06,-0.02
360,1,-0.99,0.06,-0.02
362,1,-0.99,0.06,-0.02
363,1,-0.99,0.06,-0.02
365,1,-0.99,0.05,-0.0
367,1,-0.99,0.05,-0.0
368,1,-0.99,0.05,-0.0
370,1,-0.99,0.05,-0.0
372,1,-0.99,0.05,-0.0
373,1,-0.99,0.05,0.12
375,1,-0.99,0.05,0.01
377,1,-0.99,0.05,0.01
379,1,-0.99,0.05,0.01
381,1,-0.99,0.05,0.01
382,1,-0.99,0.05,0.01
384,1,-0.99,0.05,0.01
386,1,-0.99,0.05,0.01
387,1,-0.99,0.05,0.01
389,1,-0.99,0.05,0.01
390,1,-0.99,0.05,0.01
392,1,-0.99,0.05,0.01
394,1,-0.99,0.06,-0.0
395,1,-0.99,0.06,-0.0
397,1,-0.99,0.06,-0.0
399,1,-0.99,0.06,-0.0
400,1,-0.99,0.06,-0.0
402,1,-0.99,0.06,-0.0
404,1,-0.99,0.06,-0.01
405,1,-0.99,0.06,-0.01
407,1,-0.99,0.06,-0.01
409,1,-0.99,0.06,-0.01
410,1,-0.99,0.06,-0.01
412,1,-0.99,0.06,-0.01
414,1,-0.98,0.07,-0.02
415,1,-0.98,0.07,-0.02
417,1,-0.98,0.07,-0.02
419,1,-0.98,0.07,-0.02
420,1,-0.98,0.07,-0.02
422,1,-0.98,0.07,-0.02
424,1,-0.98,0.08,-0.03
425,1,-0.98,0.08,-0.03
427,1,-0.98,0.08,-0.03
429,1,-0.98,0.08,-0.03
430,1,-0.98,0.08,-0.03
432,1,-0.98,0.08,-0.03
434,1,-0.98,0.08,-0.03
435,1,-0.98,0.08,-0.03
437,1,-0.98,0.08,-0.03
439,1,-0.98,0.08,-0.03
440,1,-0.98,0.08,-0.03
442,1,-0.98,0.08,-0.02
444,1,-0.98,0.08,-0.02
445,1,-0.98,0.08,-0.02
447,1,-0.98,0.08,-0.02
449,1,-0.98,0.08,-0.02
450,1,-0.98,0.08,-0.02
452,1,-0.98,0.06,-0.0
454,1,-0.98,0.06,-0.0
455,1,-0.98,0.06,-0.0
457,1,-0.98,0.06,-0.0
459,1,-0.98,0.06,-0.0
460,1,-0.98,0.06,-0.0
462,1,-0.99,0.06,0.0
464,1,-0.99,0.06,0.0
465,1,-0.99,0.06,0.0
467,1,-0.99,0.06,0.0
469,1,-0.99,0.06,0.0
470,1,-0.99,0.06,0.0
472,1,-0.99,0.06,0.01
474,1,-0.99,0.06,0.01
475,1,-0.99,0.06,0.01
477,1,-0.99,0.06,0.01
479,1,-0.99,0.06,0.01
480,1,-0.99,0.06,0.01
482,1,-0.99,0.06,0.0
484,1,-0.99,0.06,0.0
