t,l,x,y,z
0,1,-0.97,-0.1,0.13
2,1,-0.96,-0.1,0.13
3,1,-0.96,-0.1,0.13
5,1,-0.96,-0.1,0.13
7,1,-0.96,-0.1,0.13
8,1,-0.96,-0.1,0.13
10,1,-0.96,-0.1,0.12
12,1,-0.97,-0.1,0.12
13,1,-0.97,-0.1,0.12
15,1,-0.97,-0.1,0.12
17,1,-0.97,-0.1,0.12
18,1,-0.97,-0.1,0.12
20,1,-0.97,-0.1,0.11
22,1,-0.97,-0.1,0.11
23,1,-0.97,-0.1,0.11
25,1,-0.97,-0.1,0.11
27,1,-0.97,-0.1,0.11
28,1,-0.97,-0.1,0.11
30,1,-0.97,-0.1,0.12
32,1,-0.97,-0.1,0.12
33,1,-0.97,-0.1,0.12
35,1,-0.97,-0.1,0.12
37,1,-0.97,-0.1,0.12
38,1,-0.97,-0.1,0.12
40,1,-0.97,-0.09,0.13
42,1,-0.97,-0.09,0.13
43,1,-0.97,-0.09,0.13
45,1,-0.97,-0.09,0.13
47,1,-0.97,-0.09,0.13
48,1,-0.97,-0.09,0.13
50,1,-0.98,-0.09,0.14
52,1,-0.98,-0.09,0.14
53,1,-0.98,-0.09,0.14
55,1,-0.98,-0.09,0.14
57,1,-0.98,-0.09,0.14
58,1,-0.98,-0.09,0.14
60,1,-0.97,-0.09,0.14
62,1,-0.97,-0.09,0.14
63,1,-0.97,-0.09,0.14
65,1,-0.97,-0.09,0.14
67,1,-0.97,-0.09,0.14
68,1,-0.97,-0.09,0.13
70,1,-0.97,-0.1,0.13
72,1,-0.97,-0.1,0.13
73,1,-0.97,-0.1,0.13
75,1,-0.97,-0.1,0.13
77,1,-0.97,-0.1,0.13
78,1,-0.97,-0.1,0.12
80,1,-0.97,-0.1,0.12
82,1,-0.97,-0.1,0.12
83,1,-0.97,-0.1,0.12
85,1,-0.97,-0.1,0.12
87,1,-0.97,-0.1,0.12
88,1,-0.97,-0.09,0.12
90,1,-0.97,-0.09,0.12
92,1,-0.97,-0.09,0.12
93,1,-0.97,-0.09,0.12
95,1,-0.97,-0.09,0.12
97,1,-0.97,-0.09,0.12
98,1,-0.96,-0.09,0.13
100,1,-0.96,-0.09,0.13
102,1,-0.96,-0.09,0.13
103,1,-0.96,-0.09,0.13
105,1,-0.96,-0.09,0.13
107,1,-0.96,-0.09,0.13
108,1,-0.98,-0.09,0.14
110,1,-0.98,-0.09,0.14
112,1,-0.98,-0.09,0.14
113,1,-0.98,-0.09,0.14
115,1,-0.98,-0.09,0.14
117,1,-0.98,-0.09,0.14
118,1,-0.97,-0.09,0.14
120,1,-0.97,-0.09,0.14
122,1,-0.97,-0.09,0.14
123,1,-0.97,-0.09,0.14
125,1,-0.97,-0.09,0.14
127,1,-0.97,-0.09,0.14
128,1,-0.97,-0.1,0.13
130,1,-0.97,-0.1,0.13
132,1,-0.97,-0.1,0.13
134,1,-0.97,-0.1,0.13
135,1,-0.97,-0.1,0.13
137,1,-0.97,-0.1,0.12
139,1,-0.97,-0.1,0.12
141,1,-0.97,-0.1,0.12
142,1,-0.97,-0.1,0.12
144,1,-0.97,-0.1,0.12
146,1,-0.97,-0.1,0.12
148,1,-0.97,-0.1,0.12
149,1,-0.97,-0.1,0.12
151,1,-0.97,-0.1,0.12
153,1,-0.97,-0.1,0.12
154,1,-0.97,-0.1,0.12
156,1,-0.97,-0.1,0.12
158,1,-0.97,-0.1,0.12
