t,l,x,y,z
0,1,-0.98,-0.03,-0.02
2,1,-0.98,-0.03,-0.02
4,1,-0.98,-0.03,-0.02
5,1,-0.98,-0.03,-0.02
7,1,-0.98,-0.03,-0.02
9,1,-0.99,-0.04,-0.02
10,1,-0.99,-0.04,-0.02
12,1,-0.99,-0.04,-0.02
14,1,-0.99,-0.04,-0.02
15,1,-0.99,-0.04,-0.02
17,1,-0.99,-0.04,-0.02
19,1,-0.99,-0.05,-0.02
20,1,-0.99,-0.05,-0.02
22,1,-0.99,-0.05,-0.02
24,1,-0.99,-0.05,-0.02
25,1,-0.99,-0.05,-0.02
27,1,-0.99,-0.06,-0.02
29,1,-0.99,-0.06,-0.02
30,1,-0.99,-0.06,-0.02
32,1,-0.99,-0.06,-0.02
34,1,-0.99,-0.06,-0.02
35,1,-0.99,-0.06,-0.02
37,1,-0.99,-0.06,-0.02
39,1,-0.99,-0.06,-0.02
40,1,-0.99,-0.06,-0.02
42,1,-0.99,-0.06,-0.02
44,1,-0.99,-0.06,-0.02
45,1,-0.99,-0.06,-0.02
47,1,-0.99,-0.04,-0.02
49,1,-0.99,-0.04,-0.02
50,1,-0.99,-0.04,-0.02
52,1,-0.99,-0.04,-0.02
54,1,-0.99,-0.04,-0.02
55,1,-0.99,-0.04,-0.02
57,1,-0.98,-0.02,-0.02
59,1,-0.98,-0.02,-0.02
60,1,-0.98,-0.02,-0.02
62,1,-0.98,-0.02,-0.02
64,1,-0.98,-0.02,-0.02
65,1,-0.98,-0.02,-0.02
67,1,-0.98,-0.02,-0.02
69,1,-0.98,-0.02,-0.02
70,1,-0.98,-0.02,-0.02
72,1,-0.98,-0.02,-0.02
74,1,-0.98,-0.02,-0.02
76,1,-0.98,-0.02,-0.02
77,1,-0.99,-0.02,-0.02
79,1,-0.99,-0.02,-0.02
81,1,-0.99,-0.02,-0.02
82,1,-0.99,-0.02,-0.02
84,1,-0.99,-0.02,-0.02
86,1,-0.98,-0.02,-0.03
87,1,-0.98,-0.02,-0.03
89,1,-0.98,-0.02,-0.03
91,1,-0.98,-0.02,-0.03
92,1,-0.98,-0.02,-0.03
94,1,-0.98,-0.02,-0.03
96,1,-0.98,-0.02,-0.03
97,1,-0.98,-0.02,-0.03
99,1,-0.98,-0.02,-0.03
101,1,-0.98,-0.02,-0.03
102,1,-0.98,-0.02,-0.03
104,1,-0.98,-0.02,-0.03
106,1,-0.98,-0.02,-0.02
107,1,-0.98,-0.02,-0.02
109,1,-0.98,-0.02,-0.02
111,1,-0.98,-0.02,-0.02
