t,l,x,y,z
0,1,-0.98,-0.02,0.06
1,1,-0.98,-0.02,0.06
3,1,-0.98,-0.02,0.06
5,1,-0.98,-0.02,0.07
6,1,-0.98,-0.02,0.07
8,1,-0.98,-0.02,0.07
10,1,-0.98,-0.02,0.07
11,1,-0.98,-0.02,0.07
13,1,-0.98,-0.02,0.07
15,1,-0.98,-0.02,0.07
16,1,-0.98,-0.02,0.07
18,1,-0.98,-0.02,0.07
20,1,-0.98,-0.02,0.07
21,1,-0.98,-0.02,0.07
23,1,-0.98,-0.02,0.07
25,1,-0.98,-0.02,0.07
26,1,-0.98,-0.02,0.07
28,1,-0.98,-0.02,0.07
30,1,-0.98,-0.02,0.07
31,1,-0.98,-0.02,0.07
33,1,-0.98,-0.02,0.08
35,1,-0.98,-0.02,0.08
36,1,-0.98,-0.02,0.08
38,1,-0.98,-0.02,0.08
40,1,-0.98,-0.02,0.08
41,1,-0.98,-0.02,0.08
43,1,-0.98,-0.02,0.08
45,1,-0.98,-0.02,0.08
46,1,-0.98,-0.02,0.08
48,1,-0.98,-0.02,0.08
50,1,-0.98,-0.02,0.08
51,1,-0.98,-0.02,0.08
53,1,-0.98,-0.03,0.08
55,1,-0.98,-0.03,0.08
56,1,-0.98,-0.03,0.08
58,1,-0.98,-0.03,0.08
60,1,-0.98,-0.03,0.08
61,1,-0.98,-0.03,0.08
63,1,-0.98,-0.02,0.07
65,1,-0.98,-0.02,0.07
66,1,-0.98,-0.02,0.07
68,1,-0.98,-0.02,0.07
70,1,-0.98,-0.02,0.07
71,1,-0.98,-0.02,0.07
73,1,-0.99,-0.02,0.08
75,1,-0.99,-0.02,0.08
76,1,-0.99,-0.02,0.08
78,1,-0.99,-0.02,0.08
80,1,-0.99,-0.02,0.08
81,1,-0.99,-0.02,0.08
83,1,-0.98,-0.02,0.09
85,1,-0.98,-0.02,0.09
86,1,-0.98,-0.02,0.09
88,1,-0.98,-0.02,0.09
90,1,-0.98,-0.02,0.09
91,1,-0.98,-0.02,0.09
93,1,-0.98,-0.02,0.09
95,1,-0.98,-0.02,0.09
96,1,-0.98,-0.02,0.09
98,1,-0.98,-0.02,0.09
100,1,-0.98,-0.02,0.09
101,1,-0.98,-0.02,0.08
103,1,-0.98,-0.02,0.08
105,1,-0.98,-0.02,0.08
106,1,-0.98,-0.02,0.08
108,1,-0.98,-0.02,0.08
110,1,-0.98,-0.02,0.08
111,1,-0.98,-0.02,0.07
113,1,-0.98,-0.02,0.07
115,1,-0.98,-0.02,0.07
116,1,-0.98,-0.02,0.07
118,1,-0.98,-0.02,0.07
120,1,-0.98,-0.02,0.07
121,1,-0.98,-0.02,0.08
123,1,-0.98,-0.02,0.08
125,1,-0.98,-0.02,0.08
126,1,-0.98,-0.02,0.08
128,1,-0.98,-0.02,0.08
130,1,-0.98,-0.02,0.08
131,1,-0.98,-0.03,0.08
133,1,-0.98,-0.03,0.08
135,1,-0.98,-0.03,0.08
136,1,-0.98,-0.03,0.08
138,1,-0.98,-0.03,0.08
140,1,-0.98,-0.03,0.08
141,1,-0.98,-0.02,0.08
143,1,-0.98,-0.02,0.08
145,1,-0.98,-0.02,0.08
146,1,-0.98,-0.02,0.08
148,1,-0.98,-0.02,0.08
150,1,-0.98,-0.02,0.07
151,1,-0.98,-0.02,0.07
153,1,-0.98,-0.02,0.07
155,1,-0.98,-0.02,0.07
156,1,-0.98,-0.02,0.07
158,1,-0.98,-0.02,0.07
160,1,-0.98,-0.02,0.07
161,1,-0.98,-0.02,0.07
163,1,-0.98,-0.02,0.07
165,1,-0.98,-0.02,0.07
166,1,-0.98,-0.02,0.07
168,1,-0.98,-0.02,0.07
170,1,-0.98,-0.02,0.06
171,1,-0.98,-0.02,0.06
173,1,-0.98,-0.02,0.06
175,1,-0.98,-0.02,0.06
176,1,-0.98,-0.02,0.06
178,1,-0.98,-0.02,0.06
180,1,-0.98,-0.02,0.07
181,1,-0.98,-0.02,0.07
183,1,-0.98,-0.02,0.07
185,1,-0.98,-0.02,0.07
186,1,-0.98,-0.02,0.07
188,1,-0.98,-0.02,0.07
190,1,-0.98,-0.02,0.07
191,1,-0.98,-0.02,0.07
193,1,-0.98,-0.02,0.07
195,1,-0.98,-0.02,0.07
196,1,-0.98,-0.02,0.07
198,1,-0.98,-0.02,0.07
200,1,-0.98,-0.02,0.08
201,1,-0.98,-0.02,0.08
203,1,-0.98,-0.02,0.08
205,1,-0.98,-0.02,0.08
206,1,-0.98,-0.02,0.08
208,1,-0.98,-0.02,0.08
210,1,-0.97,-0.01,0.1
211,1,-0.97,-0.01,0.1
213,1,-0.97,-0.01,0.1
215,1,-0.97,-0.01,0.1
216,1,-0.97,-0.01,0.1
218,1,-0.97,-0.01,0.1
220,1,-0.98,-0.03,0.14
221,1,-0.98,-0.03,0.14
223,1,-0.98,-0.03,0.14
225,1,-0.98,-0.03,0.14
226,1,-0.98,-0.03,0.14
228,1,-0.98,-0.03,0.15
230,1,-1.0,-0.05,0.15
231,1,-1.0,-0.05,0.15
233,1,-1.0,-0.05,0.15
235,1,-1.0,-0.05,0.15
236,1,-1.0,-0.05,0.15
238,1,-0.99,-0.05,0.12
240,1,-0.99,-0.05,0.12
241,1,-0.99,-0.05,0.12
243,1,-0.99,-0.05,0.12
245,1,-0.99,-0.05,0.12
246,1,-0.99,-0.05,0.12
248,1,-0.96,-0.05,0.09
250,1,-0.96,-0.05,0.09
251,1,-0.96,-0.05,0.09
253,1,-0.96,-0.05,0.09
255,1,-0.96,-0.05,0.09
256,1,-0.96,-0.05,0.09
258,1,-0.92,0.04,0.1
260,1,-0.92,0.04,0.1
261,1,-0.92,0.04,0.1
263,1,-0.92,0.04,0.1
265,1,-0.92,0.04,0.1
266,1,-0.92,0.04,0.1
268,1,-0.9,0.11,0.15
270,1,-0.9,0.11,0.15
271,1,-0.9,0.11,0.15
273,1,-0.9,0.11,0.15
275,1,-0.9,0.11,0.15
276,1,-0.9,0.11,0.15
278,1,-0.98,0.09,0.22
280,1,-0.98,0.09,0.22
281,1,-0.98,0.09,0.22
283,1,-0.98,0.09,0.22
285,1,-0.98,0.09,0.22
286,1,-0.98,0.09,0.22
288,1,-1.02,0.07,0.21
290,1,-1.02,0.07,0.21
291,1,-1.02,0.07,0.21
293,1,-1.02,0.07,0.21
295,1,-1.02,0.07,0.21
296,1,-1.02,0.07,0.21
298,1,-0.97,0.05,0.18
300,1,-0.97,0.05,0.18
301,1,-0.97,0.05,0.18
303,1,-0.97,0.05,0.18
305,1,-0.97,0.05,0.18
306,1,-0.97,-0.04,0.18
308,1,-0.97,-0.04,0.18
310,1,-0.97,-0.04,0.18
311,1,-0.97,-0.04,0.18
313,1,-0.97,-0.04,0.18
315,1,-0.97,-0.04,0.18
316,1,-1.08,-0.21,0.17
318,1,-1.08,-0.21,0.17
320,1,-1.08,-0.21,0.17
321,1,-1.08,-0.21,0.17
323,1,-1.08,-0.21,0.17
325,1,-1.08,-0.21,0.17
326,1,-1.16,-0.39,0.03
328,1,-1.16,-0.39,0.03
330,1,-1.16,-0.39,0.03
331,1,-1.16,-0.39,0.03
333,1,-1.16,-0.39,0.03
335,1,-1.16,-0.39,0.03
