t,l,x,y,z
0,1,-0.96,0.11,0.2
1,1,-0.96,0.11,0.2
3,1,-0.96,0.11,0.2
5,1,-0.96,0.11,0.2
6,1,-0.96,0.11,0.19
8,1,-0.96,0.11,0.19
10,1,-0.96,0.11,0.19
11,1,-0.96,0.11,0.19
13,1,-0.96,0.11,0.19
15,1,-0.96,0.11,0.19
16,1,-0.96,0.12,0.2
18,1,-0.95,0.12,0.2
20,1,-0.95,0.12,0.2
21,1,-0.95,0.12,0.2
23,1,-0.95,0.12,0.2
25,1,-0.95,0.12,0.2
26,1,-0.96,0.12,0.21
28,1,-0.96,0.12,0.21
30,1,-0.96,0.12,0.21
31,1,-0.96,0.12,0.21
33,1,-0.96,0.12,0.21
35,1,-0.96,0.12,0.21
36,1,-0.96,0.12,0.21
38,1,-0.96,0.12,0.21
40,1,-0.96,0.12,0.21
41,1,-0.96,0.12,0.21
43,1,-0.96,0.12,0.21
45,1,-0.96,0.12,0.21
46,1,-0.96,0.13,0.2
48,1,-0.96,0.13,0.2
50,1,-0.96,0.13,0.2
51,1,-0.96,0.13,0.2
53,1,-0.96,0.13,0.2
55,1,-0.96,0.13,0.2
56,1,-0.95,0.12,0.2
58,1,-0.95,0.12,0.2
60,1,-0.95,0.12,0.2
61,1,-0.95,0.12,0.2
63,1,-0.95,0.12,0.2
65,1,-0.95,0.12,0.19
67,1,-0.95,0.12,0.19
68,1,-0.95,0.12,0.19
70,1,-0.95,0.12,0.19
72,1,-0.95,0.12,0.19
73,1,-0.95,0.12,0.19
75,1,-0.95,0.12,0.19
76,1,-0.95,0.12,0.19
78,1,-0.95,0.12,0.19
80,1,-0.95,0.12,0.19
81,1,-0.95,0.12,0.19
83,1,-0.95,0.12,0.19
85,1,-0.95,0.12,0.19
86,1,-0.95,0.12,0.19
88,1,-0.95,0.12,0.19
90,1,-0.95,0.12,0.19
91,1,-0.95,0.12,0.19
93,1,-0.95,0.12,0.19
95,1,-0.96,0.12,0.2
97,1,-0.96,0.12,0.2
98,1,-0.96,0.12,0.2
100,1,-0.96,0.12,0.2
101,1,-0.96,0.12,0.2
103,1,-0.96,0.12,0.2
105,1,-0.95,0.12,0.2
106,1,-0.95,0.12,0.2
108,1,-0.95,0.12,0.2
110,1,-0.95,0.12,0.2
111,1,-0.95,0.12,0.2
113,1,-0.95,0.12,0.2
115,1,-0.96,0.11,0.22
116,1,-0.96,0.11,0.22
118,1,-0.96,0.11,0.22
120,1,-0.96,0.11,0.22
122,1,-0.96,0.11,0.22
123,1,-0.96,0.11,0.22
125,1,-0.96,0.11,0.22
127,1,-0.96,0.11,0.22
128,1,-0.96,0.11,0.22
130,1,-0.96,0.11,0.22
132,1,-0.96,0.11,0.22
133,1,-0.96,0.11,0.22
135,1,-0.96,0.12,0.22
136,1,-0.96,0.12,0.22
138,1,-0.96,0.12,0.22
140,1,-0.96,0.12,0.22
141,1,-0.96,0.12,0.22
143,1,-0.96,0.13,0.21
145,1,-0.96,0.13,0.21
146,1,-0.96,0.13,0.21
148,1,-0.96,0.13,0.21
150,1,-0.96,0.13,0.21
151,1,-0.96,0.13,0.21
153,1,-0.95,0.14,0.2
155,1,-0.95,0.14,0.2
157,1,-0.95,0.14,0.2
158,1,-0.95,0.14,0.2
160,1,-0.95,0.14,0.2
162,1,-0.95,0.14,0.2
163,1,-0.95,0.15,0.19
165,1,-0.95,0.15,0.19
167,1,-0.95,0.15,0.19
168,1,-0.95,0.15,0.19
170,1,-0.95,0.15,0.19
172,1,-0.95,0.15,0.19
173,1,-0.95,0.14,0.19
175,1,-0.95,0.14,0.19
177,1,-0.95,0.14,0.19
178,1,-0.95,0.14,0.19
180,1,-0.95,0.14,0.19
182,1,-0.95,0.14,0.19
183,1,-0.96,0.14,0.19
185,1,-0.96,0.14,0.19
187,1,-0.96,0.14,0.19
188,1,-0.96,0.14,0.19
190,1,-0.96,0.14,0.19
192,1,-0.96,0.14,0.19
193,1,-0.96,0.13,0.19
195,1,-0.96,0.13,0.19
197,1,-0.96,0.13,0.19
199,1,-0.96,0.13,0.19
200,1,-0.96,0.13,0.19
202,1,-0.96,0.12,0.2
204,1,-0.96,0.12,0.2
205,1,-0.96,0.12,0.2
207,1,-0.96,0.12,0.2
208,1,-0.96,0.12,0.2
210,1,-0.96,0.12,0.2
212,1,-0.96,0.12,0.2
213,1,-0.96,0.12,0.2
215,1,-0.96,0.12,0.2
217,1,-0.96,0.12,0.2
219,1,-0.96,0.12,0.2
220,1,-0.96,0.12,0.2
222,1,-0.96,0.11,0.2
223,1,-0.96,0.11,0.2
225,1,-0.96,0.11,0.2
227,1,-0.96,0.11,0.2
229,1,-0.96,0.11,0.2
230,1,-0.96,0.11,0.2
232,1,-0.95,0.11,0.21
233,1,-0.95,0.11,0.21
235,1,-0.95,0.11,0.21
237,1,-0.95,0.11,0.21
239,1,-0.95,0.11,0.21
240,1,-0.95,0.11,0.21
242,1,-0.96,0.11,0.21
244,1,-0.96,0.11,0.21
245,1,-0.96,0.11,0.21
247,1,-0.96,0.11,0.21
249,1,-0.96,0.11,0.21
250,1,-0.96,0.11,0.21
252,1,-0.95,0.11,0.22
254,1,-0.95,0.11,0.22
255,1,-0.95,0.11,0.22
257,1,-0.95,0.11,0.22
259,1,-0.95,0.11,0.22
260,1,-0.95,0.11,0.21
262,1,-0.96,0.12,0.21
264,1,-0.96,0.12,0.21
265,1,-0.96,0.12,0.21
267,1,-0.96,0.12,0.21
268,1,-0.96,0.12,0.21
270,1,-0.96,0.13,0.21
272,1,-0.95,0.13,0.21
273,1,-0.95,0.13,0.21
275,1,-0.95,0.13,0.21
277,1,-0.95,0.13,0.21
279,1,-0.95,0.13,0.21
280,1,-0.96,0.14,0.2
282,1,-0.96,0.14,0.2
284,1,-0.96,0.14,0.2
285,1,-0.96,0.14,0.2
287,1,-0.96,0.14,0.2
288,1,-0.96,0.14,0.2
290,1,-0.95,0.13,0.21
292,1,-0.95,0.13,0.21
293,1,-0.95,0.13,0.21
295,1,-0.95,0.13,0.21
297,1,-0.95,0.13,0.21
299,1,-0.95,0.13,0.21
300,1,-0.96,0.12,0.22
302,1,-0.96,0.12,0.22
304,1,-0.96,0.12,0.22
305,1,-0.96,0.12,0.22
307,1,-0.96,0.12,0.22
309,1,-0.96,0.12,0.22
310,1,-0.95,0.11,0.22
312,1,-0.95,0.11,0.22
314,1,-0.95,0.11,0.22
315,1,-0.95,0.11,0.22
317,1,-0.95,0.11,0.22
319,1,-0.95,0.11,0.22
320,1,-0.96,0.11,0.22
322,1,-0.96,0.11,0.22
324,1,-0.96,0.11,0.22
326,1,-0.96,0.11,0.22
327,1,-0.96,0.11,0.22
329,1,-0.96,0.11,0.22
331,1,-0.96,0.11,0.22
332,1,-0.96,0.11,0.22
334,1,-0.96,0.11,0.22
336,1,-0.96,0.11,0.22
337,1,-0.96,0.11,0.22
339,1,-0.96,0.11,0.22
341,1,-0.96,0.11,0.22
342,1,-0.96,0.11,0.22
344,1,-0.96,0.11,0.22
346,1,-0.96,0.11,0.22
347,1,-0.96,0.11,0.22
349,1,-0.96,0.11,0.2
351,1,-0.96,0.11,0.2
353,1,-0.96,0.11,0.2
354,1,-0.96,0.11,0.2
356,1,-0.96,0.11,0.2
357,1,-0.96,0.11,0.2
359,1,-0.97,0.1,0.19
361,1,-0.97,0.1,0.19
362,1,-0.97,0.1,0.19
364,1,-0.97,0.1,0.19
366,1,-0.97,0.1,0.19
367,1,-0.97,0.1,0.19
