t,l,x,y,z
0,1,-0.97,-0.11,-0.07
2,1,-0.97,-0.11,-0.07
4,1,-0.97,-0.11,-0.05
5,1,-0.97,-0.11,-0.05
7,1,-0.97,-0.11,-0.05
9,1,-0.97,-0.11,-0.05
10,1,-0.97,-0.11,-0.05
12,1,-0.97,-0.11,-0.05
14,1,-0.97,-0.12,-0.05
15,1,-0.97,-0.12,-0.05
17,1,-0.97,-0.12,-0.05
19,1,-0.97,-0.12,-0.05
20,1,-0.97,-0.12,-0.05
22,1,-0.97,-0.12,-0.05
24,1,-0.97,-0.12,-0.04
25,1,-0.97,-0.12,-0.04
27,1,-0.97,-0.12,-0.04
29,1,-0.97,-0.12,-0.04
30,1,-0.97,-0.12,-0.04
32,1,-0.97,-0.12,-0.04
34,1,-0.97,-0.13,-0.04
35,1,-0.97,-0.13,-0.04
37,1,-0.97,-0.13,-0.04
39,1,-0.97,-0.13,-0.04
40,1,-0.97,-0.13,-0.04
42,1,-0.97,-0.13,-0.02
44,1,-0.98,-0.13,-0.02
45,1,-0.98,-0.13,-0.02
47,1,-0.98,-0.13,-0.02
49,1,-0.98,-0.13,-0.02
50,1,-0.98,-0.13,-0.02
52,1,-0.98,-0.13,-0.03
54,1,-0.98,-0.13,-0.03
55,1,-0.98,-0.13,-0.03
57,1,-0.98,-0.13,-0.03
59,1,-0.98,-0.13,-0.03
60,1,-0.98,-0.13,-0.03
62,1,-0.98,-0.13,-0.03
64,1,-0.98,-0.13,-0.03
65,1,-0.98,-0.13,-0.03
67,1,-0.98,-0.13,-0.03
69,1,-0.98,-0.13,-0.03
70,1,-0.98,-0.13,-0.03
72,1,-0.98,-0.13,-0.05
74,1,-0.98,-0.13,-0.05
75,1,-0.98,-0.13,-0.05
77,1,-0.98,-0.13,-0.05
79,1,-0.98,-0.13,-0.05
80,1,-0.98,-0.13,-0.05
82,1,-0.96,-0.12,-0.05
84,1,-0.96,-0.12,-0.05
85,1,-0.96,-0.12,-0.05
87,1,-0.96,-0.12,-0.05
89,1,-0.96,-0.12,-0.05
90,1,-0.96,-0.12,-0.05
92,1,-0.97,-0.12,-0.06
94,1,-0.97,-0.12,-0.06
95,1,-0.97,-0.12,-0.06
97,1,-0.97,-0.12,-0.06
99,1,-0.97,-0.12,-0.06
100,1,-0.97,-0.12,-0.07
102,1,-0.97,-0.11,-0.07
104,1,-0.97,-0.11,-0.07
105,1,-0.97,-0.11,-0.07
107,1,-0.97,-0.11,-0.07
109,1,-0.97,-0.11,-0.07
110,1,-0.96,-0.11,-0.06
112,1,-0.96,-0.11,-0.06
114,1,-0.96,-0.11,-0.06
115,1,-0.96,-0.11,-0.06
117,1,-0.96,-0.11,-0.06
119,1,-0.96,-0.11,-0.06
121,1,-0.97,-0.11,-0.06
122,1,-0.97,-0.11,-0.06
124,1,-0.97,-0.11,-0.06
125,1,-0.97,-0.11,-0.06
127,1,-0.97,-0.11,-0.06
129,1,-0.97,-0.11,-0.06
130,1,-0.97,-0.11,-0.06
132,1,-0.97,-0.11,-0.06
134,1,-0.97,-0.11,-0.06
135,1,-0.97,-0.11,-0.06
137,1,-0.97,-0.11,-0.06
139,1,-0.97,-0.11,-0.06
140,1,-0.97,-0.12,-0.05
142,1,-0.97,-0.12,-0.05
144,1,-0.97,-0.12,-0.05
145,1,-0.97,-0.12,-0.05
147,1,-0.97,-0.12,-0.05
149,1,-0.97,-0.12,-0.05
151,1,-0.97,-0.13,-0.04
152,1,-0.97,-0.13,-0.04
154,1,-0.97,-0.13,-0.04
156,1,-0.97,-0.13,-0.04
157,1,-0.97,-0.13,-0.04
159,1,-0.97,-0.13,-0.04
161,1,-0.97,-0.13,-0.03
162,1,-0.97,-0.13,-0.03
164,1,-0.97,-0.13,-0.03
166,1,-0.97,-0.13,-0.03
167,1,-0.97,-0.13,-0.03
169,1,-0.97,-0.13,-0.04
171,1,-0.98,-0.13,-0.04
172,1,-0.98,-0.13,-0.04
174,1,-0.98,-0.13,-0.04
176,1,-0.98,-0.13,-0.04
177,1,-0.98,-0.13,-0.04
179,1,-0.98,-0.13,-0.04
181,1,-0.98,-0.13,-0.04
182,1,-0.98,-0.13,-0.04
184,1,-0.98,-0.13,-0.04
186,1,-0.98,-0.13,-0.04
187,1,-0.98,-0.13,-0.04
189,1,-0.98,-0.13,-0.04
191,1,-0.98,-0.13,-0.04
192,1,-0.98,-0.13,-0.04
194,1,-0.98,-0.13,-0.04
196,1,-0.98,-0.13,-0.04
197,1,-0.98,-0.13,-0.04
199,1,-0.97,-0.13,-0.04
201,1,-0.97,-0.13,-0.04
202,1,-0.97,-0.13,-0.04
204,1,-0.97,-0.13,-0.04
206,1,-0.97,-0.13,-0.04
207,1,-0.97,-0.13,-0.04
209,1,-0.98,-0.13,-0.05
211,1,-0.98,-0.13,-0.05
212,1,-0.98,-0.13,-0.05
214,1,-0.98,-0.13,-0.05
216,1,-0.98,-0.13,-0.05
217,1,-0.98,-0.13,-0.05
219,1,-0.97,-0.15,-0.05
221,1,-0.97,-0.15,-0.05
222,1,-0.97,-0.15,-0.05
224,1,-0.97,-0.15,-0.05
226,1,-0.97,-0.15,-0.05
227,1,-0.97,-0.15,-0.05
229,1,-0.98,-0.17,-0.06
231,1,-0.98,-0.17,-0.06
232,1,-0.98,-0.17,-0.06
234,1,-0.98,-0.17,-0.06
236,1,-0.98,-0.17,-0.06
237,1,-0.98,-0.21,-0.05
239,1,-0.98,-0.21,-0.05
241,1,-0.98,-0.21,-0.05
242,1,-0.98,-0.21,-0.05
244,1,-0.98,-0.21,-0.05
246,1,-0.98,-0.21,-0.05
247,1,-0.87,-0.3,-0.08
249,1,-0.87,-0.3,-0.08
251,1,-0.87,-0.3,-0.08
252,1,-0.87,-0.3,-0.08
254,1,-0.87,-0.3,-0.08
256,1,-0.87,-0.3,-0.08
257,1,-0.93,-0.27,-0.01
