t,l,x,y,z
0,1,-0.98,0.02,-0.01
2,1,-0.98,0.02,-0.01
3,1,-0.98,0.02,-0.01
5,1,-0.98,0.02,-0.01
7,1,-0.98,0.02,-0.01
8,1,-0.98,0.02,-0.01
10,1,-0.98,0.02,-0.01
12,1,-0.98,0.02,-0.01
13,1,-0.98,0.02,-0.01
15,1,-0.98,0.02,-0.01
17,1,-0.98,0.02,-0.01
18,1,-0.98,0.02,-0.01
20,1,-0.98,0.02,-0.01
22,1,-0.98,0.02,-0.01
23,1,-0.98,0.02,-0.01
25,1,-0.98,0.02,-0.01
27,1,-0.98,0.02,-0.01
28,1,-0.98,0.02,-0.01
30,1,-0.98,0.02,-0.01
32,1,-0.98,0.02,-0.01
33,1,-0.98,0.02,-0.01
35,1,-0.98,0.02,-0.01
37,1,-0.98,0.02,-0.01
38,1,-0.98,0.02,-0.01
40,1,-0.98,0.02,-0.01
42,1,-0.98,0.02,-0.01
43,1,-0.98,0.02,-0.01
45,1,-0.98,0.02,-0.01
47,1,-0.98,0.03,-0.01
48,1,-0.98,0.03,-0.01
50,1,-0.98,0.03,-0.01
51,1,-0.98,0.03,-0.01
53,1,-0.98,0.03,-0.01
55,1,-0.98,0.02,-0.02
56,1,-0.98,0.02,-0.02
58,1,-0.98,0.02,-0.02
60,1,-0.98,0.02,-0.02
61,1,-0.98,0.02,-0.02
63,1,-0.98,0.02,-0.02
65,1,-0.98,0.02,-0.02
66,1,-0.98,0.02,-0.02
68,1,-0.98,0.02,-0.02
70,1,-0.98,0.02,-0.02
71,1,-0.98,0.02,-0.02
73,1,-0.98,0.02,-0.02
75,1,-0.98,0.02,-0.02
76,1,-0.98,0.02,-0.02
78,1,-0.98,0.02,-0.02
80,1,-0.98,0.02,-0.02
81,1,-0.98,0.02,-0.02
83,1,-0.98,0.02,-0.02
85,1,-0.98,0.02,-0.02
86,1,-0.98,0.02,-0.02
88,1,-0.98,0.02,-0.02
89,1,-0.98,0.02,-0.02
