t,l,x,y,z
0,1,-0.99,0.04,-0.0
2,1,-0.99,0.04,-0.0
3,1,-0.99,0.04,-0.0
5,1,-0.99,0.04,-0.0
7,1,-0.99,0.04,-0.0
8,1,-0.99,0.04,0.0
10,1,-0.98,0.03,0.0
12,1,-0.98,0.03,0.0
13,1,-0.98,0.03,0.0
15,1,-0.98,0.03,0.0
17,1,-0.98,0.03,0.0
18,1,-0.98,0.03,-0.0
20,1,-0.98,0.03,-0.0
22,1,-0.98,0.03,-0.0
23,1,-0.98,0.03,-0.0
25,1,-0.98,0.03,-0.0
26,1,-0.98,0.03,-0.0
28,1,-0.98,0.03,0.0
30,1,-0.99,0.03,0.0
31,1,-0.99,0.03,0.0
33,1,-0.99,0.03,0.0
35,1,-0.99,0.03,0.0
36,1,-0.99,0.03,0.0
38,1,-0.99,0.03,-0.0
40,1,-0.99,0.03,-0.0
41,1,-0.99,0.03,-0.0
43,1,-0.99,0.03,-0.0
45,1,-0.99,0.03,-0.0
46,1,-0.99,0.03,-0.0
48,1,-0.98,0.03,-0.01
50,1,-0.98,0.03,-0.01
51,1,-0.98,0.03,-0.01
53,1,-0.98,0.03,-0.01
55,1,-0.98,0.03,-0.01
56,1,-0.98,0.03,-0.01
58,1,-0.98,0.03,-0.01
60,1,-0.98,0.03,-0.01
61,1,-0.98,0.03,-0.01
63,1,-0.98,0.03,-0.01
65,1,-0.98,0.03,-0.01
66,1,-0.98,0.03,-0.01
68,1,-0.98,0.04,-0.01
70,1,-0.98,0.04,-0.01
71,1,-0.98,0.04,-0.01
73,1,-0.98,0.04,-0.01
75,1,-0.98,0.04,-0.01
76,1,-0.98,0.04,-0.01
78,1,-0.98,0.03,-0.01
80,1,-0.98,0.03,-0.01
81,1,-0.98,0.03,-0.01
83,1,-0.98,0.03,-0.01
84,1,-0.98,0.03,-0.01
86,1,-0.98,0.03,-0.01
88,1,-0.99,0.04,-0.01
89,1,-0.99,0.04,-0.01
91,1,-0.99,0.04,-0.01
93,1,-0.99,0.04,-0.01
95,1,-0.99,0.04,-0.01
96,1,-0.99,0.04,-0.01
98,1,-0.98,0.04,-0.01
100,1,-0.98,0.04,-0.01
101,1,-0.98,0.04,-0.01
103,1,-0.98,0.04,-0.01
105,1,-0.98,0.04,-0.01
106,1,-0.98,0.04,-0.0
108,1,-0.98,0.04,-0.0
110,1,-0.98,0.04,-0.0
111,1,-0.98,0.04,-0.0
113,1,-0.98,0.04,-0.0
114,1,-0.98,0.04,-0.0
116,1,-0.98,0.04,-0.01
118,1,-0.98,0.04,-0.01
119,1,-0.98,0.04,-0.01
121,1,-0.98,0.04,-0.01
123,1,-0.98,0.04,-0.01
124,1,-0.98,0.04,-0.01
126,1,-0.98,0.04,-0.01
128,1,-0.98,0.04,-0.01
129,1,-0.98,0.04,-0.01
131,1,-0.98,0.04,-0.01
133,1,-0.98,0.04,-0.01
134,1,-0.98,0.04,-0.01
136,1,-0.99,0.03,-0.01
138,1,-0.99,0.03,-0.01
139,1,-0.99,0.03,-0.01
141,1,-0.99,0.03,-0.01
143,1,-0.99,0.03,-0.01
144,1,-0.99,0.03,-0.01
146,1,-0.98,0.02,0.0
148,1,-0.98,0.02,0.0
149,1,-0.98,0.02,0.0
151,1,-0.98,0.02,0.0
153,1,-0.98,0.02,0.0
154,1,-0.98,0.02,0.0
156,1,-0.99,0.02,0.0
158,1,-0.99,0.02,0.0
159,1,-0.99,0.02,0.0
161,1,-0.99,0.02,0.0
163,1,-0.99,0.02,0.0
164,1,-0.99,0.02,0.0
166,1,-0.99,0.03,-0.0
167,1,-0.99,0.03,-0.0
169,1,-0.99,0.03,-0.0
171,1,-0.99,0.03,-0.0
172,1,-0.99,0.03,-0.0
174,1,-0.99,0.03,-0.0
176,1,-0.99,0.03,-0.01
177,1,-0.99,0.03,-0.01
179,1,-0.99,0.03,-0.01
181,1,-0.99,0.03,-0.01
182,1,-0.99,0.03,-0.01
184,1,-0.99,0.03,-0.01
186,1,-0.98,0.04,-0.0
187,1,-0.98,0.04,-0.0
189,1,-0.98,0.04,-0.0
191,1,-0.98,0.04,-0.0
192,1,-0.98,0.04,-0.0
194,1,-0.98,0.04,-0.01
196,1,-0.98,0.04,-0.01
197,1,-0.98,0.04,-0.01
199,1,-0.98,0.04,-0.01
201,1,-0.98,0.04,-0.01
202,1,-0.98,0.04,-0.01
204,1,-0.98,0.04,-0.0
206,1,-0.98,0.04,-0.0
207,1,-0.98,0.04,-0.0
209,1,-0.98,0.04,-0.0
211,1,-0.98,0.04,-0.0
212,1,-0.98,0.04,-0.0
214,1,-0.98,0.04,-0.01
216,1,-0.98,0.04,-0.01
217,1,-0.98,0.04,-0.01
219,1,-0.98,0.04,-0.01
221,1,-0.98,0.04,-0.01
222,1,-0.98,0.04,-0.01
224,1,-0.98,0.03,-0.01
226,1,-0.98,0.03,-0.01
227,1,-0.98,0.03,-0.01
229,1,-0.98,0.03,-0.01
231,1,-0.98,0.03,-0.01
232,1,-0.98,0.03,-0.01
234,1,-0.98,0.03,-0.0
236,1,-0.98,0.03,-0.0
