t,l,x,y,z
0,1,-0.98,0.02,0.03
1,1,-0.99,0.02,0.02
3,1,-0.99,0.02,0.02
4,1,-0.99,0.02,0.02
6,1,-0.99,0.02,0.02
8,1,-0.99,0.02,0.02
9,1,-0.99,0.02,0.02
11,1,-0.99,0.02,0.02
13,1,-0.99,0.02,0.02
14,1,-0.99,0.02,0.02
16,1,-0.99,0.02,0.02
18,1,-0.99,0.02,0.02
19,1,-0.99,0.02,0.02
21,1,-0.99,0.02,0.02
23,1,-0.99,0.02,0.02
24,1,-0.99,0.02,0.02
26,1,-0.99,0.02,0.02
28,1,-0.99,0.02,0.02
29,1,-0.99,0.02,0.02
31,1,-0.98,0.02,0.02
33,1,-0.98,0.02,0.02
34,1,-0.98,0.02,0.02
36,1,-0.98,0.02,0.02
38,1,-0.98,0.02,0.02
39,1,-0.98,0.02,0.02
41,1,-0.98,0.03,0.02
43,1,-0.98,0.03,0.02
44,1,-0.98,0.03,0.02
46,1,-0.98,0.03,0.02
48,1,-0.98,0.03,0.02
49,1,-0.98,0.03,0.02
51,1,-0.98,0.03,0.03
53,1,-0.98,0.03,0.03
54,1,-0.98,0.03,0.03
56,1,-0.98,0.03,0.03
58,1,-0.98,0.03,0.03
59,1,-0.98,0.03,0.03
61,1,-0.98,0.02,0.03
63,1,-0.98,0.02,0.03
64,1,-0.98,0.02,0.03
66,1,-0.98,0.02,0.03
68,1,-0.98,0.02,0.03
69,1,-0.98,0.02,0.03
71,1,-0.98,0.02,0.03
73,1,-0.98,0.02,0.03
74,1,-0.98,0.02,0.03
76,1,-0.98,0.02,0.03
78,1,-0.98,0.02,0.03
79,1,-0.98,0.03,0.03
81,1,-0.98,0.03,0.03
83,1,-0.98,0.03,0.03
84,1,-0.98,0.03,0.03
86,1,-0.98,0.03,0.03
88,1,-0.98,0.03,0.03
89,1,-0.99,0.03,0.03
91,1,-0.99,0.03,0.03
93,1,-0.99,0.03,0.03
94,1,-0.99,0.03,0.03
96,1,-0.99,0.03,0.03
98,1,-0.99,0.03,0.03
99,1,-0.98,0.03,0.03
101,1,-0.98,0.03,0.03
103,1,-0.98,0.03,0.03
104,1,-0.98,0.03,0.03
106,1,-0.98,0.03,0.03
108,1,-0.98,0.03,0.03
109,1,-0.98,0.02,0.03
111,1,-0.98,0.02,0.03
113,1,-0.98,0.02,0.03
114,1,-0.98,0.02,0.03
116,1,-0.98,0.02,0.03
118,1,-0.98,0.02,0.03
119,1,-0.99,0.02,0.03
121,1,-0.99,0.02,0.03
123,1,-0.99,0.02,0.03
124,1,-0.99,0.02,0.03
126,1,-0.99,0.02,0.03
127,1,-0.99,0.02,0.03
129,1,-0.98,0.02,0.02
131,1,-0.98,0.02,0.02
132,1,-0.98,0.02,0.02
134,1,-0.98,0.02,0.02
136,1,-0.98,0.02,0.02
137,1,-0.98,0.02,0.02
139,1,-0.99,0.02,0.02
141,1,-0.99,0.02,0.02
142,1,-0.99,0.02,0.02
144,1,-0.99,0.02,0.02
146,1,-0.99,0.02,0.02
147,1,-0.99,0.02,0.02
149,1,-0.98,0.02,0.02
151,1,-0.98,0.02,0.02
152,1,-0.98,0.02,0.02
154,1,-0.98,0.02,0.02
155,1,-0.98,0.02,0.02
157,1,-0.98,0.02,0.02
159,1,-0.98,0.02,0.02
160,1,-0.98,0.02,0.02
162,1,-0.98,0.02,0.02
164,1,-0.98,0.02,0.02
165,1,-0.98,0.02,0.02
167,1,-0.98,0.03,0.03
169,1,-0.98,0.03,0.03
170,1,-0.98,0.03,0.03
172,1,-0.98,0.03,0.03
174,1,-0.98,0.03,0.03
175,1,-0.98,0.03,0.03
177,1,-0.98,0.03,0.04
179,1,-0.98,0.03,0.04
180,1,-0.98,0.03,0.04
182,1,-0.98,0.03,0.04
184,1,-0.98,0.03,0.04
185,1,-0.98,0.03,0.04
187,1,-0.98,0.02,0.04
189,1,-0.98,0.02,0.04
190,1,-0.98,0.02,0.04
192,1,-0.98,0.02,0.04
193,1,-0.98,0.02,0.04
195,1,-0.98,0.02,0.04
197,1,-0.98,0.03,0.03
198,1,-0.98,0.03,0.03
200,1,-0.98,0.03,0.03
202,1,-0.98,0.03,0.03
203,1,-0.98,0.03,0.03
205,1,-0.98,0.03,0.03
207,1,-0.99,0.02,0.03
208,1,-0.99,0.02,0.03
210,1,-0.99,0.02,0.03
212,1,-0.99,0.02,0.03
213,1,-0.99,0.02,0.03
215,1,-0.99,0.02,0.03
217,1,-0.98,0.02,0.02
218,1,-0.98,0.02,0.02
220,1,-0.98,0.02,0.02
222,1,-0.98,0.02,0.02
223,1,-0.98,0.02,0.02
225,1,-0.98,0.02,0.02
227,1,-0.98,0.02,0.02
228,1,-0.98,0.02,0.02
230,1,-0.98,0.02,0.02
232,1,-0.98,0.02,0.02
233,1,-0.98,0.02,0.02
235,1,-0.98,0.02,0.02
237,1,-0.99,0.02,0.02
238,1,-0.99,0.02,0.02
240,1,-0.99,0.02,0.02
242,1,-0.99,0.02,0.02
243,1,-0.99,0.02,0.02
245,1,-0.99,0.02,0.02
247,1,-0.98,0.02,0.02
248,1,-0.98,0.02,0.02
250,1,-0.98,0.02,0.02
252,1,-0.98,0.02,0.02
253,1,-0.98,0.02,0.02
255,1,-0.98,0.02,0.02
257,1,-0.98,0.02,0.02
258,1,-0.98,0.02,0.02
260,1,-0.98,0.02,0.02
262,1,-0.98,0.02,0.02
263,1,-0.98,0.02,0.02
265,1,-0.98,0.03,0.03
267,1,-0.98,0.03,0.03
268,1,-0.98,0.03,0.03
270,1,-0.98,0.03,0.03
271,1,-0.98,0.03,0.03
273,1,-0.98,0.03,0.03
275,1,-0.98,0.03,0.03
276,1,-0.98,0.03,0.03
278,1,-0.98,0.03,0.03
280,1,-0.98,0.03,0.03
281,1,-0.98,0.03,0.03
283,1,-0.98,0.03,0.03
285,1,-0.98,0.03,0.03
286,1,-0.98,0.03,0.03
288,1,-0.98,0.03,0.03
290,1,-0.98,0.03,0.03
291,1,-0.98,0.03,0.03
293,1,-0.98,0.03,0.03
295,1,-0.98,0.03,0.03
296,1,-0.98,0.03,0.03
298,1,-0.98,0.03,0.03
300,1,-0.98,0.03,0.03
301,1,-0.98,0.03,0.03
303,1,-0.98,0.03,0.03
305,1,-0.98,0.03,0.02
306,1,-0.98,0.03,0.02
308,1,-0.98,0.03,0.02
310,1,-0.98,0.03,0.02
311,1,-0.98,0.03,0.02
313,1,-0.98,0.03,0.02
315,1,-0.97,0.03,0.01
316,1,-0.97,0.03,0.01
318,1,-0.97,0.03,0.01
320,1,-0.97,0.03,0.01
321,1,-0.97,0.03,0.01
323,1,-0.97,0.03,0.01
325,1,-0.98,0.02,0.01
326,1,-0.98,0.02,0.01
328,1,-0.98,0.02,0.01
330,1,-0.98,0.02,0.01
331,1,-0.98,0.02,0.01
333,1,-0.98,0.02,-0.01
335,1,-1.02,-0.06,-0.01
336,1,-1.02,-0.06,-0.01
338,1,-1.02,-0.06,-0.01
340,1,-1.02,-0.06,-0.01
341,1,-1.02,-0.06,-0.01
343,1,-1.05,-0.25,-0.18
345,1,-1.05,-0.25,-0.18
346,1,-1.05,-0.25,-0.18
348,1,-1.05,-0.25,-0.18
350,1,-1.05,-0.25,-0.18
352,1,-1.05,-0.25,-0.18
353,1,-1.03,-0.29,-0.69
355,1,-1.03,-0.29,-0.69
357,1,-1.03,-0.29,-0.69
358,1,-1.03,-0.29,-0.69
360,1,-1.03,-0.29,-0.69
362,1,-1.03,-0.29,-0.69
363,1,-1.15,-0.45,-1.33
365,1,-1.15,-0.45,-1.33
367,1,-1.15,-0.45,-1.33
368,1,-1.15,-0.45,-1.33
370,1,-1.15,-0.45,-1.33
372,1,-1.15,-0.45,-1.33
373,1,-1.66,-0.8,-2.04
375,1,-1.66,-0.8,-2.04
377,1,-1.66,-0.8,-2.04
378,1,-1.66,-0.8,-2.04
380,1,-1.66,-0.8,-2.04
382,1,-1.66,-0.8,-3.17
383,1,-1.58,-1.21,-3.17
385,1,-1.58,-1.21,-3.17
387,1,-1.58,-1.21,-3.17
389,1,-1.58,-1.21,-3.17
390,1,-1.58,-1.21,-3.17
392,1,-1.6,-1.26,-4.48
394,1,-1.6,-1.26,-4.48
395,1,-1.6,-1.26,-4.48
397,1,-1.6,-1.26,-4.48
399,1,-1.6,-1.26,-4.48
400,1,-1.6,-1.26,-4.48
402,1,-1.23,-1.37,-5.22
404,1,-1.23,-1.37,-5.22
405,1,-1.23,-1.37,-5.22
407,1,-1.23,-1.37,-5.22
409,1,-1.23,-1.37,-5.22
411,1,-1.23,-1.37,-5.22
412,1,-0.9,-1.21,-5.35
414,1,-0.9,-1.21,-5.35
416,1,-0.9,-1.21,-5.35
417,1,-0.9,-1.21,-5.35
419,1,-0.9,-1.21,-5.35
421,1,-0.9,-1.21,-4.85
422,1,-0.78,-0.92,-4.78
424,1,-0.78,-0.92,-4.78
426,1,-0.78,-0.92,-4.78
428,1,-0.78,-0.92,-4.78
429,1,-0.78,-0.92,-4.78
431,1,-0.66,-1.0,-3.59
433,1,-0.68,-1.0,-3.59
434,1,-0.68,-1.0,-3.59
436,1,-0.68,-1.0,-3.59
438,1,-0.68,-1.0,-3.59
