t,l,x,y,z
0,1,-0.97,0.09,-0.05
2,1,-0.97,0.09,-0.05
3,1,-0.97,0.09,-0.05
5,1,-0.97,0.09,-0.05
7,1,-0.98,0.09,-0.05
8,1,-0.98,0.09,-0.05
10,1,-0.98,0.09,-0.05
12,1,-0.98,0.09,-0.05
13,1,-0.98,0.09,-0.05
15,1,-0.98,0.09,-0.06
17,1,-0.98,0.09,-0.06
18,1,-0.98,0.09,-0.06
20,1,-0.98,0.09,-0.06
21,1,-0.98,0.09,-0.06
23,1,-0.98,0.09,-0.06
25,1,-0.97,0.1,-0.06
26,1,-0.97,0.1,-0.06
28,1,-0.97,0.1,-0.06
30,1,-0.97,0.1,-0.06
31,1,-0.97,0.1,-0.06
33,1,-0.97,0.1,-0.06
35,1,-0.97,0.11,-0.06
36,1,-0.97,0.11,-0.06
38,1,-0.97,0.11,-0.06
40,1,-0.97,0.11,-0.06
41,1,-0.97,0.11,-0.06
43,1,-0.97,0.11,-0.06
45,1,-0.99,0.11,-0.06
46,1,-0.99,0.11,-0.06
48,1,-0.99,0.11,-0.06
50,1,-0.99,0.11,-0.06
51,1,-0.99,0.11,-0.06
53,1,-0.99,0.11,-0.06
55,1,-0.98,0.11,-0.06
56,1,-0.98,0.11,-0.06
58,1,-0.98,0.11,-0.06
60,1,-0.98,0.11,-0.06
61,1,-0.98,0.11,-0.06
63,1,-0.98,0.11,-0.06
65,1,-0.97,0.1,-0.06
66,1,-0.97,0.1,-0.06
68,1,-0.97,0.1,-0.06
70,1,-0.97,0.1,-0.06
71,1,-0.97,0.1,-0.06
73,1,-0.97,0.1,-0.06
75,1,-0.96,0.1,-0.06
76,1,-0.96,0.1,-0.06
78,1,-0.96,0.1,-0.06
80,1,-0.96,0.1,-0.06
81,1,-0.96,0.1,-0.06
83,1,-0.96,0.1,-0.05
85,1,-0.97,0.1,-0.05
86,1,-0.97,0.1,-0.05
88,1,-0.97,0.1,-0.05
90,1,-0.97,0.1,-0.05
91,1,-0.97,0.1,-0.05
93,1,-0.98,0.1,-0.05
95,1,-0.98,0.1,-0.05
96,1,-0.98,0.1,-0.05
98,1,-0.98,0.1,-0.05
100,1,-0.98,0.1,-0.05
101,1,-0.98,0.1,-0.05
103,1,-0.98,0.11,-0.05
105,1,-0.98,0.11,-0.05
106,1,-0.98,0.11,-0.05
108,1,-0.98,0.11,-0.05
110,1,-0.98,0.11,-0.05
111,1,-0.98,0.11,-0.05
113,1,-0.98,0.11,-0.05
115,1,-0.98,0.11,-0.05
116,1,-0.98,0.11,-0.05
118,1,-0.98,0.11,-0.05
120,1,-0.98,0.11,-0.05
121,1,-0.98,0.11,-0.05
123,1,-0.98,0.1,-0.06
125,1,-0.98,0.1,-0.06
126,1,-0.98,0.1,-0.06
128,1,-0.98,0.1,-0.06
129,1,-0.98,0.1,-0.06
131,1,-0.98,0.1,-0.06
133,1,-0.97,0.11,-0.06
134,1,-0.97,0.11,-0.06
136,1,-0.97,0.11,-0.06
138,1,-0.97,0.11,-0.06
139,1,-0.97,0.11,-0.06
141,1,-0.97,0.11,-0.06
143,1,-0.98,0.11,-0.06
144,1,-0.98,0.11,-0.06
146,1,-0.98,0.11,-0.06
148,1,-0.98,0.11,-0.06
149,1,-0.98,0.11,-0.06
151,1,-0.98,0.11,-0.06
153,1,-1.0,0.1,-0.05
154,1,-1.0,0.1,-0.05
156,1,-1.0,0.1,-0.05
158,1,-1.0,0.1,-0.05
159,1,-1.0,0.1,-0.05
161,1,-1.0,0.1,-0.05
163,1,-0.99,0.1,-0.05
164,1,-0.99,0.1,-0.05
166,1,-0.99,0.1,-0.05
168,1,-0.99,0.1,-0.05
169,1,-0.99,0.1,-0.05
171,1,-0.99,0.08,-0.06
173,1,-0.97,0.08,-0.06
174,1,-0.97,0.08,-0.06
176,1,-0.97,0.08,-0.06
178,1,-0.97,0.08,-0.06
179,1,-0.97,0.08,-0.06
181,1,-0.96,0.08,-0.05
183,1,-0.96,0.08,-0.05
184,1,-0.96,0.08,-0.05
186,1,-0.96,0.08,-0.05
188,1,-0.96,0.08,-0.05
189,1,-0.96,0.08,-0.05
191,1,-0.96,0.08,-0.06
192,1,-0.96,0.08,-0.06
194,1,-0.96,0.08,-0.06
196,1,-0.96,0.08,-0.06
197,1,-0.96,0.08,-0.06
199,1,-0.96,0.08,-0.06
201,1,-0.96,0.09,-0.06
202,1,-0.96,0.09,-0.06
204,1,-0.96,0.09,-0.06
206,1,-0.96,0.09,-0.06
207,1,-0.96,0.09,-0.06
209,1,-0.96,0.09,-0.06
211,1,-0.97,0.11,-0.06
212,1,-0.97,0.11,-0.06
214,1,-0.97,0.11,-0.06
216,1,-0.97,0.11,-0.06
217,1,-0.97,0.11,-0.06
219,1,-0.97,0.11,-0.06
221,1,-0.99,0.12,-0.06
222,1,-0.99,0.12,-0.06
224,1,-0.99,0.12,-0.06
226,1,-0.99,0.12,-0.06
227,1,-0.99,0.12,-0.06
229,1,-0.99,0.12,-0.06
231,1,-0.99,0.12,-0.05
232,1,-0.99,0.12,-0.05
234,1,-0.99,0.12,-0.05
236,1,-0.99,0.12,-0.05
237,1,-0.99,0.12,-0.05
239,1,-0.99,0.12,-0.05
241,1,-0.99,0.11,-0.06
242,1,-0.99,0.11,-0.06
244,1,-0.99,0.11,-0.06
246,1,-0.99,0.11,-0.06
247,1,-0.99,0.11,-0.06
249,1,-0.99,0.11,-0.05
251,1,-0.98,0.11,-0.05
252,1,-0.98,0.11,-0.05
254,1,-0.98,0.11,-0.05
256,1,-0.98,0.11,-0.05
257,1,-0.98,0.11,-0.05
259,1,-0.98,0.1,-0.05
261,1,-0.97,0.1,-0.05
262,1,-0.97,0.1,-0.05
264,1,-0.97,0.1,-0.05
265,1,-0.97,0.1,-0.05
267,1,-0.97,0.1,-0.05
269,1,-0.98,0.1,-0.05
270,1,-0.98,0.1,-0.05
272,1,-0.98,0.1,-0.05
274,1,-0.98,0.1,-0.05
275,1,-0.98,0.1,-0.05
277,1,-0.98,0.1,-0.05
279,1,-0.97,0.1,-0.05
280,1,-0.97,0.1,-0.05
282,1,-0.97,0.1,-0.05
284,1,-0.97,0.1,-0.05
285,1,-0.97,0.1,-0.05
287,1,-0.97,0.1,-0.05
289,1,-0.97,0.1,-0.05
290,1,-0.97,0.1,-0.05
292,1,-0.97,0.1,-0.05
294,1,-0.97,0.1,-0.05
295,1,-0.97,0.1,-0.05
297,1,-0.97,0.1,-0.05
299,1,-0.97,0.1,-0.06
300,1,-0.97,0.1,-0.06
302,1,-0.97,0.1,-0.06
304,1,-0.97,0.1,-0.06
305,1,-0.97,0.1,-0.06
307,1,-0.97,0.1,-0.06
309,1,-0.97,0.11,-0.06
310,1,-0.97,0.11,-0.06
312,1,-0.97,0.11,-0.06
314,1,-0.97,0.11,-0.06
315,1,-0.97,0.11,-0.06
317,1,-0.97,0.11,-0.06
319,1,-0.97,0.11,-0.06
320,1,-0.97,0.11,-0.06
322,1,-0.97,0.11,-0.06
324,1,-0.97,0.11,-0.06
325,1,-0.97,0.11,-0.06
327,1,-0.97,0.11,-0.06
329,1,-0.97,0.1,-0.06
330,1,-0.97,0.1,-0.06
332,1,-0.97,0.1,-0.06
334,1,-0.97,0.1,-0.06
335,1,-0.97,0.1,-0.06
337,1,-0.97,0.1,-0.05
338,1,-0.98,0.1,-0.05
340,1,-0.98,0.1,-0.05
342,1,-0.98,0.1,-0.05
343,1,-0.98,0.1,-0.05
345,1,-0.98,0.1,-0.05
347,1,-0.98,0.09,-0.05
348,1,-0.98,0.09,-0.05
350,1,-0.98,0.09,-0.05
352,1,-0.98,0.09,-0.05
353,1,-0.98,0.09,-0.05
355,1,-0.98,0.09,-0.05
357,1,-0.98,0.08,-0.05
358,1,-0.98,0.08,-0.05
360,1,-0.98,0.08,-0.05
362,1,-0.98,0.08,-0.05
363,1,-0.98,0.08,-0.05
365,1,-0.98,0.08,-0.05
367,1,-0.97,0.08,-0.05
368,1,-0.97,0.08,-0.05
370,1,-0.97,0.08,-0.05
372,1,-0.97,0.08,-0.05
373,1,-0.97,0.08,-0.05
375,1,-0.97,0.08,-0.05
376,1,-0.98,0.1,-0.05
378,1,-0.98,0.1,-0.05
380,1,-0.98,0.1,-0.05
381,1,-0.98,0.1,-0.05
383,1,-0.98,0.1,-0.05
385,1,-0.98,0.1,-0.05
386,1,-0.98,0.11,-0.06
388,1,-0.98,0.11,-0.06
390,1,-0.98,0.11,-0.06
391,1,-0.98,0.11,-0.06
393,1,-0.98,0.11,-0.06
395,1,-0.98,0.11,-0.06
396,1,-0.98,0.12,-0.06
398,1,-0.98,0.12,-0.06
400,1,-0.98,0.12,-0.06
401,1,-0.98,0.12,-0.06
403,1,-0.98,0.12,-0.06
405,1,-0.98,0.12,-0.06
406,1,-0.98,0.13,-0.05
408,1,-0.98,0.13,-0.05
410,1,-0.98,0.13,-0.05
411,1,-0.98,0.13,-0.05
413,1,-0.98,0.13,-0.05
415,1,-0.98,0.13,-0.05
416,1,-0.98,0.13,-0.04
418,1,-0.98,0.13,-0.04
420,1,-0.98,0.13,-0.04
421,1,-0.98,0.13,-0.04
423,1,-0.98,0.13,-0.04
425,1,-0.98,0.13,-0.01
426,1,-0.98,0.14,-0.01
428,1,-0.98,0.14,-0.01
430,1,-0.98,0.14,-0.01
431,1,-0.98,0.14,-0.01
433,1,-0.98,0.14,-0.01
435,1,-1.02,0.16,0.03
436,1,-1.02,0.16,0.03
438,1,-1.02,0.16,0.03
440,1,-1.02,0.16,0.03
441,1,-1.02,0.16,0.03
443,1,-1.02,0.16,0.03
445,1,-1.04,0.23,0.15
446,1,-1.04,0.23,0.15
448,1,-1.04,0.23,0.15
450,1,-1.04,0.23,0.15
451,1,-1.04,0.23,0.15
453,1,-1.04,0.23,0.15
455,1,-1.08,0.34,0.36
456,1,-1.08,0.34,0.36
458,1,-1.08,0.34,0.36
460,1,-1.08,0.34,0.36
461,1,-1.08,0.34,0.36
463,1,-1.08,0.34,0.36
465,1,-1.16,0.41,0.55
466,1,-1.16,0.41,0.55
