t,l,x,y,z
0,1,-0.97,-0.13,0.0
2,1,-0.97,-0.13,0.0
4,1,-0.97,-0.13,0.0
5,1,-0.97,-0.13,0.0
7,1,-0.97,-0.13,0.0
9,1,-0.97,-0.13,0.0
10,1,-0.97,-0.13,0.0
12,1,-0.97,-0.13,0.0
14,1,-0.97,-0.13,0.0
15,1,-0.97,-0.13,0.0
17,1,-0.97,-0.13,0.0
19,1,-0.97,-0.13,0.0
20,1,-0.97,-0.13,0.0
22,1,-0.97,-0.13,0.0
24,1,-0.97,-0.13,0.0
25,1,-0.97,-0.13,0.0
27,1,-0.97,-0.12,-0.01
29,1,-0.97,-0.12,-0.01
30,1,-0.97,-0.12,-0.01
32,1,-0.97,-0.12,-0.01
34,1,-0.97,-0.12,-0.01
35,1,-0.97,-0.12,-0.01
37,1,-0.97,-0.12,-0.01
39,1,-0.97,-0.12,-0.01
40,1,-0.97,-0.12,-0.01
42,1,-0.97,-0.12,-0.01
44,1,-0.97,-0.12,-0.01
45,1,-0.97,-0.12,-0.01
47,1,-0.98,-0.13,-0.01
49,1,-0.98,-0.13,-0.01
50,1,-0.98,-0.13,-0.01
52,1,-0.98,-0.13,-0.01
54,1,-0.98,-0.13,-0.01
55,1,-0.98,-0.13,-0.01
57,1,-0.97,-0.12,-0.01
59,1,-0.97,-0.12,-0.01
60,1,-0.97,-0.12,-0.01
62,1,-0.97,-0.12,-0.01
64,1,-0.97,-0.12,-0.01
65,1,-0.97,-0.12,-0.01
67,1,-0.97,-0.13,-0.01
69,1,-0.97,-0.13,-0.01
70,1,-0.97,-0.13,-0.01
72,1,-0.97,-0.13,-0.01
74,1,-0.97,-0.13,-0.01
75,1,-0.97,-0.13,-0.0
77,1,-0.97,-0.13,-0.0
79,1,-0.97,-0.13,-0.0
80,1,-0.97,-0.13,-0.0
82,1,-0.97,-0.13,-0.0
84,1,-0.97,-0.13,-0.0
85,1,-0.97,-0.13,-0.01
87,1,-0.97,-0.13,-0.01
89,1,-0.97,-0.13,-0.01
90,1,-0.97,-0.13,-0.01
92,1,-0.97,-0.13,-0.01
94,1,-0.97,-0.13,-0.01
95,1,-0.97,-0.13,-0.0
97,1,-0.97,-0.13,-0.0
99,1,-0.97,-0.13,-0.0
100,1,-0.97,-0.13,-0.0
102,1,-0.97,-0.13,-0.0
104,1,-0.97,-0.13,-0.0
105,1,-0.98,-0.14,0.01
107,1,-0.98,-0.14,0.01
109,1,-0.98,-0.14,0.01
110,1,-0.98,-0.14,0.01
112,1,-0.98,-0.14,0.01
114,1,-0.98,-0.14,0.01
115,1,-0.98,-0.13,0.01
117,1,-0.98,-0.13,0.01
119,1,-0.98,-0.13,0.01
120,1,-0.98,-0.13,0.01
