t,l,x,y,z
0,1,-0.98,0.06,-0.06
1,1,-0.98,0.06,-0.06
3,1,-0.98,0.06,-0.06
5,1,-0.98,0.06,-0.06
6,1,-0.98,0.06,-0.06
8,1,-0.98,0.06,-0.05
10,1,-0.98,0.06,-0.05
11,1,-0.98,0.06,-0.05
13,1,-0.98,0.06,-0.05
15,1,-0.98,0.06,-0.05
16,1,-0.98,0.06,-0.05
18,1,-0.98,0.06,-0.06
20,1,-0.98,0.06,-0.06
21,1,-0.98,0.06,-0.06
23,1,-0.98,0.06,-0.06
25,1,-0.98,0.06,-0.06
26,1,-0.98,0.06,-0.06
28,1,-0.98,0.06,-0.06
30,1,-0.98,0.06,-0.06
31,1,-0.98,0.06,-0.06
33,1,-0.98,0.06,-0.06
34,1,-0.98,0.06,-0.06
36,1,-0.98,0.06,-0.06
38,1,-0.98,0.06,-0.06
39,1,-0.98,0.06,-0.06
41,1,-0.98,0.06,-0.06
43,1,-0.98,0.06,-0.06
44,1,-0.98,0.06,-0.06
46,1,-0.98,0.06,-0.06
48,1,-0.98,0.06,-0.06
49,1,-0.98,0.06,-0.06
51,1,-0.98,0.06,-0.06
53,1,-0.98,0.06,-0.06
54,1,-0.98,0.06,-0.06
56,1,-0.98,0.06,-0.07
58,1,-0.98,0.06,-0.07
59,1,-0.98,0.06,-0.07
61,1,-0.98,0.06,-0.07
63,1,-0.98,0.06,-0.07
64,1,-0.98,0.06,-0.07
66,1,-0.98,0.07,-0.07
68,1,-0.98,0.07,-0.07
69,1,-0.98,0.07,-0.07
71,1,-0.98,0.07,-0.07
73,1,-0.98,0.07,-0.07
74,1,-0.98,0.07,-0.07
76,1,-0.98,0.06,-0.06
78,1,-0.98,0.06,-0.06
79,1,-0.98,0.06,-0.06
81,1,-0.98,0.06,-0.06
83,1,-0.98,0.06,-0.06
84,1,-0.98,0.06,-0.06
86,1,-0.98,0.07,-0.07
87,1,-0.98,0.07,-0.07
89,1,-0.98,0.07,-0.07
91,1,-0.98,0.07,-0.07
92,1,-0.98,0.07,-0.07
94,1,-0.98,0.07,-0.07
96,1,-0.98,0.07,-0.06
97,1,-0.98,0.07,-0.06
99,1,-0.98,0.07,-0.06
101,1,-0.98,0.07,-0.06
102,1,-0.98,0.07,-0.06
104,1,-0.98,0.07,-0.06
106,1,-0.98,0.07,-0.07
107,1,-0.98,0.07,-0.07
109,1,-0.98,0.07,-0.07
