t,l,x,y,z
0,1,-0.98,-0.01,0.0
1,1,-0.98,-0.01,0.0
3,1,-0.98,-0.01,-0.0
5,1,-0.98,-0.01,-0.0
6,1,-0.98,-0.01,-0.0
8,1,-0.98,-0.01,-0.0
10,1,-0.98,-0.01,-0.0
12,1,-0.98,-0.01,-0.0
13,1,-0.98,-0.01,0.0
15,1,-0.98,-0.01,0.0
16,1,-0.98,-0.01,0.0
18,1,-0.98,-0.01,0.0
20,1,-0.98,-0.01,0.0
21,1,-0.98,-0.01,0.0
23,1,-0.98,-0.01,0.0
25,1,-0.98,-0.01,0.0
26,1,-0.98,-0.01,0.0
28,1,-0.98,-0.01,0.0
30,1,-0.98,-0.01,0.0
32,1,-0.98,-0.01,-0.0
33,1,-0.98,-0.01,-0.0
35,1,-0.98,-0.01,-0.0
37,1,-0.98,-0.01,-0.0
38,1,-0.98,-0.01,-0.0
40,1,-0.98,-0.01,-0.0
42,1,-0.98,-0.01,0.0
43,1,-0.98,-0.01,0.0
45,1,-0.98,-0.01,0.0
46,1,-0.98,-0.01,0.0
48,1,-0.98,-0.01,0.0
50,1,-0.98,-0.01,0.0
51,1,-0.98,-0.01,0.0
53,1,-0.98,-0.01,0.0
55,1,-0.98,-0.01,0.0
56,1,-0.98,-0.01,0.0
58,1,-0.98,-0.01,0.0
60,1,-0.98,-0.01,0.0
61,1,-0.99,-0.01,-0.0
63,1,-0.99,-0.01,-0.0
65,1,-0.99,-0.01,-0.0
66,1,-0.99,-0.01,-0.0
68,1,-0.99,-0.01,-0.0
70,1,-0.99,-0.01,-0.0
71,1,-0.98,-0.01,0.0
73,1,-0.98,-0.01,0.0
75,1,-0.98,-0.01,0.0
76,1,-0.98,-0.01,0.0
78,1,-0.98,-0.01,0.0
80,1,-0.98,-0.01,0.0
81,1,-0.98,-0.01,0.01
83,1,-0.98,-0.01,0.01
85,1,-0.98,-0.01,0.01
86,1,-0.98,-0.01,0.01
88,1,-0.98,-0.01,0.01
90,1,-0.98,-0.01,0.01
91,1,-0.98,-0.01,0.01
93,1,-0.98,-0.01,0.01
95,1,-0.98,-0.01,0.01
96,1,-0.98,-0.01,0.01
98,1,-0.98,-0.01,0.01
100,1,-0.98,-0.01,0.0
101,1,-0.98,-0.01,0.0
103,1,-0.98,-0.01,0.0
105,1,-0.98,-0.01,0.0
106,1,-0.98,-0.01,0.0
108,1,-0.98,-0.01,0.0
110,1,-0.98,-0.01,0.01
111,1,-0.98,-0.01,0.01
113,1,-0.98,-0.01,0.01
