t,l,x,y,z
0,1,-0.97,-0.1,0.02
1,1,-0.97,-0.1,0.02
3,1,-0.97,-0.1,0.02
4,1,-0.97,-0.11,0.01
6,1,-0.97,-0.11,0.01
8,1,-0.97,-0.11,0.01
9,1,-0.97,-0.11,0.01
11,1,-0.97,-0.11,0.01
13,1,-0.97,-0.11,0.01
14,1,-0.97,-0.11,0.02
16,1,-0.97,-0.11,0.02
18,1,-0.97,-0.11,0.02
19,1,-0.97,-0.11,0.02
21,1,-0.97,-0.11,0.02
23,1,-0.97,-0.11,0.02
24,1,-0.98,-0.11,0.02
26,1,-0.98,-0.11,0.02
28,1,-0.98,-0.11,0.02
29,1,-0.98,-0.11,0.02
31,1,-0.98,-0.11,0.02
33,1,-0.98,-0.11,0.02
34,1,-0.98,-0.1,0.02
36,1,-0.98,-0.1,0.02
38,1,-0.98,-0.1,0.02
39,1,-0.98,-0.1,0.02
41,1,-0.98,-0.1,0.02
43,1,-0.98,-0.1,0.02
44,1,-0.97,-0.1,0.02
46,1,-0.97,-0.1,0.02
48,1,-0.97,-0.1,0.02
49,1,-0.97,-0.1,0.02
51,1,-0.97,-0.1,0.02
53,1,-0.97,-0.1,0.03
54,1,-0.97,-0.1,0.03
56,1,-0.97,-0.1,0.03
58,1,-0.97,-0.1,0.03
59,1,-0.97,-0.1,0.03
61,1,-0.97,-0.1,0.03
63,1,-0.98,-0.1,0.02
64,1,-0.98,-0.1,0.02
66,1,-0.98,-0.1,0.02
68,1,-0.98,-0.1,0.02
69,1,-0.98,-0.1,0.02
71,1,-0.98,-0.1,0.02
73,1,-0.98,-0.1,0.03
74,1,-0.98,-0.1,0.03
76,1,-0.98,-0.1,0.03
78,1,-0.98,-0.1,0.03
79,1,-0.98,-0.1,0.03
81,1,-0.98,-0.1,0.03
83,1,-0.98,-0.11,0.03
84,1,-0.98,-0.11,0.03
86,1,-0.98,-0.11,0.03
88,1,-0.98,-0.11,0.03
89,1,-0.98,-0.11,0.03
91,1,-0.98,-0.11,0.03
93,1,-0.98,-0.11,0.02
94,1,-0.98,-0.11,0.02
96,1,-0.98,-0.11,0.02
98,1,-0.98,-0.11,0.02
99,1,-0.98,-0.11,0.02
101,1,-0.98,-0.11,0.02
103,1,-0.97,-0.11,0.02
104,1,-0.97,-0.11,0.02
106,1,-0.97,-0.11,0.02
108,1,-0.97,-0.11,0.02
109,1,-0.97,-0.11,0.02
111,1,-0.97,-0.11,0.02
113,1,-0.96,-0.11,0.02
114,1,-0.96,-0.11,0.02
116,1,-0.96,-0.11,0.02
118,1,-0.96,-0.11,0.02
119,1,-0.96,-0.11,0.02
121,1,-0.96,-0.1,0.02
123,1,-0.97,-0.1,0.02
124,1,-0.97,-0.1,0.02
126,1,-0.97,-0.1,0.02
128,1,-0.97,-0.1,0.02
129,1,-0.97,-0.1,0.02
131,1,-0.97,-0.11,0.02
132,1,-0.97,-0.11,0.02
134,1,-0.97,-0.11,0.02
136,1,-0.97,-0.11,0.02
137,1,-0.97,-0.11,0.02
139,1,-0.97,-0.11,0.02
141,1,-0.97,-0.11,0.01
142,1,-0.97,-0.11,0.01
144,1,-0.97,-0.11,0.01
146,1,-0.97,-0.11,0.01
147,1,-0.97,-0.11,0.01
149,1,-0.97,-0.11,0.01
151,1,-0.97,-0.11,0.02
152,1,-0.97,-0.11,0.02
154,1,-0.97,-0.11,0.02
156,1,-0.97,-0.11,0.02
157,1,-0.97,-0.11,0.02
159,1,-0.97,-0.11,0.02
161,1,-0.97,-0.11,0.02
162,1,-0.97,-0.11,0.02
164,1,-0.97,-0.11,0.02
166,1,-0.97,-0.11,0.02
167,1,-0.97,-0.11,0.02
169,1,-0.97,-0.11,0.02
171,1,-0.97,-0.11,0.02
172,1,-0.97,-0.11,0.02
174,1,-0.97,-0.11,0.02
176,1,-0.97,-0.11,0.02
177,1,-0.97,-0.11,0.02
179,1,-0.97,-0.11,0.02
181,1,-0.98,-0.1,0.03
182,1,-0.98,-0.1,0.03
184,1,-0.98,-0.1,0.03
186,1,-0.98,-0.1,0.03
187,1,-0.98,-0.1,0.03
189,1,-0.98,-0.1,0.03
191,1,-0.98,-0.11,0.02
192,1,-0.98,-0.11,0.02
194,1,-0.98,-0.11,0.02
196,1,-0.98,-0.11,0.02
197,1,-0.98,-0.11,0.02
199,1,-0.98,-0.11,0.01
201,1,-0.97,-0.1,0.01
202,1,-0.97,-0.1,0.01
204,1,-0.97,-0.1,0.01
206,1,-0.97,-0.1,0.01
207,1,-0.97,-0.1,0.01
209,1,-0.97,-0.1,0.01
211,1,-0.97,-0.1,0.01
212,1,-0.97,-0.1,0.01
214,1,-0.97,-0.1,0.01
216,1,-0.97,-0.1,0.01
217,1,-0.97,-0.1,0.01
219,1,-0.98,-0.11,0.01
221,1,-0.98,-0.11,0.01
222,1,-0.98,-0.11,0.01
224,1,-0.98,-0.11,0.01
226,1,-0.98,-0.11,0.01
227,1,-0.98,-0.11,0.01
229,1,-0.97,-0.11,0.01
231,1,-0.97,-0.11,0.01
232,1,-0.97,-0.11,0.01
234,1,-0.97,-0.11,0.01
236,1,-0.97,-0.11,0.01
237,1,-0.97,-0.11,0.01
239,1,-0.97,-0.11,0.02
