t,l,x,y,z
0,1,-0.98,-0.04,0.03
2,1,-0.98,-0.04,0.03
4,1,-0.98,-0.04,0.03
5,1,-0.98,-0.04,0.03
7,1,-0.98,-0.04,0.03
9,1,-0.98,-0.04,0.03
10,1,-0.98,-0.04,0.03
12,1,-0.98,-0.04,0.03
14,1,-0.98,-0.04,0.03
15,1,-0.98,-0.04,0.03
17,1,-0.98,-0.03,0.03
19,1,-0.98,-0.03,0.03
20,1,-0.98,-0.03,0.03
22,1,-0.98,-0.03,0.03
24,1,-0.98,-0.03,0.03
25,1,-0.98,-0.03,0.03
27,1,-0.98,-0.03,0.02
29,1,-0.98,-0.03,0.02
30,1,-0.98,-0.03,0.02
32,1,-0.98,-0.03,0.02
34,1,-0.98,-0.03,0.02
35,1,-0.98,-0.03,0.02
37,1,-0.98,-0.04,0.03
39,1,-0.98,-0.04,0.03
40,1,-0.98,-0.04,0.03
42,1,-0.98,-0.04,0.03
44,1,-0.98,-0.04,0.03
45,1,-0.98,-0.04,0.03
47,1,-0.98,-0.03,0.03
49,1,-0.98,-0.03,0.03
50,1,-0.98,-0.03,0.03
52,1,-0.98,-0.03,0.03
54,1,-0.98,-0.03,0.03
55,1,-0.98,-0.03,0.03
57,1,-0.98,-0.03,0.04
59,1,-0.98,-0.03,0.04
60,1,-0.98,-0.03,0.04
62,1,-0.98,-0.03,0.04
64,1,-0.98,-0.03,0.04
65,1,-0.98,-0.03,0.04
67,1,-0.99,-0.04,0.04
69,1,-0.99,-0.04,0.04
70,1,-0.99,-0.04,0.04
72,1,-0.99,-0.04,0.04
74,1,-0.99,-0.04,0.04
75,1,-0.99,-0.04,0.04
77,1,-0.99,-0.04,0.03
79,1,-0.99,-0.04,0.03
80,1,-0.99,-0.04,0.03
82,1,-0.99,-0.04,0.03
84,1,-0.99,-0.04,0.03
85,1,-0.99,-0.04,0.02
87,1,-0.98,-0.04,0.02
89,1,-0.98,-0.04,0.02
90,1,-0.98,-0.04,0.02
92,1,-0.98,-0.04,0.02
94,1,-0.98,-0.04,0.02
95,1,-0.98,-0.04,0.02
97,1,-0.98,-0.04,0.02
99,1,-0.98,-0.04,0.02
100,1,-0.98,-0.04,0.02
102,1,-0.98,-0.04,0.02
104,1,-0.98,-0.04,0.02
105,1,-0.98,-0.04,0.03
107,1,-0.98,-0.04,0.03
109,1,-0.98,-0.04,0.03
110,1,-0.98,-0.04,0.03
112,1,-0.98,-0.04,0.03
114,1,-0.98,-0.04,0.03
115,1,-0.98,-0.04,0.03
117,1,-0.98,-0.04,0.03
119,1,-0.98,-0.04,0.03
120,1,-0.98,-0.04,0.03
122,1,-0.98,-0.04,0.03
124,1,-0.98,-0.04,0.03
125,1,-0.98,-0.04,0.03
127,1,-0.98,-0.04,0.03
129,1,-0.98,-0.04,0.03
130,1,-0.98,-0.04,0.03
132,1,-0.98,-0.04,0.03
134,1,-0.98,-0.04,0.03
135,1,-0.99,-0.03,0.03
137,1,-0.99,-0.03,0.03
139,1,-0.99,-0.03,0.03
140,1,-0.99,-0.03,0.03
142,1,-0.99,-0.03,0.03
144,1,-0.99,-0.03,0.03
145,1,-0.99,-0.03,0.03
147,1,-0.99,-0.03,0.03
149,1,-0.99,-0.03,0.03
150,1,-0.99,-0.03,0.03
152,1,-0.99,-0.03,0.03
154,1,-0.99,-0.03,0.03
155,1,-0.98,-0.03,0.03
157,1,-0.98,-0.03,0.03
159,1,-0.98,-0.03,0.03
160,1,-0.98,-0.03,0.03
162,1,-0.98,-0.03,0.03
164,1,-0.98,-0.04,0.02
165,1,-0.98,-0.04,0.02
167,1,-0.98,-0.04,0.02
169,1,-0.98,-0.04,0.02
170,1,-0.98,-0.04,0.02
172,1,-0.98,-0.04,0.02
174,1,-0.98,-0.04,0.03
175,1,-0.98,-0.04,0.03
177,1,-0.98,-0.04,0.03
179,1,-0.98,-0.04,0.03
180,1,-0.98,-0.04,0.03
182,1,-0.98,-0.04,0.03
184,1,-0.98,-0.04,0.03
185,1,-0.98,-0.04,0.03
187,1,-0.98,-0.04,0.03
189,1,-0.98,-0.04,0.03
190,1,-0.98,-0.04,0.03
192,1,-0.98,-0.04,0.03
194,1,-1.0,-0.05,0.03
195,1,-1.0,-0.05,0.03
197,1,-1.0,-0.05,0.03
198,1,-1.0,-0.05,0.03
200,1,-1.0,-0.05,0.03
202,1,-1.0,-0.05,0.03
204,1,-1.0,-0.05,0.02
205,1,-1.0,-0.05,0.02
207,1,-1.0,-0.05,0.02
208,1,-1.0,-0.05,0.02
210,1,-1.0,-0.05,0.02
212,1,-1.0,-0.05,0.02
213,1,-1.0,-0.03,-0.02
215,1,-1.0,-0.03,-0.02
217,1,-1.0,-0.03,-0.02
218,1,-1.0,-0.03,-0.02
220,1,-1.0,-0.03,-0.02
222,1,-1.0,-0.03,-0.02
223,1,-1.04,-0.07,-0.06
225,1,-1.04,-0.07,-0.06
227,1,-1.04,-0.07,-0.06
228,1,-1.04,-0.07,-0.06
230,1,-1.04,-0.07,-0.06
232,1,-1.04,-0.07,-0.25
233,1,-1.01,-0.02,-0.25
235,1,-1.01,-0.02,-0.25
237,1,-1.01,-0.02,-0.25
238,1,-1.01,-0.02,-0.25
240,1,-1.01,-0.02,-0.25
242,1,-1.01,0.11,-0.36
243,1,-0.92,0.11,-0.36
245,1,-0.92,0.11,-0.36
247,1,-0.92,0.11,-0.36
248,1,-0.92,0.11,-0.36
250,1,-0.92,0.11,-0.36
252,1,-0.96,0.17,-0.42
253,1,-0.96,0.17,-0.42
255,1,-0.96,0.17,-0.42
257,1,-0.96,0.17,-0.42
258,1,-0.96,0.17,-0.42
