t,l,x,y,z
0,1,-0.98,-0.04,-0.01
1,1,-0.98,-0.04,-0.01
3,1,-0.98,-0.04,-0.01
5,1,-0.98,-0.04,-0.01
6,1,-0.98,-0.04,-0.01
8,1,-0.98,-0.04,-0.01
10,1,-0.98,-0.04,-0.01
11,1,-0.98,-0.04,-0.01
13,1,-0.98,-0.04,-0.01
15,1,-0.98,-0.04,-0.01
16,1,-0.98,-0.04,-0.01
18,1,-0.98,-0.04,-0.01
20,1,-0.98,-0.04,-0.01
21,1,-0.98,-0.04,-0.01
23,1,-0.98,-0.04,-0.01
25,1,-0.98,-0.04,-0.01
26,1,-0.98,-0.04,-0.01
28,1,-0.98,-0.04,-0.01
30,1,-0.98,-0.04,-0.01
31,1,-0.98,-0.04,-0.01
33,1,-0.98,-0.04,-0.01
35,1,-0.98,-0.04,-0.01
36,1,-0.98,-0.04,-0.01
38,1,-0.98,-0.04,-0.01
40,1,-0.98,-0.05,-0.01
41,1,-0.98,-0.05,-0.01
43,1,-0.98,-0.05,-0.01
45,1,-0.98,-0.05,-0.01
46,1,-0.98,-0.05,-0.01
48,1,-0.98,-0.05,-0.01
50,1,-0.98,-0.06,-0.01
51,1,-0.98,-0.06,-0.01
53,1,-0.98,-0.06,-0.01
55,1,-0.98,-0.06,-0.01
56,1,-0.98,-0.06,-0.01
58,1,-0.98,-0.06,-0.01
59,1,-0.98,-0.07,-0.02
61,1,-0.98,-0.07,-0.02
63,1,-0.98,-0.07,-0.02
65,1,-0.98,-0.07,-0.02
66,1,-0.98,-0.07,-0.02
68,1,-0.98,-0.07,-0.01
69,1,-0.98,-0.07,-0.01
71,1,-0.98,-0.07,-0.01
73,1,-0.98,-0.07,-0.01
74,1,-0.98,-0.07,-0.01
76,1,-0.98,-0.07,-0.01
78,1,-0.98,-0.07,-0.0
80,1,-0.98,-0.07,-0.0
81,1,-0.98,-0.07,-0.0
83,1,-0.98,-0.07,-0.0
85,1,-0.98,-0.07,-0.0
86,1,-0.98,-0.07,-0.0
88,1,-0.99,-0.08,-0.01
90,1,-0.99,-0.08,-0.01
91,1,-0.99,-0.08,-0.01
93,1,-0.99,-0.08,-0.01
95,1,-0.99,-0.08,-0.01
96,1,-0.99,-0.08,-0.01
98,1,-0.99,-0.08,-0.0
100,1,-0.99,-0.08,-0.0
101,1,-0.99,-0.08,-0.0
103,1,-0.99,-0.08,-0.0
105,1,-0.99,-0.08,-0.0
106,1,-0.99,-0.08,-0.0
108,1,-0.98,-0.08,-0.01
110,1,-0.98,-0.08,-0.01
111,1,-0.98,-0.08,-0.01
113,1,-0.98,-0.08,-0.01
114,1,-0.98,-0.08,-0.01
116,1,-0.98,-0.08,-0.01
118,1,-0.98,-0.07,-0.01
119,1,-0.98,-0.07,-0.01
121,1,-0.98,-0.07,-0.01
123,1,-0.98,-0.07,-0.01
125,1,-0.98,-0.07,-0.01
126,1,-0.98,-0.07,-0.01
128,1,-0.98,-0.07,-0.0
130,1,-0.98,-0.07,-0.0
131,1,-0.98,-0.07,-0.0
133,1,-0.98,-0.07,-0.0
135,1,-0.98,-0.07,-0.0
136,1,-0.98,-0.07,-0.0
138,1,-0.98,-0.07,-0.0
140,1,-0.98,-0.07,-0.0
141,1,-0.98,-0.07,-0.0
143,1,-0.98,-0.07,-0.0
145,1,-0.98,-0.07,-0.0
146,1,-0.98,-0.07,0.01
148,1,-0.98,-0.07,0.01
149,1,-0.98,-0.07,0.01
151,1,-0.98,-0.07,0.01
153,1,-0.98,-0.07,0.01
155,1,-0.98,-0.07,0.01
156,1,-0.98,-0.07,0.0
158,1,-0.98,-0.07,0.0
160,1,-0.98,-0.07,0.0
161,1,-0.98,-0.07,0.0
163,1,-0.98,-0.07,0.0
165,1,-0.98,-0.07,0.0
166,1,-0.98,-0.07,0.01
168,1,-0.98,-0.07,0.01
170,1,-0.98,-0.07,0.01
171,1,-0.98,-0.07,0.01
173,1,-0.98,-0.07,0.01
175,1,-0.98,-0.07,0.01
176,1,-0.98,-0.06,0.01
178,1,-0.98,-0.06,0.01
180,1,-0.98,-0.06,0.01
181,1,-0.98,-0.06,0.01
183,1,-0.98,-0.06,0.01
185,1,-0.98,-0.06,0.01
186,1,-0.98,-0.06,0.01
188,1,-0.98,-0.06,0.01
190,1,-0.98,-0.06,0.01
191,1,-0.98,-0.06,0.01
193,1,-0.98,-0.06,0.01
195,1,-0.98,-0.06,0.01
196,1,-0.98,-0.05,0.01
198,1,-0.98,-0.05,0.01
199,1,-0.98,-0.05,0.01
201,1,-0.98,-0.05,0.01
203,1,-0.98,-0.05,0.01
204,1,-0.98,-0.05,0.01
206,1,-0.98,-0.05,0.01
208,1,-0.98,-0.05,0.01
210,1,-0.98,-0.05,0.01
211,1,-0.98,-0.05,0.01
213,1,-0.98,-0.05,0.01
214,1,-0.98,-0.05,0.01
216,1,-0.98,-0.05,0.01
218,1,-0.98,-0.05,0.01
219,1,-0.98,-0.05,0.01
221,1,-0.98,-0.05,0.01
223,1,-0.98,-0.05,0.01
224,1,-0.98,-0.06,0.01
226,1,-0.98,-0.06,0.01
228,1,-0.98,-0.06,0.01
229,1,-0.98,-0.06,0.01
231,1,-0.98,-0.06,0.01
233,1,-0.98,-0.06,0.01
234,1,-0.98,-0.07,0.01
236,1,-0.98,-0.07,0.01
238,1,-0.98,-0.07,0.01
239,1,-0.98,-0.07,0.01
241,1,-0.98,-0.07,0.01
243,1,-0.98,-0.07,0.01
244,1,-0.98,-0.07,0.01
246,1,-0.98,-0.07,0.01
248,1,-0.98,-0.07,0.01
249,1,-0.98,-0.07,0.01
251,1,-0.98,-0.07,0.01
253,1,-0.98,-0.07,0.01
254,1,-0.98,-0.07,0.01
256,1,-0.98,-0.07,0.01
257,1,-0.98,-0.07,0.01
259,1,-0.98,-0.07,0.01
261,1,-0.98,-0.07,0.01
262,1,-0.98,-0.07,0.01
264,1,-0.98,-0.07,0.01
266,1,-0.98,-0.07,0.01
267,1,-0.98,-0.07,0.01
269,1,-0.98,-0.07,0.01
271,1,-0.98,-0.07,0.01
272,1,-0.98,-0.07,0.01
274,1,-0.98,-0.07,0.0
276,1,-0.98,-0.07,0.0
277,1,-0.98,-0.07,0.0
279,1,-0.98,-0.07,0.0
281,1,-0.98,-0.07,0.0
282,1,-0.98,-0.07,0.0
284,1,-0.98,-0.07,0.01
286,1,-0.98,-0.07,0.01
287,1,-0.98,-0.07,0.01
289,1,-0.98,-0.07,0.01
291,1,-0.98,-0.07,0.01
292,1,-0.98,-0.07,0.01
294,1,-0.98,-0.08,0.01
296,1,-0.98,-0.08,0.01
297,1,-0.98,-0.08,0.01
299,1,-0.98,-0.08,0.01
301,1,-0.98,-0.08,0.01
302,1,-0.98,-0.08,0.01
304,1,-0.98,-0.08,0.01
306,1,-0.98,-0.08,0.01
307,1,-0.98,-0.08,0.01
309,1,-0.98,-0.08,0.01
311,1,-0.98,-0.08,0.01
312,1,-0.98,-0.08,0.01
314,1,-0.98,-0.08,0.01
316,1,-0.98,-0.08,0.01
317,1,-0.98,-0.08,0.01
319,1,-0.98,-0.08,0.01
321,1,-0.98,-0.08,0.01
322,1,-0.98,-0.06,0.01
324,1,-0.98,-0.06,0.01
326,1,-0.98,-0.06,0.01
327,1,-0.98,-0.06,0.01
329,1,-0.98,-0.06,0.01
331,1,-0.98,-0.06,0.01
333,1,-0.98,-0.06,0.01
334,1,-0.98,-0.06,0.01
336,1,-0.98,-0.06,0.01
338,1,-0.98,-0.06,0.01
339,1,-0.98,-0.06,0.01
341,1,-0.98,-0.06,0.01
343,1,-0.98,-0.04,0.01
344,1,-0.98,-0.04,0.01
346,1,-0.98,-0.04,0.01
348,1,-0.98,-0.04,0.01
349,1,-0.98,-0.04,0.01
351,1,-0.98,-0.04,0.01
353,1,-0.98,-0.05,0.0
354,1,-0.98,-0.05,0.0
356,1,-0.98,-0.05,0.0
358,1,-0.98,-0.05,0.0
359,1,-0.98,-0.05,0.0
361,1,-0.98,-0.05,0.02
363,1,-0.98,-0.06,0.02
364,1,-0.98,-0.06,0.02
366,1,-0.98,-0.06,0.02
368,1,-0.98,-0.06,0.02
369,1,-0.98,-0.06,0.02
371,1,-0.98,-0.05,0.02
373,1,-0.99,-0.05,0.02
374,1,-0.99,-0.05,0.02
376,1,-0.99,-0.05,0.02
378,1,-0.99,-0.05,0.02
379,1,-0.99,-0.05,0.02
381,1,-0.99,-0.05,0.04
383,1,-0.99,-0.05,0.04
384,1,-0.99,-0.05,0.04
386,1,-0.99,-0.05,0.04
387,1,-0.99,-0.05,0.04
389,1,-0.99,-0.05,0.04
391,1,-1.01,-0.03,0.06
393,1,-1.01,-0.03,0.06
394,1,-1.01,-0.03,0.06
396,1,-1.01,-0.03,0.06
398,1,-1.01,-0.03,0.06
400,1,-1.01,-0.03,0.06
401,1,-1.08,-0.05,0.11
403,1,-1.08,-0.05,0.11
405,1,-1.08,-0.05,0.11
406,1,-1.08,-0.05,0.11
408,1,-1.08,-0.05,0.11
410,1,-1.08,-0.05,0.11
411,1,-1.06,-0.01,0.2
413,1,-1.06,-0.01,0.2
414,1,-1.06,-0.01,0.2
416,1,-1.06,-0.01,0.2
418,1,-1.06,-0.01,0.2
419,1,-1.06,0.11,0.27
421,1,-1.07,0.02,0.27
423,1,-1.07,0.02,0.27
425,1,-1.07,0.02,0.27
426,1,-1.07,0.02,0.27
428,1,-1.07,0.02,0.27
430,1,-1.09,0.07,0.36
431,1,-1.09,0.07,0.36
433,1,-1.09,0.07,0.36
435,1,-1.09,0.07,0.36
436,1,-1.09,0.07,0.36
438,1,-1.09,0.07,0.36
440,1,-0.95,0.18,0.38
441,1,-0.95,0.18,0.38
443,1,-0.95,0.18,0.38
445,1,-0.95,0.18,0.38
446,1,-0.95,0.18,0.38
448,1,-0.95,0.18,0.38
450,1,-0.97,0.3,0.52
451,1,-0.97,0.3,0.52
453,1,-0.97,0.3,0.52
455,1,-0.97,0.3,0.52
456,1,-0.97,0.3,0.52
458,1,-0.97,0.3,0.52
460,1,-1.01,0.33,0.68
461,1,-1.01,0.33,0.68
463,1,-1.01,0.33,0.68
464,1,-1.01,0.33,0.68
466,1,-1.01,0.33,0.68
468,1,-1.01,0.33,0.68
469,1,-1.03,0.34,0.71
471,1,-1.03,0.34,0.71
473,1,-1.03,0.34,0.71
474,1,-1.03,0.34,0.71
476,1,-1.03,0.34,0.71
478,1,-1.03,0.34,0.71
480,1,-0.98,0.34,0.89
481,1,-0.98,0.34,0.89
483,1,-0.98,0.34,0.89
485,1,-0.98,0.34,0.89
486,1,-0.98,0.34,0.89
488,1,-0.98,0.34,0.89
489,1,-0.81,0.33,0.89
491,1,-0.81,0.33,0.89
493,1,-0.81,0.33,0.89
494,1,-0.81,0.33,0.89
496,1,-0.81,0.33,0.89
498,1,-1.06,0.3,1.01
499,1,-1.02,0.3,1.01
501,1,-1.02,0.3,1.01
503,1,-1.02,0.3,1.01
504,1,-1.02,0.3,1.01
506,1,-1.02,0.3,1.01
508,1,-0.94,0.31,1.05
510,1,-0.94,0.31,1.05
511,1,-0.94,0.31,1.05
513,1,-0.94,0.31,1.05
515,1,-0.94,0.31,1.05
516,1,-0.94,0.31,1.05
518,1,-0.87,0.29,1.12
520,1,-0.87,0.29,1.12
521,1,-0.87,0.29,1.12
523,1,-0.87,0.29,1.12
525,1,-0.87,0.29,1.12
526,1,-0.87,0.29,1.12
528,1,-0.73,0.18,1.33
530,1,-0.73,0.18,1.33
531,1,-0.73,0.18,1.33
533,1,-0.73,0.18,1.33
535,1,-0.73,0.18,1.33
536,1,-0.73,0.18,1.33
538,1,-1.0,0.22,1.23
540,1,-1.0,0.22,1.23
541,1,-1.0,0.22,1.23
