t,l,x,y,z
0,1,-0.99,0.05,-0.01
1,1,-0.99,0.05,-0.01
3,1,-0.99,0.05,-0.01
5,1,-0.98,0.05,-0.01
6,1,-0.98,0.05,-0.01
8,1,-0.98,0.05,-0.01
10,1,-0.98,0.05,-0.01
11,1,-0.98,0.05,-0.01
13,1,-0.98,0.05,-0.0
15,1,-0.98,0.05,-0.0
16,1,-0.98,0.05,-0.0
18,1,-0.98,0.05,-0.0
19,1,-0.98,0.05,-0.0
21,1,-0.98,0.05,-0.0
23,1,-0.98,0.05,0.0
24,1,-0.98,0.05,0.0
26,1,-0.98,0.05,0.0
28,1,-0.98,0.05,0.0
29,1,-0.98,0.05,0.0
31,1,-0.98,0.05,0.0
33,1,-0.98,0.05,0.01
34,1,-0.98,0.05,0.01
36,1,-0.98,0.05,0.01
38,1,-0.98,0.05,0.01
39,1,-0.98,0.05,0.01
41,1,-0.98,0.05,0.01
43,1,-0.98,0.05,0.0
44,1,-0.98,0.05,0.0
46,1,-0.98,0.05,0.0
47,1,-0.98,0.05,0.0
49,1,-0.98,0.05,0.0
51,1,-0.98,0.05,0.0
52,1,-0.98,0.05,0.0
54,1,-0.98,0.05,0.0
56,1,-0.98,0.05,0.0
57,1,-0.98,0.05,0.0
59,1,-0.98,0.05,0.0
61,1,-0.98,0.05,0.0
62,1,-0.98,0.05,0.0
64,1,-0.98,0.05,0.0
66,1,-0.98,0.05,0.0
67,1,-0.98,0.05,0.0
69,1,-0.98,0.05,0.0
71,1,-0.98,0.05,0.0
72,1,-0.98,0.05,-0.0
74,1,-0.98,0.05,-0.0
76,1,-0.98,0.05,-0.0
77,1,-0.98,0.05,-0.0
79,1,-0.98,0.05,-0.0
81,1,-0.98,0.05,-0.0
82,1,-0.99,0.05,-0.0
84,1,-0.99,0.05,-0.0
86,1,-0.99,0.05,-0.0
87,1,-0.99,0.05,-0.0
89,1,-0.99,0.05,-0.0
91,1,-0.99,0.05,-0.0
92,1,-0.99,0.05,-0.0
94,1,-0.99,0.05,-0.0
96,1,-0.99,0.05,-0.0
97,1,-0.99,0.05,-0.0
99,1,-0.99,0.05,-0.0
101,1,-0.99,0.05,-0.0
102,1,-0.99,0.05,-0.0
104,1,-0.99,0.05,-0.0
106,1,-0.99,0.05,-0.0
107,1,-0.99,0.05,-0.0
109,1,-0.99,0.05,-0.0
111,1,-0.99,0.05,-0.0
112,1,-0.99,0.05,-0.0
114,1,-0.99,0.05,-0.0
116,1,-0.99,0.05,-0.0
117,1,-0.99,0.05,-0.0
119,1,-0.99,0.05,-0.0
121,1,-0.98,0.05,-0.0
122,1,-0.98,0.05,-0.0
124,1,-0.98,0.05,-0.0
126,1,-0.98,0.05,-0.0
127,1,-0.98,0.05,-0.0
