t,l,x,y,z
0,1,-0.98,0.01,0.02
2,1,-0.98,0.01,0.01
3,1,-0.98,0.01,0.01
5,1,-0.98,0.01,0.01
7,1,-0.98,0.01,0.01
8,1,-0.98,0.01,0.01
10,1,-0.98,0.01,0.01
12,1,-0.98,0.01,0.01
13,1,-0.98,0.01,0.01
15,1,-0.98,0.01,0.01
17,1,-0.98,0.01,0.01
18,1,-0.98,0.01,0.01
20,1,-0.98,0.01,0.01
22,1,-0.98,0.01,0.01
23,1,-0.98,0.01,0.01
25,1,-0.98,0.01,0.01
26,1,-0.98,0.01,0.01
28,1,-0.98,0.01,0.01
30,1,-0.98,0.01,0.0
31,1,-0.98,0.01,0.0
33,1,-0.98,0.01,0.0
35,1,-0.98,0.01,0.0
36,1,-0.98,0.01,0.0
38,1,-0.98,0.01,0.0
40,1,-0.98,0.01,0.01
41,1,-0.98,0.01,0.01
43,1,-0.98,0.01,0.01
45,1,-0.98,0.01,0.01
46,1,-0.98,0.01,0.01
48,1,-0.98,0.01,0.01
50,1,-0.98,0.01,0.01
51,1,-0.98,0.01,0.01
53,1,-0.98,0.01,0.01
55,1,-0.98,0.01,0.01
56,1,-0.98,0.01,0.01
58,1,-0.98,0.01,0.01
60,1,-0.98,0.02,0.02
61,1,-0.98,0.02,0.02
63,1,-0.98,0.02,0.02
65,1,-0.98,0.02,0.02
66,1,-0.98,0.02,0.02
68,1,-0.98,0.02,0.02
69,1,-0.98,0.02,0.02
71,1,-0.98,0.02,0.02
73,1,-0.98,0.02,0.02
74,1,-0.98,0.02,0.02
76,1,-0.98,0.02,0.02
78,1,-0.98,0.02,0.02
79,1,-0.98,0.03,0.02
81,1,-0.98,0.03,0.02
83,1,-0.98,0.03,0.02
84,1,-0.98,0.03,0.02
86,1,-0.98,0.03,0.02
88,1,-0.98,0.03,0.02
89,1,-0.98,0.03,0.02
91,1,-0.98,0.03,0.02
93,1,-0.98,0.03,0.02
94,1,-0.98,0.03,0.02
96,1,-0.98,0.03,0.02
98,1,-0.98,0.03,0.02
99,1,-0.98,0.02,0.02
101,1,-0.98,0.02,0.02
103,1,-0.98,0.02,0.02
104,1,-0.98,0.02,0.02
106,1,-0.98,0.02,0.02
107,1,-0.98,0.02,0.02
109,1,-0.98,0.02,0.01
111,1,-0.98,0.02,0.01
112,1,-0.98,0.02,0.01
114,1,-0.98,0.02,0.01
116,1,-0.98,0.02,0.01
117,1,-0.98,0.02,0.01
119,1,-0.98,0.01,0.01
121,1,-0.98,0.01,0.01
122,1,-0.98,0.01,0.01
124,1,-0.98,0.01,0.01
126,1,-0.98,0.01,0.01
127,1,-0.98,0.01,0.01
129,1,-0.98,-0.0,-0.0
131,1,-0.98,-0.0,-0.0
132,1,-0.98,-0.0,-0.0
134,1,-0.98,-0.0,-0.0
136,1,-0.98,-0.0,-0.0
137,1,-0.98,-0.0,-0.01
139,1,-0.97,-0.0,-0.01
141,1,-0.97,-0.0,-0.01
142,1,-0.97,-0.0,-0.01
144,1,-0.97,-0.0,-0.01
146,1,-0.97,-0.0,-0.01
147,1,-0.97,0.0,-0.0
149,1,-0.98,0.0,-0.0
151,1,-0.98,0.0,-0.0
152,1,-0.98,0.0,-0.0
154,1,-0.98,0.0,-0.0
155,1,-0.98,0.0,-0.0
157,1,-0.98,0.01,0.0
159,1,-0.98,0.01,0.0
160,1,-0.98,0.01,0.0
162,1,-0.98,0.01,0.0
