t,l,x,y,z
0,1,-0.98,0.05,0.08
2,1,-0.98,0.05,0.08
3,1,-0.98,0.05,0.09
5,1,-0.98,0.05,0.09
7,1,-0.98,0.05,0.09
8,1,-0.98,0.05,0.09
10,1,-0.98,0.05,0.09
12,1,-0.98,0.05,0.09
13,1,-0.98,0.04,0.1
15,1,-0.98,0.04,0.1
17,1,-0.98,0.04,0.1
18,1,-0.98,0.04,0.1
20,1,-0.98,0.04,0.1
22,1,-0.98,0.04,0.1
23,1,-0.98,0.04,0.11
25,1,-0.98,0.04,0.11
27,1,-0.98,0.04,0.11
28,1,-0.98,0.04,0.11
30,1,-0.98,0.04,0.11
32,1,-0.98,0.04,0.11
33,1,-0.98,0.04,0.1
35,1,-0.98,0.04,0.1
37,1,-0.98,0.04,0.1
38,1,-0.98,0.04,0.1
40,1,-0.98,0.04,0.1
42,1,-0.98,0.04,0.1
43,1,-0.98,0.05,0.09
45,1,-0.98,0.05,0.09
47,1,-0.98,0.05,0.09
48,1,-0.98,0.05,0.09
50,1,-0.98,0.05,0.09
52,1,-0.98,0.05,0.09
53,1,-0.98,0.05,0.08
55,1,-0.98,0.05,0.08
57,1,-0.98,0.05,0.08
58,1,-0.98,0.05,0.08
60,1,-0.98,0.05,0.08
62,1,-0.98,0.05,0.08
63,1,-0.98,0.05,0.07
65,1,-0.98,0.05,0.07
67,1,-0.98,0.05,0.07
68,1,-0.98,0.05,0.07
70,1,-0.98,0.05,0.07
72,1,-0.98,0.05,0.07
73,1,-0.98,0.05,0.07
75,1,-0.98,0.05,0.07
77,1,-0.98,0.05,0.07
78,1,-0.98,0.05,0.07
80,1,-0.98,0.05,0.07
82,1,-0.98,0.05,0.07
83,1,-0.98,0.05,0.07
85,1,-0.98,0.05,0.07
87,1,-0.98,0.05,0.07
88,1,-0.98,0.05,0.07
90,1,-0.98,0.05,0.07
92,1,-0.98,0.05,0.08
93,1,-0.98,0.05,0.08
95,1,-0.98,0.05,0.08
97,1,-0.98,0.05,0.08
98,1,-0.98,0.05,0.08
100,1,-0.98,0.05,0.08
102,1,-0.98,0.05,0.08
103,1,-0.98,0.05,0.08
105,1,-0.98,0.05,0.08
107,1,-0.98,0.05,0.08
108,1,-0.98,0.05,0.08
110,1,-0.98,0.05,0.08
112,1,-0.98,0.05,0.08
113,1,-0.98,0.05,0.08
115,1,-0.98,0.05,0.08
117,1,-0.98,0.05,0.08
118,1,-0.98,0.05,0.08
120,1,-0.98,0.05,0.08
122,1,-0.98,0.05,0.09
123,1,-0.98,0.05,0.09
125,1,-0.98,0.05,0.09
127,1,-0.98,0.05,0.09
128,1,-0.98,0.05,0.09
130,1,-0.98,0.05,0.09
132,1,-0.98,0.05,0.09
133,1,-0.98,0.05,0.09
135,1,-0.98,0.05,0.09
137,1,-0.98,0.05,0.09
138,1,-0.98,0.05,0.09
140,1,-0.98,0.05,0.09
142,1,-0.98,0.05,0.09
143,1,-0.98,0.05,0.09
145,1,-0.98,0.05,0.09
147,1,-0.98,0.05,0.09
148,1,-0.98,0.05,0.09
150,1,-0.98,0.05,0.08
152,1,-0.98,0.05,0.08
153,1,-0.98,0.05,0.08
155,1,-0.98,0.05,0.08
157,1,-0.98,0.05,0.08
158,1,-0.98,0.05,0.08
160,1,-0.98,0.04,0.08
162,1,-0.98,0.04,0.08
163,1,-0.98,0.04,0.08
165,1,-0.98,0.04,0.08
167,1,-0.98,0.04,0.08
168,1,-0.98,0.04,0.08
170,1,-0.98,0.04,0.09
172,1,-0.98,0.04,0.09
173,1,-0.98,0.04,0.09
175,1,-0.98,0.04,0.09
177,1,-0.98,0.04,0.09
178,1,-0.98,0.04,0.09
180,1,-0.98,0.04,0.09
182,1,-0.98,0.04,0.09
183,1,-0.98,0.04,0.09
185,1,-0.98,0.04,0.09
187,1,-0.98,0.04,0.09
188,1,-0.98,0.04,0.09
190,1,-0.98,0.04,0.09
192,1,-0.98,0.04,0.09
193,1,-0.98,0.04,0.09
195,1,-0.98,0.04,0.09
197,1,-0.98,0.04,0.09
198,1,-0.98,0.04,0.09
200,1,-0.98,0.05,0.08
201,1,-0.98,0.05,0.08
203,1,-0.98,0.05,0.08
205,1,-0.98,0.05,0.08
206,1,-0.98,0.05,0.08
208,1,-0.98,0.05,0.08
210,1,-0.98,0.05,0.08
211,1,-0.98,0.05,0.08
213,1,-0.98,0.05,0.08
215,1,-0.98,0.05,0.08
216,1,-0.98,0.05,0.08
218,1,-0.98,0.05,0.08
220,1,-0.98,0.05,0.07
221,1,-0.98,0.05,0.07
223,1,-0.98,0.05,0.07
225,1,-0.98,0.05,0.07
226,1,-0.98,0.05,0.07
228,1,-0.98,0.05,0.06
230,1,-0.98,0.05,0.06
231,1,-0.98,0.05,0.06
233,1,-0.98,0.05,0.06
235,1,-0.98,0.05,0.06
236,1,-0.98,0.05,0.06
238,1,-0.99,0.06,0.07
240,1,-0.99,0.06,0.07
241,1,-0.99,0.06,0.07
243,1,-0.99,0.06,0.07
244,1,-0.99,0.06,0.07
246,1,-0.99,0.06,0.07
248,1,-1.0,0.07,0.09
249,1,-1.0,0.07,0.09
251,1,-1.0,0.07,0.09
253,1,-1.0,0.07,0.09
254,1,-1.0,0.07,0.09
256,1,-1.0,0.07,0.09
258,1,-1.01,0.11,0.17
259,1,-1.01,0.11,0.17
