t,l,x,y,z
0,1,-0.98,-0.02,0.07
2,1,-0.98,-0.02,0.07
4,1,-0.98,-0.02,0.07
5,1,-0.98,-0.02,0.07
7,1,-0.98,-0.02,0.07
9,1,-0.98,-0.02,0.07
10,1,-0.98,-0.02,0.07
12,1,-0.98,-0.02,0.07
14,1,-0.98,-0.02,0.07
15,1,-0.99,-0.02,0.07
17,1,-0.99,-0.02,0.07
19,1,-0.99,-0.02,0.07
20,1,-0.99,-0.02,0.07
22,1,-0.99,-0.02,0.07
24,1,-0.99,-0.02,0.07
25,1,-0.99,-0.03,0.07
27,1,-0.99,-0.03,0.07
29,1,-0.99,-0.03,0.07
30,1,-0.99,-0.03,0.07
32,1,-0.99,-0.03,0.07
34,1,-0.99,-0.03,0.07
35,1,-0.99,-0.02,0.07
37,1,-0.99,-0.02,0.07
39,1,-0.99,-0.02,0.07
40,1,-0.99,-0.02,0.07
42,1,-0.99,-0.02,0.07
44,1,-0.99,-0.02,0.07
45,1,-0.98,-0.02,0.08
47,1,-0.98,-0.02,0.08
49,1,-0.98,-0.02,0.08
50,1,-0.98,-0.02,0.08
52,1,-0.98,-0.02,0.08
54,1,-0.98,-0.02,0.08
55,1,-0.98,-0.02,0.07
57,1,-0.98,-0.02,0.07
59,1,-0.98,-0.02,0.07
60,1,-0.98,-0.02,0.07
62,1,-0.98,-0.02,0.07
64,1,-0.98,-0.02,0.07
65,1,-0.97,-0.02,0.07
67,1,-0.97,-0.02,0.07
69,1,-0.97,-0.02,0.07
70,1,-0.97,-0.02,0.07
72,1,-0.97,-0.02,0.07
74,1,-0.97,-0.02,0.07
75,1,-0.98,-0.02,0.07
77,1,-0.98,-0.02,0.07
79,1,-0.98,-0.02,0.07
80,1,-0.98,-0.02,0.07
82,1,-0.98,-0.02,0.07
84,1,-0.97,-0.02,0.06
85,1,-0.97,-0.02,0.06
87,1,-0.97,-0.02,0.06
89,1,-0.97,-0.02,0.06
90,1,-0.97,-0.02,0.06
92,1,-0.97,-0.02,0.06
94,1,-0.98,-0.02,0.06
95,1,-0.98,-0.02,0.06
97,1,-0.98,-0.02,0.06
99,1,-0.98,-0.02,0.06
100,1,-0.98,-0.02,0.06
102,1,-0.98,-0.02,0.06
104,1,-0.98,-0.02,0.06
105,1,-0.98,-0.02,0.06
107,1,-0.98,-0.02,0.06
109,1,-0.98,-0.02,0.06
110,1,-0.98,-0.02,0.06
112,1,-0.98,-0.02,0.06
114,1,-0.98,-0.02,0.07
115,1,-0.98,-0.02,0.07
117,1,-0.98,-0.02,0.07
119,1,-0.98,-0.02,0.07
120,1,-0.98,-0.02,0.07
122,1,-0.98,-0.02,0.07
124,1,-0.98,-0.02,0.07
125,1,-0.98,-0.02,0.07
127,1,-0.98,-0.02,0.07
129,1,-0.98,-0.02,0.07
130,1,-0.98,-0.02,0.07
132,1,-0.98,-0.02,0.07
134,1,-0.98,-0.02,0.07
135,1,-0.98,-0.02,0.07
137,1,-0.98,-0.02,0.07
139,1,-0.98,-0.02,0.07
140,1,-0.98,-0.02,0.07
142,1,-0.98,-0.02,0.07
144,1,-0.98,-0.02,0.07
145,1,-0.98,-0.02,0.07
147,1,-0.98,-0.02,0.07
149,1,-0.98,-0.02,0.07
150,1,-0.98,-0.02,0.07
152,1,-0.98,-0.02,0.07
154,1,-0.98,-0.02,0.07
155,1,-0.98,-0.02,0.07
157,1,-0.98,-0.02,0.07
159,1,-0.98,-0.02,0.07
160,1,-0.98,-0.02,0.07
162,1,-0.98,-0.02,0.07
164,1,-0.98,-0.02,0.07
165,1,-0.98,-0.02,0.07
167,1,-0.98,-0.02,0.07
169,1,-0.98,-0.02,0.07
170,1,-0.98,-0.02,0.07
172,1,-0.98,-0.02,0.08
174,1,-0.98,-0.02,0.08
175,1,-0.98,-0.02,0.08
177,1,-0.98,-0.02,0.08
179,1,-0.98,-0.02,0.08
180,1,-0.98,-0.02,0.08
182,1,-0.98,-0.02,0.08
184,1,-0.98,-0.02,0.08
185,1,-0.98,-0.02,0.08
187,1,-0.98,-0.02,0.08
189,1,-0.98,-0.02,0.08
190,1,-0.98,-0.02,0.08
192,1,-0.98,-0.02,0.08
194,1,-0.98,-0.02,0.08
195,1,-0.98,-0.02,0.08
197,1,-0.98,-0.02,0.08
199,1,-0.98,-0.02,0.08
200,1,-0.98,-0.02,0.08
202,1,-0.98,-0.02,0.07
204,1,-0.98,-0.02,0.07
205,1,-0.98,-0.02,0.07
207,1,-0.98,-0.02,0.07
209,1,-0.98,-0.02,0.07
210,1,-0.98,-0.02,0.06
212,1,-0.98,-0.02,0.06
214,1,-0.98,-0.02,0.06
215,1,-0.98,-0.02,0.06
217,1,-0.98,-0.02,0.06
219,1,-0.98,-0.02,0.06
220,1,-0.98,-0.02,0.06
222,1,-0.98,-0.02,0.06
224,1,-0.98,-0.02,0.06
225,1,-0.98,-0.02,0.06
227,1,-0.98,-0.02,0.06
229,1,-0.98,-0.02,0.06
