t,l,x,y,z
0,1,-0.96,-0.05,0.15
1,1,-0.96,-0.05,0.15
3,1,-0.96,-0.05,0.15
5,1,-0.96,-0.05,0.15
6,1,-0.96,-0.05,0.15
8,1,-0.97,-0.04,0.16
10,1,-0.97,-0.04,0.16
11,1,-0.97,-0.04,0.16
13,1,-0.97,-0.04,0.16
15,1,-0.97,-0.04,0.16
16,1,-0.97,-0.04,0.16
18,1,-0.97,-0.04,0.16
20,1,-0.97,-0.04,0.16
21,1,-0.97,-0.04,0.16
23,1,-0.97,-0.04,0.16
25,1,-0.97,-0.04,0.16
26,1,-0.97,-0.05,0.15
28,1,-0.97,-0.05,0.15
30,1,-0.97,-0.05,0.15
31,1,-0.97,-0.05,0.15
33,1,-0.97,-0.05,0.15
35,1,-0.97,-0.05,0.15
36,1,-0.97,-0.05,0.15
38,1,-0.97,-0.05,0.15
40,1,-0.97,-0.05,0.15
41,1,-0.97,-0.05,0.15
43,1,-0.97,-0.05,0.15
45,1,-0.97,-0.05,0.15
46,1,-0.97,-0.04,0.16
48,1,-0.97,-0.04,0.16
50,1,-0.97,-0.04,0.16
51,1,-0.97,-0.04,0.16
53,1,-0.97,-0.04,0.16
55,1,-0.97,-0.04,0.16
56,1,-0.97,-0.04,0.16
58,1,-0.97,-0.04,0.16
60,1,-0.97,-0.04,0.16
61,1,-0.97,-0.04,0.16
63,1,-0.97,-0.04,0.16
65,1,-0.97,-0.04,0.16
66,1,-0.96,-0.04,0.16
68,1,-0.96,-0.04,0.16
70,1,-0.96,-0.04,0.16
71,1,-0.96,-0.04,0.16
73,1,-0.96,-0.04,0.16
75,1,-0.96,-0.04,0.16
76,1,-0.97,-0.05,0.15
78,1,-0.97,-0.05,0.15
80,1,-0.97,-0.05,0.15
81,1,-0.97,-0.05,0.15
83,1,-0.97,-0.05,0.15
85,1,-0.97,-0.05,0.16
86,1,-0.97,-0.05,0.16
88,1,-0.97,-0.05,0.16
90,1,-0.97,-0.05,0.16
91,1,-0.97,-0.05,0.16
93,1,-0.97,-0.05,0.16
95,1,-0.97,-0.06,0.16
96,1,-0.97,-0.06,0.16
98,1,-0.97,-0.06,0.16
100,1,-0.97,-0.06,0.16
101,1,-0.97,-0.06,0.16
103,1,-0.97,-0.06,0.16
105,1,-0.97,-0.05,0.16
107,1,-0.97,-0.05,0.16
108,1,-0.97,-0.05,0.16
110,1,-0.97,-0.05,0.16
112,1,-0.97,-0.05,0.16
113,1,-0.97,-0.05,0.16
115,1,-0.97,-0.05,0.16
117,1,-0.97,-0.05,0.16
118,1,-0.97,-0.05,0.16
120,1,-0.97,-0.05,0.16
122,1,-0.97,-0.05,0.16
123,1,-0.97,-0.05,0.16
125,1,-0.97,-0.04,0.16
127,1,-0.97,-0.04,0.16
128,1,-0.97,-0.04,0.16
130,1,-0.97,-0.04,0.16
132,1,-0.97,-0.04,0.16
133,1,-0.97,-0.04,0.16
135,1,-0.97,-0.04,0.15
137,1,-0.97,-0.04,0.15
138,1,-0.97,-0.04,0.15
140,1,-0.97,-0.04,0.15
142,1,-0.97,-0.04,0.15
143,1,-0.97,-0.04,0.15
145,1,-0.97,-0.04,0.15
147,1,-0.97,-0.04,0.15
148,1,-0.97,-0.04,0.15
150,1,-0.97,-0.04,0.15
152,1,-0.97,-0.04,0.15
153,1,-0.97,-0.04,0.15
155,1,-0.97,-0.04,0.15
157,1,-0.97,-0.04,0.15
158,1,-0.97,-0.04,0.15
160,1,-0.97,-0.04,0.15
162,1,-0.97,-0.04,0.15
163,1,-0.97,-0.05,0.16
165,1,-0.97,-0.05,0.16
167,1,-0.97,-0.05,0.16
168,1,-0.97,-0.05,0.16
170,1,-0.97,-0.05,0.16
172,1,-0.97,-0.05,0.16
173,1,-0.97,-0.05,0.15
175,1,-0.97,-0.05,0.15
177,1,-0.97,-0.05,0.15
178,1,-0.97,-0.05,0.15
180,1,-0.97,-0.05,0.15
182,1,-0.97,-0.05,0.15
183,1,-0.97,-0.05,0.15
185,1,-0.97,-0.05,0.15
187,1,-0.97,-0.05,0.15
188,1,-0.97,-0.05,0.15
190,1,-0.97,-0.05,0.15
192,1,-0.97,-0.05,0.15
194,1,-0.97,-0.04,0.15
195,1,-0.97,-0.04,0.15
197,1,-0.97,-0.04,0.15
199,1,-0.97,-0.04,0.15
200,1,-0.97,-0.04,0.15
202,1,-0.97,-0.04,0.15
204,1,-0.97,-0.04,0.15
205,1,-0.97,-0.04,0.15
207,1,-0.97,-0.04,0.15
209,1,-0.97,-0.04,0.15
210,1,-0.97,-0.04,0.15
212,1,-0.97,-0.04,0.15
214,1,-0.97,-0.04,0.15
215,1,-0.97,-0.04,0.15
217,1,-0.97,-0.04,0.15
219,1,-0.97,-0.04,0.15
220,1,-0.97,-0.04,0.15
222,1,-0.97,-0.05,0.15
224,1,-0.97,-0.05,0.15
225,1,-0.97,-0.05,0.15
227,1,-0.97,-0.05,0.15
229,1,-0.97,-0.05,0.15
230,1,-0.97,-0.05,0.15
232,1,-0.97,-0.05,0.15
234,1,-0.97,-0.05,0.15
235,1,-0.97,-0.05,0.15
237,1,-0.97,-0.05,0.15
239,1,-0.97,-0.05,0.15
240,1,-0.97,-0.05,0.15
242,1,-0.97,-0.05,0.14
244,1,-0.97,-0.05,0.14
246,1,-0.97,-0.05,0.14
247,1,-0.97,-0.05,0.14
249,1,-0.97,-0.05,0.14
251,1,-0.97,-0.05,0.14
252,1,-0.98,-0.05,0.14
254,1,-0.98,-0.05,0.14
256,1,-0.98,-0.05,0.14
257,1,-0.98,-0.05,0.14
259,1,-0.98,-0.05,0.14
261,1,-0.98,-0.05,0.16
262,1,-0.96,-0.05,0.16
264,1,-0.96,-0.05,0.16
266,1,-0.96,-0.05,0.16
267,1,-0.96,-0.05,0.16
269,1,-0.96,-0.05,0.16
271,1,-0.96,-0.05,0.19
272,1,-0.96,-0.05,0.19
274,1,-0.96,-0.05,0.19
276,1,-0.96,-0.05,0.19
277,1,-0.96,-0.05,0.19
279,1,-0.96,-0.05,0.19
281,1,-0.95,-0.06,0.21
282,1,-0.95,-0.06,0.21
284,1,-0.95,-0.06,0.21
286,1,-0.95,-0.06,0.21
287,1,-0.95,-0.06,0.21
289,1,-0.95,-0.06,0.21
291,1,-0.96,-0.04,0.25
293,1,-0.96,-0.04,0.25
294,1,-0.96,-0.04,0.25
296,1,-0.96,-0.04,0.25
298,1,-0.96,-0.04,0.25
299,1,-0.96,-0.04,0.25
301,1,-0.96,-0.02,0.28
303,1,-0.96,-0.02,0.28
304,1,-0.96,-0.02,0.28
306,1,-0.96,-0.02,0.28
308,1,-0.96,-0.02,0.28
309,1,-0.96,-0.02,0.28
311,1,-0.96,0.01,0.28
313,1,-0.96,0.01,0.28
314,1,-0.96,0.01,0.28
