t,l,x,y,z
0,1,-0.97,0.09,0.11
2,1,-0.97,0.09,0.11
3,1,-0.97,0.09,0.11
5,1,-0.97,0.09,0.11
7,1,-0.97,0.09,0.11
8,1,-0.98,0.1,0.11
10,1,-0.98,0.1,0.11
12,1,-0.98,0.1,0.11
13,1,-0.98,0.1,0.11
15,1,-0.98,0.1,0.11
17,1,-0.98,0.1,0.11
18,1,-0.97,0.1,0.1
20,1,-0.97,0.1,0.1
22,1,-0.97,0.1,0.1
23,1,-0.97,0.1,0.1
25,1,-0.97,0.1,0.1
27,1,-0.97,0.1,0.1
28,1,-0.97,0.1,0.1
30,1,-0.97,0.1,0.1
32,1,-0.97,0.1,0.1
33,1,-0.97,0.1,0.1
35,1,-0.97,0.1,0.1
37,1,-0.97,0.1,0.1
38,1,-0.97,0.1,0.11
40,1,-0.97,0.1,0.11
42,1,-0.97,0.1,0.11
43,1,-0.97,0.1,0.11
45,1,-0.97,0.1,0.11
47,1,-0.97,0.1,0.11
48,1,-0.97,0.09,0.1
50,1,-0.97,0.09,0.1
52,1,-0.97,0.09,0.1
53,1,-0.97,0.09,0.1
55,1,-0.97,0.09,0.1
57,1,-0.97,0.09,0.1
58,1,-0.98,0.08,0.11
60,1,-0.98,0.08,0.11
62,1,-0.98,0.08,0.11
63,1,-0.98,0.08,0.11
65,1,-0.98,0.08,0.11
67,1,-0.98,0.08,0.11
68,1,-0.98,0.07,0.11
70,1,-0.98,0.07,0.11
72,1,-0.98,0.07,0.11
73,1,-0.98,0.07,0.11
75,1,-0.98,0.07,0.11
77,1,-0.98,0.07,0.12
78,1,-0.97,0.07,0.12
80,1,-0.97,0.07,0.12
82,1,-0.97,0.07,0.12
83,1,-0.97,0.07,0.12
85,1,-0.97,0.07,0.12
87,1,-0.97,0.08,0.11
88,1,-0.97,0.08,0.11
90,1,-0.97,0.08,0.11
92,1,-0.97,0.08,0.11
93,1,-0.97,0.08,0.11
95,1,-0.97,0.08,0.11
97,1,-0.97,0.09,0.11
98,1,-0.97,0.09,0.11
100,1,-0.97,0.09,0.11
102,1,-0.97,0.09,0.11
103,1,-0.97,0.09,0.11
105,1,-0.97,0.09,0.11
107,1,-0.97,0.09,0.1
108,1,-0.97,0.09,0.1
110,1,-0.97,0.09,0.1
112,1,-0.97,0.09,0.1
113,1,-0.97,0.09,0.1
115,1,-0.97,0.09,0.1
117,1,-0.97,0.1,0.1
118,1,-0.97,0.1,0.1
120,1,-0.97,0.1,0.1
122,1,-0.97,0.1,0.1
123,1,-0.97,0.1,0.1
125,1,-0.97,0.1,0.1
