t,l,x,y,z
0,1,-0.97,-0.13,-0.01
2,1,-0.97,-0.13,-0.01
3,1,-0.97,-0.13,-0.01
5,1,-0.97,-0.13,-0.01
7,1,-0.97,-0.12,-0.01
8,1,-0.97,-0.12,-0.01
10,1,-0.97,-0.12,-0.01
12,1,-0.97,-0.12,-0.01
13,1,-0.97,-0.12,-0.01
15,1,-0.97,-0.12,-0.01
17,1,-0.97,-0.12,-0.01
18,1,-0.97,-0.12,-0.01
20,1,-0.97,-0.12,-0.01
22,1,-0.97,-0.12,-0.01
23,1,-0.97,-0.12,-0.01
25,1,-0.97,-0.12,-0.01
27,1,-0.97,-0.12,0.0
28,1,-0.97,-0.12,0.0
30,1,-0.97,-0.12,0.0
32,1,-0.97,-0.12,0.0
33,1,-0.97,-0.12,0.0
35,1,-0.97,-0.12,0.0
36,1,-0.97,-0.13,0.0
38,1,-0.97,-0.13,0.0
40,1,-0.97,-0.13,0.0
42,1,-0.97,-0.13,0.0
43,1,-0.97,-0.13,0.0
45,1,-0.97,-0.13,0.0
47,1,-0.97,-0.13,0.02
48,1,-0.97,-0.13,0.02
50,1,-0.97,-0.13,0.02
52,1,-0.97,-0.13,0.02
53,1,-0.97,-0.13,0.02
55,1,-0.97,-0.13,0.02
57,1,-0.97,-0.13,0.03
58,1,-0.97,-0.13,0.03
60,1,-0.97,-0.13,0.03
61,1,-0.97,-0.13,0.03
63,1,-0.97,-0.13,0.03
65,1,-0.97,-0.13,0.03
66,1,-0.97,-0.13,0.03
68,1,-0.97,-0.13,0.03
70,1,-0.97,-0.13,0.03
71,1,-0.97,-0.13,0.03
73,1,-0.97,-0.13,0.03
75,1,-0.97,-0.13,0.02
76,1,-0.97,-0.13,0.02
78,1,-0.97,-0.13,0.02
80,1,-0.97,-0.13,0.02
81,1,-0.97,-0.13,0.02
83,1,-0.97,-0.13,0.02
85,1,-0.97,-0.13,0.01
86,1,-0.96,-0.13,0.01
88,1,-0.96,-0.13,0.01
90,1,-0.96,-0.13,0.01
91,1,-0.96,-0.13,0.01
93,1,-0.96,-0.13,0.01
95,1,-0.98,-0.13,0.0
96,1,-0.98,-0.13,0.0
98,1,-0.98,-0.13,0.0
99,1,-0.98,-0.13,0.0
101,1,-0.98,-0.13,0.0
103,1,-0.98,-0.13,0.0
105,1,-0.96,-0.13,-0.0
106,1,-0.96,-0.13,-0.0
108,1,-0.96,-0.13,-0.0
110,1,-0.96,-0.13,-0.0
111,1,-0.96,-0.13,-0.0
113,1,-0.96,-0.13,-0.0
115,1,-0.97,-0.13,-0.01
116,1,-0.97,-0.13,-0.01
118,1,-0.97,-0.13,-0.01
120,1,-0.97,-0.13,-0.01
121,1,-0.97,-0.13,-0.01
123,1,-0.97,-0.13,-0.01
125,1,-0.97,-0.13,-0.01
126,1,-0.97,-0.13,-0.01
128,1,-0.97,-0.13,-0.01
130,1,-0.97,-0.13,-0.01
131,1,-0.97,-0.13,-0.01
133,1,-0.97,-0.13,-0.01
135,1,-0.97,-0.13,-0.0
136,1,-0.97,-0.13,-0.0
138,1,-0.97,-0.13,-0.0
140,1,-0.97,-0.13,-0.0
141,1,-0.97,-0.13,-0.0
143,1,-0.97,-0.13,-0.0
145,1,-0.96,-0.14,-0.0
146,1,-0.96,-0.14,-0.0
148,1,-0.96,-0.14,-0.0
150,1,-0.96,-0.14,-0.0
151,1,-0.96,-0.14,-0.0
153,1,-0.96,-0.15,-0.0
154,1,-0.97,-0.15,-0.0
156,1,-0.97,-0.15,-0.0
158,1,-0.97,-0.15,-0.0
160,1,-0.97,-0.15,-0.0
161,1,-0.97,-0.15,-0.0
163,1,-0.97,-0.14,0.01
165,1,-0.97,-0.14,0.01
166,1,-0.97,-0.14,0.01
168,1,-0.97,-0.14,0.01
170,1,-0.97,-0.14,0.01
171,1,-0.97,-0.14,0.01
173,1,-0.97,-0.14,0.01
174,1,-0.97,-0.14,0.01
176,1,-0.97,-0.14,0.01
178,1,-0.97,-0.14,0.01
179,1,-0.97,-0.14,0.01
181,1,-0.97,-0.14,0.01
183,1,-0.97,-0.15,0.01
184,1,-0.97,-0.15,0.01
186,1,-0.97,-0.15,0.01
188,1,-0.97,-0.15,0.01
189,1,-0.97,-0.15,0.01
191,1,-0.97,-0.15,0.01
193,1,-0.97,-0.13,0.02
194,1,-0.97,-0.13,0.02
196,1,-0.97,-0.13,0.02
198,1,-0.97,-0.13,0.02
199,1,-0.97,-0.13,0.02
201,1,-0.97,-0.13,0.02
203,1,-0.97,-0.12,0.02
204,1,-0.97,-0.12,0.02
206,1,-0.97,-0.12,0.02
208,1,-0.97,-0.12,0.02
209,1,-0.97,-0.12,0.02
211,1,-0.97,-0.12,0.02
213,1,-0.96,-0.12,0.02
214,1,-0.96,-0.12,0.02
216,1,-0.96,-0.12,0.02
218,1,-0.96,-0.12,0.02
219,1,-0.96,-0.12,0.02
221,1,-0.96,-0.12,0.02
223,1,-0.97,-0.13,0.0
224,1,-0.97,-0.13,0.0
226,1,-0.97,-0.13,0.0
228,1,-0.97,-0.13,0.0
229,1,-0.97,-0.13,0.0
231,1,-0.97,-0.13,0.0
232,1,-0.96,-0.12,0.0
234,1,-0.96,-0.12,0.0
236,1,-0.96,-0.12,0.0
237,1,-0.96,-0.12,0.0
239,1,-0.96,-0.12,0.0
241,1,-0.96,-0.12,-0.01
242,1,-0.96,-0.12,-0.01
244,1,-0.96,-0.12,-0.01
246,1,-0.96,-0.12,-0.01
247,1,-0.96,-0.12,-0.01
249,1,-0.96,-0.12,-0.01
250,1,-0.96,-0.12,0.0
252,1,-0.96,-0.12,0.0
254,1,-0.96,-0.12,0.0
255,1,-0.96,-0.12,0.0
257,1,-0.96,-0.12,0.0
259,1,-0.96,-0.12,0.0
260,1,-0.97,-0.13,0.01
262,1,-0.97,-0.13,0.01
264,1,-0.97,-0.13,0.01
265,1,-0.97,-0.13,0.01
267,1,-0.97,-0.13,0.01
269,1,-0.97,-0.13,0.01
270,1,-0.97,-0.13,0.02
272,1,-0.97,-0.13,0.02
274,1,-0.97,-0.13,0.02
275,1,-0.97,-0.13,0.02
277,1,-0.97,-0.13,0.02
279,1,-0.97,-0.13,0.02
280,1,-0.97,-0.13,0.01
282,1,-0.97,-0.13,0.01
284,1,-0.97,-0.13,0.01
285,1,-0.97,-0.13,0.01
287,1,-0.97,-0.13,0.01
288,1,-0.97,-0.13,0.01
290,1,-0.97,-0.13,0.01
292,1,-0.97,-0.13,0.01
293,1,-0.97,-0.13,0.01
295,1,-0.97,-0.13,0.01
297,1,-0.97,-0.13,0.01
298,1,-0.97,-0.13,0.01
300,1,-0.96,-0.13,0.01
302,1,-0.96,-0.13,0.01
303,1,-0.96,-0.13,0.01
305,1,-0.96,-0.13,0.01
307,1,-0.96,-0.13,0.01
308,1,-0.96,-0.13,0.01
310,1,-0.97,-0.14,0.01
312,1,-0.97,-0.14,0.01
313,1,-0.97,-0.14,0.01
315,1,-0.97,-0.14,0.01
317,1,-0.97,-0.14,0.01
318,1,-0.97,-0.14,0.01
320,1,-0.97,-0.15,-0.0
322,1,-0.97,-0.15,-0.0
323,1,-0.97,-0.15,-0.0
325,1,-0.97,-0.15,-0.0
327,1,-0.97,-0.15,-0.0
328,1,-0.97,-0.15,-0.0
330,1,-0.97,-0.13,0.0
332,1,-0.97,-0.13,0.0
333,1,-0.97,-0.13,0.0
335,1,-0.97,-0.13,0.0
337,1,-0.97,-0.13,0.0
338,1,-0.97,-0.13,0.0
340,1,-0.97,-0.13,0.0
341,1,-0.97,-0.13,0.0
343,1,-0.97,-0.13,0.0
345,1,-0.97,-0.13,0.0
346,1,-0.97,-0.13,0.0
348,1,-0.97,-0.13,0.02
350,1,-0.96,-0.13,0.02
351,1,-0.96,-0.13,0.02
