t,l,x,y,z
13498818,0,-0.98,0.10,0.05
13498820,0,-0.97,0.09,0.03
13498821,0,-0.97,0.09,0.03
13498823,0,-0.97,0.09,0.03
13498825,0,-0.97,0.09,0.03
13498826,0,-0.97,0.09,0.03
13498828,0,-0.97,0.09,0.03
13498830,0,-0.98,0.08,-0.00
13498831,0,-0.98,0.08,-0.00
13498833,0,-0.98,0.08,-0.00
13498835,0,-0.98,0.08,-0.00
13498836,0,-0.98,0.08,-0.00
13498838,0,-0.98,0.08,-0.00
13498840,0,-0.98,0.07,-0.03
13498841,0,-0.98,0.07,-0.03
13498843,0,-0.98,0.07,-0.03
13498845,0,-0.98,0.07,-0.03
13498846,0,-0.98,0.07,-0.03
13498848,0,-0.98,0.07,-0.03
13498850,0,-0.98,0.07,-0.05
13498851,0,-0.98,0.07,-0.05
13498853,0,-0.98,0.07,-0.05
13498855,0,-0.98,0.07,-0.05
13498856,0,-0.98,0.07,-0.05
13498858,0,-0.98,0.07,-0.05
13498860,0,-0.98,0.07,-0.06
13498861,0,-0.98,0.07,-0.06
13498863,0,-0.98,0.07,-0.06
13498865,0,-0.98,0.07,-0.06
13498866,0,-0.98,0.07,-0.06
13498868,0,-0.98,0.07,-0.06
13498870,0,-0.98,0.07,-0.06
13498871,0,-0.98,0.07,-0.06
13498873,0,-0.98,0.07,-0.06
13498875,0,-0.98,0.07,-0.06
13498877,0,-0.98,0.07,-0.06
13498878,0,-0.98,0.07,-0.03
13498880,0,-0.99,0.07,-0.03
13498881,0,-0.99,0.07,-0.03
13498883,0,-0.99,0.07,-0.03
13498885,0,-0.99,0.07,-0.03
13498887,0,-0.99,0.07,-0.03
13498888,0,-0.98,0.08,-0.01
13498890,0,-0.98,0.08,-0.01
13498891,0,-0.98,0.08,-0.01
13498893,0,-0.98,0.08,-0.01
13498895,0,-0.98,0.08,-0.01
13498897,0,-0.98,0.08,-0.01
13498898,0,-0.97,0.09,0.01
13498900,0,-0.97,0.09,0.01
13498902,0,-0.97,0.09,0.01
