t,l,x,y,z,
2759509,0,-0.97,-0.05,0.01,0.0025
2759511,0,-0.97,-0.05,0.01,
2759512,0,-0.97,-0.05,0.01,
2759514,0,-0.97,-0.05,0.01,
2759516,0,-0.97,-0.05,0.01,
2759517,0,-0.98,-0.06,0.02,
2759519,0,-0.98,-0.06,0.02,
2759521,0,-0.98,-0.06,0.02,
2759522,0,-0.98,-0.06,0.02,
2759524,0,-0.98,-0.06,0.02,
2759526,0,-0.98,-0.06,0.02,
2759527,0,-0.98,-0.07,0.01,
2759529,0,-0.98,-0.07,0.01,
2759531,0,-0.98,-0.07,0.01,
2759532,0,-0.98,-0.07,0.01,
2759534,0,-0.98,-0.07,0.01,
2759536,0,-0.98,-0.07,0.01,
2759537,0,-0.98,-0.06,0.01,
2759539,0,-0.98,-0.06,0.01,
2759541,0,-0.98,-0.06,0.01,
2759542,0,-0.98,-0.06,0.01,
2759544,0,-0.98,-0.06,0.01,
2759546,0,-0.98,-0.06,0.01,
2759547,0,-0.98,-0.06,0.01,
2759549,0,-0.98,-0.06,0.01,
2759551,0,-0.98,-0.06,0.01,
2759552,0,-0.98,-0.06,0.01,
2759554,0,-0.98,-0.06,0.01,
2759556,0,-0.98,-0.06,0.02,
2759557,0,-0.96,-0.06,0.02,
2759559,0,-0.96,-0.06,0.02,
2759561,0,-0.96,-0.06,0.02,
2759562,0,-0.96,-0.06,0.02,
2759564,0,-0.96,-0.06,0.02,
2759566,0,-0.97,-0.06,0,
2759567,0,-0.97,-0.06,0,
2759569,0,-0.97,-0.06,0,
2759571,0,-0.97,-0.06,0,
2759572,0,-0.97,-0.06,0,
2759574,0,-0.97,-0.06,0,
2759576,0,-0.97,-0.06,-0.01,
2759577,0,-0.97,-0.06,-0.01,
2759579,0,-0.97,-0.06,-0.01,
2759581,0,-0.97,-0.06,-0.01,
2759582,0,-0.97,-0.06,-0.01,
2759584,0,-0.97,-0.06,-0.01,
2759586,0,-0.98,-0.07,-0.01,
2759587,0,-0.98,-0.07,-0.01,
2759589,0,-0.98,-0.07,-0.01,
2759591,0,-0.98,-0.07,-0.01,
2759592,0,-0.98,-0.07,-0.01,
2759594,0,-0.98,-0.07,-0.01,
2759596,0,-0.98,-0.08,-0.01,
2759597,0,-0.98,-0.08,-0.01,
2759599,0,-0.98,-0.08,-0.01,
2759601,0,-0.98,-0.08,-0.01,
2759603,0,-0.98,-0.08,-0.01,
2759604,0,-0.98,-0.08,-0.01,
2759606,0,-0.98,-0.07,0,
2759608,0,-0.98,-0.07,0,
