t,l,x,y,z
10719355,0,-0.95,-0.14,-0.04
10719357,0,-0.95,-0.14,-0.04
10719359,0,-0.95,-0.14,-0.04
10719360,0,-0.95,-0.14,-0.04
10719362,0,-0.95,-0.14,-0.04
10719364,0,-0.95,-0.14,-0.04
10719365,0,-0.96,-0.13,-0.03
10719367,0,-0.96,-0.13,-0.03
10719369,0,-0.96,-0.13,-0.03
10719371,0,-0.96,-0.13,-0.03
10719372,0,-0.96,-0.13,-0.03
10719374,0,-0.96,-0.13,-0.03
10719376,0,-0.97,-0.12,-0.03
10719377,0,-0.97,-0.12,-0.03
10719379,0,-0.97,-0.12,-0.03
10719381,0,-0.97,-0.12,-0.03
10719382,0,-0.97,-0.12,-0.03
10719384,0,-0.97,-0.12,-0.03
10719386,0,-0.98,-0.12,-0.03
10719387,0,-0.98,-0.12,-0.03
10719389,0,-0.98,-0.12,-0.03
10719391,0,-0.98,-0.12,-0.03
10719392,0,-0.98,-0.12,-0.03
10719394,0,-0.98,-0.12,-0.02
10719396,0,-0.97,-0.13,-0.02
10719398,0,-0.97,-0.13,-0.02
10719399,0,-0.97,-0.13,-0.02
10719401,0,-0.97,-0.13,-0.02
10719403,0,-0.97,-0.13,-0.02
10719404,0,-0.97,-0.13,-0.02
10719406,0,-0.97,-0.13,-0.02
10719408,0,-0.97,-0.13,-0.02
10719409,0,-0.97,-0.13,-0.02
10719411,0,-0.97,-0.13,-0.02
10719413,0,-0.97,-0.13,-0.02
10719414,0,-0.97,-0.13,-0.03
10719416,0,-0.97,-0.13,-0.03
10719418,0,-0.97,-0.13,-0.03
10719419,0,-0.97,-0.13,-0.03
10719421,0,-0.97,-0.13,-0.03
10719423,0,-0.97,-0.13,-0.03
10719425,0,-0.97,-0.13,-0.03
10719426,0,-0.97,-0.13,-0.03
10719428,0,-0.97,-0.13,-0.03
10719430,0,-0.97,-0.13,-0.03
10719431,0,-0.97,-0.13,-0.03
10719433,0,-0.97,-0.13,-0.03
10719435,0,-0.97,-0.12,-0.04
10719436,0,-0.97,-0.12,-0.04
10719438,0,-0.97,-0.12,-0.04
10719440,0,-0.97,-0.12,-0.04
10719441,0,-0.97,-0.12,-0.04
10719443,0,-0.97,-0.13,-0.04
10719445,0,-0.97,-0.13,-0.04
10719446,0,-0.97,-0.13,-0.04
10719448,0,-0.97,-0.13,-0.04
10719450,0,-0.97,-0.13,-0.04
10719451,0,-0.97,-0.13,-0.04
10719453,0,-0.96,-0.13,-0.04
10719455,0,-0.96,-0.13,-0.04
10719456,0,-0.96,-0.13,-0.04
10719458,0,-0.96,-0.13,-0.04
10719460,0,-0.96,-0.13,-0.04
10719462,0,-0.96,-0.13,-0.04
10719463,0,-0.95,-0.14,-0.03
10719465,0,-0.95,-0.14,-0.03
10719467,0,-0.95,-0.14,-0.03
10719468,0,-0.95,-0.14,-0.03
10719470,0,-0.95,-0.14,-0.03
10719472,0,-0.95,-0.14,-0.03
10719473,0,-0.98,-0.16,-0.02
10719475,0,-0.98,-0.16,-0.02
10719477,0,-0.98,-0.16,-0.02
10719478,0,-0.98,-0.16,-0.02
10719480,0,-0.98,-0.16,-0.02
10719482,0,-0.98,-0.16,-0.02
10719483,0,-0.96,-0.16,-0.01
10719485,0,-0.96,-0.16,-0.01
10719487,0,-0.96,-0.16,-0.01
10719488,0,-0.96,-0.16,-0.01
10719490,0,-0.96,-0.16,-0.01
10719492,0,-0.96,-0.16,-0.01
10719493,0,-0.97,-0.15,-0.01
10719495,0,-0.97,-0.15,-0.01
10719497,0,-0.97,-0.15,-0.01
10719498,0,-0.97,-0.15,-0.01
10719500,0,-0.97,-0.15,-0.01
10719502,0,-0.97,-0.15,-0.01
10719503,0,-0.97,-0.15,-0.01
10719505,0,-0.97,-0.15,-0.01
10719507,0,-0.97,-0.15,-0.01
10719508,0,-0.97,-0.15,-0.01
10719510,0,-0.97,-0.15,-0.01
10719512,0,-0.98,-0.15,-0.01
10719513,0,-0.98,-0.15,-0.01
10719515,0,-0.98,-0.15,-0.01
10719517,0,-0.98,-0.15,-0.01
10719518,0,-0.98,-0.15,-0.01
10719520,0,-0.98,-0.15,-0.01
10719522,0,-0.97,-0.15,-0.01
10719523,0,-0.97,-0.15,-0.01
10719525,0,-0.97,-0.15,-0.01
10719527,0,-0.97,-0.15,-0.01
10719528,0,-0.97,-0.15,-0.01
10719530,0,-0.97,-0.15,-0.01
10719532,0,-0.96,-0.15,-0.02
10719534,0,-0.96,-0.15,-0.02
10719535,0,-0.96,-0.15,-0.02
10719537,0,-0.96,-0.15,-0.02
10719539,0,-0.96,-0.15,-0.02
10719540,0,-0.96,-0.15,-0.02
10719542,0,-0.96,-0.14,-0.02
10719544,0,-0.96,-0.14,-0.02
10719545,0,-0.96,-0.14,-0.02
10719547,0,-0.96,-0.14,-0.02
10719549,0,-0.96,-0.14,-0.02
10719550,0,-0.96,-0.14,-0.02
10719552,0,-0.96,-0.13,-0.03
10719554,0,-0.96,-0.13,-0.03
10719555,0,-0.96,-0.13,-0.03
10719557,0,-0.96,-0.13,-0.03
10719559,0,-0.96,-0.13,-0.03
10719560,0,-0.96,-0.13,-0.04
10719562,0,-0.97,-0.13,-0.04
10719564,0,-0.97,-0.13,-0.04
10719565,0,-0.97,-0.13,-0.04
10719567,0,-0.97,-0.13,-0.04
10719569,0,-0.97,-0.13,-0.04
10719570,0,-0.97,-0.12,-0.05
10719572,0,-0.97,-0.12,-0.05
10719574,0,-0.97,-0.12,-0.05
10719575,0,-0.97,-0.12,-0.05
10719577,0,-0.97,-0.12,-0.05
10719579,0,-0.97,-0.12,-0.05
10719580,0,-0.96,-0.13,-0.05
10719582,0,-0.96,-0.13,-0.05
10719584,0,-0.96,-0.13,-0.05
10719585,0,-0.96,-0.13,-0.05
10719587,0,-0.96,-0.13,-0.05
10719589,0,-0.96,-0.13,-0.05
10719590,0,-0.95,-0.14,-0.04
10719592,0,-0.95,-0.14,-0.04
10719594,0,-0.95,-0.14,-0.04
10719595,0,-0.95,-0.14,-0.04
10719597,0,-0.95,-0.14,-0.04
10719599,0,-0.95,-0.14,-0.04
10719600,0,-0.95,-0.15,-0.03
10719602,0,-0.95,-0.15,-0.03
10719604,0,-0.95,-0.15,-0.03
10719605,0,-0.95,-0.15,-0.03
10719607,0,-0.95,-0.15,-0.03
10719609,0,-0.95,-0.15,-0.03
10719610,0,-0.97,-0.15,-0.02
10719612,0,-0.97,-0.15,-0.02
10719614,0,-0.97,-0.15,-0.02
10719615,0,-0.97,-0.15,-0.02
10719617,0,-0.97,-0.15,-0.02
10719619,0,-0.97,-0.15,-0.01
10719620,0,-0.98,-0.14,-0.01
10719622,0,-0.98,-0.14,-0.01
10719624,0,-0.98,-0.14,-0.01
10719625,0,-0.98,-0.14,-0.01
10719627,0,-0.98,-0.14,-0.01
10719629,0,-0.98,-0.15,0.00
10719630,0,-0.99,-0.15,0.00
10719632,0,-0.99,-0.15,0.00
10719634,0,-0.99,-0.15,0.00
10719635,0,-0.99,-0.15,0.00
10719637,0,-0.99,-0.15,0.00
10719639,0,-0.98,-0.15,-0.00
10719640,0,-0.98,-0.15,-0.00
10719642,0,-0.98,-0.15,-0.00
10719644,0,-0.98,-0.15,-0.00
10719646,0,-0.98,-0.15,-0.00
10719647,0,-0.98,-0.15,-0.00
10719649,0,-0.97,-0.15,-0.02
10719651,0,-0.97,-0.15,-0.02
10719652,0,-0.97,-0.15,-0.02
10719654,0,-0.97,-0.15,-0.02
10719656,0,-0.97,-0.15,-0.02
10719657,0,-0.97,-0.15,-0.02
10719659,0,-0.96,-0.15,-0.03
10719661,0,-0.96,-0.15,-0.03
10719662,0,-0.96,-0.15,-0.03
10719664,0,-0.96,-0.15,-0.03
10719666,0,-0.96,-0.15,-0.03
10719667,0,-0.96,-0.15,-0.03
10719669,0,-0.96,-0.16,-0.03
10719671,0,-0.96,-0.16,-0.03
10719672,0,-0.96,-0.16,-0.03
10719674,0,-0.96,-0.16,-0.03
10719676,0,-0.96,-0.16,-0.03
10719677,0,-0.96,-0.16,-0.03
10719679,0,-0.96,-0.15,-0.03
10719681,0,-0.96,-0.15,-0.03
10719683,0,-0.96,-0.15,-0.03
10719684,0,-0.96,-0.15,-0.03
10719686,0,-0.96,-0.15,-0.03
10719688,0,-0.96,-0.15,-0.03
10719689,0,-0.96,-0.15,-0.03
10719691,0,-0.96,-0.15,-0.03
10719693,0,-0.96,-0.15,-0.03
10719694,0,-0.96,-0.15,-0.03
10719696,0,-0.96,-0.15,-0.03
10719698,0,-0.97,-0.15,-0.02
10719699,0,-0.97,-0.15,-0.02
10719701,0,-0.97,-0.15,-0.02
10719703,0,-0.97,-0.15,-0.02
10719704,0,-0.97,-0.15,-0.02
10719706,0,-0.97,-0.15,-0.02
10719708,0,-0.97,-0.14,-0.02
10719709,0,-0.97,-0.14,-0.02
10719711,0,-0.97,-0.14,-0.02
10719713,0,-0.97,-0.14,-0.02
10719714,0,-0.97,-0.14,-0.02
10719716,0,-0.97,-0.14,-0.02
10719718,0,-0.96,-0.14,-0.03
10719720,0,-0.96,-0.14,-0.03
10719721,0,-0.96,-0.14,-0.03
10719723,0,-0.96,-0.14,-0.03
10719725,0,-0.96,-0.14,-0.03
10719726,0,-0.96,-0.14,-0.03
10719728,0,-0.96,-0.14,-0.03
10719730,0,-0.96,-0.14,-0.03
10719731,0,-0.96,-0.14,-0.03
10719733,0,-0.96,-0.14,-0.03
10719735,0,-0.96,-0.14,-0.03
10719737,0,-0.96,-0.15,-0.01
10719738,0,-0.96,-0.15,-0.01
10719740,0,-0.96,-0.15,-0.01
10719742,0,-0.96,-0.15,-0.01
10719743,0,-0.96,-0.15,-0.01
10719745,0,-0.96,-0.15,-0.01
10719747,0,-0.96,-0.17,0.00
10719748,0,-0.96,-0.17,0.00
10719750,0,-0.96,-0.17,0.00
10719752,0,-0.96,-0.17,0.00
10719753,0,-0.96,-0.17,0.00
10719755,0,-0.96,-0.17,0.00
10719757,0,-0.97,-0.18,0.01
10719758,0,-0.97,-0.18,0.01
10719760,0,-0.97,-0.18,0.01
10719762,0,-0.97,-0.18,0.01
10719763,0,-0.97,-0.18,0.01
10719765,0,-0.97,-0.18,0.01
10719767,0,-0.98,-0.17,-0.00
10719768,0,-0.98,-0.17,-0.00
10719770,0,-0.98,-0.17,-0.00
10719772,0,-0.98,-0.17,-0.00
10719773,0,-0.98,-0.17,-0.00
10719775,0,-0.98,-0.17,-0.02
10719777,0,-0.97,-0.16,-0.02
10719779,0,-0.97,-0.16,-0.02
10719780,0,-0.97,-0.16,-0.02
10719782,0,-0.97,-0.16,-0.02
10719784,0,-0.97,-0.16,-0.02
10719785,0,-0.96,-0.15,-0.02
10719787,0,-0.96,-0.15,-0.02
10719789,0,-0.96,-0.15,-0.02
10719790,0,-0.96,-0.15,-0.02
10719792,0,-0.96,-0.15,-0.02
10719794,0,-0.96,-0.15,-0.02
10719795,0,-0.96,-0.15,-0.03
10719797,0,-0.96,-0.15,-0.03
10719799,0,-0.96,-0.15,-0.03
10719800,0,-0.96,-0.15,-0.03
10719802,0,-0.96,-0.15,-0.03
10719804,0,-0.96,-0.15,-0.03
10719805,0,-0.96,-0.15,-0.03
10719807,0,-0.96,-0.15,-0.03
10719809,0,-0.96,-0.15,-0.03
10719811,0,-0.96,-0.15,-0.03
10719812,0,-0.96,-0.15,-0.03
10719814,0,-0.96,-0.15,-0.03
10719816,0,-0.97,-0.15,-0.02
10719817,0,-0.97,-0.15,-0.02
10719819,0,-0.97,-0.15,-0.02
10719821,0,-0.97,-0.15,-0.02
10719822,0,-0.97,-0.15,-0.02
10719824,0,-0.97,-0.16,-0.02
10719826,0,-0.96,-0.16,-0.02
10719827,0,-0.96,-0.16,-0.02
10719829,0,-0.96,-0.16,-0.02
10719831,0,-0.96,-0.16,-0.02
10719832,0,-0.96,-0.16,-0.02
10719834,0,-0.97,-0.17,-0.02
10719836,0,-0.97,-0.17,-0.02
10719837,0,-0.97,-0.17,-0.02
10719839,0,-0.97,-0.17,-0.02
10719841,0,-0.97,-0.17,-0.02
10719842,0,-0.97,-0.17,-0.02
10719844,0,-0.96,-0.17,-0.02
10719846,0,-0.96,-0.17,-0.02
10719847,0,-0.96,-0.17,-0.02
10719849,0,-0.96,-0.17,-0.02
10719851,0,-0.96,-0.17,-0.02
10719853,0,-0.96,-0.17,-0.02
10719854,0,-0.96,-0.17,-0.01
10719856,0,-0.96,-0.17,-0.01
10719858,0,-0.96,-0.17,-0.01
10719859,0,-0.96,-0.17,-0.01
10719861,0,-0.96,-0.17,-0.01
10719863,0,-0.96,-0.17,-0.01
10719864,0,-0.97,-0.17,-0.01
10719866,0,-0.97,-0.17,-0.01
10719868,0,-0.97,-0.17,-0.01
10719869,0,-0.97,-0.17,-0.01
10719871,0,-0.97,-0.17,-0.01
10719873,0,-0.97,-0.17,-0.02
10719874,0,-0.97,-0.17,-0.02
10719876,0,-0.97,-0.17,-0.02
10719878,0,-0.97,-0.17,-0.02
10719879,0,-0.97,-0.17,-0.02
10719881,0,-0.97,-0.17,-0.02
10719883,0,-0.95,-0.17,-0.03
10719885,0,-0.95,-0.17,-0.03
10719886,0,-0.95,-0.17,-0.03
10719888,0,-0.95,-0.17,-0.03
10719890,0,-0.95,-0.17,-0.03
10719891,0,-0.95,-0.17,-0.03
10719893,0,-0.95,-0.16,-0.03
10719895,0,-0.95,-0.16,-0.03
10719896,0,-0.95,-0.16,-0.03
10719898,0,-0.95,-0.16,-0.03
10719900,0,-0.95,-0.16,-0.03
10719901,0,-0.95,-0.16,-0.03
10719903,0,-0.96,-0.16,-0.03
10719905,0,-0.96,-0.16,-0.03
10719906,0,-0.96,-0.16,-0.03
10719908,0,-0.96,-0.16,-0.03
10719910,0,-0.96,-0.16,-0.03
10719911,0,-0.96,-0.16,-0.03
10719913,0,-0.97,-0.16,-0.03
10719915,0,-0.97,-0.16,-0.03
10719916,0,-0.97,-0.16,-0.03
10719918,0,-0.97,-0.16,-0.03
10719920,0,-0.97,-0.16,-0.03
10719922,0,-0.97,-0.16,-0.03
10719923,0,-0.96,-0.15,-0.03
10719925,0,-0.96,-0.15,-0.03
10719927,0,-0.96,-0.15,-0.03
10719928,0,-0.96,-0.15,-0.03
10719930,0,-0.96,-0.15,-0.03
10719932,0,-0.96,-0.15,-0.03
10719933,0,-0.96,-0.15,-0.03
10719935,0,-0.96,-0.15,-0.03
10719937,0,-0.96,-0.15,-0.03
10719938,0,-0.96,-0.15,-0.03
10719940,0,-0.96,-0.15,-0.03
10719942,0,-0.96,-0.16,-0.02
10719943,0,-0.96,-0.16,-0.02
