t,l,x,y,z
14871682,0,-0.98,0.03,-0.00
14871684,0,-0.98,0.03,-0.00
14871686,0,-0.99,0.03,-0.00
14871687,0,-0.99,0.03,-0.00
14871689,0,-0.99,0.03,-0.00
14871691,0,-0.99,0.03,-0.00
14871692,0,-0.99,0.03,-0.00
14871694,0,-0.99,0.02,-0.00
14871696,0,-0.98,0.02,-0.00
14871697,0,-0.98,0.02,-0.00
14871699,0,-0.98,0.02,-0.00
14871701,0,-0.98,0.02,-0.00
14871702,0,-0.98,0.02,-0.00
14871704,0,-0.98,0.02,-0.01
14871706,0,-0.98,0.02,-0.01
14871707,0,-0.98,0.02,-0.01
14871709,0,-0.98,0.02,-0.01
14871711,0,-0.98,0.02,-0.01
14871712,0,-0.98,0.02,-0.01
14871714,0,-0.98,0.02,-0.00
14871716,0,-0.98,0.02,-0.00
14871717,0,-0.98,0.02,-0.00
14871719,0,-0.98,0.02,-0.00
14871721,0,-0.98,0.02,-0.00
14871722,0,-0.98,0.02,-0.00
14871724,0,-0.98,0.02,0.00
14871726,0,-0.98,0.02,0.00
14871728,0,-0.98,0.02,0.00
14871729,0,-0.98,0.02,0.00
14871731,0,-0.98,0.02,0.00
14871733,0,-0.98,0.02,0.00
14871734,0,-0.98,0.03,-0.00
14871736,0,-0.98,0.03,-0.00
14871738,0,-0.98,0.03,-0.00
14871739,0,-0.98,0.03,-0.00
14871741,0,-0.98,0.03,-0.00
14871743,0,-0.98,0.03,-0.00
14871744,0,-0.97,0.02,-0.00
14871746,0,-0.97,0.02,-0.00
14871748,0,-0.97,0.02,-0.00
14871749,0,-0.97,0.02,-0.00
14871751,0,-0.97,0.02,-0.00
14871753,0,-0.97,0.02,-0.01
14871754,0,-0.98,0.02,-0.01
14871756,0,-0.98,0.02,-0.01
14871758,0,-0.98,0.02,-0.01
14871759,0,-0.98,0.02,-0.01
14871761,0,-0.98,0.02,-0.01
14871763,0,-0.98,0.02,-0.01
14871764,0,-0.98,0.02,-0.01
14871766,0,-0.98,0.02,-0.01
14871768,0,-0.98,0.02,-0.01
14871769,0,-0.98,0.02,-0.01
14871771,0,-0.98,0.02,-0.01
14871773,0,-0.98,0.02,-0.00
14871774,0,-0.98,0.02,-0.00
14871776,0,-0.98,0.02,-0.00
14871778,0,-0.98,0.02,-0.00
14871779,0,-0.98,0.02,-0.00
14871781,0,-0.98,0.02,-0.00
14871783,0,-0.98,0.02,-0.00
14871784,0,-0.98,0.02,-0.00
14871786,0,-0.98,0.02,-0.00
14871788,0,-0.98,0.02,-0.00
14871789,0,-0.98,0.02,-0.00
14871791,0,-0.98,0.02,-0.00
14871793,0,-0.98,0.02,0.00
14871794,0,-0.98,0.02,0.00
14871796,0,-0.98,0.02,0.00
14871798,0,-0.98,0.02,0.00
14871799,0,-0.98,0.02,0.00
14871801,0,-0.98,0.02,0.00
14871803,0,-0.98,0.02,0.01
14871804,0,-0.98,0.02,0.01
14871806,0,-0.98,0.02,0.01
14871808,0,-0.98,0.02,0.01
14871809,0,-0.98,0.02,0.01
14871811,0,-0.98,0.02,0.01
14871813,0,-0.98,0.02,0.00
14871814,0,-0.98,0.02,0.00
14871816,0,-0.98,0.02,0.00
14871818,0,-0.98,0.02,0.00
14871819,0,-0.98,0.02,0.00
14871821,0,-0.98,0.02,0.00
14871823,0,-0.98,0.02,0.00
14871824,0,-0.98,0.02,0.00
14871826,0,-0.98,0.02,0.00
14871828,0,-0.98,0.02,0.00
14871829,0,-0.98,0.02,0.00
14871831,0,-0.98,0.02,-0.00
14871833,0,-0.98,0.02,-0.00
14871834,0,-0.98,0.02,-0.00
14871836,0,-0.98,0.02,-0.00
14871838,0,-0.98,0.02,-0.00
14871839,0,-0.98,0.02,-0.00
14871841,0,-0.97,0.03,-0.00
14871843,0,-0.97,0.03,-0.00
14871844,0,-0.97,0.03,-0.00
14871846,0,-0.97,0.03,-0.00
14871848,0,-0.97,0.03,-0.00
14871849,0,-0.97,0.03,-0.00
14871851,0,-0.98,0.03,0.00
14871853,0,-0.98,0.03,0.00
14871854,0,-0.98,0.03,0.00
14871856,0,-0.98,0.03,0.00
14871858,0,-0.98,0.03,0.00
14871859,0,-0.98,0.03,0.00
14871861,0,-0.98,0.02,-0.00
14871862,0,-0.98,0.02,-0.00
14871864,0,-0.98,0.02,-0.00
14871866,0,-0.98,0.02,-0.00
14871867,0,-0.98,0.02,-0.00
14871869,0,-0.98,0.02,-0.00
14871871,0,-0.98,0.02,-0.00
14871872,0,-0.98,0.02,-0.00
14871874,0,-0.98,0.02,-0.00
14871876,0,-0.98,0.02,-0.00
14871877,0,-0.98,0.02,-0.00
14871879,0,-0.98,0.02,-0.00
14871881,0,-0.98,0.03,-0.00
14871882,0,-0.98,0.03,-0.00
14871884,0,-0.98,0.03,-0.00
14871886,0,-0.98,0.03,-0.00
14871887,0,-0.98,0.03,-0.00
14871889,0,-0.98,0.03,-0.00
14871891,0,-0.98,0.02,-0.00
14871892,0,-0.98,0.02,-0.00
14871894,0,-0.98,0.02,-0.00
14871896,0,-0.98,0.02,-0.00
14871897,0,-0.98,0.02,-0.00
14871899,0,-0.98,0.02,-0.01
14871901,0,-0.97,0.02,-0.01
14871902,0,-0.97,0.02,-0.01
14871904,0,-0.97,0.02,-0.01
14871906,0,-0.97,0.02,-0.01
14871907,0,-0.97,0.02,-0.01
14871909,0,-0.98,0.02,-0.01
14871911,0,-0.98,0.02,-0.01
14871912,0,-0.98,0.02,-0.01
14871914,0,-0.98,0.02,-0.01
14871916,0,-0.98,0.02,-0.01
14871917,0,-0.98,0.02,-0.01
14871919,0,-0.98,0.02,-0.01
14871921,0,-0.98,0.02,-0.01
14871922,0,-0.98,0.02,-0.01
14871924,0,-0.98,0.02,-0.01
14871926,0,-0.98,0.02,-0.01
14871927,0,-0.98,0.02,-0.01
14871929,0,-0.99,0.02,-0.00
14871931,0,-0.99,0.02,-0.00
14871932,0,-0.99,0.02,-0.00
14871934,0,-0.99,0.02,-0.00
14871936,0,-0.99,0.02,-0.00
14871937,0,-0.99,0.02,-0.00
14871939,0,-0.99,0.02,0.00
14871941,0,-0.99,0.02,0.00
14871942,0,-0.99,0.02,0.00
14871944,0,-0.99,0.02,0.00
14871946,0,-0.99,0.02,0.00
14871947,0,-0.99,0.02,0.00
14871949,0,-0.98,0.02,0.00
14871951,0,-0.98,0.02,0.00
14871952,0,-0.98,0.02,0.00
14871954,0,-0.98,0.02,0.00
14871956,0,-0.98,0.02,0.00
14871957,0,-0.98,0.02,0.00
14871959,0,-0.98,0.02,0.01
14871961,0,-0.98,0.02,0.01
14871962,0,-0.98,0.02,0.01
14871964,0,-0.98,0.02,0.01
14871966,0,-0.98,0.02,0.01
14871967,0,-0.98,0.02,0.01
14871969,0,-0.99,0.03,0.01
14871971,0,-0.99,0.03,0.01
14871972,0,-0.99,0.03,0.01
14871974,0,-0.99,0.03,0.01
14871976,0,-0.99,0.03,0.01
14871977,0,-0.99,0.02,0.00
14871979,0,-0.99,0.02,0.00
14871981,0,-0.99,0.02,0.00
14871982,0,-0.99,0.02,0.00
14871984,0,-0.99,0.02,0.00
14871986,0,-0.99,0.02,0.00
14871987,0,-0.98,0.01,-0.00
14871989,0,-0.98,0.01,-0.00
14871991,0,-0.98,0.01,-0.00
14871992,0,-0.98,0.01,-0.00
14871994,0,-0.98,0.01,-0.00
