t,l,x,y,z
4089683,0,-0.97,0.17,-0.05
4089685,0,-0.97,0.17,-0.05
4089687,0,-0.97,0.17,-0.05
4089688,0,-0.97,0.17,-0.05
4089690,0,-0.97,0.17,-0.05
4089692,0,-0.97,0.17,-0.05
4089693,0,-0.97,0.17,-0.05
4089695,0,-0.97,0.17,-0.05
4089697,0,-0.97,0.17,-0.05
4089698,0,-0.96,0.17,-0.05
4089700,0,-0.96,0.17,-0.05
4089702,0,-0.96,0.17,-0.05
4089703,0,-0.96,0.17,-0.05
4089705,0,-0.96,0.17,-0.05
4089707,0,-0.97,0.17,-0.05
4089708,0,-0.97,0.17,-0.05
4089710,0,-0.97,0.17,-0.05
4089712,0,-0.97,0.17,-0.05
4089713,0,-0.97,0.17,-0.05
4089715,0,-0.97,0.17,-0.05
4089717,0,-0.97,0.17,-0.05
4089718,0,-0.97,0.17,-0.05
4089720,0,-0.97,0.17,-0.05
4089722,0,-0.97,0.17,-0.05
4089723,0,-0.97,0.17,-0.05
4089725,0,-0.97,0.17,-0.05
4089727,0,-0.97,0.17,-0.05
4089728,0,-0.97,0.17,-0.05
4089730,0,-0.97,0.17,-0.05
4089732,0,-0.97,0.17,-0.05
4089733,0,-0.97,0.17,-0.05
4089735,0,-0.97,0.17,-0.05
4089737,0,-0.97,0.17,-0.04
4089738,0,-0.97,0.17,-0.04
4089740,0,-0.97,0.17,-0.04
4089742,0,-0.97,0.17,-0.04
4089743,0,-0.97,0.17,-0.04
4089745,0,-0.97,0.17,-0.04
4089747,0,-0.97,0.17,-0.04
4089749,0,-0.97,0.17,-0.04
4089750,0,-0.97,0.17,-0.04
4089752,0,-0.97,0.17,-0.04
4089754,0,-0.97,0.17,-0.04
4089755,0,-0.97,0.17,-0.04
4089757,0,-0.97,0.17,-0.04
4089759,0,-0.97,0.17,-0.04
4089760,0,-0.97,0.17,-0.04
4089762,0,-0.97,0.17,-0.04
4089764,0,-0.97,0.17,-0.04
4089765,0,-0.97,0.17,-0.04
4089767,0,-0.97,0.17,-0.04
