t,l,x,y,z
11039222,1,-0.98,-0.01,0.02
11039224,1,-0.98,-0.01,0.02
11039226,1,-0.98,-0.01,0.02
11039227,1,-0.98,-0.01,0.02
11039229,1,-0.98,-0.02,0.01
11039231,1,-0.98,-0.02,0.01
11039232,1,-0.98,-0.02,0.01
11039234,1,-0.98,-0.02,0.01
11039236,1,-0.98,-0.02,0.01
11039237,1,-0.98,-0.02,0.02
11039239,1,-0.98,-0.02,0.02
11039241,1,-0.98,-0.02,0.02
11039242,1,-0.98,-0.02,0.02
11039244,1,-0.98,-0.02,0.02
11039246,1,-0.98,-0.02,0.02
11039247,1,-0.98,-0.02,0.02
11039249,1,-0.98,-0.02,0.02
11039251,1,-0.98,-0.02,0.02
11039252,1,-0.98,-0.02,0.02
11039254,1,-0.98,-0.02,0.02
11039256,1,-0.98,-0.02,0.02
11039257,1,-0.98,-0.02,0.02
11039259,1,-0.98,-0.02,0.02
11039261,1,-0.98,-0.02,0.02
11039262,1,-0.98,-0.02,0.02
11039264,1,-0.98,-0.02,0.02
11039266,1,-0.98,-0.02,0.02
11039267,1,-0.98,-0.02,0.02
11039269,1,-0.98,-0.02,0.02
11039271,1,-0.98,-0.02,0.02
11039272,1,-0.98,-0.02,0.02
11039274,1,-0.98,-0.02,0.02
11039276,1,-0.98,-0.02,0.02
11039277,1,-0.98,-0.02,0.02
11039279,1,-0.98,-0.02,0.02
11039281,1,-0.98,-0.02,0.02
11039282,1,-0.98,-0.02,0.02
11039284,1,-0.98,-0.02,0.02
11039286,1,-0.98,-0.02,0.02
11039287,1,-0.98,-0.02,0.02
11039289,1,-0.98,-0.02,0.02
11039291,1,-0.98,-0.02,0.02
11039292,1,-0.98,-0.02,0.02
11039294,1,-0.98,-0.02,0.02
11039296,1,-0.98,-0.02,0.02
11039297,1,-0.98,-0.02,0.02
11039299,1,-0.98,-0.02,0.02
11039301,1,-0.98,-0.02,0.02
11039302,1,-0.98,-0.02,0.02
11039304,1,-0.98,-0.02,0.02
11039306,1,-0.98,-0.02,0.02
11039307,1,-0.98,-0.02,0.02
11039309,1,-0.98,-0.02,0.02
11039311,1,-0.98,-0.02,0.02
11039312,1,-0.98,-0.02,0.02
11039314,1,-0.98,-0.02,0.02
11039316,1,-0.98,-0.02,0.02
11039317,1,-0.98,-0.02,0.02
11039319,1,-0.98,-0.02,0.02
11039321,1,-0.98,-0.02,0.02
11039322,1,-0.98,-0.02,0.02
11039324,1,-0.98,-0.02,0.02
11039326,1,-0.98,-0.02,0.02
11039327,1,-0.98,-0.02,0.02
11039329,1,-0.98,-0.02,0.02
