t,l,x,y,z
5667606,1,-1.13,-0.25,-0.38
5667608,1,-1.13,-0.19,-0.45
5667610,1,-1.06,-0.19,-0.45
5667611,1,-1.06,-0.19,-0.45
5667613,1,-1.06,-0.19,-0.45
5667615,1,-1.06,-0.19,-0.45
5667617,1,-1.06,-0.19,-0.45
5667618,1,-0.95,-0.13,-0.43
5667620,1,-0.95,-0.13,-0.43
5667622,1,-0.95,-0.13,-0.43
5667623,1,-0.95,-0.13,-0.43
5667625,1,-0.95,-0.13,-0.43
5667627,1,-0.95,-0.13,-0.43
5667628,1,-0.94,-0.13,-0.42
5667630,1,-0.94,-0.13,-0.42
5667632,1,-0.94,-0.13,-0.42
5667633,1,-0.94,-0.13,-0.42
5667635,1,-0.94,-0.13,-0.42
5667637,1,-0.94,-0.13,-0.42
5667639,1,-0.89,-0.13,-0.37
5667640,1,-0.89,-0.13,-0.37
5667642,1,-0.89,-0.13,-0.37
5667644,1,-0.89,-0.13,-0.37
5667645,1,-0.89,-0.13,-0.37
5667647,1,-0.89,-0.01,-0.26
5667649,1,-0.85,-0.08,-0.26
5667650,1,-0.85,-0.08,-0.26
5667652,1,-0.85,-0.08,-0.26
5667654,1,-0.85,-0.08,-0.26
5667655,1,-0.85,-0.08,-0.26
5667657,1,-0.83,-0.05,-0.10
5667659,1,-0.83,-0.05,-0.10
5667660,1,-0.83,-0.05,-0.10
5667662,1,-0.83,-0.05,-0.10
5667664,1,-0.83,-0.05,-0.10
5667666,1,-0.83,-0.05,-0.10
5667667,1,-0.82,-0.06,0.06
5667669,1,-0.82,-0.06,0.06
5667671,1,-0.82,-0.06,0.06
5667672,1,-0.82,-0.06,0.06
5667674,1,-0.82,-0.06,0.06
5667676,1,-0.82,-0.06,0.06
5667677,1,-0.83,-0.12,0.17
5667679,1,-0.83,-0.12,0.17
5667681,1,-0.83,-0.12,0.17
5667682,1,-0.83,-0.12,0.17
5667684,1,-0.83,-0.12,0.17
5667686,1,-0.83,-0.12,0.17
5667687,1,-0.89,-0.15,0.17
5667689,1,-0.89,-0.15,0.17
5667691,1,-0.89,-0.15,0.17
5667692,1,-0.89,-0.15,0.17
5667694,1,-0.89,-0.15,0.17
5667696,1,-0.89,-0.15,0.17
5667700,1,-0.91,-0.15,0.17
5667702,1,-0.91,-0.15,0.17
5667704,1,-0.91,-0.15,0.17
5667705,1,-0.91,-0.15,0.17
5667707,1,-0.97,-0.19,0.12
5667709,1,-0.97,-0.19,0.12
5667710,1,-0.97,-0.19,0.12
5667712,1,-0.97,-0.19,0.12
5667714,1,-0.97,-0.19,0.12
5667716,1,-1.10,-0.22,0.05
5667717,1,-1.07,-0.22,0.05
5667719,1,-1.07,-0.22,0.05
5667721,1,-1.07,-0.22,0.05
5667722,1,-1.07,-0.22,0.05
5667724,1,-1.07,-0.22,0.05
5667726,1,-1.17,-0.22,-0.02
5667727,1,-1.17,-0.22,-0.02
5667729,1,-1.17,-0.22,-0.02
5667731,1,-1.17,-0.22,-0.02
5667732,1,-1.17,-0.22,-0.02
5667734,1,-1.17,-0.22,-0.02
5667736,1,-1.22,-0.23,-0.08
5667737,1,-1.22,-0.23,-0.08
5667739,1,-1.22,-0.23,-0.08
5667741,1,-1.22,-0.23,-0.08
5667742,1,-1.22,-0.23,-0.08
5667744,1,-1.22,-0.23,-0.08
5667746,1,-1.20,-0.22,-0.15
5667747,1,-1.20,-0.22,-0.15
5667749,1,-1.20,-0.22,-0.15
5667751,1,-1.20,-0.22,-0.15
5667752,1,-1.20,-0.22,-0.15
5667754,1,-1.20,-0.22,-0.15
5667756,1,-1.06,-0.25,-0.18
5667757,1,-1.06,-0.25,-0.18
5667759,1,-1.06,-0.25,-0.18
5667761,1,-1.06,-0.25,-0.18
5667762,1,-1.06,-0.25,-0.18
5667764,1,-1.06,-0.25,-0.18
5667766,1,-0.99,-0.15,-0.20
5667767,1,-0.99,-0.15,-0.20
5667769,1,-0.99,-0.15,-0.20
5667771,1,-0.99,-0.15,-0.20
5667772,1,-0.99,-0.15,-0.20
5667774,1,-0.99,-0.10,-0.21
5667776,1,-0.90,-0.10,-0.21
5667778,1,-0.90,-0.10,-0.21
5667779,1,-0.90,-0.10,-0.21
5667781,1,-0.90,-0.10,-0.21
5667783,1,-0.90,-0.10,-0.21
5667784,1,-0.86,-0.09,-0.22
5667786,1,-0.86,-0.09,-0.22
5667788,1,-0.86,-0.09,-0.22
5667790,1,-0.86,-0.09,-0.22
5667791,1,-0.86,-0.09,-0.22
5667793,1,-0.86,-0.09,-0.22
5667795,1,-0.86,-0.07,-0.26
5667796,1,-0.86,-0.07,-0.26
5667798,1,-0.86,-0.07,-0.26
5667800,1,-0.86,-0.07,-0.26
5667801,1,-0.86,-0.07,-0.26
5667803,1,-0.86,-0.07,-0.26
5667805,1,-0.88,-0.08,-0.26
5667806,1,-0.88,-0.08,-0.26
5667808,1,-0.88,-0.08,-0.26
5667810,1,-0.88,-0.08,-0.26
5667811,1,-0.88,-0.08,-0.26
5667813,1,-0.88,-0.08,-0.26
5667815,1,-0.92,-0.10,-0.26
5667816,1,-0.92,-0.10,-0.26
5667818,1,-0.92,-0.10,-0.26
5667820,1,-0.92,-0.10,-0.26
5667821,1,-0.92,-0.10,-0.26
5667823,1,-0.92,-0.13,-0.25
5667825,1,-0.92,-0.13,-0.25
5667826,1,-0.92,-0.13,-0.25
5667828,1,-0.92,-0.13,-0.25
5667830,1,-0.92,-0.13,-0.25
5667832,1,-0.92,-0.13,-0.25
5667833,1,-0.92,-0.14,-0.22
5667835,1,-0.92,-0.14,-0.22
5667837,1,-0.92,-0.14,-0.22
5667838,1,-0.92,-0.14,-0.22
5667840,1,-0.92,-0.14,-0.22
5667842,1,-0.92,-0.14,-0.22
5667844,1,-0.92,-0.14,-0.17
5667845,1,-0.92,-0.14,-0.17
5667847,1,-0.92,-0.14,-0.17
5667849,1,-0.92,-0.14,-0.17
5667850,1,-0.92,-0.14,-0.17
5667852,1,-0.92,-0.14,-0.17
5667854,1,-0.90,-0.16,-0.13
5667855,1,-0.90,-0.16,-0.13
5667857,1,-0.90,-0.16,-0.13
5667859,1,-0.90,-0.16,-0.13
5667860,1,-0.90,-0.16,-0.13
5667862,1,-0.90,-0.17,-0.10
5667864,1,-0.90,-0.17,-0.10
5667866,1,-0.90,-0.17,-0.10
5667867,1,-0.90,-0.17,-0.10
5667869,1,-0.90,-0.17,-0.10
5667871,1,-0.90,-0.17,-0.10
5667872,1,-0.92,-0.18,-0.07
5667874,1,-0.92,-0.18,-0.07
5667876,1,-0.92,-0.18,-0.07
5667877,1,-0.92,-0.18,-0.07
5667879,1,-0.92,-0.18,-0.07
5667881,1,-0.92,-0.18,-0.07
5667882,1,-0.95,-0.17,-0.04
5667884,1,-0.95,-0.17,-0.04
5667886,1,-0.95,-0.17,-0.04
5667887,1,-0.95,-0.17,-0.04
5667889,1,-0.95,-0.17,-0.04
5667891,1,-0.95,-0.17,-0.04
5667892,1,-0.99,-0.17,-0.02
5667894,1,-0.99,-0.17,-0.02
5667896,1,-0.99,-0.17,-0.02
5667897,1,-0.99,-0.17,-0.02
5667899,1,-0.99,-0.17,-0.02
5667901,1,-0.99,-0.17,-0.02
5667903,1,-1.00,-0.14,-0.02
5667904,1,-1.00,-0.14,-0.02
5667906,1,-1.00,-0.14,-0.02
5667907,1,-1.00,-0.14,-0.02
5667909,1,-1.00,-0.14,-0.02
5667911,1,-1.00,-0.02,-0.02
5667912,1,-0.98,-0.11,-0.02
5667914,1,-0.98,-0.11,-0.02
5667916,1,-0.98,-0.11,-0.02
5667917,1,-0.98,-0.11,-0.02
5667919,1,-0.98,-0.11,-0.02
5667921,1,-0.98,-0.06,-0.01
5667923,1,-0.98,-0.06,-0.01
5667924,1,-0.98,-0.06,-0.01
5667926,1,-0.98,-0.06,-0.01
5667928,1,-0.98,-0.06,-0.01
5667929,1,-0.98,-0.06,-0.01
5667931,1,-0.98,-0.04,-0.02
5667933,1,-0.98,-0.04,-0.02
5667934,1,-0.98,-0.04,-0.02
5667936,1,-0.98,-0.04,-0.02
5667938,1,-0.98,-0.04,-0.02
5667939,1,-0.98,-0.04,-0.02
5667941,1,-0.98,-0.05,-0.04
5667943,1,-0.98,-0.05,-0.04
5667944,1,-0.98,-0.05,-0.04
5667946,1,-0.98,-0.05,-0.04
5667948,1,-0.98,-0.05,-0.04
5667949,1,-0.98,-0.05,-0.04
5667951,1,-0.97,-0.10,-0.03
5667953,1,-0.97,-0.10,-0.03
5667954,1,-0.97,-0.10,-0.03
5667956,1,-0.97,-0.10,-0.03
5667958,1,-0.97,-0.10,-0.03
5667959,1,-0.97,-0.10,-0.03
5667961,1,-0.96,-0.11,-0.03
5667963,1,-0.96,-0.11,-0.03
5667964,1,-0.96,-0.11,-0.03
5667966,1,-0.96,-0.11,-0.03
5667968,1,-0.96,-0.11,-0.03
5667969,1,-0.96,-0.24,-0.03
5667971,1,-0.94,-0.13,-0.03
5667973,1,-0.94,-0.13,-0.03
5667974,1,-0.94,-0.13,-0.03
5667976,1,-0.94,-0.13,-0.03
5667978,1,-0.94,-0.13,-0.03
5667979,1,-0.94,-0.14,-0.06
5667981,1,-0.94,-0.14,-0.06
5667983,1,-0.94,-0.14,-0.06
5667984,1,-0.94,-0.14,-0.06
5667986,1,-0.94,-0.14,-0.06
5667988,1,-0.94,-0.14,-0.06
5667989,1,-0.95,-0.13,-0.10
5667991,1,-0.95,-0.13,-0.10
5667993,1,-0.95,-0.13,-0.10
5667995,1,-0.95,-0.13,-0.10
5667996,1,-0.95,-0.13,-0.10
5667998,1,-0.95,-0.13,-0.10
5668000,1,-0.98,-0.14,-0.13
5668001,1,-0.98,-0.14,-0.13
5668003,1,-0.98,-0.14,-0.13
5668005,1,-0.98,-0.14,-0.13
5668006,1,-0.98,-0.14,-0.13
5668008,1,-0.98,-0.14,-0.13
5668010,1,-0.98,-0.14,-0.16
