t,l,x,y,z
11640641,0,-0.96,0.16,0.08
11640643,0,-0.96,0.16,0.08
11640644,0,-0.96,0.16,0.08
11640646,0,-0.96,0.16,0.08
11640648,0,-0.96,0.16,0.08
11640649,0,-0.97,0.17,0.09
11640651,0,-0.97,0.17,0.09
11640653,0,-0.97,0.17,0.09
11640654,0,-0.97,0.17,0.09
11640656,0,-0.97,0.17,0.09
11640658,0,-0.97,0.17,0.09
11640659,0,-0.97,0.16,0.09
11640661,0,-0.97,0.16,0.09
11640663,0,-0.97,0.16,0.09
11640664,0,-0.97,0.16,0.09
11640666,0,-0.97,0.16,0.09
11640668,0,-0.97,0.16,0.09
11640669,0,-0.97,0.17,0.09
11640671,0,-0.97,0.17,0.09
11640673,0,-0.97,0.17,0.09
11640674,0,-0.97,0.17,0.09
11640676,0,-0.97,0.17,0.09
11640678,0,-0.97,0.16,0.09
11640679,0,-0.97,0.16,0.09
11640681,0,-0.97,0.16,0.09
11640683,0,-0.97,0.16,0.09
11640684,0,-0.97,0.16,0.09
11640686,0,-0.97,0.16,0.09
11640688,0,-0.97,0.16,0.09
11640689,0,-0.97,0.16,0.09
11640691,0,-0.97,0.16,0.09
11640693,0,-0.97,0.16,0.09
11640694,0,-0.97,0.16,0.09
11640696,0,-0.97,0.16,0.09
11640698,0,-0.97,0.17,0.08
11640699,0,-0.97,0.17,0.08
11640701,0,-0.97,0.17,0.08
11640703,0,-0.97,0.17,0.08
11640704,0,-0.97,0.17,0.08
11640706,0,-0.97,0.17,0.08
11640708,0,-0.97,0.16,0.09
11640709,0,-0.97,0.16,0.09
11640711,0,-0.97,0.16,0.09
11640713,0,-0.97,0.16,0.09
11640714,0,-0.97,0.16,0.09
11640716,0,-0.97,0.16,0.09
11640718,0,-0.97,0.16,0.10
11640719,0,-0.97,0.16,0.10
11640721,0,-0.97,0.16,0.10
11640723,0,-0.97,0.16,0.10
11640724,0,-0.97,0.16,0.10
11640726,0,-0.97,0.16,0.10
11640728,0,-0.97,0.16,0.10
11640729,0,-0.97,0.16,0.10
11640731,0,-0.97,0.16,0.10
11640733,0,-0.97,0.16,0.10
11640734,0,-0.97,0.16,0.10
11640736,0,-0.97,0.16,0.10
11640738,0,-0.97,0.16,0.10
11640739,0,-0.97,0.16,0.10
11640741,0,-0.97,0.16,0.10
11640743,0,-0.97,0.16,0.10
11640744,0,-0.97,0.16,0.10
11640746,0,-0.97,0.16,0.10
11640748,0,-0.97,0.16,0.10
11640749,0,-0.97,0.16,0.10
11640751,0,-0.97,0.16,0.10
11640753,0,-0.97,0.16,0.10
11640754,0,-0.97,0.16,0.10
11640756,0,-0.96,0.16,0.09
11640758,0,-0.96,0.16,0.09
11640759,0,-0.96,0.16,0.09
11640761,0,-0.96,0.16,0.09
11640763,0,-0.96,0.16,0.09
11640764,0,-0.96,0.16,0.09
11640766,0,-0.97,0.16,0.09
11640768,0,-0.97,0.16,0.09
11640769,0,-0.97,0.16,0.09
11640771,0,-0.97,0.16,0.09
11640773,0,-0.97,0.16,0.09
11640774,0,-0.97,0.16,0.09
11640776,0,-0.97,0.16,0.08
11640778,0,-0.97,0.16,0.08
11640779,0,-0.97,0.16,0.08
11640781,0,-0.97,0.16,0.08
11640783,0,-0.97,0.16,0.08
11640784,0,-0.97,0.16,0.08
11640786,0,-0.97,0.16,0.08
11640788,0,-0.97,0.16,0.08
11640789,0,-0.97,0.16,0.08
11640791,0,-0.97,0.16,0.08
11640793,0,-0.97,0.16,0.08
11640794,0,-0.97,0.16,0.08
11640796,0,-0.97,0.16,0.08
11640798,0,-0.97,0.16,0.08
11640799,0,-0.97,0.16,0.08
11640801,0,-0.97,0.16,0.08
11640803,0,-0.97,0.16,0.08
11640804,0,-0.97,0.16,0.08
11640806,0,-0.97,0.16,0.09
11640808,0,-0.97,0.16,0.09
11640809,0,-0.97,0.16,0.09
11640811,0,-0.97,0.16,0.09
11640813,0,-0.97,0.16,0.09
11640814,0,-0.97,0.16,0.10
11640816,0,-0.97,0.15,0.10
11640817,0,-0.97,0.15,0.10
11640819,0,-0.97,0.15,0.10
11640821,0,-0.97,0.15,0.10
11640823,0,-0.97,0.15,0.10
11640824,0,-0.97,0.16,0.11
11640826,0,-0.98,0.16,0.11
11640828,0,-0.98,0.16,0.11
11640829,0,-0.98,0.16,0.11
11640831,0,-0.98,0.16,0.11
11640833,0,-0.98,0.16,0.11
11640834,0,-0.97,0.16,0.10
11640836,0,-0.97,0.16,0.10
11640838,0,-0.97,0.16,0.10
11640839,0,-0.97,0.16,0.10
11640841,0,-0.97,0.16,0.10
11640843,0,-0.97,0.16,0.10
11640844,0,-0.97,0.16,0.09
11640846,0,-0.97,0.16,0.09
11640848,0,-0.97,0.16,0.09
11640849,0,-0.97,0.16,0.09
11640851,0,-0.97,0.16,0.09
11640853,0,-0.97,0.16,0.09
11640854,0,-0.98,0.17,0.09
11640856,0,-0.98,0.17,0.09
11640858,0,-0.98,0.17,0.09
11640859,0,-0.98,0.17,0.09
11640861,0,-0.98,0.17,0.09
11640862,0,-0.98,0.17,0.09
11640864,0,-0.97,0.16,0.08
11640866,0,-0.97,0.16,0.08
11640867,0,-0.97,0.16,0.08
11640869,0,-0.97,0.16,0.08
11640871,0,-0.97,0.16,0.08
11640872,0,-0.97,0.16,0.08
11640874,0,-0.97,0.17,0.07
11640876,0,-0.97,0.17,0.07
11640877,0,-0.97,0.17,0.07
11640879,0,-0.97,0.17,0.07
11640881,0,-0.97,0.17,0.07
11640882,0,-0.97,0.17,0.07
11640884,0,-0.97,0.17,0.07
11640886,0,-0.97,0.17,0.07
11640887,0,-0.97,0.17,0.07
11640889,0,-0.97,0.17,0.07
11640891,0,-0.97,0.17,0.07
11640892,0,-0.97,0.17,0.07
11640894,0,-0.96,0.17,0.08
11640896,0,-0.96,0.17,0.08
11640897,0,-0.96,0.17,0.08
11640899,0,-0.96,0.17,0.08
11640901,0,-0.96,0.17,0.08
11640902,0,-0.96,0.17,0.09
11640904,0,-0.97,0.15,0.09
11640905,0,-0.97,0.15,0.09
11640907,0,-0.97,0.15,0.09
11640909,0,-0.97,0.15,0.09
11640910,0,-0.97,0.15,0.09
11640912,0,-0.97,0.15,0.10
11640914,0,-0.97,0.15,0.10
11640916,0,-0.97,0.15,0.10
11640917,0,-0.97,0.15,0.10
11640919,0,-0.97,0.15,0.10
11640921,0,-0.97,0.15,0.10
11640922,0,-0.97,0.15,0.11
11640924,0,-0.97,0.15,0.11
11640926,0,-0.97,0.15,0.11
11640927,0,-0.97,0.15,0.11
11640929,0,-0.97,0.15,0.11
11640931,0,-0.97,0.15,0.11
11640932,0,-0.97,0.15,0.10
11640934,0,-0.97,0.15,0.10
11640936,0,-0.97,0.15,0.10
11640937,0,-0.97,0.15,0.10
11640939,0,-0.97,0.15,0.10
11640941,0,-0.97,0.15,0.10
11640942,0,-0.97,0.16,0.10
11640944,0,-0.97,0.16,0.10
11640946,0,-0.97,0.16,0.10
11640947,0,-0.97,0.16,0.10
11640949,0,-0.97,0.16,0.10
11640951,0,-0.97,0.16,0.10
11640952,0,-0.97,0.17,0.10
11640954,0,-0.97,0.17,0.10
11640956,0,-0.97,0.17,0.10
11640957,0,-0.97,0.17,0.10
11640959,0,-0.97,0.17,0.10
11640961,0,-0.97,0.17,0.10
11640962,0,-0.97,0.16,0.09
11640964,0,-0.97,0.16,0.09
11640966,0,-0.97,0.16,0.09
11640967,0,-0.97,0.16,0.09
11640969,0,-0.97,0.16,0.09
11640971,0,-0.97,0.16,0.09
11640972,0,-0.97,0.16,0.09
11640974,0,-0.97,0.16,0.09
11640976,0,-0.97,0.16,0.09
11640977,0,-0.97,0.16,0.09
11640979,0,-0.97,0.16,0.09
11640981,0,-0.97,0.16,0.09
11640982,0,-0.97,0.16,0.09
11640984,0,-0.97,0.16,0.09
