t,l,x,y,z
491636,0,-0.98,0.09,0.06
491638,0,-0.98,0.09,0.06
491639,0,-0.98,0.09,0.06
491641,0,-0.98,0.09,0.07
491643,0,-0.98,0.09,0.07
491644,0,-0.98,0.09,0.07
491646,0,-0.98,0.09,0.07
491648,0,-0.98,0.09,0.07
491649,0,-0.98,0.09,0.07
491651,0,-0.97,0.09,0.06
491653,0,-0.97,0.09,0.06
491654,0,-0.97,0.09,0.06
491656,0,-0.97,0.09,0.06
491658,0,-0.97,0.09,0.06
491659,0,-0.97,0.09,0.06
491661,0,-0.98,0.09,0.05
491663,0,-0.98,0.09,0.05
491664,0,-0.98,0.09,0.05
491666,0,-0.98,0.09,0.05
491668,0,-0.98,0.09,0.05
491669,0,-0.98,0.09,0.04
491671,0,-0.97,0.09,0.04
491673,0,-0.97,0.09,0.04
491674,0,-0.97,0.09,0.04
491676,0,-0.97,0.09,0.04
491678,0,-0.97,0.09,0.04
491679,0,-0.97,0.08,0.04
491681,0,-0.98,0.08,0.04
491683,0,-0.98,0.08,0.04
491684,0,-0.98,0.08,0.04
491686,0,-0.98,0.08,0.04
491688,0,-0.98,0.08,0.04
491689,0,-0.98,0.09,0.04
491691,0,-0.98,0.09,0.04
491693,0,-0.98,0.09,0.04
491694,0,-0.98,0.09,0.04
491696,0,-0.98,0.09,0.04
491698,0,-0.98,0.09,0.04
491699,0,-0.98,0.08,0.04
491701,0,-0.98,0.08,0.04
491703,0,-0.98,0.08,0.04
491704,0,-0.98,0.08,0.04
491706,0,-0.98,0.08,0.04
491708,0,-0.98,0.08,0.04
491709,0,-0.97,0.08,0.05
491711,0,-0.97,0.08,0.05
491713,0,-0.97,0.08,0.05
491714,0,-0.97,0.08,0.05
491716,0,-0.97,0.08,0.05
491717,0,-0.97,0.08,0.05
491719,0,-0.98,0.07,0.06
491721,0,-0.98,0.07,0.06
491722,0,-0.98,0.07,0.06
491724,0,-0.98,0.07,0.06
491726,0,-0.98,0.07,0.06
491727,0,-0.98,0.07,0.06
491729,0,-0.98,0.07,0.06
491731,0,-0.98,0.07,0.06
491732,0,-0.98,0.07,0.06
491734,0,-0.98,0.07,0.06
491736,0,-0.98,0.07,0.06
491737,0,-0.98,0.07,0.06
491739,0,-0.98,0.07,0.06
491741,0,-0.98,0.07,0.06
491742,0,-0.98,0.07,0.06
491744,0,-0.98,0.07,0.06
491746,0,-0.98,0.07,0.06
491747,0,-0.98,0.07,0.06
491749,0,-0.98,0.07,0.06
491751,0,-0.98,0.07,0.06
491752,0,-0.98,0.07,0.06
491754,0,-0.98,0.07,0.06
491755,0,-0.98,0.07,0.06
491757,0,-0.98,0.07,0.06
491759,0,-0.98,0.08,0.06
491760,0,-0.98,0.08,0.06
491762,0,-0.98,0.08,0.06
491764,0,-0.98,0.08,0.06
491765,0,-0.98,0.08,0.06
491767,0,-0.98,0.08,0.06
491769,0,-0.98,0.07,0.06
491770,0,-0.98,0.07,0.06
491772,0,-0.98,0.07,0.06
491774,0,-0.98,0.07,0.06
491775,0,-0.98,0.07,0.06
491777,0,-0.98,0.07,0.06
491779,0,-0.98,0.07,0.06
491780,0,-0.98,0.07,0.06
491782,0,-0.98,0.07,0.06
491784,0,-0.98,0.07,0.06
491785,0,-0.98,0.07,0.06
491787,0,-0.98,0.08,0.06
491789,0,-0.98,0.08,0.06
491790,0,-0.98,0.08,0.06
491792,0,-0.98,0.08,0.06
491794,0,-0.98,0.08,0.06
491795,0,-0.98,0.08,0.06
491797,0,-0.99,0.09,0.05
491799,0,-0.99,0.09,0.05
491800,0,-0.99,0.09,0.05
491802,0,-0.99,0.09,0.05
491804,0,-0.99,0.09,0.05
491805,0,-0.99,0.09,0.05
491807,0,-0.98,0.09,0.05
491809,0,-0.98,0.09,0.05
491810,0,-0.98,0.09,0.05
491812,0,-0.98,0.09,0.05
491814,0,-0.98,0.09,0.05
491815,0,-0.98,0.09,0.05
491817,0,-0.97,0.09,0.04
491819,0,-0.97,0.09,0.04
491820,0,-0.97,0.09,0.04
491822,0,-0.97,0.09,0.04
491824,0,-0.97,0.09,0.04
491825,0,-0.97,0.09,0.04
491827,0,-0.98,0.09,0.04
491828,0,-0.98,0.09,0.04
491830,0,-0.98,0.09,0.04
491832,0,-0.98,0.09,0.04
491833,0,-0.98,0.09,0.04
491835,0,-0.98,0.09,0.04
491837,0,-0.98,0.09,0.05
491838,0,-0.98,0.09,0.05
491840,0,-0.98,0.09,0.05
491842,0,-0.98,0.09,0.05
491843,0,-0.98,0.09,0.05
491845,0,-0.98,0.09,0.05
491847,0,-0.98,0.08,0.06
491848,0,-0.98,0.08,0.06
491850,0,-0.98,0.08,0.06
491852,0,-0.98,0.08,0.06
491853,0,-0.98,0.08,0.06
491855,0,-0.98,0.08,0.06
491857,0,-0.98,0.08,0.06
491858,0,-0.98,0.08,0.06
491860,0,-0.98,0.08,0.06
491862,0,-0.98,0.08,0.06
491863,0,-0.98,0.08,0.06
491865,0,-0.98,0.08,0.06
491867,0,-0.98,0.08,0.06
491868,0,-0.98,0.08,0.06
491870,0,-0.98,0.08,0.06
491872,0,-0.98,0.08,0.06
491873,0,-0.98,0.08,0.06
491875,0,-0.98,0.08,0.06
491877,0,-0.98,0.08,0.06
491878,0,-0.98,0.08,0.06
491880,0,-0.98,0.08,0.06
491881,0,-0.98,0.08,0.06
491883,0,-0.98,0.08,0.06
491885,0,-0.97,0.08,0.06
491886,0,-0.97,0.08,0.06
491888,0,-0.97,0.08,0.06
491890,0,-0.97,0.08,0.06
491891,0,-0.97,0.08,0.06
491893,0,-0.97,0.08,0.06
491895,0,-0.98,0.08,0.07
491896,0,-0.98,0.08,0.07
491898,0,-0.98,0.08,0.07
491900,0,-0.98,0.08,0.07
491901,0,-0.98,0.08,0.07
491903,0,-0.98,0.08,0.07
491905,0,-0.97,0.08,0.06
491906,0,-0.97,0.08,0.06
491908,0,-0.97,0.08,0.06
491909,0,-0.97,0.08,0.06
491911,0,-0.97,0.08,0.06
491913,0,-0.97,0.08,0.06
491914,0,-0.98,0.08,0.05
491916,0,-0.98,0.08,0.05
491918,0,-0.98,0.08,0.05
491919,0,-0.98,0.08,0.05
491921,0,-0.98,0.08,0.05
491923,0,-0.98,0.08,0.05
491924,0,-0.99,0.08,0.06
491926,0,-0.99,0.08,0.06
491928,0,-0.99,0.08,0.06
491929,0,-0.99,0.08,0.06
