t,l,x,y,z
156649,1,-1.13,-0.11,-0.02
156651,1,-1.13,-0.11,-0.02
156652,1,-1.13,-0.11,-0.02
156654,1,-1.13,-0.11,-0.02
156656,1,-1.13,0.02,0.00
156657,1,-0.88,0.02,0.00
156659,1,-0.88,0.02,0.00
156661,1,-0.88,0.02,0.00
156662,1,-0.88,0.02,0.00
156664,1,-0.88,0.02,0.00
156666,1,-0.88,-0.04,0.04
156667,1,-0.98,-0.04,0.04
156669,1,-0.98,-0.04,0.04
156671,1,-0.98,-0.04,0.04
156672,1,-0.98,-0.04,0.04
156674,1,-0.98,-0.04,0.04
156675,1,-1.03,-0.09,0.05
156677,1,-1.03,-0.09,0.05
156679,1,-1.03,-0.09,0.05
156680,1,-1.03,-0.09,0.05
156682,1,-1.03,-0.09,0.05
156684,1,-1.03,-0.09,0.05
156685,1,-0.99,-0.07,0.01
156687,1,-0.99,-0.07,0.01
156689,1,-0.99,-0.07,0.01
156690,1,-0.99,-0.07,0.01
156692,1,-0.99,-0.07,0.01
156694,1,-0.99,-0.07,0.01
156695,1,-0.96,-0.03,-0.01
156697,1,-0.96,-0.03,-0.01
156699,1,-0.96,-0.03,-0.01
156700,1,-0.96,-0.03,-0.01
156702,1,-0.96,-0.03,-0.01
156704,1,-0.96,-0.03,-0.01
156705,1,-0.98,-0.01,-0.04
156707,1,-0.98,-0.01,-0.04
156709,1,-0.98,-0.01,-0.04
156710,1,-0.98,-0.01,-0.04
156712,1,-0.98,-0.01,-0.04
156714,1,-0.98,-0.01,-0.04
156715,1,-0.96,0.04,-0.06
156717,1,-0.96,0.04,-0.06
156719,1,-0.96,0.04,-0.06
156720,1,-0.96,0.04,-0.06
156722,1,-0.96,0.04,-0.06
156724,1,-0.96,0.04,-0.06
156725,1,-0.97,-0.00,-0.04
156727,1,-0.97,-0.00,-0.04
156729,1,-0.97,-0.00,-0.04
156730,1,-0.97,-0.00,-0.04
156732,1,-0.97,-0.00,-0.04
156734,1,-0.97,-0.00,-0.04
156735,1,-0.98,-0.02,-0.02
156737,1,-0.98,-0.02,-0.02
156739,1,-0.98,-0.02,-0.02
156740,1,-0.98,-0.02,-0.02
156742,1,-0.98,-0.02,-0.02
156744,1,-0.98,-0.04,-0.03
156745,1,-0.98,-0.04,-0.03
156747,1,-0.98,-0.04,-0.03
156749,1,-0.98,-0.04,-0.03
156750,1,-0.98,-0.04,-0.03
156752,1,-0.98,-0.04,-0.03
156754,1,-0.96,-0.01,-0.03
156755,1,-0.96,-0.01,-0.03
156757,1,-0.96,-0.01,-0.03
156759,1,-0.96,-0.01,-0.03
156760,1,-0.96,-0.01,-0.03
156762,1,-0.96,-0.01,-0.03
156763,1,-0.97,-0.02,-0.06
156765,1,-0.97,-0.02,-0.06
156767,1,-0.97,-0.02,-0.06
156768,1,-0.97,-0.02,-0.06
156770,1,-0.97,-0.02,-0.06
156772,1,-0.97,-0.02,-0.06
156773,1,-0.99,-0.04,-0.07
156775,1,-0.99,-0.04,-0.07
156777,1,-0.99,-0.04,-0.07
156778,1,-0.99,-0.04,-0.07
156780,1,-0.99,-0.04,-0.07
156782,1,-0.99,-0.04,-0.07
156783,1,-0.99,-0.05,-0.05
156785,1,-0.99,-0.05,-0.05
156787,1,-0.99,-0.05,-0.05
156788,1,-0.99,-0.05,-0.05
156790,1,-0.99,-0.05,-0.05
156792,1,-0.99,-0.05,-0.05
156793,1,-1.00,-0.04,-0.04
156795,1,-1.00,-0.04,-0.04
156797,1,-1.00,-0.04,-0.04
156798,1,-1.00,-0.04,-0.04
156800,1,-1.00,-0.04,-0.04
156802,1,-1.00,-0.04,-0.04
156803,1,-0.98,-0.02,-0.04
156805,1,-0.98,-0.02,-0.04
156807,1,-0.98,-0.02,-0.04
156808,1,-0.98,-0.02,-0.04
156810,1,-0.98,-0.02,-0.04
156812,1,-0.98,-0.02,-0.04
156813,1,-0.98,0.00,-0.02
156815,1,-0.98,0.00,-0.02
156817,1,-0.98,0.00,-0.02
156818,1,-0.98,0.00,-0.02
156820,1,-0.98,0.00,-0.02
156821,1,-0.98,0.00,-0.02
156823,1,-0.99,-0.01,-0.01
156825,1,-0.99,-0.01,-0.01
156826,1,-0.99,-0.01,-0.01
156828,1,-0.99,-0.01,-0.01
156830,1,-0.99,-0.01,-0.01
156831,1,-0.99,-0.01,-0.01
156833,1,-0.99,-0.03,-0.01
156835,1,-0.99,-0.03,-0.01
156836,1,-0.99,-0.03,-0.01
156838,1,-0.99,-0.03,-0.01
156840,1,-0.99,-0.03,-0.01
156841,1,-0.99,-0.05,-0.00
156843,1,-0.99,-0.05,-0.00
156845,1,-0.99,-0.05,-0.00
156846,1,-0.99,-0.05,-0.00
156848,1,-0.99,-0.05,-0.00
156850,1,-0.99,-0.05,-0.00
156851,1,-0.96,-0.05,0.01
156853,1,-0.96,-0.05,0.01
156854,1,-0.96,-0.05,0.01
156856,1,-0.96,-0.05,0.01
156858,1,-0.96,-0.05,0.01
156859,1,-0.96,-0.05,0.01
156861,1,-0.97,-0.04,0.01
156863,1,-0.97,-0.04,0.01
156864,1,-0.97,-0.04,0.01
156866,1,-0.97,-0.04,0.01
156868,1,-0.97,-0.04,0.01
156869,1,-0.97,-0.04,0.01
156871,1,-1.00,-0.04,0.05
156873,1,-1.00,-0.04,0.05
156874,1,-1.00,-0.04,0.05
156876,1,-1.00,-0.04,0.05
156878,1,-1.00,-0.04,0.05
156879,1,-1.00,-0.04,0.05
156881,1,-0.98,-0.02,0.00
156883,1,-0.98,-0.02,0.00
156884,1,-0.98,-0.02,0.00
156886,1,-0.98,-0.02,0.00
156888,1,-0.98,-0.02,0.00
156889,1,-0.98,-0.02,0.00
156891,1,-0.97,-0.03,-0.01
156893,1,-0.97,-0.03,-0.01
156894,1,-0.97,-0.03,-0.01
156896,1,-0.97,-0.03,-0.01
156898,1,-0.97,-0.03,-0.01
156899,1,-0.97,-0.03,-0.01
156901,1,-0.99,-0.02,0.02
156903,1,-0.99,-0.02,0.02
156904,1,-0.99,-0.02,0.02
156906,1,-0.99,-0.02,0.02
156908,1,-0.99,-0.02,0.02
156909,1,-0.99,-0.02,0.02
156911,1,-1.02,-0.01,0.01
156913,1,-1.02,-0.01,0.01
156914,1,-1.02,-0.01,0.01
156916,1,-1.02,-0.01,0.01
156918,1,-1.02,-0.01,0.01
156919,1,-1.02,-0.01,0.01
156921,1,-1.02,-0.01,0.00
156922,1,-1.02,-0.01,0.00
156924,1,-1.02,-0.01,0.00
156926,1,-1.02,-0.01,0.00
156927,1,-1.02,-0.01,0.00
156929,1,-1.02,-0.01,0.01
156931,1,-0.99,-0.01,0.01
156932,1,-0.99,-0.01,0.01
156934,1,-0.99,-0.01,0.01
156936,1,-0.99,-0.01,0.01
156937,1,-0.99,-0.01,0.01
156939,1,-0.99,-0.00,0.01
156941,1,-0.97,-0.00,0.01
156942,1,-0.97,-0.00,0.01
156944,1,-0.97,-0.00,0.01
156946,1,-0.97,-0.00,0.01
156947,1,-0.97,-0.00,0.01
156949,1,-0.97,0.02,-0.02
156951,1,-0.95,0.02,-0.02
156952,1,-0.95,0.02,-0.02
156954,1,-0.95,0.02,-0.02
