t,l,x,y,z
14271776,1,-0.97,0.12,0.08
14271778,1,-0.97,0.12,0.08
14271780,1,-0.97,0.12,0.08
14271781,1,-0.97,0.12,0.08
14271783,1,-0.97,0.12,0.08
14271785,1,-0.97,0.12,0.08
14271786,1,-0.97,0.12,0.08
14271788,1,-0.97,0.12,0.08
14271790,1,-0.97,0.12,0.08
14271791,1,-0.97,0.12,0.08
14271793,1,-0.97,0.12,0.08
14271795,1,-0.97,0.12,0.08
14271796,1,-0.97,0.12,0.08
14271798,1,-0.97,0.12,0.08
14271800,1,-0.97,0.12,0.08
14271801,1,-0.97,0.12,0.08
14271803,1,-0.97,0.12,0.08
14271805,1,-0.97,0.12,0.08
14271806,1,-0.97,0.12,0.08
14271808,1,-0.97,0.12,0.08
14271810,1,-0.97,0.12,0.08
14271811,1,-0.97,0.12,0.08
14271813,1,-0.97,0.12,0.08
14271815,1,-0.97,0.12,0.08
14271816,1,-0.97,0.12,0.08
14271818,1,-0.97,0.12,0.08
14271820,1,-0.97,0.12,0.08
14271821,1,-0.97,0.12,0.08
14271823,1,-0.97,0.12,0.08
14271825,1,-0.97,0.12,0.08
14271826,1,-0.97,0.12,0.08
14271828,1,-0.97,0.12,0.08
14271830,1,-0.97,0.12,0.08
14271831,1,-0.97,0.12,0.08
14271833,1,-0.97,0.12,0.08
14271834,1,-0.97,0.12,0.08
14271836,1,-0.97,0.12,0.08
14271838,1,-0.97,0.12,0.08
14271839,1,-0.97,0.12,0.08
14271841,1,-0.97,0.12,0.08
14271843,1,-0.97,0.12,0.08
14271844,1,-0.97,0.12,0.08
14271846,1,-0.97,0.12,0.08
14271848,1,-0.97,0.11,0.08
14271849,1,-0.97,0.11,0.08
14271851,1,-0.97,0.11,0.08
14271853,1,-0.97,0.11,0.08
14271854,1,-0.97,0.11,0.08
14271856,1,-0.97,0.11,0.08
14271858,1,-0.97,0.12,0.09
14271859,1,-0.98,0.12,0.09
14271861,1,-0.98,0.12,0.09
14271863,1,-0.98,0.12,0.09
14271864,1,-0.98,0.12,0.09
14271866,1,-0.98,0.12,0.09
14271868,1,-0.98,0.11,0.08
14271869,1,-0.98,0.11,0.08
14271871,1,-0.98,0.11,0.08
14271873,1,-0.98,0.11,0.08
14271874,1,-0.98,0.11,0.08
14271876,1,-0.98,0.11,0.08
14271878,1,-0.97,0.12,0.08
14271879,1,-0.97,0.12,0.08
14271881,1,-0.97,0.12,0.08
14271883,1,-0.97,0.12,0.08
14271884,1,-0.97,0.12,0.08
14271886,1,-0.97,0.12,0.08
14271888,1,-0.97,0.12,0.09
14271889,1,-0.97,0.12,0.09
14271891,1,-0.97,0.12,0.09
14271893,1,-0.97,0.12,0.09
14271894,1,-0.97,0.12,0.09
14271896,1,-0.97,0.12,0.09
14271898,1,-0.97,0.11,0.08
14271899,1,-0.97,0.11,0.08
14271901,1,-0.97,0.11,0.08
14271903,1,-0.97,0.11,0.08
14271904,1,-0.97,0.11,0.08
14271906,1,-0.97,0.11,0.08
14271908,1,-0.97,0.12,0.07
14271909,1,-0.97,0.12,0.07
14271911,1,-0.97,0.12,0.07
14271913,1,-0.97,0.12,0.07
14271914,1,-0.97,0.12,0.07
14271916,1,-0.97,0.12,0.07
14271918,1,-0.97,0.12,0.08
14271919,1,-0.97,0.12,0.08
14271921,1,-0.97,0.12,0.08
14271923,1,-0.97,0.12,0.08
14271924,1,-0.97,0.12,0.08
