t,l,x,y,z
11543341,1,-0.98,0.20,0.03
11543343,1,-0.98,0.20,0.03
11543344,1,-0.98,0.20,0.03
11543346,1,-0.96,0.20,0.04
11543348,1,-0.96,0.20,0.04
11543349,1,-0.96,0.20,0.04
11543351,1,-0.96,0.20,0.04
11543353,1,-0.96,0.20,0.04
11543354,1,-0.96,0.20,0.04
11543356,1,-0.97,0.20,0.05
11543358,1,-0.97,0.20,0.05
11543359,1,-0.97,0.20,0.05
11543361,1,-0.97,0.20,0.05
11543363,1,-0.97,0.20,0.05
11543364,1,-0.97,0.20,0.05
11543366,1,-0.97,0.21,0.06
11543367,1,-0.97,0.21,0.06
11543369,1,-0.97,0.21,0.06
11543371,1,-0.97,0.21,0.06
11543372,1,-0.97,0.21,0.06
11543374,1,-0.97,0.21,0.06
11543376,1,-0.97,0.20,0.06
11543377,1,-0.97,0.20,0.06
11543379,1,-0.97,0.20,0.06
11543381,1,-0.97,0.20,0.06
11543382,1,-0.97,0.20,0.06
11543384,1,-0.97,0.20,0.06
11543386,1,-0.97,0.21,0.06
11543387,1,-0.97,0.21,0.06
11543389,1,-0.97,0.21,0.06
11543391,1,-0.97,0.21,0.06
11543392,1,-0.97,0.21,0.06
11543394,1,-0.97,0.21,0.04
11543396,1,-0.97,0.21,0.04
11543397,1,-0.97,0.21,0.04
11543399,1,-0.97,0.21,0.04
11543401,1,-0.97,0.21,0.04
11543402,1,-0.97,0.21,0.04
11543404,1,-0.97,0.20,0.03
11543406,1,-0.97,0.20,0.03
11543407,1,-0.97,0.20,0.03
11543409,1,-0.97,0.20,0.03
11543411,1,-0.97,0.20,0.03
11543412,1,-0.97,0.20,0.03
11543414,1,-0.97,0.20,0.02
11543416,1,-0.97,0.20,0.02
11543417,1,-0.97,0.20,0.02
11543419,1,-0.97,0.20,0.02
11543421,1,-0.97,0.20,0.02
11543422,1,-0.97,0.20,0.02
11543424,1,-0.97,0.20,0.02
11543426,1,-0.97,0.20,0.02
11543427,1,-0.97,0.20,0.02
11543429,1,-0.97,0.20,0.02
11543431,1,-0.97,0.20,0.02
11543432,1,-0.97,0.20,0.02
11543434,1,-0.96,0.20,0.02
11543436,1,-0.96,0.20,0.02
11543437,1,-0.96,0.20,0.02
11543439,1,-0.96,0.20,0.02
11543441,1,-0.96,0.20,0.02
11543442,1,-0.96,0.20,0.02
11543444,1,-0.96,0.20,0.02
11543445,1,-0.96,0.20,0.02
11543447,1,-0.96,0.20,0.02
11543449,1,-0.96,0.20,0.02
11543450,1,-0.96,0.20,0.02
11543452,1,-0.96,0.20,0.02
11543454,1,-0.97,0.21,0.03
11543455,1,-0.97,0.21,0.03
11543457,1,-0.97,0.21,0.03
11543459,1,-0.97,0.21,0.03
11543460,1,-0.97,0.21,0.03
11543462,1,-0.97,0.21,0.03
11543464,1,-0.97,0.21,0.04
11543465,1,-0.97,0.21,0.04
11543467,1,-0.97,0.21,0.04
11543469,1,-0.97,0.21,0.04
11543470,1,-0.97,0.21,0.04
11543472,1,-0.97,0.21,0.04
11543474,1,-0.96,0.21,0.05
11543475,1,-0.96,0.21,0.05
11543477,1,-0.96,0.21,0.05
11543479,1,-0.96,0.21,0.05
11543480,1,-0.96,0.21,0.05
