t,l,x,y,z
11301939,0,-0.96,-0.14,0.07
11301941,0,-0.96,-0.14,0.07
11301943,0,-0.96,-0.14,0.07
11301944,0,-0.96,-0.14,0.07
11301946,0,-0.96,-0.14,0.07
11301948,0,-0.96,-0.14,0.07
11301949,0,-0.96,-0.14,0.07
11301951,0,-0.97,-0.14,0.07
11301953,0,-0.97,-0.14,0.07
11301954,0,-0.97,-0.14,0.07
11301956,0,-0.97,-0.14,0.07
11301958,0,-0.97,-0.14,0.07
11301959,0,-0.97,-0.14,0.07
11301961,0,-0.96,-0.14,0.08
11301963,0,-0.96,-0.14,0.08
11301964,0,-0.96,-0.14,0.08
11301966,0,-0.96,-0.14,0.08
11301968,0,-0.96,-0.14,0.08
11301969,0,-0.96,-0.14,0.08
11301971,0,-0.97,-0.13,0.08
11301973,0,-0.97,-0.13,0.08
11301974,0,-0.97,-0.13,0.08
11301976,0,-0.97,-0.13,0.08
11301978,0,-0.97,-0.13,0.08
11301979,0,-0.97,-0.13,0.08
11301981,0,-0.96,-0.13,0.08
11301983,0,-0.96,-0.13,0.08
11301984,0,-0.96,-0.13,0.08
11301986,0,-0.96,-0.13,0.08
11301988,0,-0.96,-0.13,0.08
11301989,0,-0.96,-0.13,0.08
11301991,0,-0.97,-0.14,0.08
11301993,0,-0.97,-0.14,0.08
11301994,0,-0.97,-0.14,0.08
11301996,0,-0.97,-0.14,0.08
11301998,0,-0.97,-0.14,0.08
11301999,0,-0.97,-0.14,0.08
11302001,0,-0.97,-0.14,0.07
11302003,0,-0.97,-0.14,0.07
11302004,0,-0.97,-0.14,0.07
11302006,0,-0.97,-0.14,0.07
11302008,0,-0.97,-0.14,0.07
11302009,0,-0.97,-0.14,0.07
11302011,0,-0.96,-0.14,0.08
11302013,0,-0.96,-0.14,0.08
11302014,0,-0.96,-0.14,0.08
11302016,0,-0.96,-0.14,0.08
11302018,0,-0.96,-0.14,0.08
11302019,0,-0.96,-0.14,0.08
11302021,0,-0.96,-0.14,0.08
11302023,0,-0.96,-0.14,0.08
11302024,0,-0.96,-0.14,0.08
11302026,0,-0.96,-0.14,0.08
11302028,0,-0.96,-0.14,0.08
11302029,0,-0.97,-0.13,0.08
11302031,0,-0.97,-0.13,0.08
11302033,0,-0.97,-0.13,0.08
11302034,0,-0.97,-0.13,0.08
11302036,0,-0.97,-0.13,0.08
11302038,0,-0.97,-0.13,0.08
11302039,0,-0.98,-0.16,0.08
11302041,0,-0.98,-0.16,0.08
11302043,0,-0.98,-0.16,0.08
11302044,0,-0.98,-0.16,0.08
11302046,0,-0.98,-0.16,0.08
11302048,0,-0.98,-0.16,0.08
11302049,0,-0.99,-0.16,0.08
11302051,0,-0.99,-0.16,0.08
11302053,0,-0.99,-0.16,0.08
11302054,0,-0.99,-0.16,0.08
11302056,0,-0.99,-0.16,0.08
11302058,0,-0.99,-0.16,0.08
