t,l,x,y,z
8019679,1,-0.98,0.05,0.06
8019681,1,-0.98,0.05,0.06
8019682,1,-0.98,0.05,0.06
8019684,1,-0.98,0.05,0.06
8019686,1,-0.98,0.05,0.06
8019687,1,-0.98,0.05,0.06
8019689,1,-0.98,0.05,0.07
8019691,1,-0.98,0.05,0.07
8019692,1,-0.98,0.05,0.07
8019694,1,-0.98,0.05,0.07
8019696,1,-0.98,0.05,0.07
8019697,1,-0.98,0.05,0.07
8019699,1,-0.98,0.04,0.07
8019701,1,-0.98,0.04,0.07
8019702,1,-0.98,0.04,0.07
8019704,1,-0.98,0.04,0.07
8019706,1,-0.98,0.04,0.07
8019707,1,-0.98,0.04,0.07
8019709,1,-0.98,0.04,0.07
8019711,1,-0.98,0.04,0.07
8019712,1,-0.98,0.04,0.07
8019714,1,-0.98,0.04,0.07
8019716,1,-0.98,0.04,0.07
8019717,1,-0.98,0.04,0.07
8019719,1,-0.98,0.04,0.08
8019721,1,-0.98,0.04,0.08
8019722,1,-0.98,0.04,0.08
8019724,1,-0.98,0.04,0.08
8019726,1,-0.98,0.04,0.08
8019727,1,-0.98,0.04,0.07
8019729,1,-0.99,0.04,0.07
8019731,1,-0.99,0.04,0.07
8019732,1,-0.99,0.04,0.07
8019734,1,-0.99,0.04,0.07
8019735,1,-0.99,0.04,0.07
8019737,1,-0.98,0.04,0.07
8019739,1,-0.98,0.04,0.07
8019740,1,-0.98,0.04,0.07
8019742,1,-0.98,0.04,0.07
8019744,1,-0.98,0.04,0.07
8019746,1,-0.98,0.04,0.07
8019747,1,-0.98,0.05,0.07
8019749,1,-0.98,0.05,0.07
8019751,1,-0.98,0.05,0.07
8019752,1,-0.98,0.05,0.07
8019754,1,-0.98,0.05,0.07
8019756,1,-0.98,0.05,0.07
8019757,1,-0.98,0.05,0.06
8019759,1,-0.98,0.05,0.06
8019760,1,-0.98,0.05,0.06
8019762,1,-0.98,0.05,0.06
8019764,1,-0.98,0.05,0.06
8019766,1,-0.98,0.05,0.06
8019767,1,-0.97,0.05,0.06
8019769,1,-0.97,0.05,0.06
8019771,1,-0.97,0.05,0.06
8019772,1,-0.97,0.05,0.06
8019774,1,-0.97,0.05,0.06
8019775,1,-0.97,0.05,0.06
8019777,1,-0.98,0.05,0.06
8019779,1,-0.98,0.05,0.06
8019780,1,-0.98,0.05,0.06
8019782,1,-0.98,0.05,0.06
8019784,1,-0.98,0.05,0.06
8019785,1,-0.98,0.05,0.06
8019787,1,-0.98,0.04,0.07
8019789,1,-0.98,0.04,0.07
8019790,1,-0.98,0.04,0.07
8019792,1,-0.98,0.04,0.07
8019794,1,-0.98,0.04,0.07
8019795,1,-0.98,0.04,0.07
8019797,1,-0.98,0.04,0.07
8019799,1,-0.98,0.04,0.07
8019800,1,-0.98,0.04,0.07
8019802,1,-0.98,0.04,0.07
8019804,1,-0.98,0.04,0.07
8019805,1,-0.98,0.04,0.07
8019807,1,-0.98,0.04,0.07
8019809,1,-0.98,0.04,0.07
8019810,1,-0.98,0.04,0.07
8019812,1,-0.98,0.04,0.07
8019814,1,-0.98,0.04,0.07
8019815,1,-0.98,0.03,0.08
8019817,1,-0.99,0.03,0.08
8019819,1,-0.99,0.03,0.08
8019820,1,-0.99,0.03,0.08
8019822,1,-0.99,0.03,0.08
8019823,1,-0.99,0.03,0.08
8019825,1,-0.99,0.03,0.08
8019827,1,-0.99,0.03,0.08
8019828,1,-0.99,0.03,0.08
8019830,1,-0.99,0.03,0.08
8019832,1,-0.99,0.03,0.08
8019833,1,-0.99,0.03,0.08
8019835,1,-0.99,0.03,0.08
8019837,1,-0.99,0.03,0.08
8019838,1,-0.99,0.03,0.08
8019840,1,-0.99,0.03,0.08
8019842,1,-0.99,0.03,0.08
8019843,1,-0.99,0.03,0.08
8019845,1,-0.98,0.03,0.08
8019847,1,-0.98,0.03,0.08
8019848,1,-0.98,0.03,0.08
8019850,1,-0.98,0.03,0.08
8019852,1,-0.98,0.03,0.08
8019853,1,-0.98,0.03,0.08
8019855,1,-0.99,0.02,0.06
8019857,1,-0.99,0.02,0.06
8019858,1,-0.99,0.02,0.06
8019860,1,-0.99,0.02,0.06
8019862,1,-0.99,0.02,0.06
8019863,1,-0.99,0.02,0.06
8019865,1,-1.01,0.02,0.09
8019867,1,-1.01,0.02,0.09
8019868,1,-1.01,0.02,0.09
8019870,1,-1.01,0.02,0.09
8019872,1,-1.01,0.02,0.09
8019873,1,-1.01,0.02,0.09
8019875,1,-1.05,-0.00,0.10
8019877,1,-1.05,-0.00,0.10
8019878,1,-1.05,-0.00,0.10
8019880,1,-1.05,-0.00,0.10
8019881,1,-1.05,-0.00,0.10
8019883,1,-1.05,-0.00,0.10
8019885,1,-1.04,-0.02,0.17
8019887,1,-1.04,-0.02,0.17
8019888,1,-1.04,-0.02,0.17
8019890,1,-1.04,-0.02,0.17
8019892,1,-1.04,-0.02,0.17
8019893,1,-1.04,-0.02,0.26
8019895,1,-1.07,-0.03,0.26
8019897,1,-1.07,-0.03,0.26
8019898,1,-1.07,-0.03,0.26
8019900,1,-1.07,-0.03,0.26
8019902,1,-1.07,-0.03,0.26
8019903,1,-1.13,0.00,0.39
8019905,1,-1.13,0.00,0.39
8019907,1,-1.13,0.00,0.39
8019908,1,-1.13,0.00,0.39
8019910,1,-1.13,0.00,0.39
8019912,1,-1.13,0.00,0.39
8019913,1,-1.20,0.08,0.60
8019915,1,-1.20,0.08,0.60
8019916,1,-1.20,0.08,0.60
8019918,1,-1.20,0.08,0.60
8019920,1,-1.20,0.08,0.60
8019922,1,-1.20,0.08,0.60
8019923,1,-1.37,0.26,0.75
8019925,1,-1.37,0.26,0.75
8019927,1,-1.37,0.26,0.75
8019928,1,-1.37,0.26,0.75
8019930,1,-1.37,0.26,0.75
8019932,1,-1.37,0.26,0.75
8019933,1,-1.51,0.42,0.75
8019935,1,-1.51,0.42,0.75
8019937,1,-1.51,0.42,0.75
8019938,1,-1.51,0.42,0.75
8019940,1,-1.51,0.42,0.75
8019942,1,-1.51,0.42,0.75
8019943,1,-1.68,0.60,0.67
8019945,1,-1.68,0.60,0.67
8019947,1,-1.68,0.60,0.67
8019948,1,-1.68,0.60,0.67
8019950,1,-1.68,0.60,0.67
8019952,1,-1.68,0.60,0.42
8019953,1,-1.93,0.81,0.49
8019955,1,-1.93,0.81,0.49
8019957,1,-1.93,0.81,0.49
8019958,1,-1.93,0.81,0.49
8019960,1,-1.93,0.81,0.49
8019962,1,-1.93,1.02,0.50
8019963,1,-2.23,1.02,0.50
8019965,1,-2.23,1.02,0.50
8019967,1,-2.23,1.02,0.50
8019968,1,-2.23,1.02,0.50
8019970,1,-2.23,1.02,0.50
8019972,1,-2.10,0.99,0.46
8019973,1,-2.10,0.99,0.46
8019975,1,-2.10,0.99,0.46
8019977,1,-2.10,0.99,0.46
8019979,1,-2.10,0.99,0.46
8019980,1,-2.10,0.99,0.46
8019982,1,-1.71,0.85,0.45
8019984,1,-1.71,0.85,0.45
8019985,1,-1.71,0.85,0.45
8019987,1,-1.71,0.85,0.45
8019988,1,-1.71,0.85,0.45
8019990,1,-1.71,0.85,0.45
8019992,1,-1.41,0.78,0.50
8019994,1,-1.41,0.78,0.50
8019995,1,-1.41,0.78,0.50
8019997,1,-1.41,0.78,0.50
8019999,1,-1.41,0.78,0.50
8020000,1,-1.41,0.78,0.50
8020002,1,-1.21,0.71,0.54
8020003,1,-1.21,0.71,0.54
8020005,1,-1.21,0.71,0.54
8020007,1,-1.21,0.71,0.54
8020009,1,-1.21,0.71,0.54
8020010,1,-1.21,0.71,0.54
8020012,1,-1.06,0.56,0.52
8020014,1,-1.06,0.56,0.52
8020015,1,-1.06,0.56,0.52
8020017,1,-1.06,0.56,0.52
8020019,1,-1.06,0.56,0.52
8020020,1,-1.06,0.43,0.57
8020022,1,-0.95,0.38,0.57
8020024,1,-0.95,0.38,0.57
8020025,1,-0.95,0.38,0.57
8020027,1,-0.95,0.38,0.57
8020029,1,-0.95,0.38,0.57
8020030,1,-1.02,0.23,0.78
8020032,1,-1.02,0.23,0.78
8020034,1,-1.02,0.23,0.78
8020035,1,-1.02,0.23,0.78
8020037,1,-1.02,0.23,0.78
8020039,1,-1.02,0.23,0.78
8020040,1,-1.13,0.04,1.00
8020042,1,-1.13,0.04,1.00
8020044,1,-1.13,0.04,1.00
8020045,1,-1.13,0.04,1.00
8020047,1,-1.13,0.04,1.00
8020049,1,-1.13,0.04,1.00
8020050,1,-1.29,-0.14,1.24
8020052,1,-1.29,-0.14,1.24
8020053,1,-1.29,-0.14,1.24
8020055,1,-1.29,-0.14,1.24
8020057,1,-1.29,-0.14,1.24
8020059,1,-1.29,-0.14,1.24
8020060,1,-1.55,-0.35,1.50
8020062,1,-1.55,-0.35,1.50
8020064,1,-1.55,-0.35,1.50
8020065,1,-1.55,-0.35,1.50
8020067,1,-1.55,-0.35,1.50
8020069,1,-1.55,-0.35,1.50
8020070,1,-1.64,-0.58,1.72
8020072,1,-1.64,-0.58,1.72
8020074,1,-1.64,-0.58,1.72
8020075,1,-1.64,-0.58,1.72
8020077,1,-1.64,-0.58,1.72
8020079,1,-1.64,-0.58,1.72
8020080,1,-1.61,-0.73,1.82
8020082,1,-1.61,-0.73,1.82
8020084,1,-1.61,-0.73,1.82
8020085,1,-1.61,-0.73,1.82
8020087,1,-1.61,-0.73,1.82
8020089,1,-1.61,-0.86,1.84
8020090,1,-1.46,-0.80,1.84
8020092,1,-1.46,-0.80,1.84
8020094,1,-1.46,-0.80,1.84
8020095,1,-1.46,-0.80,1.84
8020097,1,-1.46,-0.80,1.84
8020099,1,-1.21,-0.77,1.86
8020100,1,-1.23,-0.77,1.86
8020102,1,-1.23,-0.77,1.86
8020104,1,-1.23,-0.77,1.86
8020105,1,-1.23,-0.77,1.86
8020107,1,-1.23,-0.77,1.86
8020109,1,-0.92,-0.65,1.77
8020110,1,-0.92,-0.65,1.77
8020112,1,-0.92,-0.65,1.77
8020114,1,-0.92,-0.65,1.77
8020115,1,-0.92,-0.65,1.77
8020117,1,-0.92,-0.65,1.77
8020119,1,-0.47,-0.48,1.50
